"","date","ID_1","NAME_1","t2m"
"1","2017-01-01",1,"Berat",-3.55
"2","2017-01-01",2,"Dibër",-9.8
"3","2017-01-01",3,"Durrës",2.45
"4","2017-01-01",4,"Elbasan",-4.44
"5","2017-01-01",5,"Fier",0.22
"6","2017-01-01",6,"Gjirokastër",-1.63
"7","2017-01-01",7,"Korçë",-5.46
"8","2017-01-01",8,"Kukës",-9.63
"9","2017-01-01",9,"Lezhë",-4.39
"10","2017-01-01",10,"Shkodër",-4.79
"11","2017-01-01",11,"Tiranë",-1.65
"12","2017-01-01",12,"Vlorë",2.76
"13","2017-01-02",1,"Berat",-2.26
"14","2017-01-02",2,"Dibër",-5.77
"15","2017-01-02",3,"Durrës",3.4
"16","2017-01-02",4,"Elbasan",-3.32
"17","2017-01-02",5,"Fier",0.86
"18","2017-01-02",6,"Gjirokastër",-1.22
"19","2017-01-02",7,"Korçë",-3.56
"20","2017-01-02",8,"Kukës",-7.85
"21","2017-01-02",9,"Lezhë",-1.6
"22","2017-01-02",10,"Shkodër",-2.6
"23","2017-01-02",11,"Tiranë",-1.11
"24","2017-01-02",12,"Vlorë",3.63
"25","2017-01-03",1,"Berat",1.17
"26","2017-01-03",2,"Dibër",-2.52
"27","2017-01-03",3,"Durrës",6.43
"28","2017-01-03",4,"Elbasan",0.44
"29","2017-01-03",5,"Fier",4.27
"30","2017-01-03",6,"Gjirokastër",0.84
"31","2017-01-03",7,"Korçë",-1.63
"32","2017-01-03",8,"Kukës",-2.75
"33","2017-01-03",9,"Lezhë",2.06
"34","2017-01-03",10,"Shkodër",0.25
"35","2017-01-03",11,"Tiranë",3.41
"36","2017-01-03",12,"Vlorë",5.3
"37","2017-01-04",1,"Berat",4.39
"38","2017-01-04",2,"Dibër",1.91
"39","2017-01-04",3,"Durrës",8.75
"40","2017-01-04",4,"Elbasan",4.33
"41","2017-01-04",5,"Fier",8.47
"42","2017-01-04",6,"Gjirokastër",3.6
"43","2017-01-04",7,"Korçë",1.08
"44","2017-01-04",8,"Kukës",-2.05
"45","2017-01-04",9,"Lezhë",4.06
"46","2017-01-04",10,"Shkodër",0.97
"47","2017-01-04",11,"Tiranë",7.01
"48","2017-01-04",12,"Vlorë",7.61
"49","2017-01-05",1,"Berat",2.51
"50","2017-01-05",2,"Dibër",-0.09
"51","2017-01-05",3,"Durrës",6.97
"52","2017-01-05",4,"Elbasan",2.24
"53","2017-01-05",5,"Fier",5.64
"54","2017-01-05",6,"Gjirokastër",2.86
"55","2017-01-05",7,"Korçë",1.01
"56","2017-01-05",8,"Kukës",-1.29
"57","2017-01-05",9,"Lezhë",2.99
"58","2017-01-05",10,"Shkodër",-0.36
"59","2017-01-05",11,"Tiranë",4.68
"60","2017-01-05",12,"Vlorë",6.02
"61","2017-01-06",1,"Berat",0.97
"62","2017-01-06",2,"Dibër",-4.19
"63","2017-01-06",3,"Durrës",2.87
"64","2017-01-06",4,"Elbasan",-0.82
"65","2017-01-06",5,"Fier",3.4
"66","2017-01-06",6,"Gjirokastër",1.88
"67","2017-01-06",7,"Korçë",-3.72
"68","2017-01-06",8,"Kukës",-5.46
"69","2017-01-06",9,"Lezhë",-0.43
"70","2017-01-06",10,"Shkodër",-2.3
"71","2017-01-06",11,"Tiranë",1.51
"72","2017-01-06",12,"Vlorë",4.27
"73","2017-01-07",1,"Berat",-8.21
"74","2017-01-07",2,"Dibër",-16.02
"75","2017-01-07",3,"Durrës",-5.42
"76","2017-01-07",4,"Elbasan",-10.82
"77","2017-01-07",5,"Fier",-1.23
"78","2017-01-07",6,"Gjirokastër",-6.64
"79","2017-01-07",7,"Korçë",-13.58
"80","2017-01-07",8,"Kukës",-15.51
"81","2017-01-07",9,"Lezhë",-8.4
"82","2017-01-07",10,"Shkodër",-10.94
"83","2017-01-07",11,"Tiranë",-6.7
"84","2017-01-07",12,"Vlorë",-1.63
"85","2017-01-08",1,"Berat",-7.31
"86","2017-01-08",2,"Dibër",-18.51
"87","2017-01-08",3,"Durrës",-3.98
"88","2017-01-08",4,"Elbasan",-10.37
"89","2017-01-08",5,"Fier",-2.24
"90","2017-01-08",6,"Gjirokastër",-7.41
"91","2017-01-08",7,"Korçë",-15.77
"92","2017-01-08",8,"Kukës",-19.08
"93","2017-01-08",9,"Lezhë",-10.88
"94","2017-01-08",10,"Shkodër",-15.45
"95","2017-01-08",11,"Tiranë",-5.69
"96","2017-01-08",12,"Vlorë",-2.93
"97","2017-01-09",1,"Berat",-7.88
"98","2017-01-09",2,"Dibër",-16.59
"99","2017-01-09",3,"Durrës",-2.02
"100","2017-01-09",4,"Elbasan",-8.66
"101","2017-01-09",5,"Fier",-2.57
"102","2017-01-09",6,"Gjirokastër",-8.99
"103","2017-01-09",7,"Korçë",-13.98
"104","2017-01-09",8,"Kukës",-16.69
"105","2017-01-09",9,"Lezhë",-9.15
"106","2017-01-09",10,"Shkodër",-12.49
"107","2017-01-09",11,"Tiranë",-4.48
"108","2017-01-09",12,"Vlorë",-3.37
"109","2017-01-10",1,"Berat",-6.7
"110","2017-01-10",2,"Dibër",-16.26
"111","2017-01-10",3,"Durrës",-3.5
"112","2017-01-10",4,"Elbasan",-8.6
"113","2017-01-10",5,"Fier",-1.87
"114","2017-01-10",6,"Gjirokastër",-6.61
"115","2017-01-10",7,"Korçë",-13
"116","2017-01-10",8,"Kukës",-17.68
"117","2017-01-10",9,"Lezhë",-9.01
"118","2017-01-10",10,"Shkodër",-13.03
"119","2017-01-10",11,"Tiranë",-5.3
"120","2017-01-10",12,"Vlorë",-2.05
"121","2017-01-11",1,"Berat",-5
"122","2017-01-11",2,"Dibër",-18.46
"123","2017-01-11",3,"Durrës",-1.33
"124","2017-01-11",4,"Elbasan",-7.63
"125","2017-01-11",5,"Fier",-0.34
"126","2017-01-11",6,"Gjirokastër",-4.72
"127","2017-01-11",7,"Korçë",-10.58
"128","2017-01-11",8,"Kukës",-18.72
"129","2017-01-11",9,"Lezhë",-10.15
"130","2017-01-11",10,"Shkodër",-13.71
"131","2017-01-11",11,"Tiranë",-4.22
"132","2017-01-11",12,"Vlorë",-0.41
"133","2017-01-12",1,"Berat",-4.46
"134","2017-01-12",2,"Dibër",-9.17
"135","2017-01-12",3,"Durrës",1.44
"136","2017-01-12",4,"Elbasan",-4.5
"137","2017-01-12",5,"Fier",1.35
"138","2017-01-12",6,"Gjirokastër",-4.92
"139","2017-01-12",7,"Korçë",-8.51
"140","2017-01-12",8,"Kukës",-14.41
"141","2017-01-12",9,"Lezhë",-5.08
"142","2017-01-12",10,"Shkodër",-10.63
"143","2017-01-12",11,"Tiranë",-0.7
"144","2017-01-12",12,"Vlorë",0.79
"145","2017-01-13",1,"Berat",-6.09
"146","2017-01-13",2,"Dibër",-9.35
