"","date","ID_1","NAME_1","t2m"
"1","2015-01-01",1,"Aragatsotn",-1.67
"2","2015-01-01",2,"Ararat",-0.92
"3","2015-01-01",3,"Armavir",0.04
"4","2015-01-01",4,"Erevan",-0.3
"5","2015-01-01",5,"Gegharkunik",-4.15
"6","2015-01-01",6,"Kotayk",-2.72
"7","2015-01-01",7,"Lori",-0.4
"8","2015-01-01",8,"Shirak",-1.68
"9","2015-01-01",9,"Syunik",-2.13
"10","2015-01-01",10,"Tavush",1.55
"11","2015-01-01",11,"Vayots Dzor",-4.12
"12","2015-01-02",1,"Aragatsotn",-1.12
"13","2015-01-02",2,"Ararat",-0.51
"14","2015-01-02",3,"Armavir",1.39
"15","2015-01-02",4,"Erevan",0.15
"16","2015-01-02",5,"Gegharkunik",-4.28
"17","2015-01-02",6,"Kotayk",-3.11
"18","2015-01-02",7,"Lori",-1.63
"19","2015-01-02",8,"Shirak",-3.19
"20","2015-01-02",9,"Syunik",-2.28
"21","2015-01-02",10,"Tavush",1.28
"22","2015-01-02",11,"Vayots Dzor",-3.79
"23","2015-01-03",1,"Aragatsotn",-1.17
"24","2015-01-03",2,"Ararat",-1.48
"25","2015-01-03",3,"Armavir",-0.39
"26","2015-01-03",4,"Erevan",-0.48
"27","2015-01-03",5,"Gegharkunik",-4.08
"28","2015-01-03",6,"Kotayk",-2.2
"29","2015-01-03",7,"Lori",-0.46
"30","2015-01-03",8,"Shirak",-3.59
"31","2015-01-03",9,"Syunik",-4.87
"32","2015-01-03",10,"Tavush",1.19
"33","2015-01-03",11,"Vayots Dzor",-5.8
"34","2015-01-04",1,"Aragatsotn",-4.7
"35","2015-01-04",2,"Ararat",-1.37
"36","2015-01-04",3,"Armavir",-1.07
"37","2015-01-04",4,"Erevan",-2.37
"38","2015-01-04",5,"Gegharkunik",-4.72
"39","2015-01-04",6,"Kotayk",-4.43
"40","2015-01-04",7,"Lori",-4.96
"41","2015-01-04",8,"Shirak",-8.96
"42","2015-01-04",9,"Syunik",-2.92
"43","2015-01-04",10,"Tavush",-0.47
"44","2015-01-04",11,"Vayots Dzor",-4.33
"45","2015-01-05",1,"Aragatsotn",-5.66
"46","2015-01-05",2,"Ararat",-1.64
"47","2015-01-05",3,"Armavir",-1.87
"48","2015-01-05",4,"Erevan",-3.27
"49","2015-01-05",5,"Gegharkunik",-6.08
"50","2015-01-05",6,"Kotayk",-5.91
"51","2015-01-05",7,"Lori",-6.95
"52","2015-01-05",8,"Shirak",-7.98
"53","2015-01-05",9,"Syunik",-4.49
"54","2015-01-05",10,"Tavush",-2.24
"55","2015-01-05",11,"Vayots Dzor",-5.11
"56","2015-01-06",1,"Aragatsotn",0.55
"57","2015-01-06",2,"Ararat",2.14
"58","2015-01-06",3,"Armavir",3.29
"59","2015-01-06",4,"Erevan",2.39
"60","2015-01-06",5,"Gegharkunik",-3.45
"61","2015-01-06",6,"Kotayk",-0.59
"62","2015-01-06",7,"Lori",-1.35
"63","2015-01-06",8,"Shirak",-1.31
"64","2015-01-06",9,"Syunik",-2.19
"65","2015-01-06",10,"Tavush",1.19
"66","2015-01-06",11,"Vayots Dzor",-3.5
"67","2015-01-07",1,"Aragatsotn",-2.41
"68","2015-01-07",2,"Ararat",1.24
"69","2015-01-07",3,"Armavir",0.4
"70","2015-01-07",4,"Erevan",1.54
"71","2015-01-07",5,"Gegharkunik",-5.69
