"","date","ID_0","NAME_0","t2m"
"1","2013-01-01",1,"Bulgaria",-3.15
"2","2013-01-02",1,"Bulgaria",-2.67
"3","2013-01-03",1,"Bulgaria",-0.87
"4","2013-01-04",1,"Bulgaria",-0.07
"5","2013-01-05",1,"Bulgaria",3.63
"6","2013-01-06",1,"Bulgaria",1.87
"7","2013-01-07",1,"Bulgaria",-1.15
"8","2013-01-08",1,"Bulgaria",-7.33
"9","2013-01-09",1,"Bulgaria",-9.24
"10","2013-01-10",1,"Bulgaria",-7.45
"11","2013-01-11",1,"Bulgaria",-1.08
"12","2013-01-12",1,"Bulgaria",-0.84
"13","2013-01-13",1,"Bulgaria",-3.64
"14","2013-01-14",1,"Bulgaria",-2.23
"15","2013-01-15",1,"Bulgaria",0.68
"16","2013-01-16",1,"Bulgaria",4.38
"17","2013-01-17",1,"Bulgaria",3.57
"18","2013-01-18",1,"Bulgaria",4.1
"19","2013-01-19",1,"Bulgaria",3.12
"20","2013-01-20",1,"Bulgaria",-0.3
"21","2013-01-21",1,"Bulgaria",4.89
"22","2013-01-22",1,"Bulgaria",8.33
"23","2013-01-23",1,"Bulgaria",5.66
"24","2013-01-24",1,"Bulgaria",1.21
"25","2013-01-25",1,"Bulgaria",3.93
"26","2013-01-26",1,"Bulgaria",-1.05
"27","2013-01-27",1,"Bulgaria",-5.75
"28","2013-01-28",1,"Bulgaria",-7.07
"29","2013-01-29",1,"Bulgaria",-4.18
"30","2013-01-30",1,"Bulgaria",-3.24
"31","2013-01-31",1,"Bulgaria",0.36
"32","2013-02-01",1,"Bulgaria",1.8
"33","2013-02-02",1,"Bulgaria",1.43
"34","2013-02-03",1,"Bulgaria",6.6
"35","2013-02-04",1,"Bulgaria",3.66
"36","2013-02-05",1,"Bulgaria",0.39
"37","2013-02-06",1,"Bulgaria",1.34
"38","2013-02-07",1,"Bulgaria",3.67
"39","2013-02-08",1,"Bulgaria",4.4
"40","2013-02-09",1,"Bulgaria",0.3
"41","2013-02-10",1,"Bulgaria",2.12
"42","2013-02-11",1,"Bulgaria",0.25
"43","2013-02-12",1,"Bulgaria",-1.86
"44","2013-02-13",1,"Bulgaria",2.98
"45","2013-02-14",1,"Bulgaria",4.09
"46","2013-02-15",1,"Bulgaria",2.85
"47","2013-02-16",1,"Bulgaria",0.82
"48","2013-02-17",1,"Bulgaria",0.93
"49","2013-02-18",1,"Bulgaria",0.76
"50","2013-02-19",1,"Bulgaria",0.46
"51","2013-02-20",1,"Bulgaria",0.99
"52","2013-02-21",1,"Bulgaria",1.32
"53","2013-02-22",1,"Bulgaria",2.99
"54","2013-02-23",1,"Bulgaria",4.03
"55","2013-02-24",1,"Bulgaria",4.94
"56","2013-02-25",1,"Bulgaria",6.25
"57","2013-02-26",1,"Bulgaria",5.64
"58","2013-02-27",1,"Bulgaria",3.79
"59","2013-02-28",1,"Bulgaria",0.8
"60","2013-03-01",1,"Bulgaria",-0.54
"61","2013-03-02",1,"Bulgaria",1.43
"62","2013-03-03",1,"Bulgaria",1.86
"63","2013-03-04",1,"Bulgaria",1.09
"64","2013-03-05",1,"Bulgaria",1.54
"65","2013-03-06",1,"Bulgaria",0.74
"66","2013-03-07",1,"Bulgaria",4.4
"67","2013-03-08",1,"Bulgaria",7.58
"68","2013-03-09",1,"Bulgaria",8.1
"69","2013-03-10",1,"Bulgaria",8.04
"70","2013-03-11",1,"Bulgaria",8.3
"71","2013-03-12",1,"Bulgaria",7.81
"72","2013-03-13",1,"Bulgaria",6.1
"73","2013-03-14",1,"Bulgaria",7.37
"74","2013-03-15",1,"Bulgaria",8.87
"75","2013-03-16",1,"Bulgaria",-1.47
"76","2013-03-17",1,"Bulgaria",-1.4
"77","2013-03-18",1,"Bulgaria",-2.33
"78","2013-03-19",1,"Bulgaria",4.25
"79","2013-03-20",1,"Bulgaria",5.54
"80","2013-03-21",1,"Bulgaria",7.33
"81","2013-03-22",1,"Bulgaria",7.3
"82","2013-03-23",1,"Bulgaria",2.57
"83","2013-03-24",1,"Bulgaria",0.63
"84","2013-03-25",1,"Bulgaria",2.65
"85","2013-03-26",1,"Bulgaria",3
"86","2013-03-27",1,"Bulgaria",1.14
"87","2013-03-28",1,"Bulgaria",0.83
"88","2013-03-29",1,"Bulgaria",3.18
"89","2013-03-30",1,"Bulgaria",4.51
"90","2013-03-31",1,"Bulgaria",9.14
"91","2013-04-01",1,"Bulgaria",10.43
"92","2013-04-02",1,"Bulgaria",7.66
"93","2013-04-03",1,"Bulgaria",9.82
"94","2013-04-04",1,"Bulgaria",7.58
"95","2013-04-05",1,"Bulgaria",5.65
"96","2013-04-06",1,"Bulgaria",8.76
"97","2013-04-07",1,"Bulgaria",10.67
"98","2013-04-08",1,"Bulgaria",4.71
"99","2013-04-09",1,"Bulgaria",3.57
"100","2013-04-10",1,"Bulgaria",4.2
"101","2013-04-11",1,"Bulgaria",7.75
"102","2013-04-12",1,"Bulgaria",7.29
"103","2013-04-13",1,"Bulgaria",9.71
"104","2013-04-14",1,"Bulgaria",11.27
"105","2013-04-15",1,"Bulgaria",8.83
"106","2013-04-16",1,"Bulgaria",7.12
"107","2013-04-17",1,"Bulgaria",6.22
"108","2013-04-18",1,"Bulgaria",5.39
"109","2013-04-19",1,"Bulgaria",6.54
"110","2013-04-20",1,"Bulgaria",6.56
"111","2013-04-21",1,"Bulgaria",7.74
"112","2013-04-22",1,"Bulgaria",8.69
"113","2013-04-23",1,"Bulgaria",7.81
"114","2013-04-24",1,"Bulgaria",9.55
"115","2013-04-25",1,"Bulgaria",10.89
"116","2013-04-26",1,"Bulgaria",11.89
"117","2013-04-27",1,"Bulgaria",13.65
"118","2013-04-28",1,"Bulgaria",14.02
"119","2013-04-29",1,"Bulgaria",14.36
"120","2013-04-30",1,"Bulgaria",14.67
"121","2013-05-01",1,"Bulgaria",14.67
"122","2013-05-02",1,"Bulgaria",13.94
"123","2013-05-03",1,"Bulgaria",13.67
"124","2013-05-04",1,"Bulgaria",14.74
"125","2013-05-05",1,"Bulgaria",13.73
"126","2013-05-06",1,"Bulgaria",15.44
"127","2013-05-07",1,"Bulgaria",13.62
"128","2013-05-08",1,"Bulgaria",13.09
"129","2013-05-09",1,"Bulgaria",13.03
"130","2013-05-10",1,"Bulgaria",11.11
"131","2013-05-11",1,"Bulgaria",11.1
"132","2013-05-12",1,"Bulgaria",11.84
"133","2013-05-13",1,"Bulgaria",13.12
"134","2013-05-14",1,"Bulgaria",12.3
"135","2013-05-15",1,"Bulgaria",11.34
"136","2013-05-16",1,"Bulgaria",12.06
"137","2013-05-17",1,"Bulgaria",16.39
"138","2013-05-18",1,"Bulgaria",15.37
"139","2013-05-19",1,"Bulgaria",15.9
"140","2013-05-20",1,"Bulgaria",15.81
"141","2013-05-21",1,"Bulgaria",16.99
"142","2013-05-22",1,"Bulgaria",15.99
"143","2013-05-23",1,"Bulgaria",16.92
"144","2013-05-24",1,"Bulgaria",15.13
"145","2013-05-25",1,"Bulgaria",12.8
"146","2013-05-26",1,"Bulgaria",12.41
"147","2013-05-27",1,"Bulgaria",9.67
"148","2013-05-28",1,"Bulgaria",9.99
"149","2013-05-29",1,"Bulgaria",15.64
"150","2013-05-30",1,"Bulgaria",15.59
"151","2013-05-31",1,"Bulgaria",15
"152","2013-06-01",1,"Bulgaria",9.74
"153","2013-06-02",1,"Bulgaria",12.17
"154","2013-06-03",1,"Bulgaria",11.38
"155","2013-06-04",1,"Bulgaria",12.99
"156","2013-06-05",1,"Bulgaria",11.85
"157","2013-06-06",1,"Bulgaria",12.88
"158","2013-06-07",1,"Bulgaria",13.88
"159","2013-06-08",1,"Bulgaria",13.79
"160","2013-06-09",1,"Bulgaria",13.83
"161","2013-06-10",1,"Bulgaria",14.59
"162","2013-06-11",1,"Bulgaria",16.22
"163","2013-06-12",1,"Bulgaria",15.16
"164","2013-06-13",1,"Bulgaria",15.31
"165","2013-06-14",1,"Bulgaria",15.67
"166","2013-06-15",1,"Bulgaria",15.4
"167","2013-06-16",1,"Bulgaria",17.63
"168","2013-06-17",1,"Bulgaria",18.77
"169","2013-06-18",1,"Bulgaria",19.32
"170","2013-06-19",1,"Bulgaria",19.04
"171","2013-06-20",1,"Bulgaria",19.96
"172","2013-06-21",1,"Bulgaria",18.99
"173","2013-06-22",1,"Bulgaria",18.12
"174","2013-06-23",1,"Bulgaria",19.16
"175","2013-06-24",1,"Bulgaria",19.79
"176","2013-06-25",1,"Bulgaria",19.59
"177","2013-06-26",1,"Bulgaria",18.39
"178","2013-06-27",1,"Bulgaria",15.88
"179","2013-06-28",1,"Bulgaria",15.2
"180","2013-06-29",1,"Bulgaria",16.39
"181","2013-06-30",1,"Bulgaria",15.78
"182","2013-07-01",1,"Bulgaria",15.19
"183","2013-07-02",1,"Bulgaria",14.63
"184","2013-07-03",1,"Bulgaria",15.02
"185","2013-07-04",1,"Bulgaria",15.53
"186","2013-07-05",1,"Bulgaria",17.25
"187","2013-07-06",1,"Bulgaria",17.35
"188","2013-07-07",1,"Bulgaria",17.25
"189","2013-07-08",1,"Bulgaria",17.5
"190","2013-07-09",1,"Bulgaria",18.32
"191","2013-07-10",1,"Bulgaria",17.28
"192","2013-07-11",1,"Bulgaria",16.99
