"","date","ID_1","NAME_1","t2m"
"1","2021-01-01",1,"Central",22.19
"2","2021-01-01",2,"Ghanzi",21.04
"3","2021-01-01",3,"Kgalagadi",23.22
"4","2021-01-01",4,"Kgatleng",24.28
"5","2021-01-01",5,"Kweneng",23.08
"6","2021-01-01",6,"North-East",21.31
"7","2021-01-01",7,"North-West",21.18
"8","2021-01-01",8,"South-East",24.34
"9","2021-01-01",9,"Southern",24.42
"10","2021-01-02",1,"Central",21.61
"11","2021-01-02",2,"Ghanzi",20.67
"12","2021-01-02",3,"Kgalagadi",21.91
"13","2021-01-02",4,"Kgatleng",22.29
"14","2021-01-02",5,"Kweneng",20.48
"15","2021-01-02",6,"North-East",21.26
"16","2021-01-02",7,"North-West",21.3
"17","2021-01-02",8,"South-East",20.3
"18","2021-01-02",9,"Southern",20.2
"19","2021-01-03",1,"Central",18.78
"20","2021-01-03",2,"Ghanzi",20.13
"21","2021-01-03",3,"Kgalagadi",21
"22","2021-01-03",4,"Kgatleng",19.14
"23","2021-01-03",5,"Kweneng",18.88
"24","2021-01-03",6,"North-East",17.1
"25","2021-01-03",7,"North-West",20.44
"26","2021-01-03",8,"South-East",19.32
"27","2021-01-03",9,"Southern",19.37
"28","2021-01-04",1,"Central",19.05
"29","2021-01-04",2,"Ghanzi",19.68
"30","2021-01-04",3,"Kgalagadi",20.93
"31","2021-01-04",4,"Kgatleng",19.38
"32","2021-01-04",5,"Kweneng",18.06
"33","2021-01-04",6,"North-East",18.95
"34","2021-01-04",7,"North-West",19.81
"35","2021-01-04",8,"South-East",18.11
"36","2021-01-04",9,"Southern",18.51
"37","2021-01-05",1,"Central",20.31
"38","2021-01-05",2,"Ghanzi",20.46
"39","2021-01-05",3,"Kgalagadi",21.2
"40","2021-01-05",4,"Kgatleng",20.74
"41","2021-01-05",5,"Kweneng",20.46
"42","2021-01-05",6,"North-East",19.54
"43","2021-01-05",7,"North-West",20.82
"44","2021-01-05",8,"South-East",20.77
"45","2021-01-05",9,"Southern",21.55
"46","2021-01-06",1,"Central",22.16
"47","2021-01-06",2,"Ghanzi",21.26
"48","2021-01-06",3,"Kgalagadi",21.91
"49","2021-01-06",4,"Kgatleng",23.41
"50","2021-01-06",5,"Kweneng",22
"51","2021-01-06",6,"North-East",21.13
"52","2021-01-06",7,"North-West",21.66
"53","2021-01-06",8,"South-East",22.41
"54","2021-01-06",9,"Southern",21.74
"55","2021-01-07",1,"Central",22.56
"56","2021-01-07",2,"Ghanzi",21.87
"57","2021-01-07",3,"Kgalagadi",21.83
"58","2021-01-07",4,"Kgatleng",22.58
"59","2021-01-07",5,"Kweneng",21.88
"60","2021-01-07",6,"North-East",20.98
"61","2021-01-07",7,"North-West",22.14
"62","2021-01-07",8,"South-East",21.75
"63","2021-01-07",9,"Southern",21.4
"64","2021-01-08",1,"Central",21.07
"65","2021-01-08",2,"Ghanzi",20.95
"66","2021-01-08",3,"Kgalagadi",22.44
"67","2021-01-08",4,"Kgatleng",21.5
"68","2021-01-08",5,"Kweneng",21.02
"69","2021-01-08",6,"North-East",20.08
"70","2021-01-08",7,"North-West",20.85
"71","2021-01-08",8,"South-East",21.21
"72","2021-01-08",9,"Southern",20.84
"73","2021-01-09",1,"Central",20.97
"74","2021-01-09",2,"Ghanzi",21.5
"75","2021-01-09",3,"Kgalagadi",23.27
"76","2021-01-09",4,"Kgatleng",22.23
"77","2021-01-09",5,"Kweneng",20.9
"78","2021-01-09",6,"North-East",20.03
"79","2021-01-09",7,"North-West",21.56
"80","2021-01-09",8,"South-East",21.39
"81","2021-01-09",9,"Southern",20.53
"82","2021-01-10",1,"Central",21.72
"83","2021-01-10",2,"Ghanzi",21.02
"84","2021-01-10",3,"Kgalagadi",22.2
"85","2021-01-10",4,"Kgatleng",22.56
"86","2021-01-10",5,"Kweneng",21.07
"87","2021-01-10",6,"North-East",20.16
"88","2021-01-10",7,"North-West",21.13
"89","2021-01-10",8,"South-East",21.57
"90","2021-01-10",9,"Southern",20.92
"91","2021-01-11",1,"Central",22.26
"92","2021-01-11",2,"Ghanzi",21.32
"93","2021-01-11",3,"Kgalagadi",22.33
"94","2021-01-11",4,"Kgatleng",24.33
"95","2021-01-11",5,"Kweneng",21.82
"96","2021-01-11",6,"North-East",21.43
"97","2021-01-11",7,"North-West",21.59
"98","2021-01-11",8,"South-East",21.96
"99","2021-01-11",9,"Southern",21.06
"100","2021-01-12",1,"Central",21.84
"101","2021-01-12",2,"Ghanzi",20.7
"102","2021-01-12",3,"Kgalagadi",20.93
"103","2021-01-12",4,"Kgatleng",22.76
