"","date","ID_0","NAME_0","t2m"
"1","2012-01-01",1,"Canada",-20.98
"2","2012-01-02",1,"Canada",-21.24
"3","2012-01-03",1,"Canada",-18.6
"4","2012-01-04",1,"Canada",-20.34
"5","2012-01-05",1,"Canada",-19.23
"6","2012-01-06",1,"Canada",-20.27
"7","2012-01-07",1,"Canada",-21.86
"8","2012-01-08",1,"Canada",-21.44
"9","2012-01-09",1,"Canada",-18.72
"10","2012-01-10",1,"Canada",-18.96
"11","2012-01-11",1,"Canada",-22.09
"12","2012-01-12",1,"Canada",-22.15
"13","2012-01-13",1,"Canada",-20.82
"14","2012-01-14",1,"Canada",-20.71
"15","2012-01-15",1,"Canada",-23.64
"16","2012-01-16",1,"Canada",-25.53
"17","2012-01-17",1,"Canada",-26.2
"18","2012-01-18",1,"Canada",-26.44
"19","2012-01-19",1,"Canada",-25.8
"20","2012-01-20",1,"Canada",-27.08
"21","2012-01-21",1,"Canada",-26.85
"22","2012-01-22",1,"Canada",-25.98
"23","2012-01-23",1,"Canada",-24.27
"24","2012-01-24",1,"Canada",-22.55
"25","2012-01-25",1,"Canada",-20.16
"26","2012-01-26",1,"Canada",-18.31
"27","2012-01-27",1,"Canada",-18.81
"28","2012-01-28",1,"Canada",-20.45
"29","2012-01-29",1,"Canada",-22.18
"30","2012-01-30",1,"Canada",-21.81
"31","2012-01-31",1,"Canada",-21.49
"32","2012-02-01",1,"Canada",-19.69
"33","2012-02-02",1,"Canada",-18.62
"34","2012-02-03",1,"Canada",-14.97
"35","2012-02-04",1,"Canada",-13.44
"36","2012-02-05",1,"Canada",-14.57
"37","2012-02-06",1,"Canada",-16.42
"38","2012-02-07",1,"Canada",-17.43
"39","2012-02-08",1,"Canada",-19.14
"40","2012-02-09",1,"Canada",-18.75
"41","2012-02-10",1,"Canada",-18.68
"42","2012-02-11",1,"Canada",-17.66
"43","2012-02-12",1,"Canada",-16.67
"44","2012-02-13",1,"Canada",-15.26
"45","2012-02-14",1,"Canada",-14.21
"46","2012-02-15",1,"Canada",-13.51
"47","2012-02-16",1,"Canada",-13.54
"48","2012-02-17",1,"Canada",-13.89
"49","2012-02-18",1,"Canada",-14.57
"50","2012-02-19",1,"Canada",-16.37
