"","date","ID_1","NAME_1","t2m"
"1","2013-01-01",1,"Aargau",-0.05
"2","2013-01-01",2,"Appenzell Ausserrhoden",-2.72
"3","2013-01-01",3,"Appenzell Innerrhoden",-4.45
"4","2013-01-01",4,"Basel-Landschaft",-0.21
"5","2013-01-01",5,"Basel-Stadt",-0.17
"6","2013-01-01",6,"Bern",-4.29
"7","2013-01-01",7,"Fribourg",-1.96
"8","2013-01-01",8,"Genève",-0.87
"9","2013-01-01",9,"Glarus",-6.87
"10","2013-01-01",10,"Graubünden",-9.3
"11","2013-01-01",11,"Jura",0.09
"12","2013-01-01",12,"Lucerne",1.05
"13","2013-01-01",13,"Neuchâtel",1.2
"14","2013-01-01",14,"Nidwalden",-0.64
"15","2013-01-01",15,"Obwalden",-3.67
"16","2013-01-01",16,"Sankt Gallen",-4.04
"17","2013-01-01",17,"Schaffhausen",-0.84
"18","2013-01-01",18,"Schwyz",-2.75
"19","2013-01-01",19,"Solothurn",-0.39
"20","2013-01-01",20,"Thurgau",-0.36
"21","2013-01-01",21,"Ticino",-8.21
"22","2013-01-01",22,"Uri",-7.33
"23","2013-01-01",23,"Valais",-11.75
"24","2013-01-01",24,"Vaud",-0.38
"25","2013-01-01",25,"Zürich",-0.71
"26","2013-01-01",26,"Zug",0.7
"27","2013-01-02",1,"Aargau",3.95
"28","2013-01-02",2,"Appenzell Ausserrhoden",2.44
"29","2013-01-02",3,"Appenzell Innerrhoden",1.53
"30","2013-01-02",4,"Basel-Landschaft",4.63
"31","2013-01-02",5,"Basel-Stadt",4.72
"32","2013-01-02",6,"Bern",-0.27
"33","2013-01-02",7,"Fribourg",1.69
"34","2013-01-02",8,"Genève",2.57
"35","2013-01-02",9,"Glarus",-2.43
"36","2013-01-02",10,"Graubünden",-7.56
"37","2013-01-02",11,"Jura",3.67
"38","2013-01-02",12,"Lucerne",2.22
"39","2013-01-02",13,"Neuchâtel",2.49
"40","2013-01-02",14,"Nidwalden",0.09
"41","2013-01-02",15,"Obwalden",-1.89
"42","2013-01-02",16,"Sankt Gallen",1.12
"43","2013-01-02",17,"Schaffhausen",3.7
"44","2013-01-02",18,"Schwyz",-0.08
"45","2013-01-02",19,"Solothurn",4.03
"46","2013-01-02",20,"Thurgau",3.96
"47","2013-01-02",21,"Ticino",-4.39
"48","2013-01-02",22,"Uri",-5
"49","2013-01-02",23,"Valais",-6.95
"50","2013-01-02",24,"Vaud",1.79
"51","2013-01-02",25,"Zürich",3.54
"52","2013-01-02",26,"Zug",3.14
"53","2013-01-03",1,"Aargau",-1.81
"54","2013-01-03",2,"Appenzell Ausserrhoden",-5.98
"55","2013-01-03",3,"Appenzell Innerrhoden",-8.52
"56","2013-01-03",4,"Basel-Landschaft",-1.48
"57","2013-01-03",5,"Basel-Stadt",-1.53
"58","2013-01-03",6,"Bern",-7.52
"59","2013-01-03",7,"Fribourg",-3.91
"60","2013-01-03",8,"Genève",-3.45
"61","2013-01-03",9,"Glarus",-11.91
"62","2013-01-03",10,"Graubünden",-14.77
"63","2013-01-03",11,"Jura",-2.39
"64","2013-01-03",12,"Lucerne",-3.36
"65","2013-01-03",13,"Neuchâtel",-1.76
"66","2013-01-03",14,"Nidwalden",-7.1
"67","2013-01-03",15,"Obwalden",-9.78
"68","2013-01-03",16,"Sankt Gallen",-7.7
"69","2013-01-03",17,"Schaffhausen",-1.46
"70","2013-01-03",18,"Schwyz",-8.48
"71","2013-01-03",19,"Solothurn",-2.27
"72","2013-01-03",20,"Thurgau",-1.83
"73","2013-01-03",21,"Ticino",-11.36
"74","2013-01-03",22,"Uri",-14.18
"75","2013-01-03",23,"Valais",-17.12
"76","2013-01-03",24,"Vaud",-3.12
"77","2013-01-03",25,"Zürich",-2.53
"78","2013-01-03",26,"Zug",-3.19
"79","2013-01-04",1,"Aargau",3.58
"80","2013-01-04",2,"Appenzell Ausserrhoden",2.77
"81","2013-01-04",3,"Appenzell Innerrhoden",2.43
"82","2013-01-04",4,"Basel-Landschaft",3.85
"83","2013-01-04",5,"Basel-Stadt",3.94
"84","2013-01-04",6,"Bern",-0.75
"85","2013-01-04",7,"Fribourg",0.32
"86","2013-01-04",8,"Genève",1.02
"87","2013-01-04",9,"Glarus",-0.35
"88","2013-01-04",10,"Graubünden",-3.91
"89","2013-01-04",11,"Jura",3
"90","2013-01-04",12,"Lucerne",2.51
"91","2013-01-04",13,"Neuchâtel",1.56
"92","2013-01-04",14,"Nidwalden",1.05
"93","2013-01-04",15,"Obwalden",-1.26
"94","2013-01-04",16,"Sankt Gallen",2.05
"95","2013-01-04",17,"Schaffhausen",3.67
"96","2013-01-04",18,"Schwyz",1.48
"97","2013-01-04",19,"Solothurn",3.23
"98","2013-01-04",20,"Thurgau",3.66
"99","2013-01-04",21,"Ticino",-1.1
"100","2013-01-04",22,"Uri",-2.66
"101","2013-01-04",23,"Valais",-5.11
"102","2013-01-04",24,"Vaud",0.95
"103","2013-01-04",25,"Zürich",3.77
"104","2013-01-04",26,"Zug",3.46
"105","2013-01-05",1,"Aargau",5.61
"106","2013-01-05",2,"Appenzell Ausserrhoden",4.38
"107","2013-01-05",3,"Appenzell Innerrhoden",3.67
"108","2013-01-05",4,"Basel-Landschaft",5.81
"109","2013-01-05",5,"Basel-Stadt",5.89
"110","2013-01-05",6,"Bern",1.25
"111","2013-01-05",7,"Fribourg",2.73
"112","2013-01-05",8,"Genève",3.28
"113","2013-01-05",9,"Glarus",1.8
"114","2013-01-05",10,"Graubünden",-1.05
"115","2013-01-05",11,"Jura",5.16
"116","2013-01-05",12,"Lucerne",4.3
"117","2013-01-05",13,"Neuchâtel",3.93
"118","2013-01-05",14,"Nidwalden",3.94
"119","2013-01-05",15,"Obwalden",1.51
"120","2013-01-05",16,"Sankt Gallen",3.84
"121","2013-01-05",17,"Schaffhausen",5.76
"122","2013-01-05",18,"Schwyz",3.61
"123","2013-01-05",19,"Solothurn",5.19
"124","2013-01-05",20,"Thurgau",5.48
"125","2013-01-05",21,"Ticino",0.91
"126","2013-01-05",22,"Uri",0.23
"127","2013-01-05",23,"Valais",-5.87
"128","2013-01-05",24,"Vaud",2.93
"129","2013-01-05",25,"Zürich",5.74
"130","2013-01-05",26,"Zug",5.82
"131","2013-01-06",1,"Aargau",4.56
"132","2013-01-06",2,"Appenzell Ausserrhoden",3.5
"133","2013-01-06",3,"Appenzell Innerrhoden",2.8
"134","2013-01-06",4,"Basel-Landschaft",4.35
"135","2013-01-06",5,"Basel-Stadt",4.31
"136","2013-01-06",6,"Bern",0.19
"137","2013-01-06",7,"Fribourg",2.94
"138","2013-01-06",8,"Genève",2.89
"139","2013-01-06",9,"Glarus",1.29
"140","2013-01-06",10,"Graubünden",-1.27
"141","2013-01-06",11,"Jura",3.81
"142","2013-01-06",12,"Lucerne",3.16
"143","2013-01-06",13,"Neuchâtel",3.77
"144","2013-01-06",14,"Nidwalden",2.66
"145","2013-01-06",15,"Obwalden",-0.06
"146","2013-01-06",16,"Sankt Gallen",3.13
"147","2013-01-06",17,"Schaffhausen",4.66
"148","2013-01-06",18,"Schwyz",2.52
"149","2013-01-06",19,"Solothurn",3.69
"150","2013-01-06",20,"Thurgau",4.77
"151","2013-01-06",21,"Ticino",1.88
"152","2013-01-06",22,"Uri",-0.58
"153","2013-01-06",23,"Valais",-4.82
"154","2013-01-06",24,"Vaud",3.45
"155","2013-01-06",25,"Zürich",5
"156","2013-01-06",26,"Zug",4.89
"157","2013-01-07",1,"Aargau",2.68
"158","2013-01-07",2,"Appenzell Ausserrhoden",2.26
"159","2013-01-07",3,"Appenzell Innerrhoden",1.75
"160","2013-01-07",4,"Basel-Landschaft",3.17
"161","2013-01-07",5,"Basel-Stadt",3.24
"162","2013-01-07",6,"Bern",-1.07
"163","2013-01-07",7,"Fribourg",0.74
"164","2013-01-07",8,"Genève",0.55
"165","2013-01-07",9,"Glarus",-0.72
"166","2013-01-07",10,"Graubünden",-2.46
"167","2013-01-07",11,"Jura",2.33
"168","2013-01-07",12,"Lucerne",1.38
"169","2013-01-07",13,"Neuchâtel",1.35
"170","2013-01-07",14,"Nidwalden",0.66
"171","2013-01-07",15,"Obwalden",-1.7
"172","2013-01-07",16,"Sankt Gallen",1.68
"173","2013-01-07",17,"Schaffhausen",2.73
"174","2013-01-07",18,"Schwyz",-0.37
"175","2013-01-07",19,"Solothurn",2.3
"176","2013-01-07",20,"Thurgau",3.16
"177","2013-01-07",21,"Ticino",0.96
"178","2013-01-07",22,"Uri",-2.91
"179","2013-01-07",23,"Valais",-4.53
"180","2013-01-07",24,"Vaud",1.19
"181","2013-01-07",25,"Zürich",2.6
"182","2013-01-07",26,"Zug",2.63
"183","2013-01-08",1,"Aargau",2.51
"184","2013-01-08",2,"Appenzell Ausserrhoden",-0.28
"185","2013-01-08",3,"Appenzell Innerrhoden",-1.79
"186","2013-01-08",4,"Basel-Landschaft",2.71
"187","2013-01-08",5,"Basel-Stadt",2.64
"188","2013-01-08",6,"Bern",-0.93
"189","2013-01-08",7,"Fribourg",-0.02
"190","2013-01-08",8,"Genève",0.82
"191","2013-01-08",9,"Glarus",-2.98
"192","2013-01-08",10,"Graubünden",-5.85
"193","2013-01-08",11,"Jura",1.39
"194","2013-01-08",12,"Lucerne",1.67
"195","2013-01-08",13,"Neuchâtel",0.72
"196","2013-01-08",14,"Nidwalden",1.46
"197","2013-01-08",15,"Obwalden",-0.54
"198","2013-01-08",16,"Sankt Gallen",-1.54
"199","2013-01-08",17,"Schaffhausen",1.5
"200","2013-01-08",18,"Schwyz",-0.66
"201","2013-01-08",19,"Solothurn",1.99
"202","2013-01-08",20,"Thurgau",1.96
"203","2013-01-08",21,"Ticino",-1.01
"204","2013-01-08",22,"Uri",-2.22
"205","2013-01-08",23,"Valais",-5.05
"206","2013-01-08",24,"Vaud",1.05
"207","2013-01-08",25,"Zürich",1.4
"208","2013-01-08",26,"Zug",2.12
"209","2013-01-09",1,"Aargau",0.51
"210","2013-01-09",2,"Appenzell Ausserrhoden",-2.62
"211","2013-01-09",3,"Appenzell Innerrhoden",-4.52
"212","2013-01-09",4,"Basel-Landschaft",-0.82
"213","2013-01-09",5,"Basel-Stadt",-1.14
"214","2013-01-09",6,"Bern",-3.42
"215","2013-01-09",7,"Fribourg",-2.8
"216","2013-01-09",8,"Genève",-0.09
"217","2013-01-09",9,"Glarus",-5.24
"218","2013-01-09",10,"Graubünden",-5.71
"219","2013-01-09",11,"Jura",-1.97
"220","2013-01-09",12,"Lucerne",1.61
"221","2013-01-09",13,"Neuchâtel",-1.61
"222","2013-01-09",14,"Nidwalden",1.5
"223","2013-01-09",15,"Obwalden",-1.68
"224","2013-01-09",16,"Sankt Gallen",-3.74
"225","2013-01-09",17,"Schaffhausen",-0.06
"226","2013-01-09",18,"Schwyz",-2.36
