"","date","ID_1","NAME_1","t2m"
"1","2017-01-01",1,"Aisén del General Carlos Ibáñez del Campo",8.27
"2","2017-01-01",2,"Antofagasta",16.47
"3","2017-01-01",3,"Araucanía",14.2
"4","2017-01-01",4,"Arica y Parinacota",10.37
"5","2017-01-01",5,"Atacama",16.16
"6","2017-01-01",6,"Bío-Bío",16.06
"7","2017-01-01",7,"Coquimbo",17.31
"8","2017-01-01",8,"Libertador General Bernardo O'Higgins",17.19
"9","2017-01-01",9,"Los Lagos",13.06
"10","2017-01-01",10,"Los Ríos",14.42
"11","2017-01-01",11,"Magallanes y Antártica Chilena",9.67
"12","2017-01-01",12,"Magallanes y Antártica Chilena",9.53
"13","2017-01-01",13,"Maule",16.86
"14","2017-01-01",14,"Región Metropolitana de Santiago",14.98
"15","2017-01-01",15,"Tarapacá",14.91
"16","2017-01-01",16,"Valparaíso",16.64
"17","2017-01-02",1,"Aisén del General Carlos Ibáñez del Campo",9.53
"18","2017-01-02",2,"Antofagasta",17.6
"19","2017-01-02",3,"Araucanía",15.14
"20","2017-01-02",4,"Arica y Parinacota",11.69
"21","2017-01-02",5,"Atacama",15.56
"22","2017-01-02",6,"Bío-Bío",17.12
"23","2017-01-02",7,"Coquimbo",17.91
"24","2017-01-02",8,"Libertador General Bernardo O'Higgins",18.3
"25","2017-01-02",9,"Los Lagos",13.72
"26","2017-01-02",10,"Los Ríos",15.42
"27","2017-01-02",11,"Magallanes y Antártica Chilena",10.3
"28","2017-01-02",12,"Magallanes y Antártica Chilena",9.51
"29","2017-01-02",13,"Maule",17.91
"30","2017-01-02",14,"Región Metropolitana de Santiago",16.3
"31","2017-01-02",15,"Tarapacá",15.99
"32","2017-01-02",16,"Valparaíso",17.91
"33","2017-01-03",1,"Aisén del General Carlos Ibáñez del Campo",5.84
"34","2017-01-03",2,"Antofagasta",16.86
"35","2017-01-03",3,"Araucanía",14.6
"36","2017-01-03",4,"Arica y Parinacota",10.84
"37","2017-01-03",5,"Atacama",15.39
"38","2017-01-03",6,"Bío-Bío",16.74
"39","2017-01-03",7,"Coquimbo",17.26
"40","2017-01-03",8,"Libertador General Bernardo O'Higgins",17.56
"41","2017-01-03",9,"Los Lagos",11.03
"42","2017-01-03",10,"Los Ríos",13.17
"43","2017-01-03",11,"Magallanes y Antártica Chilena",8.3
"44","2017-01-03",12,"Magallanes y Antártica Chilena",6.98
"45","2017-01-03",13,"Maule",17.03
"46","2017-01-03",14,"Región Metropolitana de Santiago",15.72
"47","2017-01-03",15,"Tarapacá",15.53
"48","2017-01-03",16,"Valparaíso",17.08
"49","2017-01-04",1,"Aisén del General Carlos Ibáñez del Campo",4.77
"50","2017-01-04",2,"Antofagasta",17.17
"51","2017-01-04",3,"Araucanía",11.7
"52","2017-01-04",4,"Arica y Parinacota",10.98
"53","2017-01-04",5,"Atacama",15.55
"54","2017-01-04",6,"Bío-Bío",14.49
"55","2017-01-04",7,"Coquimbo",16.96
"56","2017-01-04",8,"Libertador General Bernardo O'Higgins",16.65
"57","2017-01-04",9,"Los Lagos",10.03
"58","2017-01-04",10,"Los Ríos",11.66
"59","2017-01-04",11,"Magallanes y Antártica Chilena",5.61
"60","2017-01-04",12,"Magallanes y Antártica Chilena",4.92
"61","2017-01-04",13,"Maule",15.44
"62","2017-01-04",14,"Región Metropolitana de Santiago",14.87
"63","2017-01-04",15,"Tarapacá",16.32
"64","2017-01-04",16,"Valparaíso",16.52
"65","2017-01-05",1,"Aisén del General Carlos Ibáñez del Campo",5.28
"66","2017-01-05",2,"Antofagasta",16.64
"67","2017-01-05",3,"Araucanía",10.69
"68","2017-01-05",4,"Arica y Parinacota",10.51
"69","2017-01-05",5,"Atacama",15.11
"70","2017-01-05",6,"Bío-Bío",13.15
"71","2017-01-05",7,"Coquimbo",15.64
"72","2017-01-05",8,"Libertador General Bernardo O'Higgins",16.32
"73","2017-01-05",9,"Los Lagos",9.99
"74","2017-01-05",10,"Los Ríos",11.68
"75","2017-01-05",11,"Magallanes y Antártica Chilena",6.08
"76","2017-01-05",12,"Magallanes y Antártica Chilena",5.81
"77","2017-01-05",13,"Maule",15.14
"78","2017-01-05",14,"Región Metropolitana de Santiago",14.35
"79","2017-01-05",15,"Tarapacá",15.77
"80","2017-01-05",16,"Valparaíso",15.66
"81","2017-01-06",1,"Aisén del General Carlos Ibáñez del Campo",7.94
"82","2017-01-06",2,"Antofagasta",15.73
"83","2017-01-06",3,"Araucanía",16.05
"84","2017-01-06",4,"Arica y Parinacota",10.04
"85","2017-01-06",5,"Atacama",14.71
"86","2017-01-06",6,"Bío-Bío",19.4
"87","2017-01-06",7,"Coquimbo",16.22
"88","2017-01-06",8,"Libertador General Bernardo O'Higgins",19.27
"89","2017-01-06",9,"Los Lagos",12.9
"90","2017-01-06",10,"Los Ríos",14.84
"91","2017-01-06",11,"Magallanes y Antártica Chilena",8.97
"92","2017-01-06",12,"Magallanes y Antártica Chilena",9.49
"93","2017-01-06",13,"Maule",20.54
"94","2017-01-06",14,"Región Metropolitana de Santiago",16.6
"95","2017-01-06",15,"Tarapacá",14.65
"96","2017-01-06",16,"Valparaíso",17.21
"97","2017-01-07",1,"Aisén del General Carlos Ibáñez del Campo",7.36
"98","2017-01-07",2,"Antofagasta",15.84
"99","2017-01-07",3,"Araucanía",16.39
"100","2017-01-07",4,"Arica y Parinacota",9.87
"101","2017-01-07",5,"Atacama",14.51
"102","2017-01-07",6,"Bío-Bío",18.74
"103","2017-01-07",7,"Coquimbo",16.08
"104","2017-01-07",8,"Libertador General Bernardo O'Higgins",18.46
"105","2017-01-07",9,"Los Lagos",14.66
