"","date","ID_1","NAME_1","t2m"
"1","2014-01-01",1,"Famagusta",13.74
"2","2014-01-01",2,"Larnaca",9.95
"3","2014-01-01",3,"Limassol",8.39
"4","2014-01-01",4,"Nicosia",5.75
"5","2014-01-01",5,"Paphos",10.19
"6","2014-01-02",1,"Famagusta",14.35
"7","2014-01-02",2,"Larnaca",10.97
"8","2014-01-02",3,"Limassol",10.19
"9","2014-01-02",4,"Nicosia",6.81
"10","2014-01-02",5,"Paphos",11.63
"11","2014-01-03",1,"Famagusta",15.38
"12","2014-01-03",2,"Larnaca",12.78
"13","2014-01-03",3,"Limassol",11.78
"14","2014-01-03",4,"Nicosia",9.45
"15","2014-01-03",5,"Paphos",12.56
"16","2014-01-04",1,"Famagusta",15.35
"17","2014-01-04",2,"Larnaca",12.74
"18","2014-01-04",3,"Limassol",10.89
"19","2014-01-04",4,"Nicosia",8.92
"20","2014-01-04",5,"Paphos",12.08
"21","2014-01-05",1,"Famagusta",15.18
"22","2014-01-05",2,"Larnaca",12.9
"23","2014-01-05",3,"Limassol",11.31
"24","2014-01-05",4,"Nicosia",9.17
"25","2014-01-05",5,"Paphos",12.32
"26","2014-01-06",1,"Famagusta",14.57
"27","2014-01-06",2,"Larnaca",10.75
"28","2014-01-06",3,"Limassol",9.6
"29","2014-01-06",4,"Nicosia",6.21
"30","2014-01-06",5,"Paphos",11.54
"31","2014-01-07",1,"Famagusta",14.01
"32","2014-01-07",2,"Larnaca",10.5
"33","2014-01-07",3,"Limassol",9.5
"34","2014-01-07",4,"Nicosia",6.13
"35","2014-01-07",5,"Paphos",10.8
"36","2014-01-08",1,"Famagusta",14.21
"37","2014-01-08",2,"Larnaca",9.84
"38","2014-01-08",3,"Limassol",8.65
"39","2014-01-08",4,"Nicosia",4.85
"40","2014-01-08",5,"Paphos",10.48
"41","2014-01-09",1,"Famagusta",15.94
"42","2014-01-09",2,"Larnaca",12.05
"43","2014-01-09",3,"Limassol",10.6
"44","2014-01-09",4,"Nicosia",7.92
"45","2014-01-09",5,"Paphos",11.83
"46","2014-01-10",1,"Famagusta",14.63
"47","2014-01-10",2,"Larnaca",12.24
"48","2014-01-10",3,"Limassol",10.24
"49","2014-01-10",4,"Nicosia",7.84
"50","2014-01-10",5,"Paphos",11.61
"51","2014-01-11",1,"Famagusta",13.77
"52","2014-01-11",2,"Larnaca",10.16
"53","2014-01-11",3,"Limassol",9.4
"54","2014-01-11",4,"Nicosia",5.76
"55","2014-01-11",5,"Paphos",11.47
"56","2014-01-12",1,"Famagusta",14.02
"57","2014-01-12",2,"Larnaca",11.43
"58","2014-01-12",3,"Limassol",10.82
"59","2014-01-12",4,"Nicosia",7.34
"60","2014-01-12",5,"Paphos",12.15
"61","2014-01-13",1,"Famagusta",14.14
"62","2014-01-13",2,"Larnaca",11.76
"63","2014-01-13",3,"Limassol",10.95
"64","2014-01-13",4,"Nicosia",8.22
"65","2014-01-13",5,"Paphos",12.33
"66","2014-01-14",1,"Famagusta",14.89
"67","2014-01-14",2,"Larnaca",11.71
"68","2014-01-14",3,"Limassol",10.93
"69","2014-01-14",4,"Nicosia",8.36
"70","2014-01-14",5,"Paphos",11.91
"71","2014-01-15",1,"Famagusta",15.7
"72","2014-01-15",2,"Larnaca",12.52
"73","2014-01-15",3,"Limassol",10.73
"74","2014-01-15",4,"Nicosia",8.85
"75","2014-01-15",5,"Paphos",12.17
"76","2014-01-16",1,"Famagusta",16.39
"77","2014-01-16",2,"Larnaca",13.58
"78","2014-01-16",3,"Limassol",11.86
"79","2014-01-16",4,"Nicosia",9.82
"80","2014-01-16",5,"Paphos",12.76
"81","2014-01-17",1,"Famagusta",15.91
"82","2014-01-17",2,"Larnaca",13.59
"83","2014-01-17",3,"Limassol",12.36
"84","2014-01-17",4,"Nicosia",10.37
"85","2014-01-17",5,"Paphos",13.29
"86","2014-01-18",1,"Famagusta",14.71
"87","2014-01-18",2,"Larnaca",11.89
"88","2014-01-18",3,"Limassol",10.69
"89","2014-01-18",4,"Nicosia",8.09
"90","2014-01-18",5,"Paphos",12.49
"91","2014-01-19",1,"Famagusta",14.24
"92","2014-01-19",2,"Larnaca",11.91
"93","2014-01-19",3,"Limassol",11.08
"94","2014-01-19",4,"Nicosia",9.11
"95","2014-01-19",5,"Paphos",12.39
"96","2014-01-20",1,"Famagusta",14.62
"97","2014-01-20",2,"Larnaca",11.82
"98","2014-01-20",3,"Limassol",10.93
"99","2014-01-20",4,"Nicosia",8.88
"100","2014-01-20",5,"Paphos",11.95
"101","2014-01-21",1,"Famagusta",14.2
"102","2014-01-21",2,"Larnaca",11.3
"103","2014-01-21",3,"Limassol",10.31
"104","2014-01-21",4,"Nicosia",7.18
"105","2014-01-21",5,"Paphos",11.13
"106","2014-01-22",1,"Famagusta",14.72
"107","2014-01-22",2,"Larnaca",10.86
"108","2014-01-22",3,"Limassol",10.23
"109","2014-01-22",4,"Nicosia",7.53
"110","2014-01-22",5,"Paphos",12.12
"111","2014-01-23",1,"Famagusta",14.35
"112","2014-01-23",2,"Larnaca",12.87
"113","2014-01-23",3,"Limassol",12.83
"114","2014-01-23",4,"Nicosia",10.47
"115","2014-01-23",5,"Paphos",13.97
"116","2014-01-24",1,"Famagusta",13.89
"117","2014-01-24",2,"Larnaca",11.77
"118","2014-01-24",3,"Limassol",10.88
"119","2014-01-24",4,"Nicosia",8.07
"120","2014-01-24",5,"Paphos",12.41
"121","2014-01-25",1,"Famagusta",14.7
"122","2014-01-25",2,"Larnaca",11.96
"123","2014-01-25",3,"Limassol",11.25
"124","2014-01-25",4,"Nicosia",8.27
"125","2014-01-25",5,"Paphos",12.81
"126","2014-01-26",1,"Famagusta",15.78
"127","2014-01-26",2,"Larnaca",13.31
"128","2014-01-26",3,"Limassol",11.6
"129","2014-01-26",4,"Nicosia",10.52
"130","2014-01-26",5,"Paphos",13.67
"131","2014-01-27",1,"Famagusta",15.55
"132","2014-01-27",2,"Larnaca",13.2
"133","2014-01-27",3,"Limassol",12.22
"134","2014-01-27",4,"Nicosia",9.93
"135","2014-01-27",5,"Paphos",13.29
"136","2014-01-28",1,"Famagusta",13.68
"137","2014-01-28",2,"Larnaca",11.41
"138","2014-01-28",3,"Limassol",10.39
"139","2014-01-28",4,"Nicosia",8.88
"140","2014-01-28",5,"Paphos",11.47
"141","2014-01-29",1,"Famagusta",15.36
"142","2014-01-29",2,"Larnaca",12.51
"143","2014-01-29",3,"Limassol",11.03
"144","2014-01-29",4,"Nicosia",9.09
"145","2014-01-29",5,"Paphos",12.48
"146","2014-01-30",1,"Famagusta",15.21
"147","2014-01-30",2,"Larnaca",12.93
"148","2014-01-30",3,"Limassol",11.48
"149","2014-01-30",4,"Nicosia",9.53
"150","2014-01-30",5,"Paphos",12.62
"151","2014-01-31",1,"Famagusta",14.6
"152","2014-01-31",2,"Larnaca",11.55
"153","2014-01-31",3,"Limassol",10.37
"154","2014-01-31",4,"Nicosia",7.26
"155","2014-01-31",5,"Paphos",11.75
"156","2014-02-01",1,"Famagusta",15.11
"157","2014-02-01",2,"Larnaca",11.69
"158","2014-02-01",3,"Limassol",10.22
"159","2014-02-01",4,"Nicosia",7.62
"160","2014-02-01",5,"Paphos",12.05
"161","2014-02-02",1,"Famagusta",16.01
"162","2014-02-02",2,"Larnaca",13.52
"163","2014-02-02",3,"Limassol",11.73
"164","2014-02-02",4,"Nicosia",9.99
"165","2014-02-02",5,"Paphos",12.81
"166","2014-02-03",1,"Famagusta",13.42
"167","2014-02-03",2,"Larnaca",11.77
"168","2014-02-03",3,"Limassol",10.55
"169","2014-02-03",4,"Nicosia",8.89
"170","2014-02-03",5,"Paphos",11.18
"171","2014-02-04",1,"Famagusta",11.93
"172","2014-02-04",2,"Larnaca",8.59
"173","2014-02-04",3,"Limassol",6.81
"174","2014-02-04",4,"Nicosia",3.57
"175","2014-02-04",5,"Paphos",8.42
"176","2014-02-05",1,"Famagusta",11.74
"177","2014-02-05",2,"Larnaca",7.28
"178","2014-02-05",3,"Limassol",5.96
"179","2014-02-05",4,"Nicosia",1.56
"180","2014-02-05",5,"Paphos",7.78
"181","2014-02-06",1,"Famagusta",11.77
"182","2014-02-06",2,"Larnaca",7.52
"183","2014-02-06",3,"Limassol",6.59
"184","2014-02-06",4,"Nicosia",2.12
"185","2014-02-06",5,"Paphos",8.18
"186","2014-02-07",1,"Famagusta",12.68
"187","2014-02-07",2,"Larnaca",8.5
"188","2014-02-07",3,"Limassol",7.58
"189","2014-02-07",4,"Nicosia",3.32
"190","2014-02-07",5,"Paphos",9.02
"191","2014-02-08",1,"Famagusta",13.25
"192","2014-02-08",2,"Larnaca",8.92
"193","2014-02-08",3,"Limassol",7.51
"194","2014-02-08",4,"Nicosia",3.7
"195","2014-02-08",5,"Paphos",9.37
"196","2014-02-09",1,"Famagusta",13.38
"197","2014-02-09",2,"Larnaca",9.7
"198","2014-02-09",3,"Limassol",8.37
"199","2014-02-09",4,"Nicosia",5.3
"200","2014-02-09",5,"Paphos",9.88
"201","2014-02-10",1,"Famagusta",13.8
"202","2014-02-10",2,"Larnaca",10.19
"203","2014-02-10",3,"Limassol",8.93
"204","2014-02-10",4,"Nicosia",5.48
"205","2014-02-10",5,"Paphos",10.46
"206","2014-02-11",1,"Famagusta",13.94
"207","2014-02-11",2,"Larnaca",11.41
"208","2014-02-11",3,"Limassol",10.16
"209","2014-02-11",4,"Nicosia",7.89
"210","2014-02-11",5,"Paphos",12.07
"211","2014-02-12",1,"Famagusta",14.94
"212","2014-02-12",2,"Larnaca",11.45
"213","2014-02-12",3,"Limassol",9.92
"214","2014-02-12",4,"Nicosia",7.71
"215","2014-02-12",5,"Paphos",11.52
"216","2014-02-13",1,"Famagusta",16.91
"217","2014-02-13",2,"Larnaca",13.03
"218","2014-02-13",3,"Limassol",11.94
"219","2014-02-13",4,"Nicosia",9.39
"220","2014-02-13",5,"Paphos",12.8
"221","2014-02-14",1,"Famagusta",17.07
"222","2014-02-14",2,"Larnaca",14.82
"223","2014-02-14",3,"Limassol",13.1
"224","2014-02-14",4,"Nicosia",11.25
"225","2014-02-14",5,"Paphos",14.11
"226","2014-02-15",1,"Famagusta",13.55
"227","2014-02-15",2,"Larnaca",11.24
