"","date","ID_1","NAME_1","t2m"
"1","2021-01-01",1,"Ústecký",-1.98
"2","2021-01-01",2,"Jihočeský",-3.15
"3","2021-01-01",3,"Jihomoravský",-3.02
"4","2021-01-01",4,"Karlovarský",-1.67
"5","2021-01-01",5,"Královéhradecký",-2.66
"6","2021-01-01",6,"Kraj Vysočina",-2.79
"7","2021-01-01",7,"Liberecký",-1.65
"8","2021-01-01",8,"Moravskoslezský",-2.28
"9","2021-01-01",9,"Olomoucký",-4.11
"10","2021-01-01",10,"Pardubický",-3.18
"11","2021-01-01",11,"Plzeňský",-2.37
"12","2021-01-01",12,"Prague",-1.64
"13","2021-01-01",13,"Středočeský",-1.86
"14","2021-01-01",14,"Zlínský",-2.65
"15","2021-01-02",1,"Ústecký",-0.54
"16","2021-01-02",2,"Jihočeský",-3.16
"17","2021-01-02",3,"Jihomoravský",0.23
"18","2021-01-02",4,"Karlovarský",-1.42
"19","2021-01-02",5,"Královéhradecký",-1.38
"20","2021-01-02",6,"Kraj Vysočina",-2.27
"21","2021-01-02",7,"Liberecký",-0.86
"22","2021-01-02",8,"Moravskoslezský",0.12
"23","2021-01-02",9,"Olomoucký",-0.8
"24","2021-01-02",10,"Pardubický",-1.36
"25","2021-01-02",11,"Plzeňský",-2.16
"26","2021-01-02",12,"Prague",-2.33
"27","2021-01-02",13,"Středočeský",-1.88
"28","2021-01-02",14,"Zlínský",2.15
"29","2021-01-03",1,"Ústecký",0.51
"30","2021-01-03",2,"Jihočeský",0.09
"31","2021-01-03",3,"Jihomoravský",3.84
"32","2021-01-03",4,"Karlovarský",-1.03
"33","2021-01-03",5,"Královéhradecký",1.44
"34","2021-01-03",6,"Kraj Vysočina",1.68
"35","2021-01-03",7,"Liberecký",1.21
"36","2021-01-03",8,"Moravskoslezský",2.1
"37","2021-01-03",9,"Olomoucký",2.25
"38","2021-01-03",10,"Pardubický",2.08
"39","2021-01-03",11,"Plzeňský",-1.36
"40","2021-01-03",12,"Prague",1.09
"41","2021-01-03",13,"Středočeský",1.15
"42","2021-01-03",14,"Zlínský",4.62
"43","2021-01-04",1,"Ústecký",0.83
"44","2021-01-04",2,"Jihočeský",-1.16
"45","2021-01-04",3,"Jihomoravský",4.32
"46","2021-01-04",4,"Karlovarský",-0.49
"47","2021-01-04",5,"Královéhradecký",2.17
"48","2021-01-04",6,"Kraj Vysočina",1.11
"49","2021-01-04",7,"Liberecký",1.34
"50","2021-01-04",8,"Moravskoslezský",3.24
"51","2021-01-04",9,"Olomoucký",3.26
"52","2021-01-04",10,"Pardubický",2.59
"53","2021-01-04",11,"Plzeňský",-0.87
"54","2021-01-04",12,"Prague",0.33
"55","2021-01-04",13,"Středočeský",0.58
"56","2021-01-04",14,"Zlínský",4.4
"57","2021-01-05",1,"Ústecký",0.97
"58","2021-01-05",2,"Jihočeský",0.74
"59","2021-01-05",3,"Jihomoravský",2.94
"60","2021-01-05",4,"Karlovarský",0.02
"61","2021-01-05",5,"Královéhradecký",0.82
"62","2021-01-05",6,"Kraj Vysočina",1.79
"63","2021-01-05",7,"Liberecký",0.58
"64","2021-01-05",8,"Moravskoslezský",1.08
"65","2021-01-05",9,"Olomoucký",1.34
"66","2021-01-05",10,"Pardubický",1.27
"67","2021-01-05",11,"Plzeňský",0.21
"68","2021-01-05",12,"Prague",2.76
"69","2021-01-05",13,"Středočeský",2.23
"70","2021-01-05",14,"Zlínský",1.93
"71","2021-01-06",1,"Ústecký",-0.37
"72","2021-01-06",2,"Jihočeský",-0.08
"73","2021-01-06",3,"Jihomoravský",2.04
"74","2021-01-06",4,"Karlovarský",-1.42
"75","2021-01-06",5,"Královéhradecký",-0.68
"76","2021-01-06",6,"Kraj Vysočina",0.08
"77","2021-01-06",7,"Liberecký",-0.49
"78","2021-01-06",8,"Moravskoslezský",-0.75
"79","2021-01-06",9,"Olomoucký",-1.1
"80","2021-01-06",10,"Pardubický",-0.83
"81","2021-01-06",11,"Plzeňský",-0.72
"82","2021-01-06",12,"Prague",-0.16
"83","2021-01-06",13,"Středočeský",-0.24
"84","2021-01-06",14,"Zlínský",1.77
"85","2021-01-07",1,"Ústecký",-0.95
"86","2021-01-07",2,"Jihočeský",-1.17
"87","2021-01-07",3,"Jihomoravský",-0.01
"88","2021-01-07",4,"Karlovarský",-1.75
"89","2021-01-07",5,"Královéhradecký",-0.77
"90","2021-01-07",6,"Kraj Vysočina",-1.09
"91","2021-01-07",7,"Liberecký",-1.03
"92","2021-01-07",8,"Moravskoslezský",-0.18
"93","2021-01-07",9,"Olomoucký",-0.83
"94","2021-01-07",10,"Pardubický",-0.67
"95","2021-01-07",11,"Plzeňský",-1.37
"96","2021-01-07",12,"Prague",-0.55
"97","2021-01-07",13,"Středočeský",-0.62
"98","2021-01-07",14,"Zlínský",-0.01
"99","2021-01-08",1,"Ústecký",-0.25
"100","2021-01-08",2,"Jihočeský",-1.84
"101","2021-01-08",3,"Jihomoravský",-1.63
"102","2021-01-08",4,"Karlovarský",-1.4
"103","2021-01-08",5,"Královéhradecký",-3.58
"104","2021-01-08",6,"Kraj Vysočina",-3.44
"105","2021-01-08",7,"Liberecký",-2.93
"106","2021-01-08",8,"Moravskoslezský",-0.71
"107","2021-01-08",9,"Olomoucký",-2.14
"108","2021-01-08",10,"Pardubický",-3.57
"109","2021-01-08",11,"Plzeňský",-0.8
"110","2021-01-08",12,"Prague",0.69
"111","2021-01-08",13,"Středočeský",0.09
"112","2021-01-08",14,"Zlínský",0.12
"113","2021-01-09",1,"Ústecký",-0.82
"114","2021-01-09",2,"Jihočeský",-2.2
"115","2021-01-09",3,"Jihomoravský",-1.61
"116","2021-01-09",4,"Karlovarský",-3.06
"117","2021-01-09",5,"Královéhradecký",-2.48
"118","2021-01-09",6,"Kraj Vysočina",-3.45
"119","2021-01-09",7,"Liberecký",-0.69
"120","2021-01-09",8,"Moravskoslezský",-0.91
"121","2021-01-09",9,"Olomoucký",-3.05
"122","2021-01-09",10,"Pardubický",-4.67
"123","2021-01-09",11,"Plzeňský",-2.87
"124","2021-01-09",12,"Prague",-0.95
"125","2021-01-09",13,"Středočeský",-1.16
"126","2021-01-09",14,"Zlínský",0
"127","2021-01-10",1,"Ústecký",-0.33
"128","2021-01-10",2,"Jihočeský",-4.84
"129","2021-01-10",3,"Jihomoravský",-3.2
"130","2021-01-10",4,"Karlovarský",-3.06
"131","2021-01-10",5,"Královéhradecký",-3.01
"132","2021-01-10",6,"Kraj Vysočina",-5.58
"133","2021-01-10",7,"Liberecký",-1.06
"134","2021-01-10",8,"Moravskoslezský",-2.41
"135","2021-01-10",9,"Olomoucký",-4.76
"136","2021-01-10",10,"Pardubický",-5.7
"137","2021-01-10",11,"Plzeňský",-3.23
"138","2021-01-10",12,"Prague",-0.31
"139","2021-01-10",13,"Středočeský",-0.94
"140","2021-01-10",14,"Zlínský",-0.89
"141","2021-01-11",1,"Ústecký",-4.82
"142","2021-01-11",2,"Jihočeský",-7.08
"143","2021-01-11",3,"Jihomoravský",-3.74
"144","2021-01-11",4,"Karlovarský",-6.87
"145","2021-01-11",5,"Královéhradecký",-4.55
"146","2021-01-11",6,"Kraj Vysočina",-3.91
"147","2021-01-11",7,"Liberecký",-4.24
"148","2021-01-11",8,"Moravskoslezský",-4.4
"149","2021-01-11",9,"Olomoucký",-5.66
"150","2021-01-11",10,"Pardubický",-4.83
"151","2021-01-11",11,"Plzeňský",-5.96
"152","2021-01-11",12,"Prague",-3.42
"153","2021-01-11",13,"Středočeský",-3.66
"154","2021-01-11",14,"Zlínský",-4.94
"155","2021-01-12",1,"Ústecký",-3.09
"156","2021-01-12",2,"Jihočeský",-7.71
"157","2021-01-12",3,"Jihomoravský",-5.94
"158","2021-01-12",4,"Karlovarský",-5.58
"159","2021-01-12",5,"Královéhradecký",-5.8
"160","2021-01-12",6,"Kraj Vysočina",-8.29
"161","2021-01-12",7,"Liberecký",-4.55
"162","2021-01-12",8,"Moravskoslezský",-5.4
"163","2021-01-12",9,"Olomoucký",-6.57
"164","2021-01-12",10,"Pardubický",-8.05
"165","2021-01-12",11,"Plzeňský",-6.04
"166","2021-01-12",12,"Prague",-4.35
"167","2021-01-12",13,"Středočeský",-4.79
"168","2021-01-12",14,"Zlínský",-5.18
"169","2021-01-13",1,"Ústecký",-0.39
"170","2021-01-13",2,"Jihočeský",-0.26
"171","2021-01-13",3,"Jihomoravský",0.79
"172","2021-01-13",4,"Karlovarský",-1.74
"173","2021-01-13",5,"Královéhradecký",-1.04
"174","2021-01-13",6,"Kraj Vysočina",-0.41
"175","2021-01-13",7,"Liberecký",-0.65
"176","2021-01-13",8,"Moravskoslezský",-0.54
"177","2021-01-13",9,"Olomoucký",-0.63
"178","2021-01-13",10,"Pardubický",-0.74
"179","2021-01-13",11,"Plzeňský",-0.55
"180","2021-01-13",12,"Prague",0.7
"181","2021-01-13",13,"Středočeský",0.41
"182","2021-01-13",14,"Zlínský",-0.7
"183","2021-01-14",1,"Ústecký",-1.1
"184","2021-01-14",2,"Jihočeský",-1.25
"185","2021-01-14",3,"Jihomoravský",-0.5
"186","2021-01-14",4,"Karlovarský",-1.99
"187","2021-01-14",5,"Královéhradecký",-1.75
"188","2021-01-14",6,"Kraj Vysočina",-1.8
"189","2021-01-14",7,"Liberecký",-1.97
"190","2021-01-14",8,"Moravskoslezský",-0.93
"191","2021-01-14",9,"Olomoucký",-1.56
"192","2021-01-14",10,"Pardubický",-1.54
"193","2021-01-14",11,"Plzeňský",-1.3
"194","2021-01-14",12,"Prague",-0.28
"195","2021-01-14",13,"Středočeský",-0.6
"196","2021-01-14",14,"Zlínský",-1.23
"197","2021-01-15",1,"Ústecký",-0.73
"198","2021-01-15",2,"Jihočeský",-2.59
"199","2021-01-15",3,"Jihomoravský",-0.86
"200","2021-01-15",4,"Karlovarský",-3.73
"201","2021-01-15",5,"Královéhradecký",-2.23
"202","2021-01-15",6,"Kraj Vysočina",-2.21
"203","2021-01-15",7,"Liberecký",-1.44
"204","2021-01-15",8,"Moravskoslezský",-2.4
"205","2021-01-15",9,"Olomoucký",-1.92
"206","2021-01-15",10,"Pardubický",-1.84
"207","2021-01-15",11,"Plzeňský",-3.9
"208","2021-01-15",12,"Prague",-0.47
"209","2021-01-15",13,"Středočeský",-0.79
"210","2021-01-15",14,"Zlínský",-2.1
"211","2021-01-16",1,"Ústecký",-4.03
"212","2021-01-16",2,"Jihočeský",-4.33
"213","2021-01-16",3,"Jihomoravský",-3.52
"214","2021-01-16",4,"Karlovarský",-4.58
"215","2021-01-16",5,"Královéhradecký",-3.78
"216","2021-01-16",6,"Kraj Vysočina",-4.48
"217","2021-01-16",7,"Liberecký",-4.6
"218","2021-01-16",8,"Moravskoslezský",-4.57
"219","2021-01-16",9,"Olomoucký",-4.76
"220","2021-01-16",10,"Pardubický",-3.89
"221","2021-01-16",11,"Plzeňský",-4.48
"222","2021-01-16",12,"Prague",-3.32
"223","2021-01-16",13,"Středočeský",-3.32
"224","2021-01-16",14,"Zlínský",-7.44
"225","2021-01-17",1,"Ústecký",-6.01
"226","2021-01-17",2,"Jihočeský",-7.31
"227","2021-01-17",3,"Jihomoravský",-5.04
"228","2021-01-17",4,"Karlovarský",-6.88
"229","2021-01-17",5,"Královéhradecký",-5.01
"230","2021-01-17",6,"Kraj Vysočina",-7.43
"231","2021-01-17",7,"Liberecký",-5.95
"232","2021-01-17",8,"Moravskoslezský",-5.39
"233","2021-01-17",9,"Olomoucký",-5.87
"234","2021-01-17",10,"Pardubický",-5.91
"235","2021-01-17",11,"Plzeňský",-6.34
"236","2021-01-17",12,"Prague",-6.21
"237","2021-01-17",13,"Středočeský",-5.71
"238","2021-01-17",14,"Zlínský",-6.49
"239","2021-01-18",1,"Ústecký",-6.2
"240","2021-01-18",2,"Jihočeský",-8.91
"241","2021-01-18",3,"Jihomoravský",-8.22
"242","2021-01-18",4,"Karlovarský",-4.66
"243","2021-01-18",5,"Královéhradecký",-11.51
"244","2021-01-18",6,"Kraj Vysočina",-8.54
"245","2021-01-18",7,"Liberecký",-7.78
"246","2021-01-18",8,"Moravskoslezský",-15.59
"247","2021-01-18",9,"Olomoucký",-13.17
"248","2021-01-18",10,"Pardubický",-10.87
"249","2021-01-18",11,"Plzeňský",-4.77
"250","2021-01-18",12,"Prague",-7.08
"251","2021-01-18",13,"Středočeský",-6.05
"252","2021-01-18",14,"Zlínský",-17.61
"253","2021-01-19",1,"Ústecký",1.14
"254","2021-01-19",2,"Jihočeský",-0.1
"255","2021-01-19",3,"Jihomoravský",-0.1
"256","2021-01-19",4,"Karlovarský",0.01
"257","2021-01-19",5,"Královéhradecký",-1.11
"258","2021-01-19",6,"Kraj Vysočina",-0.59
"259","2021-01-19",7,"Liberecký",-0.35
"260","2021-01-19",8,"Moravskoslezský",-4.45
"261","2021-01-19",9,"Olomoucký",-3.71
"262","2021-01-19",10,"Pardubický",-0.96
"263","2021-01-19",11,"Plzeňský",0.31
"264","2021-01-19",12,"Prague",1.07
