"","date","ID_0","NAME_0","t2m"
"1","2020-01-01",1,"Denmark",4.38
"2","2020-01-02",1,"Denmark",4.01
"3","2020-01-03",1,"Denmark",5.31
"4","2020-01-04",1,"Denmark",5.56
"5","2020-01-05",1,"Denmark",1.02
"6","2020-01-06",1,"Denmark",6.4
"7","2020-01-07",1,"Denmark",4.83
"8","2020-01-08",1,"Denmark",7.14
"9","2020-01-09",1,"Denmark",4.8
"10","2020-01-10",1,"Denmark",7.24
"11","2020-01-11",1,"Denmark",2.43
"12","2020-01-12",1,"Denmark",7.36
"13","2020-01-13",1,"Denmark",5.44
"14","2020-01-14",1,"Denmark",5.37
"15","2020-01-15",1,"Denmark",10.04
"16","2020-01-16",1,"Denmark",6.64
"17","2020-01-17",1,"Denmark",5.8
"18","2020-01-18",1,"Denmark",6.93
"19","2020-01-19",1,"Denmark",4.05
"20","2020-01-20",1,"Denmark",3.99
"21","2020-01-21",1,"Denmark",6.27
"22","2020-01-22",1,"Denmark",5.94
"23","2020-01-23",1,"Denmark",2.52
"24","2020-01-24",1,"Denmark",6.11
"25","2020-01-25",1,"Denmark",5.53
"26","2020-01-26",1,"Denmark",5.1
"27","2020-01-27",1,"Denmark",4.38
"28","2020-01-28",1,"Denmark",5.25
"29","2020-01-29",1,"Denmark",4.38
"30","2020-01-30",1,"Denmark",4.94
"31","2020-01-31",1,"Denmark",7.5
"32","2020-02-01",1,"Denmark",8.06
"33","2020-02-02",1,"Denmark",6.27
"34","2020-02-03",1,"Denmark",2.88
"35","2020-02-04",1,"Denmark",4.5
"36","2020-02-05",1,"Denmark",1.19
"37","2020-02-06",1,"Denmark",5.6
"38","2020-02-07",1,"Denmark",4.89
"39","2020-02-08",1,"Denmark",4.27
"40","2020-02-09",1,"Denmark",5.71
"41","2020-02-10",1,"Denmark",7.84
"42","2020-02-11",1,"Denmark",3
"43","2020-02-12",1,"Denmark",3.57
"44","2020-02-13",1,"Denmark",3.52
