"","date","ID_1","NAME_1","t2m"
"1","2014-01-01",1,"Andalucía",8.46
"2","2014-01-01",2,"Aragón",2.86
"3","2014-01-01",3,"Cantabria",7.47
"4","2014-01-01",4,"Castilla-La Mancha",6.12
"5","2014-01-01",5,"Castilla y León",5.98
"6","2014-01-01",6,"Cataluña",1.14
"7","2014-01-01",7,"Ceuta y Melilla",12.71
"8","2014-01-01",8,"Comunidad de Madrid",4.68
"9","2014-01-01",9,"Comunidad Foral de Navarra",3.93
"10","2014-01-01",10,"Comunidad Valenciana",6.99
"11","2014-01-01",11,"Extremadura",9.47
"12","2014-01-01",12,"Galicia",8.77
"13","2014-01-01",13,"Islas Baleares",10.76
"14","2014-01-01",14,"Islas Canarias",15.08
"15","2014-01-01",15,"La Rioja",4.88
"16","2014-01-01",16,"País Vasco",7.46
"17","2014-01-01",17,"Principado de Asturias",7.5
"18","2014-01-01",18,"Región de Murcia",6.32
"19","2014-01-02",1,"Andalucía",11.57
"20","2014-01-02",2,"Aragón",7.36
"21","2014-01-02",3,"Cantabria",10.61
"22","2014-01-02",4,"Castilla-La Mancha",8.25
"23","2014-01-02",5,"Castilla y León",8.45
"24","2014-01-02",6,"Cataluña",6.47
"25","2014-01-02",7,"Ceuta y Melilla",14.32
"26","2014-01-02",8,"Comunidad de Madrid",8.13
"27","2014-01-02",9,"Comunidad Foral de Navarra",8.12
"28","2014-01-02",10,"Comunidad Valenciana",10.96
"29","2014-01-02",11,"Extremadura",10.97
"30","2014-01-02",12,"Galicia",10.74
"31","2014-01-02",13,"Islas Baleares",14.19
"32","2014-01-02",14,"Islas Canarias",14.24
"33","2014-01-02",15,"La Rioja",8.1
"34","2014-01-02",16,"País Vasco",10.91
"35","2014-01-02",17,"Principado de Asturias",9.94
"36","2014-01-02",18,"Región de Murcia",10.82
"37","2014-01-03",1,"Andalucía",13.08
"38","2014-01-03",2,"Aragón",9.99
"39","2014-01-03",3,"Cantabria",12.08
"40","2014-01-03",4,"Castilla-La Mancha",11.23
"41","2014-01-03",5,"Castilla y León",10.25
"42","2014-01-03",6,"Cataluña",8.69
"43","2014-01-03",7,"Ceuta y Melilla",15.15
"44","2014-01-03",8,"Comunidad de Madrid",10.78
"45","2014-01-03",9,"Comunidad Foral de Navarra",10.31
"46","2014-01-03",10,"Comunidad Valenciana",13.29
"47","2014-01-03",11,"Extremadura",12.88
"48","2014-01-03",12,"Galicia",12.06
"49","2014-01-03",13,"Islas Baleares",14.44
"50","2014-01-03",14,"Islas Canarias",15.09
"51","2014-01-03",15,"La Rioja",10.76
"52","2014-01-03",16,"País Vasco",12.95
"53","2014-01-03",17,"Principado de Asturias",11.53
"54","2014-01-03",18,"Región de Murcia",12.9
"55","2014-01-04",1,"Andalucía",12.76
"56","2014-01-04",2,"Aragón",9.26
"57","2014-01-04",3,"Cantabria",10.32
"58","2014-01-04",4,"Castilla-La Mancha",10.81
"59","2014-01-04",5,"Castilla y León",8
"60","2014-01-04",6,"Cataluña",8.44
"61","2014-01-04",7,"Ceuta y Melilla",15.2
"62","2014-01-04",8,"Comunidad de Madrid",9.97
"63","2014-01-04",9,"Comunidad Foral de Navarra",10.09
"64","2014-01-04",10,"Comunidad Valenciana",12.21
"65","2014-01-04",11,"Extremadura",11.61
"66","2014-01-04",12,"Galicia",9.28
"67","2014-01-04",13,"Islas Baleares",14.45
"68","2014-01-04",14,"Islas Canarias",15.82
"69","2014-01-04",15,"La Rioja",9
"70","2014-01-04",16,"País Vasco",11.21
"71","2014-01-04",17,"Principado de Asturias",8.71
"72","2014-01-04",18,"Región de Murcia",11.29
"73","2014-01-05",1,"Andalucía",8.25
"74","2014-01-05",2,"Aragón",2.86
"75","2014-01-05",3,"Cantabria",4.09
"76","2014-01-05",4,"Castilla-La Mancha",3.48
"77","2014-01-05",5,"Castilla y León",1.49
"78","2014-01-05",6,"Cataluña",4.72
"79","2014-01-05",7,"Ceuta y Melilla",15.09
"80","2014-01-05",8,"Comunidad de Madrid",2.76
"81","2014-01-05",9,"Comunidad Foral de Navarra",2.83
"82","2014-01-05",10,"Comunidad Valenciana",7.47
"83","2014-01-05",11,"Extremadura",4.83
"84","2014-01-05",12,"Galicia",5.67
"85","2014-01-05",13,"Islas Baleares",12.43
"86","2014-01-05",14,"Islas Canarias",16.52
"87","2014-01-05",15,"La Rioja",2.02
"88","2014-01-05",16,"País Vasco",4.74
"89","2014-01-05",17,"Principado de Asturias",4.36
"90","2014-01-05",18,"Región de Murcia",9.53
"91","2014-01-06",1,"Andalucía",6.94
"92","2014-01-06",2,"Aragón",5.96
"93","2014-01-06",3,"Cantabria",11.89
"94","2014-01-06",4,"Castilla-La Mancha",7.11
"95","2014-01-06",5,"Castilla y León",7.97
"96","2014-01-06",6,"Cataluña",5.71
"97","2014-01-06",7,"Ceuta y Melilla",13.6
"98","2014-01-06",8,"Comunidad de Madrid",7.02
"99","2014-01-06",9,"Comunidad Foral de Navarra",7.52
"100","2014-01-06",10,"Comunidad Valenciana",10.06
"101","2014-01-06",11,"Extremadura",8.63
"102","2014-01-06",12,"Galicia",12.13
"103","2014-01-06",13,"Islas Baleares",13.48
"104","2014-01-06",14,"Islas Canarias",15.15
"105","2014-01-06",15,"La Rioja",8.4
"106","2014-01-06",16,"País Vasco",12.11
"107","2014-01-06",17,"Principado de Asturias",12.31
"108","2014-01-06",18,"Región de Murcia",8.5
"109","2014-01-07",1,"Andalucía",6.54
"110","2014-01-07",2,"Aragón",5.49
"111","2014-01-07",3,"Cantabria",11.69
"112","2014-01-07",4,"Castilla-La Mancha",4.54
"113","2014-01-07",5,"Castilla y León",8.57
"114","2014-01-07",6,"Cataluña",6.26
"115","2014-01-07",7,"Ceuta y Melilla",13.49
"116","2014-01-07",8,"Comunidad de Madrid",6.78
"117","2014-01-07",9,"Comunidad Foral de Navarra",9.19
"118","2014-01-07",10,"Comunidad Valenciana",7.54
"119","2014-01-07",11,"Extremadura",9.31
"120","2014-01-07",12,"Galicia",9.58
"121","2014-01-07",13,"Islas Baleares",12.8
"122","2014-01-07",14,"Islas Canarias",15.19
"123","2014-01-07",15,"La Rioja",8.58
"124","2014-01-07",16,"País Vasco",11.38
"125","2014-01-07",17,"Principado de Asturias",10.05
"126","2014-01-07",18,"Región de Murcia",6.1
"127","2014-01-08",1,"Andalucía",5.7
"128","2014-01-08",2,"Aragón",5.83
"129","2014-01-08",3,"Cantabria",11.43
