"","date","ID_1","NAME_1","t2m"
"1","2019-01-01",1,"England",8.43
"2","2019-01-01",2,"Northern Ireland",9.75
"3","2019-01-01",3,"Scotland",7.88
"4","2019-01-01",4,"Wales",8.39
"5","2019-01-02",1,"England",3.63
"6","2019-01-02",2,"Northern Ireland",2.46
"7","2019-01-02",3,"Scotland",0.96
"8","2019-01-02",4,"Wales",3.48
"9","2019-01-03",1,"England",2.55
"10","2019-01-03",2,"Northern Ireland",5.1
"11","2019-01-03",3,"Scotland",0.62
"12","2019-01-03",4,"Wales",1.19
"13","2019-01-04",1,"England",1.08
"14","2019-01-04",2,"Northern Ireland",6.39
"15","2019-01-04",3,"Scotland",4.34
"16","2019-01-04",4,"Wales",0
"17","2019-01-05",1,"England",2.94
"18","2019-01-05",2,"Northern Ireland",4.54
"19","2019-01-05",3,"Scotland",4.94
"20","2019-01-05",4,"Wales",1.14
"21","2019-01-06",1,"England",4.97
"22","2019-01-06",2,"Northern Ireland",7.61
"23","2019-01-06",3,"Scotland",5.87
"24","2019-01-06",4,"Wales",5.97
"25","2019-01-07",1,"England",7.27
"26","2019-01-07",2,"Northern Ireland",10.1
"27","2019-01-07",3,"Scotland",7.15
"28","2019-01-07",4,"Wales",8.21
"29","2019-01-08",1,"England",7.9
"30","2019-01-08",2,"Northern Ireland",7.51
"31","2019-01-08",3,"Scotland",6.56
"32","2019-01-08",4,"Wales",6.89
"33","2019-01-09",1,"England",3.29
"34","2019-01-09",2,"Northern Ireland",5.76
"35","2019-01-09",3,"Scotland",2.72
"36","2019-01-09",4,"Wales",4.72
"37","2019-01-10",1,"England",0.91
"38","2019-01-10",2,"Northern Ireland",7.45
"39","2019-01-10",3,"Scotland",5.67
"40","2019-01-10",4,"Wales",0.12
"41","2019-01-11",1,"England",6.03
"42","2019-01-11",2,"Northern Ireland",7.51
"43","2019-01-11",3,"Scotland",7.35
"44","2019-01-11",4,"Wales",6.58
"45","2019-01-12",1,"England",7.01
"46","2019-01-12",2,"Northern Ireland",8.87
"47","2019-01-12",3,"Scotland",7.6
"48","2019-01-12",4,"Wales",8.11
"49","2019-01-13",1,"England",9.84
"50","2019-01-13",2,"Northern Ireland",9.51
"51","2019-01-13",3,"Scotland",9.44
"52","2019-01-13",4,"Wales",9.31
"53","2019-01-14",1,"England",7.34
"54","2019-01-14",2,"Northern Ireland",7.47
"55","2019-01-14",3,"Scotland",4.23
"56","2019-01-14",4,"Wales",7.22
"57","2019-01-15",1,"England",5.08
"58","2019-01-15",2,"Northern Ireland",8.27
"59","2019-01-15",3,"Scotland",7.86
"60","2019-01-15",4,"Wales",6.43
"61","2019-01-16",1,"England",8.11
"62","2019-01-16",2,"Northern Ireland",8.42
"63","2019-01-16",3,"Scotland",7.68
"64","2019-01-16",4,"Wales",8.24
"65","2019-01-17",1,"England",3.3
"66","2019-01-17",2,"Northern Ireland",4.04
"67","2019-01-17",3,"Scotland",1.26
"68","2019-01-17",4,"Wales",3.72
"69","2019-01-18",1,"England",-0.35
"70","2019-01-18",2,"Northern Ireland",1.95
"71","2019-01-18",3,"Scotland",-0.68
"72","2019-01-18",4,"Wales",0.3
"73","2019-01-19",1,"England",2.75
"74","2019-01-19",2,"Northern Ireland",5.03
"75","2019-01-19",3,"Scotland",1.48
"76","2019-01-19",4,"Wales",4.76
"77","2019-01-20",1,"England",2.67
"78","2019-01-20",2,"Northern Ireland",4.78
"79","2019-01-20",3,"Scotland",0.86
"80","2019-01-20",4,"Wales",4.54
"81","2019-01-21",1,"England",1.64
"82","2019-01-21",2,"Northern Ireland",0.59
"83","2019-01-21",3,"Scotland",1.54
"84","2019-01-21",4,"Wales",2.82
"85","2019-01-22",1,"England",4.04
"86","2019-01-22",2,"Northern Ireland",2.09
"87","2019-01-22",3,"Scotland",1.96
"88","2019-01-22",4,"Wales",3.3
"89","2019-01-23",1,"England",-0.16
"90","2019-01-23",2,"Northern Ireland",1.04
"91","2019-01-23",3,"Scotland",-1.6
"92","2019-01-23",4,"Wales",1.19
"93","2019-01-24",1,"England",-0.52
"94","2019-01-24",2,"Northern Ireland",4.7
"95","2019-01-24",3,"Scotland",0.61
"96","2019-01-24",4,"Wales",2.34
"97","2019-01-25",1,"England",3.2
"98","2019-01-25",2,"Northern Ireland",9.41
"99","2019-01-25",3,"Scotland",3.98
"100","2019-01-25",4,"Wales",7.49
"101","2019-01-26",1,"England",8.02
"102","2019-01-26",2,"Northern Ireland",8.37
"103","2019-01-26",3,"Scotland",6.28
"104","2019-01-26",4,"Wales",7.82
"105","2019-01-27",1,"England",6.42
"106","2019-01-27",2,"Northern Ireland",4.5
"107","2019-01-27",3,"Scotland",2.77
"108","2019-01-27",4,"Wales",5.96
"109","2019-01-28",1,"England",2.69
"110","2019-01-28",2,"Northern Ireland",2.28
"111","2019-01-28",3,"Scotland",1.11
"112","2019-01-28",4,"Wales",2.6
"113","2019-01-29",1,"England",0.17
"114","2019-01-29",2,"Northern Ireland",2.65
"115","2019-01-29",3,"Scotland",1.2
"116","2019-01-29",4,"Wales",2.09
"117","2019-01-30",1,"England",0.59
"118","2019-01-30",2,"Northern Ireland",0.76
"119","2019-01-30",3,"Scotland",-1.17
"120","2019-01-30",4,"Wales",0.7
"121","2019-01-31",1,"England",-2.59
"122","2019-01-31",2,"Northern Ireland",-1.81
"123","2019-01-31",3,"Scotland",-1.64
"124","2019-01-31",4,"Wales",-2.88
"125","2019-02-01",1,"England",-0.44
"126","2019-02-01",2,"Northern Ireland",0.64
"127","2019-02-01",3,"Scotland",-3.31
"128","2019-02-01",4,"Wales",-0.29
"129","2019-02-02",1,"England",0.38
"130","2019-02-02",2,"Northern Ireland",2.07
"131","2019-02-02",3,"Scotland",0
"132","2019-02-02",4,"Wales",-0.39
"133","2019-02-03",1,"England",-1.48
"134","2019-02-03",2,"Northern Ireland",-0.31
"135","2019-02-03",3,"Scotland",-2.22
"136","2019-02-03",4,"Wales",-1.64
"137","2019-02-04",1,"England",5.18
"138","2019-02-04",2,"Northern Ireland",7.18
"139","2019-02-04",3,"Scotland",3.51
"140","2019-02-04",4,"Wales",6.34
"141","2019-02-05",1,"England",2.22
"142","2019-02-05",2,"Northern Ireland",0.96
"143","2019-02-05",3,"Scotland",2.09
"144","2019-02-05",4,"Wales",0.41
"145","2019-02-06",1,"England",8
"146","2019-02-06",2,"Northern Ireland",4.74
"147","2019-02-06",3,"Scotland",5.02
"148","2019-02-06",4,"Wales",7.99
"149","2019-02-07",1,"England",6.5
"150","2019-02-07",2,"Northern Ireland",5.81
"151","2019-02-07",3,"Scotland",3.54
"152","2019-02-07",4,"Wales",6.14
"153","2019-02-08",1,"England",6.11
"154","2019-02-08",2,"Northern Ireland",6.56
"155","2019-02-08",3,"Scotland",3.73
"156","2019-02-08",4,"Wales",7.36
"157","2019-02-09",1,"England",6.39
"158","2019-02-09",2,"Northern Ireland",5.75
"159","2019-02-09",3,"Scotland",5.49
"160","2019-02-09",4,"Wales",5.6
"161","2019-02-10",1,"England",5.39
"162","2019-02-10",2,"Northern Ireland",3.55
"163","2019-02-10",3,"Scotland",3.34
"164","2019-02-10",4,"Wales",5.32
"165","2019-02-11",1,"England",3.49
"166","2019-02-11",2,"Northern Ireland",4.94
"167","2019-02-11",3,"Scotland",3.06
"168","2019-02-11",4,"Wales",4.85
"169","2019-02-12",1,"England",2.38
"170","2019-02-12",2,"Northern Ireland",6.28
"171","2019-02-12",3,"Scotland",5.23
"172","2019-02-12",4,"Wales",3.12
"173","2019-02-13",1,"England",7.77
"174","2019-02-13",2,"Northern Ireland",10.23
"175","2019-02-13",3,"Scotland",6.88
"176","2019-02-13",4,"Wales",8.31
"177","2019-02-14",1,"England",5.33
"178","2019-02-14",2,"Northern Ireland",9.02
"179","2019-02-14",3,"Scotland",8.93
"180","2019-02-14",4,"Wales",6.34
"181","2019-02-15",1,"England",3.57
"182","2019-02-15",2,"Northern Ireland",6.02
"183","2019-02-15",3,"Scotland",5.87
"184","2019-02-15",4,"Wales",3.21
"185","2019-02-16",1,"England",6.98
"186","2019-02-16",2,"Northern Ireland",10
"187","2019-02-16",3,"Scotland",8.73
"188","2019-02-16",4,"Wales",9
"189","2019-02-17",1,"England",9.32
"190","2019-02-17",2,"Northern Ireland",10.48
"191","2019-02-17",3,"Scotland",8.62
"192","2019-02-17",4,"Wales",9.21
"193","2019-02-18",1,"England",8.18
"194","2019-02-18",2,"Northern Ireland",7.69
"195","2019-02-18",3,"Scotland",7.23
"196","2019-02-18",4,"Wales",8.12
"197","2019-02-19",1,"England",5.68
"198","2019-02-19",2,"Northern Ireland",6.59
"199","2019-02-19",3,"Scotland",5.73
"200","2019-02-19",4,"Wales",6.3
"201","2019-02-20",1,"England",7.09
"202","2019-02-20",2,"Northern Ireland",9.61
"203","2019-02-20",3,"Scotland",6.6
"204","2019-02-20",4,"Wales",7.44
"205","2019-02-21",1,"England",8.48
"206","2019-02-21",2,"Northern Ireland",11.15
"207","2019-02-21",3,"Scotland",8.32
"208","2019-02-21",4,"Wales",9.25
"209","2019-02-22",1,"England",7.21
"210","2019-02-22",2,"Northern Ireland",10.14
"211","2019-02-22",3,"Scotland",8.11
"212","2019-02-22",4,"Wales",7.75
"213","2019-02-23",1,"England",7.13
"214","2019-02-23",2,"Northern Ireland",10.91
"215","2019-02-23",3,"Scotland",10.17
"216","2019-02-23",4,"Wales",7.29
"217","2019-02-24",1,"England",6.52
"218","2019-02-24",2,"Northern Ireland",4.59
"219","2019-02-24",3,"Scotland",6.73
"220","2019-02-24",4,"Wales",6.92
"221","2019-02-25",1,"England",4.85
"222","2019-02-25",2,"Northern Ireland",9.73
"223","2019-02-25",3,"Scotland",8.72
"224","2019-02-25",4,"Wales",5.46
"225","2019-02-26",1,"England",5.48
"226","2019-02-26",2,"Northern Ireland",7.45
"227","2019-02-26",3,"Scotland",7.24
"228","2019-02-26",4,"Wales",5.12
"229","2019-02-27",1,"England",5.44
"230","2019-02-27",2,"Northern Ireland",5.79
"231","2019-02-27",3,"Scotland",4.25
