"","date","ID_1","NAME_1","t2m"
"1","2015-01-01",1,"Aegean",10.38
"2","2015-01-01",2,"Athos",3.89
"3","2015-01-01",3,"Attica",5.62
"4","2015-01-01",4,"Crete",9.45
"5","2015-01-01",5,"Epirus and Western Macedonia",-3.91
"6","2015-01-01",6,"Macedonia and Thrace",-1.68
"7","2015-01-01",7,"Peloponnese, Western Greece and the Ionian Islands",3.79
"8","2015-01-01",8,"Thessaly and Central Greece",1.38
"9","2015-01-02",1,"Aegean",8.63
"10","2015-01-02",2,"Athos",4.26
"11","2015-01-02",3,"Attica",5.69
"12","2015-01-02",4,"Crete",8.79
"13","2015-01-02",5,"Epirus and Western Macedonia",-5.79
"14","2015-01-02",6,"Macedonia and Thrace",-4.76
"15","2015-01-02",7,"Peloponnese, Western Greece and the Ionian Islands",2.63
"16","2015-01-02",8,"Thessaly and Central Greece",-1.66
"17","2015-01-03",1,"Aegean",8.96
"18","2015-01-03",2,"Athos",5.8
"19","2015-01-03",3,"Attica",3.13
"20","2015-01-03",4,"Crete",7.83
"21","2015-01-03",5,"Epirus and Western Macedonia",-3.36
"22","2015-01-03",6,"Macedonia and Thrace",-1.08
"23","2015-01-03",7,"Peloponnese, Western Greece and the Ionian Islands",0.48
"24","2015-01-03",8,"Thessaly and Central Greece",-2.79
"25","2015-01-04",1,"Aegean",11.85
"26","2015-01-04",2,"Athos",9.23
"27","2015-01-04",3,"Attica",6.33
"28","2015-01-04",4,"Crete",9.17
"29","2015-01-04",5,"Epirus and Western Macedonia",-0.19
"30","2015-01-04",6,"Macedonia and Thrace",1.98
"31","2015-01-04",7,"Peloponnese, Western Greece and the Ionian Islands",3.6
"32","2015-01-04",8,"Thessaly and Central Greece",1.42
"33","2015-01-05",1,"Aegean",12.12
"34","2015-01-05",2,"Athos",8.01
"35","2015-01-05",3,"Attica",9.41
"36","2015-01-05",4,"Crete",12.84
"37","2015-01-05",5,"Epirus and Western Macedonia",1.37
"38","2015-01-05",6,"Macedonia and Thrace",2.58
"39","2015-01-05",7,"Peloponnese, Western Greece and the Ionian Islands",7.79
"40","2015-01-05",8,"Thessaly and Central Greece",5.53
"41","2015-01-06",1,"Aegean",7.54
"42","2015-01-06",2,"Athos",5.04
"43","2015-01-06",3,"Attica",3.65
"44","2015-01-06",4,"Crete",4.77
"45","2015-01-06",5,"Epirus and Western Macedonia",-3.69
"46","2015-01-06",6,"Macedonia and Thrace",-0.47
"47","2015-01-06",7,"Peloponnese, Western Greece and the Ionian Islands",0.52
"48","2015-01-06",8,"Thessaly and Central Greece",-1.09
"49","2015-01-07",1,"Aegean",6.32
"50","2015-01-07",2,"Athos",4.46
"51","2015-01-07",3,"Attica",2.62
"52","2015-01-07",4,"Crete",3.32
"53","2015-01-07",5,"Epirus and Western Macedonia",-4.61
"54","2015-01-07",6,"Macedonia and Thrace",-1.36
"55","2015-01-07",7,"Peloponnese, Western Greece and the Ionian Islands",0.23
"56","2015-01-07",8,"Thessaly and Central Greece",-1.53
"57","2015-01-08",1,"Aegean",2.89
"58","2015-01-08",2,"Athos",1.89
"59","2015-01-08",3,"Attica",1.46
"60","2015-01-08",4,"Crete",5.17
"61","2015-01-08",5,"Epirus and Western Macedonia",-7.06
"62","2015-01-08",6,"Macedonia and Thrace",-5.92
"63","2015-01-08",7,"Peloponnese, Western Greece and the Ionian Islands",-0.29
"64","2015-01-08",8,"Thessaly and Central Greece",-3.3
"65","2015-01-09",1,"Aegean",4.49
"66","2015-01-09",2,"Athos",3.92
"67","2015-01-09",3,"Attica",2.7
"68","2015-01-09",4,"Crete",6.84
"69","2015-01-09",5,"Epirus and Western Macedonia",-3.4
"70","2015-01-09",6,"Macedonia and Thrace",-4.91
"71","2015-01-09",7,"Peloponnese, Western Greece and the Ionian Islands",2.58
"72","2015-01-09",8,"Thessaly and Central Greece",-1.28
"73","2015-01-10",1,"Aegean",9.84
"74","2015-01-10",2,"Athos",8.63
"75","2015-01-10",3,"Attica",5.79
"76","2015-01-10",4,"Crete",8.03
"77","2015-01-10",5,"Epirus and Western Macedonia",0.68
"78","2015-01-10",6,"Macedonia and Thrace",0.49
"79","2015-01-10",7,"Peloponnese, Western Greece and the Ionian Islands",4.85
"80","2015-01-10",8,"Thessaly and Central Greece",1.58
"81","2015-01-11",1,"Aegean",13.58
"82","2015-01-11",2,"Athos",11.42
"83","2015-01-11",3,"Attica",8.99
"84","2015-01-11",4,"Crete",11.69
"85","2015-01-11",5,"Epirus and Western Macedonia",1.9
"86","2015-01-11",6,"Macedonia and Thrace",4.55
"87","2015-01-11",7,"Peloponnese, Western Greece and the Ionian Islands",6.49
"88","2015-01-11",8,"Thessaly and Central Greece",4.77
"89","2015-01-12",1,"Aegean",16.18
"90","2015-01-12",2,"Athos",13.58
"91","2015-01-12",3,"Attica",12.48
"92","2015-01-12",4,"Crete",13.87
"93","2015-01-12",5,"Epirus and Western Macedonia",6.78
"94","2015-01-12",6,"Macedonia and Thrace",6.96
"95","2015-01-12",7,"Peloponnese, Western Greece and the Ionian Islands",12.3
"96","2015-01-12",8,"Thessaly and Central Greece",9.29
"97","2015-01-13",1,"Aegean",9.73
"98","2015-01-13",2,"Athos",8.02
"99","2015-01-13",3,"Attica",7.31
"100","2015-01-13",4,"Crete",6.93
"101","2015-01-13",5,"Epirus and Western Macedonia",-0.45
"102","2015-01-13",6,"Macedonia and Thrace",2.1
"103","2015-01-13",7,"Peloponnese, Western Greece and the Ionian Islands",4.27
"104","2015-01-13",8,"Thessaly and Central Greece",2.96
"105","2015-01-14",1,"Aegean",11.58
"106","2015-01-14",2,"Athos",8.56
"107","2015-01-14",3,"Attica",8.4
"108","2015-01-14",4,"Crete",10.38
"109","2015-01-14",5,"Epirus and Western Macedonia",-1.29
"110","2015-01-14",6,"Macedonia and Thrace",-0.7
"111","2015-01-14",7,"Peloponnese, Western Greece and the Ionian Islands",4.57
"112","2015-01-14",8,"Thessaly and Central Greece",1.82
"113","2015-01-15",1,"Aegean",11.96
"114","2015-01-15",2,"Athos",9.42
"115","2015-01-15",3,"Attica",6.89
"116","2015-01-15",4,"Crete",9.46
"117","2015-01-15",5,"Epirus and Western Macedonia",-1.36
"118","2015-01-15",6,"Macedonia and Thrace",-0.94
"119","2015-01-15",7,"Peloponnese, Western Greece and the Ionian Islands",3.41
"120","2015-01-15",8,"Thessaly and Central Greece",0.06
"121","2015-01-16",1,"Aegean",12.52
"122","2015-01-16",2,"Athos",10.21
"123","2015-01-16",3,"Attica",7.5
"124","2015-01-16",4,"Crete",10.94
"125","2015-01-16",5,"Epirus and Western Macedonia",-0.17
"126","2015-01-16",6,"Macedonia and Thrace",1.17
"127","2015-01-16",7,"Peloponnese, Western Greece and the Ionian Islands",4.04
"128","2015-01-16",8,"Thessaly and Central Greece",3.7
"129","2015-01-17",1,"Aegean",11.65
"130","2015-01-17",2,"Athos",9.71
"131","2015-01-17",3,"Attica",6.3
"132","2015-01-17",4,"Crete",10.36
"133","2015-01-17",5,"Epirus and Western Macedonia",-1.24
"134","2015-01-17",6,"Macedonia and Thrace",1
"135","2015-01-17",7,"Peloponnese, Western Greece and the Ionian Islands",4.58
"136","2015-01-17",8,"Thessaly and Central Greece",1.64
"137","2015-01-18",1,"Aegean",12.77
"138","2015-01-18",2,"Athos",10.58
"139","2015-01-18",3,"Attica",8.04
"140","2015-01-18",4,"Crete",9.19
"141","2015-01-18",5,"Epirus and Western Macedonia",0.37
"142","2015-01-18",6,"Macedonia and Thrace",2.43
"143","2015-01-18",7,"Peloponnese, Western Greece and the Ionian Islands",5.1
"144","2015-01-18",8,"Thessaly and Central Greece",2.4
"145","2015-01-19",1,"Aegean",14.85
"146","2015-01-19",2,"Athos",12.25
"147","2015-01-19",3,"Attica",12.66
"148","2015-01-19",4,"Crete",13.42
"149","2015-01-19",5,"Epirus and Western Macedonia",3.82
"150","2015-01-19",6,"Macedonia and Thrace",6.45
"151","2015-01-19",7,"Peloponnese, Western Greece and the Ionian Islands",9.95
"152","2015-01-19",8,"Thessaly and Central Greece",6.69
"153","2015-01-20",1,"Aegean",15.64
"154","2015-01-20",2,"Athos",12.7
"155","2015-01-20",3,"Attica",11.51
"156","2015-01-20",4,"Crete",12.92
"157","2015-01-20",5,"Epirus and Western Macedonia",5.88
"158","2015-01-20",6,"Macedonia and Thrace",7.7
"159","2015-01-20",7,"Peloponnese, Western Greece and the Ionian Islands",9.21
"160","2015-01-20",8,"Thessaly and Central Greece",7.51
"161","2015-01-21",1,"Aegean",15.49
"162","2015-01-21",2,"Athos",13.79
"163","2015-01-21",3,"Attica",13.27
"164","2015-01-21",4,"Crete",14.18
"165","2015-01-21",5,"Epirus and Western Macedonia",5.95
"166","2015-01-21",6,"Macedonia and Thrace",9.34
"167","2015-01-21",7,"Peloponnese, Western Greece and the Ionian Islands",10.41
"168","2015-01-21",8,"Thessaly and Central Greece",8.85
"169","2015-01-22",1,"Aegean",15.5
"170","2015-01-22",2,"Athos",12.72
"171","2015-01-22",3,"Attica",10.88
"172","2015-01-22",4,"Crete",12.54
"173","2015-01-22",5,"Epirus and Western Macedonia",5.95
"174","2015-01-22",6,"Macedonia and Thrace",8.13
"175","2015-01-22",7,"Peloponnese, Western Greece and the Ionian Islands",7.52
"176","2015-01-22",8,"Thessaly and Central Greece",6.2
"177","2015-01-23",1,"Aegean",15.86
"178","2015-01-23",2,"Athos",14.44
"179","2015-01-23",3,"Attica",16.08
"180","2015-01-23",4,"Crete",16.06
"181","2015-01-23",5,"Epirus and Western Macedonia",8.84
"182","2015-01-23",6,"Macedonia and Thrace",10.97
"183","2015-01-23",7,"Peloponnese, Western Greece and the Ionian Islands",13.02
"184","2015-01-23",8,"Thessaly and Central Greece",11.9
"185","2015-01-24",1,"Aegean",13.99
"186","2015-01-24",2,"Athos",11.29
"187","2015-01-24",3,"Attica",10.04
"188","2015-01-24",4,"Crete",10.85
"189","2015-01-24",5,"Epirus and Western Macedonia",3.83
"190","2015-01-24",6,"Macedonia and Thrace",8.16
"191","2015-01-24",7,"Peloponnese, Western Greece and the Ionian Islands",7.22
