"","date","ID_1","NAME_1","t2m"
"1","2022-01-01",1,"Šibensko-Kninska",7.5
"2","2022-01-01",2,"Bjelovarska-Bilogorska",2.65
"3","2022-01-01",3,"Brodsko-Posavska",2.79
"4","2022-01-01",4,"Dubrovacko-Neretvanska",9.54
"5","2022-01-01",5,"Grad Zagreb",1.55
"6","2022-01-01",6,"Istarska",6.25
"7","2022-01-01",7,"Karlovacka",2.05
"8","2022-01-01",8,"Koprivničko-Križevačka",2.43
"9","2022-01-01",9,"Krapinsko-Zagorska",1.83
"10","2022-01-01",10,"Licko-Senjska",3.69
"11","2022-01-01",11,"Medimurska",1.55
"12","2022-01-01",12,"Osjecko-Baranjska",3.3
"13","2022-01-01",13,"Požeško-Slavonska",3.07
"14","2022-01-01",14,"Primorsko-Goranska",4.63
"15","2022-01-01",15,"Sisacko-Moslavacka",2.15
"16","2022-01-01",16,"Splitsko-Dalmatinska",8.36
"17","2022-01-01",17,"Varaždinska",2.26
"18","2022-01-01",18,"Viroviticko-Podravska",3.37
"19","2022-01-01",19,"Vukovarsko-Srijemska",3.53
"20","2022-01-01",20,"Zadarska",6.91
"21","2022-01-01",21,"Zagrebačka",1.57
"22","2022-01-02",1,"Šibensko-Kninska",5.21
"23","2022-01-02",2,"Bjelovarska-Bilogorska",4.77
"24","2022-01-02",3,"Brodsko-Posavska",4.37
"25","2022-01-02",4,"Dubrovacko-Neretvanska",9.35
"26","2022-01-02",5,"Grad Zagreb",2.05
"27","2022-01-02",6,"Istarska",6.29
"28","2022-01-02",7,"Karlovacka",1.7
"29","2022-01-02",8,"Koprivničko-Križevačka",5.96
"30","2022-01-02",9,"Krapinsko-Zagorska",3.39
"31","2022-01-02",10,"Licko-Senjska",3.6
"32","2022-01-02",11,"Medimurska",3.52
"33","2022-01-02",12,"Osjecko-Baranjska",4.8
"34","2022-01-02",13,"Požeško-Slavonska",4.64
"35","2022-01-02",14,"Primorsko-Goranska",4.19
"36","2022-01-02",15,"Sisacko-Moslavacka",1.82
"37","2022-01-02",16,"Splitsko-Dalmatinska",6.74
"38","2022-01-02",17,"Varaždinska",2.96
"39","2022-01-02",18,"Viroviticko-Podravska",4.27
"40","2022-01-02",19,"Vukovarsko-Srijemska",5.52
"41","2022-01-02",20,"Zadarska",4.55
"42","2022-01-02",21,"Zagrebačka",2.82
"43","2022-01-03",1,"Šibensko-Kninska",5.44
"44","2022-01-03",2,"Bjelovarska-Bilogorska",4.55
"45","2022-01-03",3,"Brodsko-Posavska",3.34
"46","2022-01-03",4,"Dubrovacko-Neretvanska",8.46
"47","2022-01-03",5,"Grad Zagreb",3.04
"48","2022-01-03",6,"Istarska",5.48
"49","2022-01-03",7,"Karlovacka",3.85
"50","2022-01-03",8,"Koprivničko-Križevačka",4.82
"51","2022-01-03",9,"Krapinsko-Zagorska",3.23
"52","2022-01-03",10,"Licko-Senjska",3.97
"53","2022-01-03",11,"Medimurska",3.36
"54","2022-01-03",12,"Osjecko-Baranjska",4.88
"55","2022-01-03",13,"Požeško-Slavonska",4.07
"56","2022-01-03",14,"Primorsko-Goranska",4.61
"57","2022-01-03",15,"Sisacko-Moslavacka",3.47
