"","date","ID_1","NAME_1","t2m"
"1","2013-01-01",1,"Austurland",-1.4
"2","2013-01-01",2,"Hálshreppur",-2.78
"3","2013-01-01",3,"Höfuðborgarsvæði",-2.13
"4","2013-01-01",4,"Norðurland vestra",-3.02
"5","2013-01-01",5,"Suðurland",-2.37
"6","2013-01-01",6,"Suðurnes",-0.48
"7","2013-01-01",7,"Vestfirðir",-3.45
"8","2013-01-01",8,"Vesturland",-1.95
"9","2013-01-02",1,"Austurland",-3.24
"10","2013-01-02",2,"Hálshreppur",-4.41
"11","2013-01-02",3,"Höfuðborgarsvæði",-0.1
"12","2013-01-02",4,"Norðurland vestra",-4.16
"13","2013-01-02",5,"Suðurland",-0.82
"14","2013-01-02",6,"Suðurnes",1.11
"15","2013-01-02",7,"Vestfirðir",-2.54
"16","2013-01-02",8,"Vesturland",-2.36
"17","2013-01-03",1,"Austurland",1.22
"18","2013-01-03",2,"Hálshreppur",1.08
"19","2013-01-03",3,"Höfuðborgarsvæði",2.94
"20","2013-01-03",4,"Norðurland vestra",1.34
"21","2013-01-03",5,"Suðurland",1.12
"22","2013-01-03",6,"Suðurnes",5.16
"23","2013-01-03",7,"Vestfirðir",1.62
"24","2013-01-03",8,"Vesturland",2.51
"25","2013-01-04",1,"Austurland",0.38
"26","2013-01-04",2,"Hálshreppur",0.75
"27","2013-01-04",3,"Höfuðborgarsvæði",4.18
"28","2013-01-04",4,"Norðurland vestra",2.79
"29","2013-01-04",5,"Suðurland",2.93
"30","2013-01-04",6,"Suðurnes",5.72
"31","2013-01-04",7,"Vestfirðir",2.21
"32","2013-01-04",8,"Vesturland",4.51
"33","2013-01-05",1,"Austurland",4.84
"34","2013-01-05",2,"Hálshreppur",5.8
"35","2013-01-05",3,"Höfuðborgarsvæði",6.08
"36","2013-01-05",4,"Norðurland vestra",5.98
"37","2013-01-05",5,"Suðurland",4.86
"38","2013-01-05",6,"Suðurnes",7.28
"39","2013-01-05",7,"Vestfirðir",5.45
"40","2013-01-05",8,"Vesturland",5.68
"41","2013-01-06",1,"Austurland",-0.83
"42","2013-01-06",2,"Hálshreppur",0.01
"43","2013-01-06",3,"Höfuðborgarsvæði",3.13
"44","2013-01-06",4,"Norðurland vestra",1.1
"45","2013-01-06",5,"Suðurland",0.38
"46","2013-01-06",6,"Suðurnes",4.5
"47","2013-01-06",7,"Vestfirðir",2.42
"48","2013-01-06",8,"Vesturland",2.35
"49","2013-01-07",1,"Austurland",1.44
"50","2013-01-07",2,"Hálshreppur",-0.28
"51","2013-01-07",3,"Höfuðborgarsvæði",1.9
"52","2013-01-07",4,"Norðurland vestra",0.1
"53","2013-01-07",5,"Suðurland",1.98
"54","2013-01-07",6,"Suðurnes",3.86
"55","2013-01-07",7,"Vestfirðir",0.63
"56","2013-01-07",8,"Vesturland",1.04
"57","2013-01-08",1,"Austurland",0.49
"58","2013-01-08",2,"Hálshreppur",-0.17
"59","2013-01-08",3,"Höfuðborgarsvæði",4.77
"60","2013-01-08",4,"Norðurland vestra",-1.5
"61","2013-01-08",5,"Suðurland",2.2
"62","2013-01-08",6,"Suðurnes",6.14
"63","2013-01-08",7,"Vestfirðir",0.36
"64","2013-01-08",8,"Vesturland",2.4
"65","2013-01-09",1,"Austurland",1.62
"66","2013-01-09",2,"Hálshreppur",1.61
"67","2013-01-09",3,"Höfuðborgarsvæði",0.29
"68","2013-01-09",4,"Norðurland vestra",0.96
"69","2013-01-09",5,"Suðurland",0.87
"70","2013-01-09",6,"Suðurnes",2.51
"71","2013-01-09",7,"Vestfirðir",0.74
"72","2013-01-09",8,"Vesturland",1.29
"73","2013-01-10",1,"Austurland",3.32
"74","2013-01-10",2,"Hálshreppur",4.04
"75","2013-01-10",3,"Höfuðborgarsvæði",2.79
"76","2013-01-10",4,"Norðurland vestra",4.78
"77","2013-01-10",5,"Suðurland",3.85
"78","2013-01-10",6,"Suðurnes",4.93
"79","2013-01-10",7,"Vestfirðir",2.26
"80","2013-01-10",8,"Vesturland",2.62
"81","2013-01-11",1,"Austurland",1.79
"82","2013-01-11",2,"Hálshreppur",0.07
"83","2013-01-11",3,"Höfuðborgarsvæði",2.32
"84","2013-01-11",4,"Norðurland vestra",1.25
"85","2013-01-11",5,"Suðurland",2.68
"86","2013-01-11",6,"Suðurnes",2.44
"87","2013-01-11",7,"Vestfirðir",1.51
"88","2013-01-11",8,"Vesturland",1.67
"89","2013-01-12",1,"Austurland",-0.5
"90","2013-01-12",2,"Hálshreppur",-2.15
"91","2013-01-12",3,"Höfuðborgarsvæði",2.42
"92","2013-01-12",4,"Norðurland vestra",-1.6
"93","2013-01-12",5,"Suðurland",-0.19
"94","2013-01-12",6,"Suðurnes",4.36
"95","2013-01-12",7,"Vestfirðir",2.56
"96","2013-01-12",8,"Vesturland",1.62
"97","2013-01-13",1,"Austurland",-3.16
"98","2013-01-13",2,"Hálshreppur",-2.67
"99","2013-01-13",3,"Höfuðborgarsvæði",-0.43
"100","2013-01-13",4,"Norðurland vestra",-2.05
"101","2013-01-13",5,"Suðurland",-1.43
"102","2013-01-13",6,"Suðurnes",1.93
"103","2013-01-13",7,"Vestfirðir",-2.07
"104","2013-01-13",8,"Vesturland",-1.11
"105","2013-01-14",1,"Austurland",-3.34
"106","2013-01-14",2,"Hálshreppur",-3.64
"107","2013-01-14",3,"Höfuðborgarsvæði",-5.54
"108","2013-01-14",4,"Norðurland vestra",-2.64
"109","2013-01-14",5,"Suðurland",-4.18
"110","2013-01-14",6,"Suðurnes",-1.32
"111","2013-01-14",7,"Vestfirðir",-2.87
"112","2013-01-14",8,"Vesturland",-1.64
"113","2013-01-15",1,"Austurland",-7.17
"114","2013-01-15",2,"Hálshreppur",-7.28
"115","2013-01-15",3,"Höfuðborgarsvæði",1.26
"116","2013-01-15",4,"Norðurland vestra",-3.23
"117","2013-01-15",5,"Suðurland",-1.22
"118","2013-01-15",6,"Suðurnes",3.45
"119","2013-01-15",7,"Vestfirðir",-3.08
"120","2013-01-15",8,"Vesturland",-0.7
"121","2013-01-16",1,"Austurland",1.9
"122","2013-01-16",2,"Hálshreppur",2.1
"123","2013-01-16",3,"Höfuðborgarsvæði",1.79
"124","2013-01-16",4,"Norðurland vestra",1.47
"125","2013-01-16",5,"Suðurland",1.8
"126","2013-01-16",6,"Suðurnes",3.73
"127","2013-01-16",7,"Vestfirðir",2.11
"128","2013-01-16",8,"Vesturland",2.21
"129","2013-01-17",1,"Austurland",0.94
"130","2013-01-17",2,"Hálshreppur",1.19
"131","2013-01-17",3,"Höfuðborgarsvæði",1.99
"132","2013-01-17",4,"Norðurland vestra",2.17
"133","2013-01-17",5,"Suðurland",1.71
"134","2013-01-17",6,"Suðurnes",4.12
"135","2013-01-17",7,"Vestfirðir",2.08
"136","2013-01-17",8,"Vesturland",2.4
"137","2013-01-18",1,"Austurland",3.18
"138","2013-01-18",2,"Hálshreppur",3
"139","2013-01-18",3,"Höfuðborgarsvæði",6.29
"140","2013-01-18",4,"Norðurland vestra",2.65
"141","2013-01-18",5,"Suðurland",4.36
"142","2013-01-18",6,"Suðurnes",7.11
"143","2013-01-18",7,"Vestfirðir",2.8
"144","2013-01-18",8,"Vesturland",5.05
"145","2013-01-19",1,"Austurland",2.4
"146","2013-01-19",2,"Hálshreppur",3.19
"147","2013-01-19",3,"Höfuðborgarsvæði",1.28
"148","2013-01-19",4,"Norðurland vestra",2.88
"149","2013-01-19",5,"Suðurland",2.36
"150","2013-01-19",6,"Suðurnes",3.59
"151","2013-01-19",7,"Vestfirðir",2.14
"152","2013-01-19",8,"Vesturland",1.76
"153","2013-01-20",1,"Austurland",0.42
"154","2013-01-20",2,"Hálshreppur",-0.1
"155","2013-01-20",3,"Höfuðborgarsvæði",3.04
"156","2013-01-20",4,"Norðurland vestra",-0.9
"157","2013-01-20",5,"Suðurland",1.05
"158","2013-01-20",6,"Suðurnes",4.09
"159","2013-01-20",7,"Vestfirðir",0.58
"160","2013-01-20",8,"Vesturland",1.76
"161","2013-01-21",1,"Austurland",0.33
"162","2013-01-21",2,"Hálshreppur",-0.38
"163","2013-01-21",3,"Höfuðborgarsvæði",3.73
"164","2013-01-21",4,"Norðurland vestra",-1.12
"165","2013-01-21",5,"Suðurland",1.06
"166","2013-01-21",6,"Suðurnes",4.73
"167","2013-01-21",7,"Vestfirðir",0
"168","2013-01-21",8,"Vesturland",1.91
"169","2013-01-22",1,"Austurland",-0.74
"170","2013-01-22",2,"Hálshreppur",-1.75
"171","2013-01-22",3,"Höfuðborgarsvæði",3.01
"172","2013-01-22",4,"Norðurland vestra",-1.55
"173","2013-01-22",5,"Suðurland",0.79
"174","2013-01-22",6,"Suðurnes",4.09
"175","2013-01-22",7,"Vestfirðir",-0.17
"176","2013-01-22",8,"Vesturland",0.95
"177","2013-01-23",1,"Austurland",-2.1
"178","2013-01-23",2,"Hálshreppur",-2.68
"179","2013-01-23",3,"Höfuðborgarsvæði",1.83
"180","2013-01-23",4,"Norðurland vestra",-2.6
"181","2013-01-23",5,"Suðurland",-1.15
"182","2013-01-23",6,"Suðurnes",3.04
"183","2013-01-23",7,"Vestfirðir",-1.37
"184","2013-01-23",8,"Vesturland",-0.75
"185","2013-01-24",1,"Austurland",-2.91
"186","2013-01-24",2,"Hálshreppur",-4.78
"187","2013-01-24",3,"Höfuðborgarsvæði",1.02
"188","2013-01-24",4,"Norðurland vestra",-5.02
"189","2013-01-24",5,"Suðurland",-2.77
"190","2013-01-24",6,"Suðurnes",2.52
"191","2013-01-24",7,"Vestfirðir",-3.03
"192","2013-01-24",8,"Vesturland",-2.18
"193","2013-01-25",1,"Austurland",1.04
"194","2013-01-25",2,"Hálshreppur",1.47
"195","2013-01-25",3,"Höfuðborgarsvæði",0.44
"196","2013-01-25",4,"Norðurland vestra",1.12
"197","2013-01-25",5,"Suðurland",-0.38
"198","2013-01-25",6,"Suðurnes",2.31
"199","2013-01-25",7,"Vestfirðir",1.81
"200","2013-01-25",8,"Vesturland",1.69
"201","2013-01-26",1,"Austurland",-4.22
"202","2013-01-26",2,"Hálshreppur",-5.11
"203","2013-01-26",3,"Höfuðborgarsvæði",-1.49
"204","2013-01-26",4,"Norðurland vestra",-5.19
"205","2013-01-26",5,"Suðurland",-2
"206","2013-01-26",6,"Suðurnes",0.83
"207","2013-01-26",7,"Vestfirðir",-2.91
"208","2013-01-26",8,"Vesturland",-2.43
"209","2013-01-27",1,"Austurland",-0.3
"210","2013-01-27",2,"Hálshreppur",-0.48
"211","2013-01-27",3,"Höfuðborgarsvæði",2.64
"212","2013-01-27",4,"Norðurland vestra",0.42
"213","2013-01-27",5,"Suðurland",0.64
"214","2013-01-27",6,"Suðurnes",3.06
"215","2013-01-27",7,"Vestfirðir",1.28
"216","2013-01-27",8,"Vesturland",2.04
"217","2013-01-28",1,"Austurland",-1.74
"218","2013-01-28",2,"Hálshreppur",-2.22
"219","2013-01-28",3,"Höfuðborgarsvæði",1.62
"220","2013-01-28",4,"Norðurland vestra",-1.21
"221","2013-01-28",5,"Suðurland",-0.28
"222","2013-01-28",6,"Suðurnes",2.67
"223","2013-01-28",7,"Vestfirðir",0.38
"224","2013-01-28",8,"Vesturland",0.61
"225","2013-01-29",1,"Austurland",-0.91
"226","2013-01-29",2,"Hálshreppur",-1.43
"227","2013-01-29",3,"Höfuðborgarsvæði",2.39
"228","2013-01-29",4,"Norðurland vestra",-0.6
"229","2013-01-29",5,"Suðurland",0.22
"230","2013-01-29",6,"Suðurnes",3.21
"231","2013-01-29",7,"Vestfirðir",0.7
"232","2013-01-29",8,"Vesturland",1.38
"233","2013-01-30",1,"Austurland",-0.13
"234","2013-01-30",2,"Hálshreppur",-0.62
"235","2013-01-30",3,"Höfuðborgarsvæði",0.91
"236","2013-01-30",4,"Norðurland vestra",-0.16
"237","2013-01-30",5,"Suðurland",0.66
"238","2013-01-30",6,"Suðurnes",2.33
"239","2013-01-30",7,"Vestfirðir",0.79
"240","2013-01-30",8,"Vesturland",1.15
"241","2013-01-31",1,"Austurland",-4.08
"242","2013-01-31",2,"Hálshreppur",-5.19
"243","2013-01-31",3,"Höfuðborgarsvæði",-0.05
"244","2013-01-31",4,"Norðurland vestra",-4.5
"245","2013-01-31",5,"Suðurland",-3.35
"246","2013-01-31",6,"Suðurnes",1.92
"247","2013-01-31",7,"Vestfirðir",-1.48
"248","2013-01-31",8,"Vesturland",-1.3
"249","2013-02-01",1,"Austurland",-3.71
"250","2013-02-01",2,"Hálshreppur",-6.83
"251","2013-02-01",3,"Höfuðborgarsvæði",-4.21
"252","2013-02-01",4,"Norðurland vestra",-7.77
"253","2013-02-01",5,"Suðurland",-3.48
"254","2013-02-01",6,"Suðurnes",-0.31
"255","2013-02-01",7,"Vestfirðir",-5.06
"256","2013-02-01",8,"Vesturland",-4.39
"257","2013-02-02",1,"Austurland",-4.83
"258","2013-02-02",2,"Hálshreppur",-7.48
"259","2013-02-02",3,"Höfuðborgarsvæði",1.38
"260","2013-02-02",4,"Norðurland vestra",-5.03
"261","2013-02-02",5,"Suðurland",-2.03
"262","2013-02-02",6,"Suðurnes",4.45
"263","2013-02-02",7,"Vestfirðir",-3.72
"264","2013-02-02",8,"Vesturland",-0.81
"265","2013-02-03",1,"Austurland",0.21
"266","2013-02-03",2,"Hálshreppur",-0.59
"267","2013-02-03",3,"Höfuðborgarsvæði",1.54
"268","2013-02-03",4,"Norðurland vestra",-0.1
"269","2013-02-03",5,"Suðurland",-0.22
"270","2013-02-03",6,"Suðurnes",2.96
"271","2013-02-03",7,"Vestfirðir",0.32
"272","2013-02-03",8,"Vesturland",0.84
"273","2013-02-04",1,"Austurland",-1.81
"274","2013-02-04",2,"Hálshreppur",-3.38
"275","2013-02-04",3,"Höfuðborgarsvæði",0
"276","2013-02-04",4,"Norðurland vestra",-3.06
"277","2013-02-04",5,"Suðurland",-1.25
"278","2013-02-04",6,"Suðurnes",0.92
"279","2013-02-04",7,"Vestfirðir",-0.04
"280","2013-02-04",8,"Vesturland",-0.87
"281","2013-02-05",1,"Austurland",-0.78
"282","2013-02-05",2,"Hálshreppur",-0.88
"283","2013-02-05",3,"Höfuðborgarsvæði",1.97
"284","2013-02-05",4,"Norðurland vestra",0.19
"285","2013-02-05",5,"Suðurland",0.99
"286","2013-02-05",6,"Suðurnes",3.03
"287","2013-02-05",7,"Vestfirðir",1.28
"288","2013-02-05",8,"Vesturland",1.95
"289","2013-02-06",1,"Austurland",-3.19
"290","2013-02-06",2,"Hálshreppur",-2.73
"291","2013-02-06",3,"Höfuðborgarsvæði",-7.39
"292","2013-02-06",4,"Norðurland vestra",-3.45
"293","2013-02-06",5,"Suðurland",-3.52
"294","2013-02-06",6,"Suðurnes",-2.99
"295","2013-02-06",7,"Vestfirðir",-3.37
"296","2013-02-06",8,"Vesturland",-2.76
"297","2013-02-07",1,"Austurland",-2.86
"298","2013-02-07",2,"Hálshreppur",-2.33
"299","2013-02-07",3,"Höfuðborgarsvæði",2.4
"300","2013-02-07",4,"Norðurland vestra",-0.51
"301","2013-02-07",5,"Suðurland",-0.67
"302","2013-02-07",6,"Suðurnes",4.44
"303","2013-02-07",7,"Vestfirðir",0.74
"304","2013-02-07",8,"Vesturland",1.65
"305","2013-02-08",1,"Austurland",-4.34
"306","2013-02-08",2,"Hálshreppur",-4.13
"307","2013-02-08",3,"Höfuðborgarsvæði",-3.45
"308","2013-02-08",4,"Norðurland vestra",-3.51
"309","2013-02-08",5,"Suðurland",-3.85
"310","2013-02-08",6,"Suðurnes",1.55
"311","2013-02-08",7,"Vestfirðir",-1.42
"312","2013-02-08",8,"Vesturland",-2.97
"313","2013-02-09",1,"Austurland",0.39
"314","2013-02-09",2,"Hálshreppur",0.47
"315","2013-02-09",3,"Höfuðborgarsvæði",6.59
"316","2013-02-09",4,"Norðurland vestra",3.46
"317","2013-02-09",5,"Suðurland",3.48
"318","2013-02-09",6,"Suðurnes",7.65
