"","date","ID_1","NAME_1","t2m"
"1","2022-01-01",1,"Central",12.26
"2","2022-01-01",2,"Coast",23.72
"3","2022-01-01",3,"Eastern",22.74
"4","2022-01-01",4,"Nairobi",14.28
"5","2022-01-01",5,"North-Eastern",24.43
"6","2022-01-01",6,"Nyanza",18.45
"7","2022-01-01",7,"Rift Valley",20.45
"8","2022-01-01",8,"Western",17.74
"9","2022-01-02",1,"Central",13.13
"10","2022-01-02",2,"Coast",23.69
"11","2022-01-02",3,"Eastern",22.03
"12","2022-01-02",4,"Nairobi",15.56
"13","2022-01-02",5,"North-Eastern",23.15
"14","2022-01-02",6,"Nyanza",18.72
"15","2022-01-02",7,"Rift Valley",19.35
"16","2022-01-02",8,"Western",16.38
"17","2022-01-03",1,"Central",13.11
"18","2022-01-03",2,"Coast",23.58
"19","2022-01-03",3,"Eastern",21.97
"20","2022-01-03",4,"Nairobi",14.85
"21","2022-01-03",5,"North-Eastern",23.1
"22","2022-01-03",6,"Nyanza",20.26
"23","2022-01-03",7,"Rift Valley",19.5
"24","2022-01-03",8,"Western",16.9
"25","2022-01-04",1,"Central",10.89
"26","2022-01-04",2,"Coast",23.17
"27","2022-01-04",3,"Eastern",21.81
"28","2022-01-04",4,"Nairobi",13.87
"29","2022-01-04",5,"North-Eastern",23.26
"30","2022-01-04",6,"Nyanza",19.71
"31","2022-01-04",7,"Rift Valley",18.61
"32","2022-01-04",8,"Western",16.77
"33","2022-01-05",1,"Central",12.34
"34","2022-01-05",2,"Coast",23.29
"35","2022-01-05",3,"Eastern",23.28
"36","2022-01-05",4,"Nairobi",15.08
"37","2022-01-05",5,"North-Eastern",24.5
"38","2022-01-05",6,"Nyanza",20.33
"39","2022-01-05",7,"Rift Valley",20.3
"40","2022-01-05",8,"Western",18.38
"41","2022-01-06",1,"Central",13.13
"42","2022-01-06",2,"Coast",24.61
"43","2022-01-06",3,"Eastern",23.7
"44","2022-01-06",4,"Nairobi",16.33
"45","2022-01-06",5,"North-Eastern",24.55
"46","2022-01-06",6,"Nyanza",19.92
"47","2022-01-06",7,"Rift Valley",20.06
"48","2022-01-06",8,"Western",16.41
"49","2022-01-07",1,"Central",13.58
"50","2022-01-07",2,"Coast",25
"51","2022-01-07",3,"Eastern",23.41
"52","2022-01-07",4,"Nairobi",15.8
"53","2022-01-07",5,"North-Eastern",24.74
"54","2022-01-07",6,"Nyanza",20.1
"55","2022-01-07",7,"Rift Valley",20.38
"56","2022-01-07",8,"Western",17.38
"57","2022-01-08",1,"Central",13.45
"58","2022-01-08",2,"Coast",24.57
"59","2022-01-08",3,"Eastern",23.52
"60","2022-01-08",4,"Nairobi",16.38
"61","2022-01-08",5,"North-Eastern",24.59
"62","2022-01-08",6,"Nyanza",20.84
"63","2022-01-08",7,"Rift Valley",20.52
"64","2022-01-08",8,"Western",17.49
"65","2022-01-09",1,"Central",11.4
"66","2022-01-09",2,"Coast",23.82
"67","2022-01-09",3,"Eastern",23.38
"68","2022-01-09",4,"Nairobi",14.53
"69","2022-01-09",5,"North-Eastern",24.82
"70","2022-01-09",6,"Nyanza",20.26
"71","2022-01-09",7,"Rift Valley",20.19
"72","2022-01-09",8,"Western",17.43
"73","2022-01-10",1,"Central",12.66
"74","2022-01-10",2,"Coast",23.88
"75","2022-01-10",3,"Eastern",23.4
"76","2022-01-10",4,"Nairobi",15.72
"77","2022-01-10",5,"North-Eastern",24.41
"78","2022-01-10",6,"Nyanza",20.77
"79","2022-01-10",7,"Rift Valley",20.37
"80","2022-01-10",8,"Western",18.05
"81","2022-01-11",1,"Central",11.91
"82","2022-01-11",2,"Coast",24
"83","2022-01-11",3,"Eastern",23.53
"84","2022-01-11",4,"Nairobi",15.41
"85","2022-01-11",5,"North-Eastern",24.4
"86","2022-01-11",6,"Nyanza",20.64
"87","2022-01-11",7,"Rift Valley",20.54
"88","2022-01-11",8,"Western",17.45
"89","2022-01-12",1,"Central",10.46
"90","2022-01-12",2,"Coast",23.32
"91","2022-01-12",3,"Eastern",22.9
"92","2022-01-12",4,"Nairobi",13.8
"93","2022-01-12",5,"North-Eastern",24.01
"94","2022-01-12",6,"Nyanza",19.59
"95","2022-01-12",7,"Rift Valley",19.61
"96","2022-01-12",8,"Western",17.17
"97","2022-01-13",1,"Central",9.75
"98","2022-01-13",2,"Coast",23.15
"99","2022-01-13",3,"Eastern",21.96
"100","2022-01-13",4,"Nairobi",12.84
"101","2022-01-13",5,"North-Eastern",23.24
"102","2022-01-13",6,"Nyanza",18.94
"103","2022-01-13",7,"Rift Valley",18.58
"104","2022-01-13",8,"Western",16.41
"105","2022-01-14",1,"Central",11.01
"106","2022-01-14",2,"Coast",23.44
"107","2022-01-14",3,"Eastern",22.23
"108","2022-01-14",4,"Nairobi",13.78
"109","2022-01-14",5,"North-Eastern",23.42
"110","2022-01-14",6,"Nyanza",18.72
"111","2022-01-14",7,"Rift Valley",19.02
"112","2022-01-14",8,"Western",15.81
"113","2022-01-15",1,"Central",13.17
"114","2022-01-15",2,"Coast",23.24
"115","2022-01-15",3,"Eastern",23.5
"116","2022-01-15",4,"Nairobi",16.32
"117","2022-01-15",5,"North-Eastern",23.82
"118","2022-01-15",6,"Nyanza",20.31
"119","2022-01-15",7,"Rift Valley",21.55
"120","2022-01-15",8,"Western",18.23
"121","2022-01-16",1,"Central",13.08
"122","2022-01-16",2,"Coast",23.58
"123","2022-01-16",3,"Eastern",24.43
"124","2022-01-16",4,"Nairobi",15.85
"125","2022-01-16",5,"North-Eastern",24.88
"126","2022-01-16",6,"Nyanza",19.48
"127","2022-01-16",7,"Rift Valley",20.89
"128","2022-01-16",8,"Western",16.87
"129","2022-01-17",1,"Central",14.69
"130","2022-01-17",2,"Coast",23.63
"131","2022-01-17",3,"Eastern",24.33
"132","2022-01-17",4,"Nairobi",17.49
"133","2022-01-17",5,"North-Eastern",24.99
"134","2022-01-17",6,"Nyanza",18.92
"135","2022-01-17",7,"Rift Valley",21.53
"136","2022-01-17",8,"Western",17.7
"137","2022-01-18",1,"Central",14.37
"138","2022-01-18",2,"Coast",24.26
"139","2022-01-18",3,"Eastern",22.09
"140","2022-01-18",4,"Nairobi",15.71
"141","2022-01-18",5,"North-Eastern",24.63
"142","2022-01-18",6,"Nyanza",17.57
"143","2022-01-18",7,"Rift Valley",18.7
"144","2022-01-18",8,"Western",15.65
"145","2022-01-19",1,"Central",12.27
"146","2022-01-19",2,"Coast",25.33
"147","2022-01-19",3,"Eastern",21.87
"148","2022-01-19",4,"Nairobi",16.14
"149","2022-01-19",5,"North-Eastern",24.68
"150","2022-01-19",6,"Nyanza",18.13
"151","2022-01-19",7,"Rift Valley",17.41
"152","2022-01-19",8,"Western",16.41
"153","2022-01-20",1,"Central",12.08
"154","2022-01-20",2,"Coast",24.06
"155","2022-01-20",3,"Eastern",22.17
"156","2022-01-20",4,"Nairobi",16.46
"157","2022-01-20",5,"North-Eastern",24.09
"158","2022-01-20",6,"Nyanza",18.7
"159","2022-01-20",7,"Rift Valley",18.48
"160","2022-01-20",8,"Western",16.67
"161","2022-01-21",1,"Central",13.58
"162","2022-01-21",2,"Coast",24.22
"163","2022-01-21",3,"Eastern",22.22
"164","2022-01-21",4,"Nairobi",16.83
"165","2022-01-21",5,"North-Eastern",24.04
"166","2022-01-21",6,"Nyanza",18.79
"167","2022-01-21",7,"Rift Valley",19.07
"168","2022-01-21",8,"Western",17.14
"169","2022-01-22",1,"Central",13.19
"170","2022-01-22",2,"Coast",23.76
"171","2022-01-22",3,"Eastern",21.78
"172","2022-01-22",4,"Nairobi",16.23
"173","2022-01-22",5,"North-Eastern",23.91
"174","2022-01-22",6,"Nyanza",19.37
"175","2022-01-22",7,"Rift Valley",19.21
"176","2022-01-22",8,"Western",17.49
"177","2022-01-23",1,"Central",11.95
"178","2022-01-23",2,"Coast",23.93
"179","2022-01-23",3,"Eastern",21.64
"180","2022-01-23",4,"Nairobi",14.8
"181","2022-01-23",5,"North-Eastern",23.76
"182","2022-01-23",6,"Nyanza",19.54
"183","2022-01-23",7,"Rift Valley",18.82
"184","2022-01-23",8,"Western",17.57
"185","2022-01-24",1,"Central",12.89
"186","2022-01-24",2,"Coast",23.52
"187","2022-01-24",3,"Eastern",22.27
"188","2022-01-24",4,"Nairobi",16.04
"189","2022-01-24",5,"North-Eastern",23.81
"190","2022-01-24",6,"Nyanza",19.19
"191","2022-01-24",7,"Rift Valley",19.16
"192","2022-01-24",8,"Western",17.34
"193","2022-01-25",1,"Central",13.1
"194","2022-01-25",2,"Coast",23.1
"195","2022-01-25",3,"Eastern",22.82
"196","2022-01-25",4,"Nairobi",16.3
"197","2022-01-25",5,"North-Eastern",23.97
"198","2022-01-25",6,"Nyanza",19.79
"199","2022-01-25",7,"Rift Valley",19.37
"200","2022-01-25",8,"Western",17.57
"201","2022-01-26",1,"Central",11.77
"202","2022-01-26",2,"Coast",23.3
"203","2022-01-26",3,"Eastern",22.63
"204","2022-01-26",4,"Nairobi",15.5
"205","2022-01-26",5,"North-Eastern",24.03
"206","2022-01-26",6,"Nyanza",19.99
"207","2022-01-26",7,"Rift Valley",19.57
"208","2022-01-26",8,"Western",17.26
"209","2022-01-27",1,"Central",11.7
"210","2022-01-27",2,"Coast",23.51
"211","2022-01-27",3,"Eastern",22.05
"212","2022-01-27",4,"Nairobi",14.98
"213","2022-01-27",5,"North-Eastern",23.34
"214","2022-01-27",6,"Nyanza",20.54
"215","2022-01-27",7,"Rift Valley",19.13
"216","2022-01-27",8,"Western",16.98
"217","2022-01-28",1,"Central",12.83
"218","2022-01-28",2,"Coast",22.78
"219","2022-01-28",3,"Eastern",22.14
"220","2022-01-28",4,"Nairobi",15.58
"221","2022-01-28",5,"North-Eastern",22.86
"222","2022-01-28",6,"Nyanza",20.74
"223","2022-01-28",7,"Rift Valley",19.91
"224","2022-01-28",8,"Western",18.65
"225","2022-01-29",1,"Central",14.87
"226","2022-01-29",2,"Coast",23.81
"227","2022-01-29",3,"Eastern",23.6
"228","2022-01-29",4,"Nairobi",17.42
"229","2022-01-29",5,"North-Eastern",24.09
"230","2022-01-29",6,"Nyanza",20.77
"231","2022-01-29",7,"Rift Valley",21.3
"232","2022-01-29",8,"Western",18.96
"233","2022-01-30",1,"Central",13.23
"234","2022-01-30",2,"Coast",23.37
"235","2022-01-30",3,"Eastern",22.47
"236","2022-01-30",4,"Nairobi",16.18
"237","2022-01-30",5,"North-Eastern",23.62
"238","2022-01-30",6,"Nyanza",20.2
"239","2022-01-30",7,"Rift Valley",19.83
"240","2022-01-30",8,"Western",17.93
"241","2022-01-31",1,"Central",15.3
"242","2022-01-31",2,"Coast",24.4
"243","2022-01-31",3,"Eastern",23.66
"244","2022-01-31",4,"Nairobi",17.24
"245","2022-01-31",5,"North-Eastern",23.95
"246","2022-01-31",6,"Nyanza",20.12
"247","2022-01-31",7,"Rift Valley",20.86
"248","2022-01-31",8,"Western",17.91
"249","2022-02-01",1,"Central",14.85
"250","2022-02-01",2,"Coast",23.81
"251","2022-02-01",3,"Eastern",23.16
"252","2022-02-01",4,"Nairobi",18.02
"253","2022-02-01",5,"North-Eastern",23.8
"254","2022-02-01",6,"Nyanza",19.75
"255","2022-02-01",7,"Rift Valley",19.88
"256","2022-02-01",8,"Western",17.15
"257","2022-02-02",1,"Central",15.5
"258","2022-02-02",2,"Coast",24.08
"259","2022-02-02",3,"Eastern",24.35
"260","2022-02-02",4,"Nairobi",18.25
"261","2022-02-02",5,"North-Eastern",25.2
"262","2022-02-02",6,"Nyanza",19.8
"263","2022-02-02",7,"Rift Valley",21.1
"264","2022-02-02",8,"Western",18.24
"265","2022-02-03",1,"Central",13.78
"266","2022-02-03",2,"Coast",24.93
"267","2022-02-03",3,"Eastern",24.63
"268","2022-02-03",4,"Nairobi",17.58
"269","2022-02-03",5,"North-Eastern",25.98
"270","2022-02-03",6,"Nyanza",19.65
"271","2022-02-03",7,"Rift Valley",20.87
"272","2022-02-03",8,"Western",17.84
"273","2022-02-04",1,"Central",12.54
"274","2022-02-04",2,"Coast",24.14
"275","2022-02-04",3,"Eastern",23.73
"276","2022-02-04",4,"Nairobi",16.07
"277","2022-02-04",5,"North-Eastern",25.02
"278","2022-02-04",6,"Nyanza",19.74
"279","2022-02-04",7,"Rift Valley",20.4
"280","2022-02-04",8,"Western",18.11
"281","2022-02-05",1,"Central",11.91
"282","2022-02-05",2,"Coast",23.66
"283","2022-02-05",3,"Eastern",22.98
"284","2022-02-05",4,"Nairobi",15.95
"285","2022-02-05",5,"North-Eastern",24.13
"286","2022-02-05",6,"Nyanza",19.13
"287","2022-02-05",7,"Rift Valley",19.4
"288","2022-02-05",8,"Western",17.51
"289","2022-02-06",1,"Central",13.05
"290","2022-02-06",2,"Coast",23.6
"291","2022-02-06",3,"Eastern",23.45
"292","2022-02-06",4,"Nairobi",16.84
"293","2022-02-06",5,"North-Eastern",24.68
"294","2022-02-06",6,"Nyanza",18.14
"295","2022-02-06",7,"Rift Valley",19.44
"296","2022-02-06",8,"Western",15.39
"297","2022-02-07",1,"Central",13.46
"298","2022-02-07",2,"Coast",24.3
"299","2022-02-07",3,"Eastern",24.22
"300","2022-02-07",4,"Nairobi",16.46
"301","2022-02-07",5,"North-Eastern",25.11
"302","2022-02-07",6,"Nyanza",19.99
"303","2022-02-07",7,"Rift Valley",20.57
"304","2022-02-07",8,"Western",17.63
"305","2022-02-08",1,"Central",13.59
"306","2022-02-08",2,"Coast",23.32
"307","2022-02-08",3,"Eastern",22.93
"308","2022-02-08",4,"Nairobi",15.99
"309","2022-02-08",5,"North-Eastern",24.12
"310","2022-02-08",6,"Nyanza",18.14
"311","2022-02-08",7,"Rift Valley",19.57
"312","2022-02-08",8,"Western",15.76
"313","2022-02-09",1,"Central",12.76
"314","2022-02-09",2,"Coast",22.89
"315","2022-02-09",3,"Eastern",22.81
"316","2022-02-09",4,"Nairobi",16.49
"317","2022-02-09",5,"North-Eastern",23.66
"318","2022-02-09",6,"Nyanza",19.61
"319","2022-02-09",7,"Rift Valley",20.05
"320","2022-02-09",8,"Western",18.08
"321","2022-02-10",1,"Central",12.5
"322","2022-02-10",2,"Coast",23.81
"323","2022-02-10",3,"Eastern",22.76
"324","2022-02-10",4,"Nairobi",16.8
"325","2022-02-10",5,"North-Eastern",24.38
"326","2022-02-10",6,"Nyanza",20.13
"327","2022-02-10",7,"Rift Valley",19.78
"328","2022-02-10",8,"Western",17.53
"329","2022-02-11",1,"Central",13.58
"330","2022-02-11",2,"Coast",24.03
"331","2022-02-11",3,"Eastern",23.57
"332","2022-02-11",4,"Nairobi",16.8
"333","2022-02-11",5,"North-Eastern",24.4
"334","2022-02-11",6,"Nyanza",19.27
"335","2022-02-11",7,"Rift Valley",20.28
"336","2022-02-11",8,"Western",16.93
"337","2022-02-12",1,"Central",13.61
"338","2022-02-12",2,"Coast",24.53
"339","2022-02-12",3,"Eastern",24.22
"340","2022-02-12",4,"Nairobi",17.66
"341","2022-02-12",5,"North-Eastern",24.5
"342","2022-02-12",6,"Nyanza",19.29
"343","2022-02-12",7,"Rift Valley",20.89
"344","2022-02-12",8,"Western",17.79
"345","2022-02-13",1,"Central",13.55
"346","2022-02-13",2,"Coast",23.8
"347","2022-02-13",3,"Eastern",23.56
"348","2022-02-13",4,"Nairobi",17.23
"349","2022-02-13",5,"North-Eastern",24.23
"350","2022-02-13",6,"Nyanza",19.04
"351","2022-02-13",7,"Rift Valley",20.14
"352","2022-02-13",8,"Western",16.79
"353","2022-02-14",1,"Central",13.29
"354","2022-02-14",2,"Coast",23.54
"355","2022-02-14",3,"Eastern",23.67
"356","2022-02-14",4,"Nairobi",17.04
"357","2022-02-14",5,"North-Eastern",24.29
"358","2022-02-14",6,"Nyanza",20.44
"359","2022-02-14",7,"Rift Valley",20.7
"360","2022-02-14",8,"Western",19.05
"361","2022-02-15",1,"Central",13.69
"362","2022-02-15",2,"Coast",23.71
"363","2022-02-15",3,"Eastern",23.74
"364","2022-02-15",4,"Nairobi",18.02
"365","2022-02-15",5,"North-Eastern",24.25
"366","2022-02-15",6,"Nyanza",19.74
"367","2022-02-15",7,"Rift Valley",20.65
"368","2022-02-15",8,"Western",17.34
"369","2022-02-16",1,"Central",14.25
