"","date","ID_1","NAME_1","t2m"
"1","2021-01-01",1,"Bomi",25.26
"2","2021-01-01",2,"Bong",23.71
"3","2021-01-01",3,"Gbapolu",23.3
"4","2021-01-01",4,"Grand Cape Mount",24.39
"5","2021-01-01",5,"GrandBassa",24.49
"6","2021-01-01",6,"GrandGedeh",23.35
"7","2021-01-01",7,"GrandKru",24.38
"8","2021-01-01",8,"Lofa",23.21
"9","2021-01-01",9,"Margibi",24.62
"10","2021-01-01",10,"Maryland",24.03
"11","2021-01-01",11,"Montserrado",25.05
"12","2021-01-01",12,"Nimba",23.43
"13","2021-01-01",13,"River Cess",23.94
"14","2021-01-01",14,"River Gee",22.85
"15","2021-01-01",15,"Sinoe",23.87
"16","2021-01-02",1,"Bomi",25.26
"17","2021-01-02",2,"Bong",23.4
"18","2021-01-02",3,"Gbapolu",23.18
"19","2021-01-02",4,"Grand Cape Mount",24.53
"20","2021-01-02",5,"GrandBassa",24.12
"21","2021-01-02",6,"GrandGedeh",23.23
"22","2021-01-02",7,"GrandKru",24.96
"23","2021-01-02",8,"Lofa",22.96
"24","2021-01-02",9,"Margibi",24.13
"25","2021-01-02",10,"Maryland",24.48
"26","2021-01-02",11,"Montserrado",24.8
"27","2021-01-02",12,"Nimba",23.26
"28","2021-01-02",13,"River Cess",23.99
"29","2021-01-02",14,"River Gee",23.17
"30","2021-01-02",15,"Sinoe",24.04
"31","2021-01-03",1,"Bomi",25.24
"32","2021-01-03",2,"Bong",23.84
"33","2021-01-03",3,"Gbapolu",23.71
"34","2021-01-03",4,"Grand Cape Mount",24.8
"35","2021-01-03",5,"GrandBassa",24.24
"36","2021-01-03",6,"GrandGedeh",24.07
"37","2021-01-03",7,"GrandKru",24.6
"38","2021-01-03",8,"Lofa",23.32
"39","2021-01-03",9,"Margibi",24.41
"40","2021-01-03",10,"Maryland",24.31
"41","2021-01-03",11,"Montserrado",25
"42","2021-01-03",12,"Nimba",23.89
"43","2021-01-03",13,"River Cess",24.21
"44","2021-01-03",14,"River Gee",23.59
"45","2021-01-03",15,"Sinoe",24.24
"46","2021-01-04",1,"Bomi",24.37
"47","2021-01-04",2,"Bong",23.17
"48","2021-01-04",3,"Gbapolu",22.9
"49","2021-01-04",4,"Grand Cape Mount",24.24
"50","2021-01-04",5,"GrandBassa",23.58
"51","2021-01-04",6,"GrandGedeh",23.34
"52","2021-01-04",7,"GrandKru",24.02
"53","2021-01-04",8,"Lofa",22.89
"54","2021-01-04",9,"Margibi",23.67
"55","2021-01-04",10,"Maryland",23.54
"56","2021-01-04",11,"Montserrado",24.2
"57","2021-01-04",12,"Nimba",23.41
"58","2021-01-04",13,"River Cess",23.75
"59","2021-01-04",14,"River Gee",22.72
"60","2021-01-04",15,"Sinoe",23.68
"61","2021-01-05",1,"Bomi",25.03
"62","2021-01-05",2,"Bong",23.39
"63","2021-01-05",3,"Gbapolu",23.36
"64","2021-01-05",4,"Grand Cape Mount",24.39
"65","2021-01-05",5,"GrandBassa",23.44
"66","2021-01-05",6,"GrandGedeh",22.64
"67","2021-01-05",7,"GrandKru",23.63
"68","2021-01-05",8,"Lofa",23.16
"69","2021-01-05",9,"Margibi",23.93
"70","2021-01-05",10,"Maryland",23.39
"71","2021-01-05",11,"Montserrado",24.6
"72","2021-01-05",12,"Nimba",23.13
"73","2021-01-05",13,"River Cess",23.22
"74","2021-01-05",14,"River Gee",22.09
