"","date","ID_1","NAME_1","t2m"
"1","2012-01-01",1,"Balzers",1.28
"2","2012-01-01",2,"Eschen",3.04
"3","2012-01-01",3,"Gamprin",3.04
"4","2012-01-01",4,"Mauren",3.04
"5","2012-01-01",5,"Planken",3.04
"6","2012-01-01",6,"Ruggell",3.04
"7","2012-01-01",7,"Schaan",2.39
"8","2012-01-01",8,"Schellenberg",3.04
"9","2012-01-01",9,"Triesenberg",1.48
"10","2012-01-01",10,"Triesen",0.55
"11","2012-01-01",11,"Valduz",2.51
"12","2012-01-02",1,"Balzers",0.61
"13","2012-01-02",2,"Eschen",1.59
"14","2012-01-02",3,"Gamprin",1.59
"15","2012-01-02",4,"Mauren",1.59
"16","2012-01-02",5,"Planken",1.59
"17","2012-01-02",6,"Ruggell",1.59
"18","2012-01-02",7,"Schaan",1.24
"19","2012-01-02",8,"Schellenberg",1.59
"20","2012-01-02",9,"Triesenberg",0.69
"21","2012-01-02",10,"Triesen",0.24
"22","2012-01-02",11,"Valduz",1.3
"23","2012-01-03",1,"Balzers",-0.49
"24","2012-01-03",2,"Eschen",1.39
"25","2012-01-03",3,"Gamprin",1.39
"26","2012-01-03",4,"Mauren",1.39
"27","2012-01-03",5,"Planken",1.39
"28","2012-01-03",6,"Ruggell",1.39
"29","2012-01-03",7,"Schaan",0.68
"30","2012-01-03",8,"Schellenberg",1.39
"31","2012-01-03",9,"Triesenberg",-0.26
"32","2012-01-03",10,"Triesen",-1.31
"33","2012-01-03",11,"Valduz",0.8
"34","2012-01-04",1,"Balzers",-1.31
"35","2012-01-04",2,"Eschen",0.34
"36","2012-01-04",3,"Gamprin",0.34
"37","2012-01-04",4,"Mauren",0.34
"38","2012-01-04",5,"Planken",0.34
"39","2012-01-04",6,"Ruggell",0.34
"40","2012-01-04",7,"Schaan",-0.28
"41","2012-01-04",8,"Schellenberg",0.34
"42","2012-01-04",9,"Triesenberg",-1.13
"43","2012-01-04",10,"Triesen",-2
"44","2012-01-04",11,"Valduz",-0.17
"45","2012-01-05",1,"Balzers",-4.54
"46","2012-01-05",2,"Eschen",-1.59
"47","2012-01-05",3,"Gamprin",-1.59
"48","2012-01-05",4,"Mauren",-1.59
"49","2012-01-05",5,"Planken",-1.59
"50","2012-01-05",6,"Ruggell",-1.59
"51","2012-01-05",7,"Schaan",-2.7
"52","2012-01-05",8,"Schellenberg",-1.59
"53","2012-01-05",9,"Triesenberg",-4.19
"54","2012-01-05",10,"Triesen",-5.82
"55","2012-01-05",11,"Valduz",-2.5
"56","2012-01-06",1,"Balzers",-1.69
"57","2012-01-06",2,"Eschen",0.05
"58","2012-01-06",3,"Gamprin",0.05
"59","2012-01-06",4,"Mauren",0.05
"60","2012-01-06",5,"Planken",0.05
"61","2012-01-06",6,"Ruggell",0.05
"62","2012-01-06",7,"Schaan",-0.6
"63","2012-01-06",8,"Schellenberg",0.05
"64","2012-01-06",9,"Triesenberg",-1.49
"65","2012-01-06",10,"Triesen",-2.43
"66","2012-01-06",11,"Valduz",-0.49
"67","2012-01-07",1,"Balzers",-3.22
"68","2012-01-07",2,"Eschen",-1.66
"69","2012-01-07",3,"Gamprin",-1.66
"70","2012-01-07",4,"Mauren",-1.66
"71","2012-01-07",5,"Planken",-1.66
"72","2012-01-07",6,"Ruggell",-1.66
"73","2012-01-07",7,"Schaan",-2.24
"74","2012-01-07",8,"Schellenberg",-1.66
"75","2012-01-07",9,"Triesenberg",-3.05
"76","2012-01-07",10,"Triesen",-3.87
"77","2012-01-07",11,"Valduz",-2.14
"78","2012-01-08",1,"Balzers",-0.86
"79","2012-01-08",2,"Eschen",0.85
"80","2012-01-08",3,"Gamprin",0.85
"81","2012-01-08",4,"Mauren",0.85
"82","2012-01-08",5,"Planken",0.85
"83","2012-01-08",6,"Ruggell",0.85
"84","2012-01-08",7,"Schaan",0.21
"85","2012-01-08",8,"Schellenberg",0.85
"86","2012-01-08",9,"Triesenberg",-0.67
"87","2012-01-08",10,"Triesen",-1.57
"88","2012-01-08",11,"Valduz",0.33
"89","2012-01-09",1,"Balzers",-1.8
"90","2012-01-09",2,"Eschen",0.19
"91","2012-01-09",3,"Gamprin",0.19
"92","2012-01-09",4,"Mauren",0.19
"93","2012-01-09",5,"Planken",0.19
"94","2012-01-09",6,"Ruggell",0.19
"95","2012-01-09",7,"Schaan",-0.55
"96","2012-01-09",8,"Schellenberg",0.19
"97","2012-01-09",9,"Triesenberg",-1.58
"98","2012-01-09",10,"Triesen",-2.61
"99","2012-01-09",11,"Valduz",-0.42
"100","2012-01-10",1,"Balzers",-0.24
"101","2012-01-10",2,"Eschen",1.04
"102","2012-01-10",3,"Gamprin",1.04
"103","2012-01-10",4,"Mauren",1.04
"104","2012-01-10",5,"Planken",1.04
"105","2012-01-10",6,"Ruggell",1.04
"106","2012-01-10",7,"Schaan",0.57
"107","2012-01-10",8,"Schellenberg",1.04
"108","2012-01-10",9,"Triesenberg",-0.11
"109","2012-01-10",10,"Triesen",-0.75
"110","2012-01-10",11,"Valduz",0.65
"111","2012-01-11",1,"Balzers",-2.81
"112","2012-01-11",2,"Eschen",-0.93
"113","2012-01-11",3,"Gamprin",-0.93
"114","2012-01-11",4,"Mauren",-0.93
"115","2012-01-11",5,"Planken",-0.93
"116","2012-01-11",6,"Ruggell",-0.93
"117","2012-01-11",7,"Schaan",-1.62
"118","2012-01-11",8,"Schellenberg",-0.93
"119","2012-01-11",9,"Triesenberg",-2.62
"120","2012-01-11",10,"Triesen",-3.57
"121","2012-01-11",11,"Valduz",-1.5
"122","2012-01-12",1,"Balzers",-5.94
"123","2012-01-12",2,"Eschen",-3.85
"124","2012-01-12",3,"Gamprin",-3.85
"125","2012-01-12",4,"Mauren",-3.85
"126","2012-01-12",5,"Planken",-3.85
"127","2012-01-12",6,"Ruggell",-3.85
"128","2012-01-12",7,"Schaan",-4.65
"129","2012-01-12",8,"Schellenberg",-3.85
"130","2012-01-12",9,"Triesenberg",-5.66
"131","2012-01-12",10,"Triesen",-6.9
"132","2012-01-12",11,"Valduz",-4.51
"133","2012-01-13",1,"Balzers",-5.65
"134","2012-01-13",2,"Eschen",-3.91
"135","2012-01-13",3,"Gamprin",-3.91
"136","2012-01-13",4,"Mauren",-3.91
"137","2012-01-13",5,"Planken",-3.91
"138","2012-01-13",6,"Ruggell",-3.91
"139","2012-01-13",7,"Schaan",-4.56
"140","2012-01-13",8,"Schellenberg",-3.91
"141","2012-01-13",9,"Triesenberg",-5.45
"142","2012-01-13",10,"Triesen",-6.38
"143","2012-01-13",11,"Valduz",-4.45
"144","2012-01-14",1,"Balzers",-4.8
"145","2012-01-14",2,"Eschen",-4.28
"146","2012-01-14",3,"Gamprin",-4.28
"147","2012-01-14",4,"Mauren",-4.28
"148","2012-01-14",5,"Planken",-4.28
"149","2012-01-14",6,"Ruggell",-4.28
"150","2012-01-14",7,"Schaan",-4.46
"151","2012-01-14",8,"Schellenberg",-4.28
"152","2012-01-14",9,"Triesenberg",-4.78
"153","2012-01-14",10,"Triesen",-4.96
"154","2012-01-14",11,"Valduz",-4.43
"155","2012-01-15",1,"Balzers",-11.79
"156","2012-01-15",2,"Eschen",-9.57
"157","2012-01-15",3,"Gamprin",-9.57
"158","2012-01-15",4,"Mauren",-9.57
"159","2012-01-15",5,"Planken",-9.57
"160","2012-01-15",6,"Ruggell",-9.57
"161","2012-01-15",7,"Schaan",-10.38
"162","2012-01-15",8,"Schellenberg",-9.57
"163","2012-01-15",9,"Triesenberg",-11.58
"164","2012-01-15",10,"Triesen",-12.66
"165","2012-01-15",11,"Valduz",-10.24
"166","2012-01-16",1,"Balzers",-15.02
"167","2012-01-16",2,"Eschen",-13.18
"168","2012-01-16",3,"Gamprin",-13.18
"169","2012-01-16",4,"Mauren",-13.18
"170","2012-01-16",5,"Planken",-13.18
"171","2012-01-16",6,"Ruggell",-13.18
"172","2012-01-16",7,"Schaan",-13.85
"173","2012-01-16",8,"Schellenberg",-13.18
"174","2012-01-16",9,"Triesenberg",-14.86
"175","2012-01-16",10,"Triesen",-15.72
"176","2012-01-16",11,"Valduz",-13.73
"177","2012-01-17",1,"Balzers",-15.14
"178","2012-01-17",2,"Eschen",-13.33
"179","2012-01-17",3,"Gamprin",-13.33
"180","2012-01-17",4,"Mauren",-13.33
"181","2012-01-17",5,"Planken",-13.33
"182","2012-01-17",6,"Ruggell",-13.33
"183","2012-01-17",7,"Schaan",-14.01
"184","2012-01-17",8,"Schellenberg",-13.33
"185","2012-01-17",9,"Triesenberg",-14.94
"186","2012-01-17",10,"Triesen",-15.91
"187","2012-01-17",11,"Valduz",-13.89
"188","2012-01-18",1,"Balzers",-13.36
"189","2012-01-18",2,"Eschen",-11.67
"190","2012-01-18",3,"Gamprin",-11.67
"191","2012-01-18",4,"Mauren",-11.67
"192","2012-01-18",5,"Planken",-11.67
"193","2012-01-18",6,"Ruggell",-11.67
"194","2012-01-18",7,"Schaan",-12.32
"195","2012-01-18",8,"Schellenberg",-11.67
"196","2012-01-18",9,"Triesenberg",-13.13
"197","2012-01-18",10,"Triesen",-14.13
"198","2012-01-18",11,"Valduz",-12.2
"199","2012-01-19",1,"Balzers",-10.6
"200","2012-01-19",2,"Eschen",-7.66
"201","2012-01-19",3,"Gamprin",-7.66
"202","2012-01-19",4,"Mauren",-7.66
"203","2012-01-19",5,"Planken",-7.66
"204","2012-01-19",6,"Ruggell",-7.66
"205","2012-01-19",7,"Schaan",-8.78
"206","2012-01-19",8,"Schellenberg",-7.66
"207","2012-01-19",9,"Triesenberg",-10.21
"208","2012-01-19",10,"Triesen",-11.92
"209","2012-01-19",11,"Valduz",-8.58
"210","2012-01-20",1,"Balzers",0.65
"211","2012-01-20",2,"Eschen",3.39
"212","2012-01-20",3,"Gamprin",3.39
"213","2012-01-20",4,"Mauren",3.39
"214","2012-01-20",5,"Planken",3.39
"215","2012-01-20",6,"Ruggell",3.39
"216","2012-01-20",7,"Schaan",2.35
"217","2012-01-20",8,"Schellenberg",3.39
"218","2012-01-20",9,"Triesenberg",1
"219","2012-01-20",10,"Triesen",-0.56
"220","2012-01-20",11,"Valduz",2.54
"221","2012-01-21",1,"Balzers",-0.15
"222","2012-01-21",2,"Eschen",1.54
"223","2012-01-21",3,"Gamprin",1.54
"224","2012-01-21",4,"Mauren",1.54
"225","2012-01-21",5,"Planken",1.54
"226","2012-01-21",6,"Ruggell",1.54
"227","2012-01-21",7,"Schaan",0.91
"228","2012-01-21",8,"Schellenberg",1.54
"229","2012-01-21",9,"Triesenberg",0.04
"230","2012-01-21",10,"Triesen",-0.84
"231","2012-01-21",11,"Valduz",1.03
"232","2012-01-22",1,"Balzers",2.99
"233","2012-01-22",2,"Eschen",5.32
"234","2012-01-22",3,"Gamprin",5.32
"235","2012-01-22",4,"Mauren",5.32
"236","2012-01-22",5,"Planken",5.32
"237","2012-01-22",6,"Ruggell",5.32
"238","2012-01-22",7,"Schaan",4.45
"239","2012-01-22",8,"Schellenberg",5.32
"240","2012-01-22",9,"Triesenberg",3.26
"241","2012-01-22",10,"Triesen",1.99
"242","2012-01-22",11,"Valduz",4.6
"243","2012-01-23",1,"Balzers",1.44
"244","2012-01-23",2,"Eschen",2.43
"245","2012-01-23",3,"Gamprin",2.43
"246","2012-01-23",4,"Mauren",2.43
"247","2012-01-23",5,"Planken",2.43
"248","2012-01-23",6,"Ruggell",2.43
"249","2012-01-23",7,"Schaan",2.07
"250","2012-01-23",8,"Schellenberg",2.43
"251","2012-01-23",9,"Triesenberg",1.55
"252","2012-01-23",10,"Triesen",1.04
"253","2012-01-23",11,"Valduz",2.13
"254","2012-01-24",1,"Balzers",0.03
"255","2012-01-24",2,"Eschen",1.34
"256","2012-01-24",3,"Gamprin",1.34
"257","2012-01-24",4,"Mauren",1.34
"258","2012-01-24",5,"Planken",1.34
"259","2012-01-24",6,"Ruggell",1.34
"260","2012-01-24",7,"Schaan",0.85
"261","2012-01-24",8,"Schellenberg",1.34
"262","2012-01-24",9,"Triesenberg",0.16
"263","2012-01-24",10,"Triesen",-0.5
"264","2012-01-24",11,"Valduz",0.94
"265","2012-01-25",1,"Balzers",-3.74
"266","2012-01-25",2,"Eschen",-2.14
"267","2012-01-25",3,"Gamprin",-2.14
"268","2012-01-25",4,"Mauren",-2.14
"269","2012-01-25",5,"Planken",-2.14
"270","2012-01-25",6,"Ruggell",-2.14
"271","2012-01-25",7,"Schaan",-2.71
"272","2012-01-25",8,"Schellenberg",-2.14
"273","2012-01-25",9,"Triesenberg",-3.61
"274","2012-01-25",10,"Triesen",-4.31
"275","2012-01-25",11,"Valduz",-2.61
"276","2012-01-26",1,"Balzers",-4.15
"277","2012-01-26",2,"Eschen",-1.96
"278","2012-01-26",3,"Gamprin",-1.96
"279","2012-01-26",4,"Mauren",-1.96
"280","2012-01-26",5,"Planken",-1.96
"281","2012-01-26",6,"Ruggell",-1.96
"282","2012-01-26",7,"Schaan",-2.76
"283","2012-01-26",8,"Schellenberg",-1.96
"284","2012-01-26",9,"Triesenberg",-3.94
"285","2012-01-26",10,"Triesen",-4.99
"286","2012-01-26",11,"Valduz",-2.62
"287","2012-01-27",1,"Balzers",-3.25
"288","2012-01-27",2,"Eschen",-0.57
"289","2012-01-27",3,"Gamprin",-0.57
"290","2012-01-27",4,"Mauren",-0.57
"291","2012-01-27",5,"Planken",-0.57
"292","2012-01-27",6,"Ruggell",-0.57
"293","2012-01-27",7,"Schaan",-1.58
"294","2012-01-27",8,"Schellenberg",-0.57
"295","2012-01-27",9,"Triesenberg",-2.95
"296","2012-01-27",10,"Triesen",-4.39
"297","2012-01-27",11,"Valduz",-1.4
"298","2012-01-28",1,"Balzers",-1.64
"299","2012-01-28",2,"Eschen",0.53
"300","2012-01-28",3,"Gamprin",0.53
"301","2012-01-28",4,"Mauren",0.53
"302","2012-01-28",5,"Planken",0.53
"303","2012-01-28",6,"Ruggell",0.53
"304","2012-01-28",7,"Schaan",-0.27
"305","2012-01-28",8,"Schellenberg",0.53
"306","2012-01-28",9,"Triesenberg",-1.41
"307","2012-01-28",10,"Triesen",-2.52
"308","2012-01-28",11,"Valduz",-0.13
"309","2012-01-29",1,"Balzers",-3.07
"310","2012-01-29",2,"Eschen",-1.35
