"","date","ID_1","NAME_1","t2m"
"1","2014-01-01",1,"Diekirch",3.67
"2","2014-01-01",2,"Grevenmacher",4.2
"3","2014-01-01",3,"Luxembourg",4.5
"4","2014-01-02",1,"Diekirch",6.87
"5","2014-01-02",2,"Grevenmacher",7.4
"6","2014-01-02",3,"Luxembourg",7.48
"7","2014-01-03",1,"Diekirch",5.4
"8","2014-01-03",2,"Grevenmacher",5.41
"9","2014-01-03",3,"Luxembourg",5.5
"10","2014-01-04",1,"Diekirch",5.12
"11","2014-01-04",2,"Grevenmacher",6.14
"12","2014-01-04",3,"Luxembourg",6
"13","2014-01-05",1,"Diekirch",6.1
"14","2014-01-05",2,"Grevenmacher",6.71
"15","2014-01-05",3,"Luxembourg",6.57
"16","2014-01-06",1,"Diekirch",4.27
"17","2014-01-06",2,"Grevenmacher",4.26
"18","2014-01-06",3,"Luxembourg",4.73
"19","2014-01-07",1,"Diekirch",8.72
"20","2014-01-07",2,"Grevenmacher",9.02
"21","2014-01-07",3,"Luxembourg",9.17
"22","2014-01-08",1,"Diekirch",9.1
"23","2014-01-08",2,"Grevenmacher",9.59
"24","2014-01-08",3,"Luxembourg",9.55
"25","2014-01-09",1,"Diekirch",7.91
"26","2014-01-09",2,"Grevenmacher",8.23
"27","2014-01-09",3,"Luxembourg",8.32
"28","2014-01-10",1,"Diekirch",3.9
"29","2014-01-10",2,"Grevenmacher",4.55
"30","2014-01-10",3,"Luxembourg",4.43
"31","2014-01-11",1,"Diekirch",1.4
"32","2014-01-11",2,"Grevenmacher",0.44
"33","2014-01-11",3,"Luxembourg",1.03
"34","2014-01-12",1,"Diekirch",1.16
"35","2014-01-12",2,"Grevenmacher",1.05
"36","2014-01-12",3,"Luxembourg",0.91
"37","2014-01-13",1,"Diekirch",0.61
"38","2014-01-13",2,"Grevenmacher",0.43
"39","2014-01-13",3,"Luxembourg",0.68
"40","2014-01-14",1,"Diekirch",3.78
"41","2014-01-14",2,"Grevenmacher",3.74
"42","2014-01-14",3,"Luxembourg",3.76
"43","2014-01-15",1,"Diekirch",0.91
"44","2014-01-15",2,"Grevenmacher",1.6
"45","2014-01-15",3,"Luxembourg",1.11
"46","2014-01-16",1,"Diekirch",3.85
"47","2014-01-16",2,"Grevenmacher",4.1
"48","2014-01-16",3,"Luxembourg",4.41
"49","2014-01-17",1,"Diekirch",5.59
"50","2014-01-17",2,"Grevenmacher",5.9
"51","2014-01-17",3,"Luxembourg",5.87
"52","2014-01-18",1,"Diekirch",2.96
"53","2014-01-18",2,"Grevenmacher",2.68
"54","2014-01-18",3,"Luxembourg",2.82
"55","2014-01-19",1,"Diekirch",2.88
"56","2014-01-19",2,"Grevenmacher",2.63
"57","2014-01-19",3,"Luxembourg",3.15
"58","2014-01-20",1,"Diekirch",3.26
"59","2014-01-20",2,"Grevenmacher",2.47
"60","2014-01-20",3,"Luxembourg",3.14
"61","2014-01-21",1,"Diekirch",2.44
"62","2014-01-21",2,"Grevenmacher",3.41
"63","2014-01-21",3,"Luxembourg",3.54
"64","2014-01-22",1,"Diekirch",0.7
"65","2014-01-22",2,"Grevenmacher",1.7
"66","2014-01-22",3,"Luxembourg",1.36
"67","2014-01-23",1,"Diekirch",0.76
"68","2014-01-23",2,"Grevenmacher",1.77
"69","2014-01-23",3,"Luxembourg",1.8
"70","2014-01-24",1,"Diekirch",1.22
"71","2014-01-24",2,"Grevenmacher",2.32
"72","2014-01-24",3,"Luxembourg",2.1
"73","2014-01-25",1,"Diekirch",-0.8
"74","2014-01-25",2,"Grevenmacher",-1.17
"75","2014-01-25",3,"Luxembourg",-1.31
"76","2014-01-26",1,"Diekirch",2.27
"77","2014-01-26",2,"Grevenmacher",3.16
"78","2014-01-26",3,"Luxembourg",3.34
"79","2014-01-27",1,"Diekirch",4.52
"80","2014-01-27",2,"Grevenmacher",5.68
"81","2014-01-27",3,"Luxembourg",5.56
"82","2014-01-28",1,"Diekirch",1.63
