"","date","ID_1","NAME_1","t2m"
"1","2018-01-01",1,"Kurzeme",0.45
"2","2018-01-01",2,"Latgale",0.25
"3","2018-01-01",3,"Riga",0.22
"4","2018-01-01",4,"Vidzeme",-0.03
"5","2018-01-01",5,"Zemgale",0.38
"6","2018-01-02",1,"Kurzeme",4.74
"7","2018-01-02",2,"Latgale",5.12
"8","2018-01-02",3,"Riga",4.54
"9","2018-01-02",4,"Vidzeme",4.57
"10","2018-01-02",5,"Zemgale",4.51
"11","2018-01-03",1,"Kurzeme",2.1
"12","2018-01-03",2,"Latgale",1.4
"13","2018-01-03",3,"Riga",1.87
"14","2018-01-03",4,"Vidzeme",1.16
"15","2018-01-03",5,"Zemgale",1.74
"16","2018-01-04",1,"Kurzeme",2.35
"17","2018-01-04",2,"Latgale",1.87
"18","2018-01-04",3,"Riga",2.11
"19","2018-01-04",4,"Vidzeme",1.6
"20","2018-01-04",5,"Zemgale",2.14
"21","2018-01-05",1,"Kurzeme",3.64
"22","2018-01-05",2,"Latgale",4.29
"23","2018-01-05",3,"Riga",4
"24","2018-01-05",4,"Vidzeme",3.88
"25","2018-01-05",5,"Zemgale",4.07
"26","2018-01-06",1,"Kurzeme",3.79
"27","2018-01-06",2,"Latgale",3.57
"28","2018-01-06",3,"Riga",4.22
"29","2018-01-06",4,"Vidzeme",3.69
"30","2018-01-06",5,"Zemgale",4.48
"31","2018-01-07",1,"Kurzeme",0.14
"32","2018-01-07",2,"Latgale",1.51
"33","2018-01-07",3,"Riga",0.23
"34","2018-01-07",4,"Vidzeme",0.04
"35","2018-01-07",5,"Zemgale",0.77
"36","2018-01-08",1,"Kurzeme",2.14
"37","2018-01-08",2,"Latgale",-1.77
"38","2018-01-08",3,"Riga",0.99
"39","2018-01-08",4,"Vidzeme",-0.17
"40","2018-01-08",5,"Zemgale",-0.35
"41","2018-01-09",1,"Kurzeme",2.62
"42","2018-01-09",2,"Latgale",-1.82
"43","2018-01-09",3,"Riga",1.25
"44","2018-01-09",4,"Vidzeme",-0.08
"45","2018-01-09",5,"Zemgale",-0.06
"46","2018-01-10",1,"Kurzeme",-0.27
"47","2018-01-10",2,"Latgale",-0.04
"48","2018-01-10",3,"Riga",0.43
"49","2018-01-10",4,"Vidzeme",0.09
"50","2018-01-10",5,"Zemgale",0.1
"51","2018-01-11",1,"Kurzeme",-3.18
"52","2018-01-11",2,"Latgale",-3.24
"53","2018-01-11",3,"Riga",-3.61
"54","2018-01-11",4,"Vidzeme",-3.57
"55","2018-01-11",5,"Zemgale",-3.66
"56","2018-01-12",1,"Kurzeme",-1.9
"57","2018-01-12",2,"Latgale",-2.59
"58","2018-01-12",3,"Riga",-2.26
"59","2018-01-12",4,"Vidzeme",-2.93
"60","2018-01-12",5,"Zemgale",-2.45
"61","2018-01-13",1,"Kurzeme",-5.1
"62","2018-01-13",2,"Latgale",-7.43
"63","2018-01-13",3,"Riga",-6.85
"64","2018-01-13",4,"Vidzeme",-8
"65","2018-01-13",5,"Zemgale",-6.66
"66","2018-01-14",1,"Kurzeme",-8.55
"67","2018-01-14",2,"Latgale",-8.5
"68","2018-01-14",3,"Riga",-7.88
"69","2018-01-14",4,"Vidzeme",-8.63
"70","2018-01-14",5,"Zemgale",-8.18
"71","2018-01-15",1,"Kurzeme",-8.06
"72","2018-01-15",2,"Latgale",-9.17
"73","2018-01-15",3,"Riga",-8.26
"74","2018-01-15",4,"Vidzeme",-8.99
"75","2018-01-15",5,"Zemgale",-8.48
"76","2018-01-16",1,"Kurzeme",-8.62
"77","2018-01-16",2,"Latgale",-11.5
"78","2018-01-16",3,"Riga",-9.65
"79","2018-01-16",4,"Vidzeme",-11.02
"80","2018-01-16",5,"Zemgale",-10.11
"81","2018-01-17",1,"Kurzeme",-7.53
"82","2018-01-17",2,"Latgale",-9.92
"83","2018-01-17",3,"Riga",-9.3
"84","2018-01-17",4,"Vidzeme",-10.12
"85","2018-01-17",5,"Zemgale",-9.28
"86","2018-01-18",1,"Kurzeme",-5.26
"87","2018-01-18",2,"Latgale",-3.87
"88","2018-01-18",3,"Riga",-5.54
"89","2018-01-18",4,"Vidzeme",-5.08
"90","2018-01-18",5,"Zemgale",-5.37
"91","2018-01-19",1,"Kurzeme",-1.4
"92","2018-01-19",2,"Latgale",-1.58
"93","2018-01-19",3,"Riga",-1.27
"94","2018-01-19",4,"Vidzeme",-1.94
"95","2018-01-19",5,"Zemgale",-1.13
"96","2018-01-20",1,"Kurzeme",-3.76
"97","2018-01-20",2,"Latgale",-2.93
"98","2018-01-20",3,"Riga",-2.52
"99","2018-01-20",4,"Vidzeme",-3.08
"100","2018-01-20",5,"Zemgale",-2.84
"101","2018-01-21",1,"Kurzeme",-3.91
"102","2018-01-21",2,"Latgale",-4.14
"103","2018-01-21",3,"Riga",-3.77
"104","2018-01-21",4,"Vidzeme",-4.87
"105","2018-01-21",5,"Zemgale",-3.84
"106","2018-01-22",1,"Kurzeme",-8.98
"107","2018-01-22",2,"Latgale",-6.23
"108","2018-01-22",3,"Riga",-7.44
"109","2018-01-22",4,"Vidzeme",-7.67
"110","2018-01-22",5,"Zemgale",-7.39
"111","2018-01-23",1,"Kurzeme",-4.78
"112","2018-01-23",2,"Latgale",-7.71
"113","2018-01-23",3,"Riga",-5.9
"114","2018-01-23",4,"Vidzeme",-6.22
"115","2018-01-23",5,"Zemgale",-8.1
"116","2018-01-24",1,"Kurzeme",-5.47
"117","2018-01-24",2,"Latgale",-11.67
"118","2018-01-24",3,"Riga",-8.01
"119","2018-01-24",4,"Vidzeme",-9.03
"120","2018-01-24",5,"Zemgale",-9.62
"121","2018-01-25",1,"Kurzeme",3.46
"122","2018-01-25",2,"Latgale",-1.95
"123","2018-01-25",3,"Riga",1.63
"124","2018-01-25",4,"Vidzeme",-0.28
"125","2018-01-25",5,"Zemgale",0.74
"126","2018-01-26",1,"Kurzeme",3.8
"127","2018-01-26",2,"Latgale",2.07
"128","2018-01-26",3,"Riga",3.38
"129","2018-01-26",4,"Vidzeme",2.85
"130","2018-01-26",5,"Zemgale",2.96
"131","2018-01-27",1,"Kurzeme",2.5
"132","2018-01-27",2,"Latgale",-0.72
"133","2018-01-27",3,"Riga",1.12
"134","2018-01-27",4,"Vidzeme",0.36
"135","2018-01-27",5,"Zemgale",0.74
"136","2018-01-28",1,"Kurzeme",1.64
"137","2018-01-28",2,"Latgale",0.68
"138","2018-01-28",3,"Riga",0.63
"139","2018-01-28",4,"Vidzeme",0.29
"140","2018-01-28",5,"Zemgale",0.83
"141","2018-01-29",1,"Kurzeme",4.3
"142","2018-01-29",2,"Latgale",0.65
"143","2018-01-29",3,"Riga",2.3
"144","2018-01-29",4,"Vidzeme",0.64
"145","2018-01-29",5,"Zemgale",2.58
"146","2018-01-30",1,"Kurzeme",1.52
"147","2018-01-30",2,"Latgale",0.16
"148","2018-01-30",3,"Riga",0.48
"149","2018-01-30",4,"Vidzeme",-0.12
"150","2018-01-30",5,"Zemgale",1.55
"151","2018-01-31",1,"Kurzeme",-0.13
"152","2018-01-31",2,"Latgale",-3.14
"153","2018-01-31",3,"Riga",-1.47
"154","2018-01-31",4,"Vidzeme",-3.62
"155","2018-01-31",5,"Zemgale",-0.9
"156","2018-02-01",1,"Kurzeme",0.93
"157","2018-02-01",2,"Latgale",-1.2
"158","2018-02-01",3,"Riga",0.59
"159","2018-02-01",4,"Vidzeme",-1.21
"160","2018-02-01",5,"Zemgale",0.71
"161","2018-02-02",1,"Kurzeme",0.99
"162","2018-02-02",2,"Latgale",-0.18
"163","2018-02-02",3,"Riga",0.08
"164","2018-02-02",4,"Vidzeme",0.28
"165","2018-02-02",5,"Zemgale",0.43
"166","2018-02-03",1,"Kurzeme",-0.69
"167","2018-02-03",2,"Latgale",-1.15
"168","2018-02-03",3,"Riga",-0.27
"169","2018-02-03",4,"Vidzeme",-0.77
"170","2018-02-03",5,"Zemgale",-0.4
"171","2018-02-04",1,"Kurzeme",-0.68
"172","2018-02-04",2,"Latgale",-2.63
"173","2018-02-04",3,"Riga",-1.54
"174","2018-02-04",4,"Vidzeme",-3.11
"175","2018-02-04",5,"Zemgale",-1.5
"176","2018-02-05",1,"Kurzeme",-4.78
"177","2018-02-05",2,"Latgale",-10.63
"178","2018-02-05",3,"Riga",-6.88
"179","2018-02-05",4,"Vidzeme",-9.13
"180","2018-02-05",5,"Zemgale",-7.83
"181","2018-02-06",1,"Kurzeme",-5.19
"182","2018-02-06",2,"Latgale",-10.06
"183","2018-02-06",3,"Riga",-7.68
"184","2018-02-06",4,"Vidzeme",-9.75
"185","2018-02-06",5,"Zemgale",-8.29
"186","2018-02-07",1,"Kurzeme",-3.36
"187","2018-02-07",2,"Latgale",-4.93
"188","2018-02-07",3,"Riga",-3.86
"189","2018-02-07",4,"Vidzeme",-5.22
"190","2018-02-07",5,"Zemgale",-4.1
"191","2018-02-08",1,"Kurzeme",-7.01
"192","2018-02-08",2,"Latgale",-11.04
"193","2018-02-08",3,"Riga",-8.23
"194","2018-02-08",4,"Vidzeme",-9.72
"195","2018-02-08",5,"Zemgale",-10.77
"196","2018-02-09",1,"Kurzeme",-3.9
"197","2018-02-09",2,"Latgale",-3.46
