"","date","ID_1","NAME_1","t2m"
"1","2011-01-01",1,"Šavnik",-9.61
"2","2011-01-01",2,"Žabljak",-8.36
"3","2011-01-01",3,"Andrijevica",-9.35
"4","2011-01-01",4,"Bar",4.13
"5","2011-01-01",5,"Berane",-8.83
"6","2011-01-01",6,"Bijelo Polje",-7.08
"7","2011-01-01",7,"Budva",5.56
"8","2011-01-01",8,"Cetinje",-1.78
"9","2011-01-01",9,"Danilovgrad",-5.74
"10","2011-01-01",10,"Herceg Novi",0.66
"11","2011-01-01",11,"Kolašin",-8.34
"12","2011-01-01",12,"Kotor",1.59
"13","2011-01-01",13,"Mojkovac",-6.89
"14","2011-01-01",14,"Nikšic",-9.57
"15","2011-01-01",15,"Plav",-11.44
"16","2011-01-01",16,"Pljevlja",-7.24
"17","2011-01-01",17,"Plužine",-8.47
"18","2011-01-01",18,"Podgorica",-4.01
"19","2011-01-01",19,"Rožaje",-8.59
"20","2011-01-01",20,"Tivat",-0.6
"21","2011-01-01",21,"Ulcinj",4.66
"22","2011-01-02",1,"Šavnik",-8.47
"23","2011-01-02",2,"Žabljak",-7.72
"24","2011-01-02",3,"Andrijevica",-5.98
"25","2011-01-02",4,"Bar",5.2
"26","2011-01-02",5,"Berane",-5.67
"27","2011-01-02",6,"Bijelo Polje",-4.66
"28","2011-01-02",7,"Budva",6.33
"29","2011-01-02",8,"Cetinje",-0.25
"30","2011-01-02",9,"Danilovgrad",-3.83
"31","2011-01-02",10,"Herceg Novi",1.92
"32","2011-01-02",11,"Kolašin",-6.21
"33","2011-01-02",12,"Kotor",2.72
"34","2011-01-02",13,"Mojkovac",-5.57
"35","2011-01-02",14,"Nikšic",-7.04
"36","2011-01-02",15,"Plav",-7.56
"37","2011-01-02",16,"Pljevlja",-6.62
"38","2011-01-02",17,"Plužine",-7.26
"39","2011-01-02",18,"Podgorica",-1.86
"40","2011-01-02",19,"Rožaje",-5.94
"41","2011-01-02",20,"Tivat",0.72
"42","2011-01-02",21,"Ulcinj",6.12
"43","2011-01-03",1,"Šavnik",-5.31
"44","2011-01-03",2,"Žabljak",-5.16
"45","2011-01-03",3,"Andrijevica",-2.5
"46","2011-01-03",4,"Bar",7.01
"47","2011-01-03",5,"Berane",-2.81
"48","2011-01-03",6,"Bijelo Polje",-2.41
"49","2011-01-03",7,"Budva",7.48
"50","2011-01-03",8,"Cetinje",2.65
"51","2011-01-03",9,"Danilovgrad",0.53
"52","2011-01-03",10,"Herceg Novi",3.98
"53","2011-01-03",11,"Kolašin",-2.31
"54","2011-01-03",12,"Kotor",4.49
"55","2011-01-03",13,"Mojkovac",-2.93
"56","2011-01-03",14,"Nikšic",-2.53
"57","2011-01-03",15,"Plav",-3.14
"58","2011-01-03",16,"Pljevlja",-3.61
"59","2011-01-03",17,"Plužine",-4.53
"60","2011-01-03",18,"Podgorica",2.16
"61","2011-01-03",19,"Rožaje",-3.12
"62","2011-01-03",20,"Tivat",2.96
"63","2011-01-03",21,"Ulcinj",7.37
"64","2011-01-04",1,"Šavnik",-12.14
"65","2011-01-04",2,"Žabljak",-12.09
"66","2011-01-04",3,"Andrijevica",-8.26
"67","2011-01-04",4,"Bar",3.76
"68","2011-01-04",5,"Berane",-8.02
"69","2011-01-04",6,"Bijelo Polje",-6.65
"70","2011-01-04",7,"Budva",4.09
"71","2011-01-04",8,"Cetinje",-0.63
"72","2011-01-04",9,"Danilovgrad",-3.88
"73","2011-01-04",10,"Herceg Novi",0.79
"74","2011-01-04",11,"Kolašin",-8.53
