"","date","ID_1","NAME_1","t2m"
"1","2021-01-01",1,"Šavnik",-1.52
"2","2021-01-01",2,"Žabljak",-1.58
"3","2021-01-01",3,"Andrijevica",-2.08
"4","2021-01-01",4,"Bar",7.76
"5","2021-01-01",5,"Berane",-2.77
"6","2021-01-01",6,"Bijelo Polje",-2.04
"7","2021-01-01",7,"Budva",7.92
"8","2021-01-01",8,"Cetinje",4.36
"9","2021-01-01",9,"Danilovgrad",2.27
"10","2021-01-01",10,"Herceg Novi",5.44
"11","2021-01-01",11,"Kolašin",-1.05
"12","2021-01-01",12,"Kotor",5.77
"13","2021-01-01",13,"Mojkovac",-2.39
"14","2021-01-01",14,"Nikšic",0.94
"15","2021-01-01",15,"Plav",-2.87
"16","2021-01-01",16,"Pljevlja",-0.84
"17","2021-01-01",17,"Plužine",-0.4
"18","2021-01-01",18,"Podgorica",2.8
"19","2021-01-01",19,"Rožaje",-4.55
"20","2021-01-01",20,"Tivat",4.63
"21","2021-01-01",21,"Ulcinj",8.83
"22","2021-01-02",1,"Šavnik",-1
"23","2021-01-02",2,"Žabljak",-1.17
"24","2021-01-02",3,"Andrijevica",-1.71
"25","2021-01-02",4,"Bar",8.51
"26","2021-01-02",5,"Berane",-2.39
"27","2021-01-02",6,"Bijelo Polje",-1.39
"28","2021-01-02",7,"Budva",8.78
"29","2021-01-02",8,"Cetinje",5.09
"30","2021-01-02",9,"Danilovgrad",3.08
"31","2021-01-02",10,"Herceg Novi",6.81
"32","2021-01-02",11,"Kolašin",-0.16
"33","2021-01-02",12,"Kotor",6.9
"34","2021-01-02",13,"Mojkovac",-1.6
"35","2021-01-02",14,"Nikšic",1.68
"36","2021-01-02",15,"Plav",-2.49
"37","2021-01-02",16,"Pljevlja",-0.64
"38","2021-01-02",17,"Plužine",0.03
"39","2021-01-02",18,"Podgorica",3.61
"40","2021-01-02",19,"Rožaje",-4.11
"41","2021-01-02",20,"Tivat",5.62
"42","2021-01-02",21,"Ulcinj",9.67
"43","2021-01-03",1,"Šavnik",1.04
"44","2021-01-03",2,"Žabljak",0.97
"45","2021-01-03",3,"Andrijevica",0.73
"46","2021-01-03",4,"Bar",9.93
"47","2021-01-03",5,"Berane",0.06
"48","2021-01-03",6,"Bijelo Polje",1.12
"49","2021-01-03",7,"Budva",10.04
"50","2021-01-03",8,"Cetinje",6.41
"51","2021-01-03",9,"Danilovgrad",4.68
"52","2021-01-03",10,"Herceg Novi",7.82
"53","2021-01-03",11,"Kolašin",1.97
"54","2021-01-03",12,"Kotor",7.85
"55","2021-01-03",13,"Mojkovac",0.93
"56","2021-01-03",14,"Nikšic",2.87
"57","2021-01-03",15,"Plav",0.04
"58","2021-01-03",16,"Pljevlja",1.6
"59","2021-01-03",17,"Plužine",1.39
"60","2021-01-03",18,"Podgorica",5.7
"61","2021-01-03",19,"Rožaje",-0.95
"62","2021-01-03",20,"Tivat",6.61
"63","2021-01-03",21,"Ulcinj",10.52
"64","2021-01-04",1,"Šavnik",0.31
"65","2021-01-04",2,"Žabljak",0.24
"66","2021-01-04",3,"Andrijevica",0.29
"67","2021-01-04",4,"Bar",10.34
"68","2021-01-04",5,"Berane",-0.23
"69","2021-01-04",6,"Bijelo Polje",0.84
"70","2021-01-04",7,"Budva",9.6
"71","2021-01-04",8,"Cetinje",5.18
