"","date","ID_1","NAME_1","t2m"
"1","2021-01-01",1,"Balaka",22.36
"2","2021-01-01",2,"Blantyre",22.49
"3","2021-01-01",3,"Chikwawa",24.33
"4","2021-01-01",4,"Chiradzulu",21.49
"5","2021-01-01",5,"Chitipa",17.96
"6","2021-01-01",6,"Dedza",21.4
"7","2021-01-01",7,"Dowa",19.54
"8","2021-01-01",8,"Karonga",23.08
"9","2021-01-01",9,"Kasungu",19.71
"10","2021-01-01",10,"Likoma",24.74
"11","2021-01-01",11,"Lilongwe",19.57
"12","2021-01-01",12,"Machinga",22.23
"13","2021-01-01",13,"Mangochi",22.9
"14","2021-01-01",14,"Mchinji",19.72
"15","2021-01-01",15,"Mulanje",21.43
"16","2021-01-01",16,"Mwanza",22.78
"17","2021-01-01",17,"Mzimba",18.65
"18","2021-01-01",18,"Neno",21.67
"19","2021-01-01",19,"Nkhata Bay",23.73
"20","2021-01-01",20,"Nkhotakota",22.87
"21","2021-01-01",21,"Nsanje",24.29
"22","2021-01-01",22,"Ntcheu",20.53
"23","2021-01-01",23,"Ntchisi",19.49
"24","2021-01-01",24,"Phalombe",22.11
"25","2021-01-01",25,"Rumphi",20.31
"26","2021-01-01",26,"Salima",23.65
"27","2021-01-01",27,"Thyolo",22.58
"28","2021-01-01",28,"Zomba",22.58
"29","2021-01-02",1,"Balaka",21.87
"30","2021-01-02",2,"Blantyre",21.86
"31","2021-01-02",3,"Chikwawa",24.13
"32","2021-01-02",4,"Chiradzulu",20.3
"33","2021-01-02",5,"Chitipa",17.48
"34","2021-01-02",6,"Dedza",20.47
"35","2021-01-02",7,"Dowa",19.88
"36","2021-01-02",8,"Karonga",21.88
"37","2021-01-02",9,"Kasungu",19.93
"38","2021-01-02",10,"Likoma",23.37
"39","2021-01-02",11,"Lilongwe",19.54
"40","2021-01-02",12,"Machinga",21.86
"41","2021-01-02",13,"Mangochi",21.74
"42","2021-01-02",14,"Mchinji",20.36
"43","2021-01-02",15,"Mulanje",20.63
"44","2021-01-02",16,"Mwanza",22.76
"45","2021-01-02",17,"Mzimba",18.35
"46","2021-01-02",18,"Neno",21.71
"47","2021-01-02",19,"Nkhata Bay",22.73
"48","2021-01-02",20,"Nkhotakota",22.23
"49","2021-01-02",21,"Nsanje",24.73
"50","2021-01-02",22,"Ntcheu",20.16
"51","2021-01-02",23,"Ntchisi",19.92
"52","2021-01-02",24,"Phalombe",21.43
"53","2021-01-02",25,"Rumphi",19.3
"54","2021-01-02",26,"Salima",22.33
"55","2021-01-02",27,"Thyolo",21.77
"56","2021-01-02",28,"Zomba",21.76
"57","2021-01-03",1,"Balaka",21.46
"58","2021-01-03",2,"Blantyre",21.07
"59","2021-01-03",3,"Chikwawa",24.25
"60","2021-01-03",4,"Chiradzulu",19.86
"61","2021-01-03",5,"Chitipa",17.09
"62","2021-01-03",6,"Dedza",20.24
"63","2021-01-03",7,"Dowa",18.14
"64","2021-01-03",8,"Karonga",21.43
"65","2021-01-03",9,"Kasungu",18.27
"66","2021-01-03",10,"Likoma",22.6
"67","2021-01-03",11,"Lilongwe",18.52
"68","2021-01-03",12,"Machinga",21.5
"69","2021-01-03",13,"Mangochi",21.71
"70","2021-01-03",14,"Mchinji",18.65
"71","2021-01-03",15,"Mulanje",20.4
"72","2021-01-03",16,"Mwanza",22.28
"73","2021-01-03",17,"Mzimba",17.24
"74","2021-01-03",18,"Neno",20.97
"75","2021-01-03",19,"Nkhata Bay",21.32
"76","2021-01-03",20,"Nkhotakota",21.08
"77","2021-01-03",21,"Nsanje",25.26
"78","2021-01-03",22,"Ntcheu",19.93
"79","2021-01-03",23,"Ntchisi",18.05
"80","2021-01-03",24,"Phalombe",21.07
"81","2021-01-03",25,"Rumphi",18.23
"82","2021-01-03",26,"Salima",21.68
"83","2021-01-03",27,"Thyolo",21.61
"84","2021-01-03",28,"Zomba",21.14
"85","2021-01-04",1,"Balaka",21.95
"86","2021-01-04",2,"Blantyre",21.7
"87","2021-01-04",3,"Chikwawa",23.75
"88","2021-01-04",4,"Chiradzulu",20.41
"89","2021-01-04",5,"Chitipa",17.67
"90","2021-01-04",6,"Dedza",20.81
"91","2021-01-04",7,"Dowa",18.85
"92","2021-01-04",8,"Karonga",22.29
"93","2021-01-04",9,"Kasungu",18.34
"94","2021-01-04",10,"Likoma",23.48
"95","2021-01-04",11,"Lilongwe",19.09
"96","2021-01-04",12,"Machinga",21.77
"97","2021-01-04",13,"Mangochi",22.32
"98","2021-01-04",14,"Mchinji",18.81
"99","2021-01-04",15,"Mulanje",20.66
"100","2021-01-04",16,"Mwanza",22.28
"101","2021-01-04",17,"Mzimba",17.81
"102","2021-01-04",18,"Neno",21.41
"103","2021-01-04",19,"Nkhata Bay",21.92
"104","2021-01-04",20,"Nkhotakota",21.85
"105","2021-01-04",21,"Nsanje",23.75
"106","2021-01-04",22,"Ntcheu",20.14
"107","2021-01-04",23,"Ntchisi",18.54
"108","2021-01-04",24,"Phalombe",21.28
"109","2021-01-04",25,"Rumphi",19
"110","2021-01-04",26,"Salima",22.54
"111","2021-01-04",27,"Thyolo",21.69
"112","2021-01-04",28,"Zomba",21.5
"113","2021-01-05",1,"Balaka",22.33
"114","2021-01-05",2,"Blantyre",21.72
"115","2021-01-05",3,"Chikwawa",24.06
"116","2021-01-05",4,"Chiradzulu",20.69
"117","2021-01-05",5,"Chitipa",17.56
"118","2021-01-05",6,"Dedza",21.33
"119","2021-01-05",7,"Dowa",19.94
"120","2021-01-05",8,"Karonga",21.92
"121","2021-01-05",9,"Kasungu",19.9
"122","2021-01-05",10,"Likoma",23.49
"123","2021-01-05",11,"Lilongwe",19.44
"124","2021-01-05",12,"Machinga",22.45
"125","2021-01-05",13,"Mangochi",22.98
"126","2021-01-05",14,"Mchinji",19.53
"127","2021-01-05",15,"Mulanje",21.04
"128","2021-01-05",16,"Mwanza",22.56
"129","2021-01-05",17,"Mzimba",18.47
"130","2021-01-05",18,"Neno",21.52
"131","2021-01-05",19,"Nkhata Bay",22.15
"132","2021-01-05",20,"Nkhotakota",22.57
"133","2021-01-05",21,"Nsanje",24.89
"134","2021-01-05",22,"Ntcheu",20.39
"135","2021-01-05",23,"Ntchisi",20.16
"136","2021-01-05",24,"Phalombe",21.55
"137","2021-01-05",25,"Rumphi",18.99
"138","2021-01-05",26,"Salima",23.36
"139","2021-01-05",27,"Thyolo",22.08
"140","2021-01-05",28,"Zomba",21.98
"141","2021-01-06",1,"Balaka",22.52
"142","2021-01-06",2,"Blantyre",22.59
"143","2021-01-06",3,"Chikwawa",25.18
"144","2021-01-06",4,"Chiradzulu",21.6
"145","2021-01-06",5,"Chitipa",18.5
"146","2021-01-06",6,"Dedza",21.51
"147","2021-01-06",7,"Dowa",19.84
"148","2021-01-06",8,"Karonga",22.83
"149","2021-01-06",9,"Kasungu",19.35
"150","2021-01-06",10,"Likoma",24.72
"151","2021-01-06",11,"Lilongwe",19.6
"152","2021-01-06",12,"Machinga",22.56
"153","2021-01-06",13,"Mangochi",22.98
"154","2021-01-06",14,"Mchinji",18.97
"155","2021-01-06",15,"Mulanje",21.53
"156","2021-01-06",16,"Mwanza",22.7
"157","2021-01-06",17,"Mzimba",17.86
"158","2021-01-06",18,"Neno",21.65
"159","2021-01-06",19,"Nkhata Bay",23.1
"160","2021-01-06",20,"Nkhotakota",23.46
