"","date","ID_1","NAME_1","t2m"
"1","2021-01-01",1,"Abia",26.06
"2","2021-01-01",2,"Adamawa",20.57
"3","2021-01-01",3,"Akwa Ibom",26.12
"4","2021-01-01",4,"Anambra",27.42
"5","2021-01-01",5,"Bauchi",18.37
"6","2021-01-01",6,"Bayelsa",26.72
"7","2021-01-01",7,"Benue",25.08
"8","2021-01-01",8,"Borno",18.55
"9","2021-01-01",9,"Cross River",25.4
"10","2021-01-01",10,"Delta",26.4
"11","2021-01-01",11,"Ebonyi",27.04
"12","2021-01-01",12,"Edo",25.69
"13","2021-01-01",13,"Ekiti",23.6
"14","2021-01-01",14,"Enugu",27.05
"15","2021-01-01",15,"Federal Capital Territory",25.13
"16","2021-01-01",16,"Gombe",19.81
"17","2021-01-01",17,"Imo",26.17
"18","2021-01-01",18,"Jigawa",17.36
"19","2021-01-01",19,"Kaduna",20.4
"20","2021-01-01",20,"Kano",17.76
"21","2021-01-01",21,"Katsina",17.75
"22","2021-01-01",22,"Kebbi",22.32
"23","2021-01-01",23,"Kogi",25.88
"24","2021-01-01",24,"Kwara",24.32
"25","2021-01-01",25,"Lagos",27.08
"26","2021-01-01",26,"Nassarawa",24.78
"27","2021-01-01",27,"Niger",24.53
"28","2021-01-01",28,"Ogun",25.81
"29","2021-01-01",29,"Ondo",24.98
"30","2021-01-01",30,"Osun",24.06
"31","2021-01-01",31,"Oyo",24.39
"32","2021-01-01",32,"Plateau",21.26
"33","2021-01-01",33,"Rivers",26.45
"34","2021-01-01",34,"Sokoto",20.8
"35","2021-01-01",35,"Taraba",22.81
"36","2021-01-01",36,"Water body",20.75
"37","2021-01-01",37,"Yobe",17.47
"38","2021-01-01",38,"Zamfara",20.28
"39","2021-01-02",1,"Abia",25.64
"40","2021-01-02",2,"Adamawa",21.26
"41","2021-01-02",3,"Akwa Ibom",25.68
"42","2021-01-02",4,"Anambra",26.47
"43","2021-01-02",5,"Bauchi",17.45
"44","2021-01-02",6,"Bayelsa",26.03
"45","2021-01-02",7,"Benue",25.75
"46","2021-01-02",8,"Borno",17.94
"47","2021-01-02",9,"Cross River",25.61
"48","2021-01-02",10,"Delta",25.89
"49","2021-01-02",11,"Ebonyi",26.96
"50","2021-01-02",12,"Edo",25.65
"51","2021-01-02",13,"Ekiti",23.94
"52","2021-01-02",14,"Enugu",26.55
"53","2021-01-02",15,"Federal Capital Territory",24.84
"54","2021-01-02",16,"Gombe",18.66
"55","2021-01-02",17,"Imo",25.38
"56","2021-01-02",18,"Jigawa",16.36
"57","2021-01-02",19,"Kaduna",19.41
"58","2021-01-02",20,"Kano",17.8
"59","2021-01-02",21,"Katsina",17.07
"60","2021-01-02",22,"Kebbi",22.14
"61","2021-01-02",23,"Kogi",26.51
"62","2021-01-02",24,"Kwara",24.1
"63","2021-01-02",25,"Lagos",27.23
"64","2021-01-02",26,"Nassarawa",24.66
"65","2021-01-02",27,"Niger",23.85
"66","2021-01-02",28,"Ogun",26.09
"67","2021-01-02",29,"Ondo",25.14
"68","2021-01-02",30,"Osun",24.56
"69","2021-01-02",31,"Oyo",24.83
"70","2021-01-02",32,"Plateau",20.46
"71","2021-01-02",33,"Rivers",25.6
"72","2021-01-02",34,"Sokoto",20.47
"73","2021-01-02",35,"Taraba",22.48
"74","2021-01-02",36,"Water body",21.03
"75","2021-01-02",37,"Yobe",16.61
"76","2021-01-02",38,"Zamfara",19.76
"77","2021-01-03",1,"Abia",26.33
"78","2021-01-03",2,"Adamawa",22.15
"79","2021-01-03",3,"Akwa Ibom",26.13
"80","2021-01-03",4,"Anambra",27.13
"81","2021-01-03",5,"Bauchi",19.11
"82","2021-01-03",6,"Bayelsa",26.68
"83","2021-01-03",7,"Benue",26.22
"84","2021-01-03",8,"Borno",18.48
"85","2021-01-03",9,"Cross River",25.91
"86","2021-01-03",10,"Delta",26.34
"87","2021-01-03",11,"Ebonyi",27.64
"88","2021-01-03",12,"Edo",25.81
"89","2021-01-03",13,"Ekiti",24.45
"90","2021-01-03",14,"Enugu",27.25
"91","2021-01-03",15,"Federal Capital Territory",26.3
"92","2021-01-03",16,"Gombe",20.54
"93","2021-01-03",17,"Imo",25.76
"94","2021-01-03",18,"Jigawa",17.57
"95","2021-01-03",19,"Kaduna",21.12
"96","2021-01-03",20,"Kano",18.46
"97","2021-01-03",21,"Katsina",19.36
"98","2021-01-03",22,"Kebbi",24.44
"99","2021-01-03",23,"Kogi",26.92
"100","2021-01-03",24,"Kwara",25.24
"101","2021-01-03",25,"Lagos",27.36
"102","2021-01-03",26,"Nassarawa",26.11
"103","2021-01-03",27,"Niger",24.85
"104","2021-01-03",28,"Ogun",26.39
"105","2021-01-03",29,"Ondo",25.37
"106","2021-01-03",30,"Osun",25.07
"107","2021-01-03",31,"Oyo",25.24
"108","2021-01-03",32,"Plateau",21.69
"109","2021-01-03",33,"Rivers",25.9
"110","2021-01-03",34,"Sokoto",22.31
"111","2021-01-03",35,"Taraba",23.37
"112","2021-01-03",36,"Water body",20.88
"113","2021-01-03",37,"Yobe",17.28
"114","2021-01-03",38,"Zamfara",21.53
"115","2021-01-04",1,"Abia",25.52
"116","2021-01-04",2,"Adamawa",21.53
"117","2021-01-04",3,"Akwa Ibom",25.79
"118","2021-01-04",4,"Anambra",25.95
"119","2021-01-04",5,"Bauchi",19.16
"120","2021-01-04",6,"Bayelsa",25.73
