"","date","ID_0","NAME_0","t2m"
"1","2019-01-01",1,"Netherlands",8.03
"2","2019-01-02",1,"Netherlands",5.83
"3","2019-01-03",1,"Netherlands",3.96
"4","2019-01-04",1,"Netherlands",3.22
"5","2019-01-05",1,"Netherlands",6.43
"6","2019-01-06",1,"Netherlands",6.4
"7","2019-01-07",1,"Netherlands",4.42
"8","2019-01-08",1,"Netherlands",8.16
"9","2019-01-09",1,"Netherlands",4.96
"10","2019-01-10",1,"Netherlands",1.96
"11","2019-01-11",1,"Netherlands",3.93
"12","2019-01-12",1,"Netherlands",6.55
"13","2019-01-13",1,"Netherlands",7.48
"14","2019-01-14",1,"Netherlands",7.11
"15","2019-01-15",1,"Netherlands",2.95
"16","2019-01-16",1,"Netherlands",7.3
"17","2019-01-17",1,"Netherlands",5.2
"18","2019-01-18",1,"Netherlands",1.3
"19","2019-01-19",1,"Netherlands",-1.07
"20","2019-01-20",1,"Netherlands",-2.86
"21","2019-01-21",1,"Netherlands",-4.65
"22","2019-01-22",1,"Netherlands",-1.58
"23","2019-01-23",1,"Netherlands",-0.9
"24","2019-01-24",1,"Netherlands",-2.72
"25","2019-01-25",1,"Netherlands",-3.24
"26","2019-01-26",1,"Netherlands",5.62
"27","2019-01-27",1,"Netherlands",6.86
"28","2019-01-28",1,"Netherlands",4.13
"29","2019-01-29",1,"Netherlands",1.69
"30","2019-01-30",1,"Netherlands",0.52
"31","2019-01-31",1,"Netherlands",0
"32","2019-02-01",1,"Netherlands",-0.66
"33","2019-02-02",1,"Netherlands",1.29
"34","2019-02-03",1,"Netherlands",1.07
"35","2019-02-04",1,"Netherlands",0.54
"36","2019-02-05",1,"Netherlands",3.38
"37","2019-02-06",1,"Netherlands",3.38
"38","2019-02-07",1,"Netherlands",6.62
"39","2019-02-08",1,"Netherlands",5.92
"40","2019-02-09",1,"Netherlands",8.33
"41","2019-02-10",1,"Netherlands",7.8
"42","2019-02-11",1,"Netherlands",5.2
"43","2019-02-12",1,"Netherlands",2.48
"44","2019-02-13",1,"Netherlands",5.42
"45","2019-02-14",1,"Netherlands",3.2
"46","2019-02-15",1,"Netherlands",2.54
"47","2019-02-16",1,"Netherlands",5.42
"48","2019-02-17",1,"Netherlands",4.04
"49","2019-02-18",1,"Netherlands",5.8
"50","2019-02-19",1,"Netherlands",7.12
"51","2019-02-20",1,"Netherlands",5.4
"52","2019-02-21",1,"Netherlands",6.21
