"","date","ID_1","NAME_1","t2m"
"1","2018-01-01",1,"Ãstfold",1.61
"2","2018-01-01",2,"Akershus",-0.54
"3","2018-01-01",3,"Aust-Agder",1.65
"4","2018-01-01",4,"Buskerud",-5.73
"5","2018-01-01",5,"Finnmark",-9.27
"6","2018-01-01",6,"Hedmark",-3.33
"7","2018-01-01",7,"Hordaland",-0.17
"8","2018-01-01",8,"Møre og Romsdal",-1.91
"9","2018-01-01",9,"Nord-Trøndelag",-4.64
"10","2018-01-01",10,"Nordland",-10.19
"11","2018-01-01",11,"Oppland",-6.97
"12","2018-01-01",12,"Oslo",-0.66
"13","2018-01-01",13,"Rogaland",3.49
"14","2018-01-01",14,"Sør-Trøndelag",-1.93
"15","2018-01-01",15,"Sogn og Fjordane",-2.19
"16","2018-01-01",16,"Telemark",-2.81
"17","2018-01-01",17,"Troms",-8.63
"18","2018-01-01",18,"Vest-Agder",3.48
"19","2018-01-01",19,"Vestfold",2.02
"20","2018-01-02",1,"Ãstfold",2.67
"21","2018-01-02",2,"Akershus",1.35
"22","2018-01-02",3,"Aust-Agder",-0.41
"23","2018-01-02",4,"Buskerud",-2.83
"24","2018-01-02",5,"Finnmark",-5
"25","2018-01-02",6,"Hedmark",-1.48
"26","2018-01-02",7,"Hordaland",-0.52
"27","2018-01-02",8,"Møre og Romsdal",-0.41
"28","2018-01-02",9,"Nord-Trøndelag",-0.75
"29","2018-01-02",10,"Nordland",-3.44
"30","2018-01-02",11,"Oppland",-5.51
"31","2018-01-02",12,"Oslo",1.1
"32","2018-01-02",13,"Rogaland",1.91
"33","2018-01-02",14,"Sør-Trøndelag",-1.61
"34","2018-01-02",15,"Sogn og Fjordane",-0.89
"35","2018-01-02",16,"Telemark",-2.58
"36","2018-01-02",17,"Troms",-8.28
"37","2018-01-02",18,"Vest-Agder",1.45
"38","2018-01-02",19,"Vestfold",0.63
"39","2018-01-03",1,"Ãstfold",-0.65
"40","2018-01-03",2,"Akershus",-4.77
"41","2018-01-03",3,"Aust-Agder",-1.94
"42","2018-01-03",4,"Buskerud",-9.38
"43","2018-01-03",5,"Finnmark",-8.04
"44","2018-01-03",6,"Hedmark",-11.88
"45","2018-01-03",7,"Hordaland",-1.85
"46","2018-01-03",8,"Møre og Romsdal",-5.27
"47","2018-01-03",9,"Nord-Trøndelag",-3.33
"48","2018-01-03",10,"Nordland",-3.94
"49","2018-01-03",11,"Oppland",-12.8
"50","2018-01-03",12,"Oslo",-5.06
"51","2018-01-03",13,"Rogaland",1.33
"52","2018-01-03",14,"Sør-Trøndelag",-7.57
"53","2018-01-03",15,"Sogn og Fjordane",-3.74
"54","2018-01-03",16,"Telemark",-6.67
"55","2018-01-03",17,"Troms",-7.05
"56","2018-01-03",18,"Vest-Agder",0.64
"57","2018-01-03",19,"Vestfold",-3.76
"58","2018-01-04",1,"Ãstfold",1.86
"59","2018-01-04",2,"Akershus",0.55
"60","2018-01-04",3,"Aust-Agder",-1.05
"61","2018-01-04",4,"Buskerud",-4.11
"62","2018-01-04",5,"Finnmark",-6.55
"63","2018-01-04",6,"Hedmark",-4.82
"64","2018-01-04",7,"Hordaland",-1.76
"65","2018-01-04",8,"Møre og Romsdal",-3.09
"66","2018-01-04",9,"Nord-Trøndelag",-7
"67","2018-01-04",10,"Nordland",-8.45
"68","2018-01-04",11,"Oppland",-6.19
"69","2018-01-04",12,"Oslo",0.49
"70","2018-01-04",13,"Rogaland",0.69
"71","2018-01-04",14,"Sør-Trøndelag",-4.35
"72","2018-01-04",15,"Sogn og Fjordane",-3.03
"73","2018-01-04",16,"Telemark",-2.67
"74","2018-01-04",17,"Troms",-5.36
"75","2018-01-04",18,"Vest-Agder",0.2
"76","2018-01-04",19,"Vestfold",1.39
"77","2018-01-05",1,"Ãstfold",0.75
"78","2018-01-05",2,"Akershus",-0.24
"79","2018-01-05",3,"Aust-Agder",-2.06
"80","2018-01-05",4,"Buskerud",-4.1
"81","2018-01-05",5,"Finnmark",-8.57
"82","2018-01-05",6,"Hedmark",-4.64
"83","2018-01-05",7,"Hordaland",-2.85
"84","2018-01-05",8,"Møre og Romsdal",-2.04
"85","2018-01-05",9,"Nord-Trøndelag",-3.77
"86","2018-01-05",10,"Nordland",-9.49
"87","2018-01-05",11,"Oppland",-5.98
"88","2018-01-05",12,"Oslo",-0.27
"89","2018-01-05",13,"Rogaland",-2.23
"90","2018-01-05",14,"Sør-Trøndelag",-4.2
