"","date","ID_0","NAME_0","t2m"
"1","2014-01-01",1,"New Zealand",14.98
"2","2014-01-02",1,"New Zealand",16.44
"3","2014-01-03",1,"New Zealand",18.16
"4","2014-01-04",1,"New Zealand",18.09
"5","2014-01-05",1,"New Zealand",17.62
"6","2014-01-06",1,"New Zealand",17.28
"7","2014-01-07",1,"New Zealand",15.63
"8","2014-01-08",1,"New Zealand",15.41
"9","2014-01-09",1,"New Zealand",13.34
"10","2014-01-10",1,"New Zealand",16.26
"11","2014-01-11",1,"New Zealand",17.49
"12","2014-01-12",1,"New Zealand",15.67
"13","2014-01-13",1,"New Zealand",14.59
"14","2014-01-14",1,"New Zealand",14.75
"15","2014-01-15",1,"New Zealand",17.94
"16","2014-01-16",1,"New Zealand",18.16
"17","2014-01-17",1,"New Zealand",13.97
"18","2014-01-18",1,"New Zealand",14.91
"19","2014-01-19",1,"New Zealand",18.7
"20","2014-01-20",1,"New Zealand",16.06
"21","2014-01-21",1,"New Zealand",15.66
"22","2014-01-22",1,"New Zealand",16.57
"23","2014-01-23",1,"New Zealand",13.98
"24","2014-01-24",1,"New Zealand",16.2
"25","2014-01-25",1,"New Zealand",18.33
"26","2014-01-26",1,"New Zealand",15.92
"27","2014-01-27",1,"New Zealand",14.55
"28","2014-01-28",1,"New Zealand",16.57
"29","2014-01-29",1,"New Zealand",18.89
"30","2014-01-30",1,"New Zealand",17.39
"31","2014-01-31",1,"New Zealand",17.62
"32","2014-02-01",1,"New Zealand",17.26
"33","2014-02-02",1,"New Zealand",17.99
"34","2014-02-03",1,"New Zealand",20.12
"35","2014-02-04",1,"New Zealand",18.94
"36","2014-02-05",1,"New Zealand",16.75
"37","2014-02-06",1,"New Zealand",16.94
"38","2014-02-07",1,"New Zealand",17.85
"39","2014-02-08",1,"New Zealand",18.06
"40","2014-02-09",1,"New Zealand",16.89
"41","2014-02-10",1,"New Zealand",17.87
"42","2014-02-11",1,"New Zealand",17.77
"43","2014-02-12",1,"New Zealand",16.27
"44","2014-02-13",1,"New Zealand",15.67
"45","2014-02-14",1,"New Zealand",16.79
"46","2014-02-15",1,"New Zealand",17.48
"47","2014-02-16",1,"New Zealand",19.62
"48","2014-02-17",1,"New Zealand",18.88
"49","2014-02-18",1,"New Zealand",20.25
"50","2014-02-19",1,"New Zealand",20.24
"51","2014-02-20",1,"New Zealand",22.23
