"","date","ID_0","NAME_0","t2m"
"1","2012-01-01",1,"Poland",-1.14
"2","2012-01-02",1,"Poland",4.37
"3","2012-01-03",1,"Poland",5.62
"4","2012-01-04",1,"Poland",6.11
"5","2012-01-05",1,"Poland",3.57
"6","2012-01-06",1,"Poland",2.8
"7","2012-01-07",1,"Poland",0.39
"8","2012-01-08",1,"Poland",2.25
"9","2012-01-09",1,"Poland",2.46
"10","2012-01-10",1,"Poland",0.89
"11","2012-01-11",1,"Poland",1.79
"12","2012-01-12",1,"Poland",4.39
"13","2012-01-13",1,"Poland",3.24
"14","2012-01-14",1,"Poland",0.35
"15","2012-01-15",1,"Poland",-1.89
"16","2012-01-16",1,"Poland",-3.76
"17","2012-01-17",1,"Poland",-2.58
"18","2012-01-18",1,"Poland",-4.12
"19","2012-01-19",1,"Poland",-0.79
"20","2012-01-20",1,"Poland",1.7
"21","2012-01-21",1,"Poland",0.4
"22","2012-01-22",1,"Poland",0.53
"23","2012-01-23",1,"Poland",1.39
"24","2012-01-24",1,"Poland",-0.61
"25","2012-01-25",1,"Poland",-2.02
"26","2012-01-26",1,"Poland",-3.75
"27","2012-01-27",1,"Poland",-8.55
"28","2012-01-28",1,"Poland",-11.15
"29","2012-01-29",1,"Poland",-10.87
"30","2012-01-30",1,"Poland",-12.53
"31","2012-01-31",1,"Poland",-13.55
"32","2012-02-01",1,"Poland",-15.01
"33","2012-02-02",1,"Poland",-17.78
"34","2012-02-03",1,"Poland",-20.3
"35","2012-02-04",1,"Poland",-18.5
"36","2012-02-05",1,"Poland",-17.2
"37","2012-02-06",1,"Poland",-18.61
"38","2012-02-07",1,"Poland",-14.03
"39","2012-02-08",1,"Poland",-10.71
"40","2012-02-09",1,"Poland",-9.71
"41","2012-02-10",1,"Poland",-15.11
"42","2012-02-11",1,"Poland",-17.76
"43","2012-02-12",1,"Poland",-17.5
"44","2012-02-13",1,"Poland",-11.33
"45","2012-02-14",1,"Poland",-6.46
"46","2012-02-15",1,"Poland",-5.14
"47","2012-02-16",1,"Poland",-3.8
"48","2012-02-17",1,"Poland",-6.7
"49","2012-02-18",1,"Poland",0.18
"50","2012-02-19",1,"Poland",0.69
"51","2012-02-20",1,"Poland",0.72
"52","2012-02-21",1,"Poland",-2.85
"53","2012-02-22",1,"Poland",1.59
"54","2012-02-23",1,"Poland",2.71
"55","2012-02-24",1,"Poland",4.32
"56","2012-02-25",1,"Poland",5.55
"57","2012-02-26",1,"Poland",2.48
"58","2012-02-27",1,"Poland",-2.29
"59","2012-02-28",1,"Poland",-3.32
"60","2012-02-29",1,"Poland",4.79
"61","2012-03-01",1,"Poland",3.52
"62","2012-03-02",1,"Poland",5.91
"63","2012-03-03",1,"Poland",0.09
"64","2012-03-04",1,"Poland",-1.68
"65","2012-03-05",1,"Poland",-3.48
"66","2012-03-06",1,"Poland",-3.71
"67","2012-03-07",1,"Poland",-5.29
"68","2012-03-08",1,"Poland",-4.31
"69","2012-03-09",1,"Poland",-2.06
"70","2012-03-10",1,"Poland",1.12
"71","2012-03-11",1,"Poland",5.46
"72","2012-03-12",1,"Poland",1.46
"73","2012-03-13",1,"Poland",4.01
"74","2012-03-14",1,"Poland",5.1
"75","2012-03-15",1,"Poland",0.35
"76","2012-03-16",1,"Poland",2.46
"77","2012-03-17",1,"Poland",3.55
"78","2012-03-18",1,"Poland",5.91
"79","2012-03-19",1,"Poland",7.06
"80","2012-03-20",1,"Poland",2.61
"81","2012-03-21",1,"Poland",7.69
"82","2012-03-22",1,"Poland",7.32
"83","2012-03-23",1,"Poland",4.44
"84","2012-03-24",1,"Poland",3.6
"85","2012-03-25",1,"Poland",3.37
"86","2012-03-26",1,"Poland",1.2
"87","2012-03-27",1,"Poland",4.12
"88","2012-03-28",1,"Poland",5.53
"89","2012-03-29",1,"Poland",10.01
"90","2012-03-30",1,"Poland",3.66
"91","2012-03-31",1,"Poland",4.5
"92","2012-04-01",1,"Poland",1.05
"93","2012-04-02",1,"Poland",2.96
"94","2012-04-03",1,"Poland",1.51
"95","2012-04-04",1,"Poland",3.83
"96","2012-04-05",1,"Poland",3.81
"97","2012-04-06",1,"Poland",0.62
"98","2012-04-07",1,"Poland",3.13
"99","2012-04-08",1,"Poland",1.16
"100","2012-04-09",1,"Poland",-2.75
"101","2012-04-10",1,"Poland",0.73
"102","2012-04-11",1,"Poland",6.12
"103","2012-04-12",1,"Poland",7.91
"104","2012-04-13",1,"Poland",6.76
"105","2012-04-14",1,"Poland",4.66
"106","2012-04-15",1,"Poland",6.77
"107","2012-04-16",1,"Poland",7.83
"108","2012-04-17",1,"Poland",3.52
"109","2012-04-18",1,"Poland",0.93
"110","2012-04-19",1,"Poland",7.08
"111","2012-04-20",1,"Poland",7
"112","2012-04-21",1,"Poland",7.1
"113","2012-04-22",1,"Poland",7.77
"114","2012-04-23",1,"Poland",7.07
"115","2012-04-24",1,"Poland",5.84
"116","2012-04-25",1,"Poland",10.1
"117","2012-04-26",1,"Poland",6.27
"118","2012-04-27",1,"Poland",11.53
"119","2012-04-28",1,"Poland",12.68
"120","2012-04-29",1,"Poland",15.95
"121","2012-04-30",1,"Poland",15.44
"122","2012-05-01",1,"Poland",12.87
"123","2012-05-02",1,"Poland",13.48
"124","2012-05-03",1,"Poland",12.7
"125","2012-05-04",1,"Poland",13.37
"126","2012-05-05",1,"Poland",12.06
"127","2012-05-06",1,"Poland",10.42
"128","2012-05-07",1,"Poland",6.82
"129","2012-05-08",1,"Poland",5.05
"130","2012-05-09",1,"Poland",7.68
"131","2012-05-10",1,"Poland",11.86
"132","2012-05-11",1,"Poland",16.5
"133","2012-05-12",1,"Poland",16.19
"134","2012-05-13",1,"Poland",6.69
"135","2012-05-14",1,"Poland",4.72
"136","2012-05-15",1,"Poland",8.81
"137","2012-05-16",1,"Poland",9.13
"138","2012-05-17",1,"Poland",7.69
"139","2012-05-18",1,"Poland",3.41
"140","2012-05-19",1,"Poland",7.07
