"","date","ID_1","NAME_1","t2m"
"1","2021-01-01",1,"Amajyaruguru",14.99
"2","2021-01-01",2,"Amajyepfo",15.84
"3","2021-01-01",3,"Iburasirazuba",17.59
"4","2021-01-01",4,"Iburengerazuba",16.85
"5","2021-01-01",5,"Umujyi wa Kigali",16.78
"6","2021-01-02",1,"Amajyaruguru",14.63
"7","2021-01-02",2,"Amajyepfo",15.06
"8","2021-01-02",3,"Iburasirazuba",17.92
"9","2021-01-02",4,"Iburengerazuba",15.28
"10","2021-01-02",5,"Umujyi wa Kigali",16.95
"11","2021-01-03",1,"Amajyaruguru",14.28
"12","2021-01-03",2,"Amajyepfo",14.93
"13","2021-01-03",3,"Iburasirazuba",17.52
"14","2021-01-03",4,"Iburengerazuba",15.14
"15","2021-01-03",5,"Umujyi wa Kigali",16.73
"16","2021-01-04",1,"Amajyaruguru",15.18
"17","2021-01-04",2,"Amajyepfo",15.23
"18","2021-01-04",3,"Iburasirazuba",17.89
"19","2021-01-04",4,"Iburengerazuba",15.74
"20","2021-01-04",5,"Umujyi wa Kigali",16.95
"21","2021-01-05",1,"Amajyaruguru",14.18
"22","2021-01-05",2,"Amajyepfo",15.43
"23","2021-01-05",3,"Iburasirazuba",18.36
"24","2021-01-05",4,"Iburengerazuba",15.54
"25","2021-01-05",5,"Umujyi wa Kigali",17.01
"26","2021-01-06",1,"Amajyaruguru",16.38
"27","2021-01-06",2,"Amajyepfo",16.61
"28","2021-01-06",3,"Iburasirazuba",18.47
"29","2021-01-06",4,"Iburengerazuba",16.33
"30","2021-01-06",5,"Umujyi wa Kigali",18.57
"31","2021-01-07",1,"Amajyaruguru",15.71
"32","2021-01-07",2,"Amajyepfo",16.15
"33","2021-01-07",3,"Iburasirazuba",18.53
"34","2021-01-07",4,"Iburengerazuba",16.86
"35","2021-01-07",5,"Umujyi wa Kigali",17.6
"36","2021-01-08",1,"Amajyaruguru",15.58
"37","2021-01-08",2,"Amajyepfo",16.8
"38","2021-01-08",3,"Iburasirazuba",18.74
"39","2021-01-08",4,"Iburengerazuba",16.9
"40","2021-01-08",5,"Umujyi wa Kigali",18
"41","2021-01-09",1,"Amajyaruguru",14.66
"42","2021-01-09",2,"Amajyepfo",14.84
"43","2021-01-09",3,"Iburasirazuba",17.18
"44","2021-01-09",4,"Iburengerazuba",15.47
"45","2021-01-09",5,"Umujyi wa Kigali",16.37
"46","2021-01-10",1,"Amajyaruguru",13.82
"47","2021-01-10",2,"Amajyepfo",13.62
"48","2021-01-10",3,"Iburasirazuba",16.28
"49","2021-01-10",4,"Iburengerazuba",15.28
"50","2021-01-10",5,"Umujyi wa Kigali",15.11
"51","2021-01-11",1,"Amajyaruguru",14.09
"52","2021-01-11",2,"Amajyepfo",15.22
"53","2021-01-11",3,"Iburasirazuba",17.67
"54","2021-01-11",4,"Iburengerazuba",15.78
"55","2021-01-11",5,"Umujyi wa Kigali",16.4
"56","2021-01-12",1,"Amajyaruguru",14.2
"57","2021-01-12",2,"Amajyepfo",14.41
"58","2021-01-12",3,"Iburasirazuba",16.92
"59","2021-01-12",4,"Iburengerazuba",15.64
"60","2021-01-12",5,"Umujyi wa Kigali",16.59
"61","2021-01-13",1,"Amajyaruguru",15.34
"62","2021-01-13",2,"Amajyepfo",15.59
"63","2021-01-13",3,"Iburasirazuba",18.55
"64","2021-01-13",4,"Iburengerazuba",16.56
