"","date","ID_1","NAME_1","t2m"
"1","2011-01-01",1,"Žilinský",-7.04
"2","2011-01-01",2,"Banskobystrický",-8.68
"3","2011-01-01",3,"Bratislavský",-2.09
"4","2011-01-01",4,"Košický",-9.16
"5","2011-01-01",5,"Nitriansky",-4.83
"6","2011-01-01",6,"Prešov",-8.83
"7","2011-01-01",7,"Trenciansky",-5.87
"8","2011-01-01",8,"Trnavský",-3.21
"9","2011-01-02",1,"Žilinský",-3
"10","2011-01-02",2,"Banskobystrický",-3.88
"11","2011-01-02",3,"Bratislavský",0.43
"12","2011-01-02",4,"Košický",-4.59
"13","2011-01-02",5,"Nitriansky",-1.07
"14","2011-01-02",6,"Prešov",-4.8
"15","2011-01-02",7,"Trenciansky",-2.11
"16","2011-01-02",8,"Trnavský",-0.01
"17","2011-01-03",1,"Žilinský",-5.16
"18","2011-01-03",2,"Banskobystrický",-7.51
"19","2011-01-03",3,"Bratislavský",-0.93
"20","2011-01-03",4,"Košický",-6.64
"21","2011-01-03",5,"Nitriansky",-2.41
"22","2011-01-03",6,"Prešov",-8.05
"23","2011-01-03",7,"Trenciansky",-3.43
"24","2011-01-03",8,"Trnavský",-0.97
"25","2011-01-04",1,"Žilinský",-8.12
"26","2011-01-04",2,"Banskobystrický",-8.99
"27","2011-01-04",3,"Bratislavský",-5.9
"28","2011-01-04",4,"Košický",-9.71
"29","2011-01-04",5,"Nitriansky",-4.62
"30","2011-01-04",6,"Prešov",-12.06
"31","2011-01-04",7,"Trenciansky",-4.75
"32","2011-01-04",8,"Trnavský",-5.36
"33","2011-01-05",1,"Žilinský",-10.01
"34","2011-01-05",2,"Banskobystrický",-7.08
"35","2011-01-05",3,"Bratislavský",-3.9
"36","2011-01-05",4,"Košický",-6.44
"37","2011-01-05",5,"Nitriansky",-4
"38","2011-01-05",6,"Prešov",-10.18
"39","2011-01-05",7,"Trenciansky",-4.93
"40","2011-01-05",8,"Trnavský",-3.82
"41","2011-01-06",1,"Žilinský",-9.1
"42","2011-01-06",2,"Banskobystrický",-7.3
"43","2011-01-06",3,"Bratislavský",-3.64
"44","2011-01-06",4,"Košický",-6.21
"45","2011-01-06",5,"Nitriansky",-3.74
"46","2011-01-06",6,"Prešov",-7.54
"47","2011-01-06",7,"Trenciansky",-5.48
"48","2011-01-06",8,"Trnavský",-3.58
"49","2011-01-07",1,"Žilinský",-2.15
"50","2011-01-07",2,"Banskobystrický",-2.5
"51","2011-01-07",3,"Bratislavský",0.4
"52","2011-01-07",4,"Košický",-1.43
"53","2011-01-07",5,"Nitriansky",0.17
"54","2011-01-07",6,"Prešov",-1.92
"55","2011-01-07",7,"Trenciansky",-0.07
"56","2011-01-07",8,"Trnavský",0.53
"57","2011-01-08",1,"Žilinský",0.01
"58","2011-01-08",2,"Banskobystrický",-0.34
"59","2011-01-08",3,"Bratislavský",2.33
"60","2011-01-08",4,"Košický",0.44
"61","2011-01-08",5,"Nitriansky",2.23
"62","2011-01-08",6,"Prešov",0.14
"63","2011-01-08",7,"Trenciansky",1.93
"64","2011-01-08",8,"Trnavský",2.96
"65","2011-01-09",1,"Žilinský",0.59
"66","2011-01-09",2,"Banskobystrický",0.54
"67","2011-01-09",3,"Bratislavský",1.43
"68","2011-01-09",4,"Košický",1.81
"69","2011-01-09",5,"Nitriansky",0.93
"70","2011-01-09",6,"Prešov",1.21
"71","2011-01-09",7,"Trenciansky",1.54
"72","2011-01-09",8,"Trnavský",1.55
"73","2011-01-10",1,"Žilinský",1.23
"74","2011-01-10",2,"Banskobystrický",1.73
"75","2011-01-10",3,"Bratislavský",2.71
"76","2011-01-10",4,"Košický",3.28
"77","2011-01-10",5,"Nitriansky",2.22
"78","2011-01-10",6,"Prešov",2.89
"79","2011-01-10",7,"Trenciansky",2.33
"80","2011-01-10",8,"Trnavský",2.76
"81","2011-01-11",1,"Žilinský",0.71
"82","2011-01-11",2,"Banskobystrický",1.98
"83","2011-01-11",3,"Bratislavský",2.57
"84","2011-01-11",4,"Košický",2.31
"85","2011-01-11",5,"Nitriansky",2.93
"86","2011-01-11",6,"Prešov",1.22
"87","2011-01-11",7,"Trenciansky",2.18
"88","2011-01-11",8,"Trnavský",2.77
"89","2011-01-12",1,"Žilinský",0.98
"90","2011-01-12",2,"Banskobystrický",2.45
"91","2011-01-12",3,"Bratislavský",2.9
"92","2011-01-12",4,"Košický",2.03
"93","2011-01-12",5,"Nitriansky",3.71
"94","2011-01-12",6,"Prešov",1.77
"95","2011-01-12",7,"Trenciansky",2.66
"96","2011-01-12",8,"Trnavský",3.37
"97","2011-01-13",1,"Žilinský",0.5
"98","2011-01-13",2,"Banskobystrický",1.2
"99","2011-01-13",3,"Bratislavský",2.67
"100","2011-01-13",4,"Košický",1.61
"101","2011-01-13",5,"Nitriansky",1.99
"102","2011-01-13",6,"Prešov",1.11
"103","2011-01-13",7,"Trenciansky",1.32
"104","2011-01-13",8,"Trnavský",2.3
"105","2011-01-14",1,"Žilinský",1.49
"106","2011-01-14",2,"Banskobystrický",1.81
"107","2011-01-14",3,"Bratislavský",7.99
"108","2011-01-14",4,"Košický",1.57
"109","2011-01-14",5,"Nitriansky",3.94
"110","2011-01-14",6,"Prešov",0.98
"111","2011-01-14",7,"Trenciansky",2.76
"112","2011-01-14",8,"Trnavský",5.89
"113","2011-01-15",1,"Žilinský",5.41
"114","2011-01-15",2,"Banskobystrický",5.94
"115","2011-01-15",3,"Bratislavský",7.45
"116","2011-01-15",4,"Košický",3.8
"117","2011-01-15",5,"Nitriansky",6.42
"118","2011-01-15",6,"Prešov",3.59
"119","2011-01-15",7,"Trenciansky",5.64
"120","2011-01-15",8,"Trnavský",6.54
"121","2011-01-16",1,"Žilinský",0.92
"122","2011-01-16",2,"Banskobystrický",1.45
"123","2011-01-16",3,"Bratislavský",4.73
"124","2011-01-16",4,"Košický",3.86
"125","2011-01-16",5,"Nitriansky",4.24
"126","2011-01-16",6,"Prešov",3.7
"127","2011-01-16",7,"Trenciansky",1.65
"128","2011-01-16",8,"Trnavský",4.89
"129","2011-01-17",1,"Žilinský",-0.91
"130","2011-01-17",2,"Banskobystrický",-0.47
"131","2011-01-17",3,"Bratislavský",0.63
"132","2011-01-17",4,"Košický",-0.42
"133","2011-01-17",5,"Nitriansky",0.36
"134","2011-01-17",6,"Prešov",-1.22
"135","2011-01-17",7,"Trenciansky",0.47
"136","2011-01-17",8,"Trnavský",0.6
"137","2011-01-18",1,"Žilinský",-2.47
"138","2011-01-18",2,"Banskobystrický",-1.16
"139","2011-01-18",3,"Bratislavský",1.22
"140","2011-01-18",4,"Košický",-0.07
"141","2011-01-18",5,"Nitriansky",0.76
"142","2011-01-18",6,"Prešov",-0.93
"143","2011-01-18",7,"Trenciansky",-0.82
"144","2011-01-18",8,"Trnavský",1.23
"145","2011-01-19",1,"Žilinský",-0.55
"146","2011-01-19",2,"Banskobystrický",-0.39
"147","2011-01-19",3,"Bratislavský",1.31
"148","2011-01-19",4,"Košický",0.02
"149","2011-01-19",5,"Nitriansky",0.3
"150","2011-01-19",6,"Prešov",0.09
"151","2011-01-19",7,"Trenciansky",0.8
"152","2011-01-19",8,"Trnavský",0.82
"153","2011-01-20",1,"Žilinský",-1.39
"154","2011-01-20",2,"Banskobystrický",0.12
"155","2011-01-20",3,"Bratislavský",1.82
"156","2011-01-20",4,"Košický",0.14
"157","2011-01-20",5,"Nitriansky",1.96
"158","2011-01-20",6,"Prešov",-0.14
"159","2011-01-20",7,"Trenciansky",0.15
"160","2011-01-20",8,"Trnavský",2.01
"161","2011-01-21",1,"Žilinský",-3.96
"162","2011-01-21",2,"Banskobystrický",-2.68
"163","2011-01-21",3,"Bratislavský",-1.13
"164","2011-01-21",4,"Košický",-1.17
"165","2011-01-21",5,"Nitriansky",-0.83
"166","2011-01-21",6,"Prešov",-2.13
"167","2011-01-21",7,"Trenciansky",-1.97
"168","2011-01-21",8,"Trnavský",-1.01
"169","2011-01-22",1,"Žilinský",-6.89
"170","2011-01-22",2,"Banskobystrický",-3.53
"171","2011-01-22",3,"Bratislavský",-1.39
"172","2011-01-22",4,"Košický",-1.82
"173","2011-01-22",5,"Nitriansky",-1.67
"174","2011-01-22",6,"Prešov",-3.35
"175","2011-01-22",7,"Trenciansky",-2.81
"176","2011-01-22",8,"Trnavský",-1.32
"177","2011-01-23",1,"Žilinský",-8.55
"178","2011-01-23",2,"Banskobystrický",-5.94
"179","2011-01-23",3,"Bratislavský",-3.16
"180","2011-01-23",4,"Košický",-3.96
"181","2011-01-23",5,"Nitriansky",-4.4
"182","2011-01-23",6,"Prešov",-4.88
"183","2011-01-23",7,"Trenciansky",-4.83
"184","2011-01-23",8,"Trnavský",-3.51
"185","2011-01-24",1,"Žilinský",-6.41
"186","2011-01-24",2,"Banskobystrický",-4.58
"187","2011-01-24",3,"Bratislavský",-1.76
"188","2011-01-24",4,"Košický",-3.52
"189","2011-01-24",5,"Nitriansky",-2.57
"190","2011-01-24",6,"Prešov",-4.76
"191","2011-01-24",7,"Trenciansky",-3.88
"192","2011-01-24",8,"Trnavský",-2.09
