"","date","ID_0","NAME_0","t2m"
"1","2010-01-01",1,"Sweden",-11.37
"2","2010-01-02",1,"Sweden",-13.74
"3","2010-01-03",1,"Sweden",-14.07
"4","2010-01-04",1,"Sweden",-10.02
"5","2010-01-05",1,"Sweden",-17.38
"6","2010-01-06",1,"Sweden",-19.74
"7","2010-01-07",1,"Sweden",-21.49
"8","2010-01-08",1,"Sweden",-21.19
"9","2010-01-09",1,"Sweden",-15.04
"10","2010-01-10",1,"Sweden",-8.97
"11","2010-01-11",1,"Sweden",-5.32
"12","2010-01-12",1,"Sweden",-4.82
"13","2010-01-13",1,"Sweden",-8.52
"14","2010-01-14",1,"Sweden",-12.95
"15","2010-01-15",1,"Sweden",-11.94
"16","2010-01-16",1,"Sweden",-10.16
"17","2010-01-17",1,"Sweden",-6.83
"18","2010-01-18",1,"Sweden",-5.1
"19","2010-01-19",1,"Sweden",-4.84
"20","2010-01-20",1,"Sweden",-6.67
"21","2010-01-21",1,"Sweden",-5.71
"22","2010-01-22",1,"Sweden",-7.75
"23","2010-01-23",1,"Sweden",-9.52
"24","2010-01-24",1,"Sweden",-9
"25","2010-01-25",1,"Sweden",-10.18
"26","2010-01-26",1,"Sweden",-9.39
"27","2010-01-27",1,"Sweden",-5.92
"28","2010-01-28",1,"Sweden",-5.99
"29","2010-01-29",1,"Sweden",-16.72
"30","2010-01-30",1,"Sweden",-19.61
"31","2010-01-31",1,"Sweden",-19.03
"32","2010-02-01",1,"Sweden",-17.41
"33","2010-02-02",1,"Sweden",-13.85
"34","2010-02-03",1,"Sweden",-10.66
"35","2010-02-04",1,"Sweden",-9.13
"36","2010-02-05",1,"Sweden",-9.19
"37","2010-02-06",1,"Sweden",-8.11
"38","2010-02-07",1,"Sweden",-6.6
"39","2010-02-08",1,"Sweden",-8.2
"40","2010-02-09",1,"Sweden",-9.02
"41","2010-02-10",1,"Sweden",-12.09
"42","2010-02-11",1,"Sweden",-11.68
"43","2010-02-12",1,"Sweden",-14.69
"44","2010-02-13",1,"Sweden",-9.54
"45","2010-02-14",1,"Sweden",-8.41
"46","2010-02-15",1,"Sweden",-7.25
"47","2010-02-16",1,"Sweden",-10.13
"48","2010-02-17",1,"Sweden",-9.44
"49","2010-02-18",1,"Sweden",-13.28
"50","2010-02-19",1,"Sweden",-15.17
"51","2010-02-20",1,"Sweden",-15.98
"52","2010-02-21",1,"Sweden",-19.76
"53","2010-02-22",1,"Sweden",-19.98
"54","2010-02-23",1,"Sweden",-19.56
"55","2010-02-24",1,"Sweden",-22.54
"56","2010-02-25",1,"Sweden",-18.25
"57","2010-02-26",1,"Sweden",-11.17
"58","2010-02-27",1,"Sweden",-6.95
"59","2010-02-28",1,"Sweden",-8.81
"60","2010-03-01",1,"Sweden",-7.69
"61","2010-03-02",1,"Sweden",-9.04
"62","2010-03-03",1,"Sweden",-8.57
"63","2010-03-04",1,"Sweden",-10.76
"64","2010-03-05",1,"Sweden",-11.82
"65","2010-03-06",1,"Sweden",-11.95
"66","2010-03-07",1,"Sweden",-9.08
"67","2010-03-08",1,"Sweden",-1.43
"68","2010-03-09",1,"Sweden",-4.93
"69","2010-03-10",1,"Sweden",-3.17
"70","2010-03-11",1,"Sweden",-2.07
"71","2010-03-12",1,"Sweden",-5.69
"72","2010-03-13",1,"Sweden",-7.6
"73","2010-03-14",1,"Sweden",-8.52
"74","2010-03-15",1,"Sweden",-10.46
"75","2010-03-16",1,"Sweden",-10.72
"76","2010-03-17",1,"Sweden",-10.18
"77","2010-03-18",1,"Sweden",-8.48
"78","2010-03-19",1,"Sweden",-2.81
"79","2010-03-20",1,"Sweden",-2.14
"80","2010-03-21",1,"Sweden",-5.56
"81","2010-03-22",1,"Sweden",-7.97
"82","2010-03-23",1,"Sweden",-5.08
"83","2010-03-24",1,"Sweden",-7.71
"84","2010-03-25",1,"Sweden",-6.98
"85","2010-03-26",1,"Sweden",-2.09
"86","2010-03-27",1,"Sweden",-1.4
"87","2010-03-28",1,"Sweden",-2.74
"88","2010-03-29",1,"Sweden",-3.68
"89","2010-03-30",1,"Sweden",-3.86
"90","2010-03-31",1,"Sweden",-2.99
"91","2010-04-01",1,"Sweden",-0.15
"92","2010-04-02",1,"Sweden",0.96
"93","2010-04-03",1,"Sweden",-0.77
"94","2010-04-04",1,"Sweden",-2.93
"95","2010-04-05",1,"Sweden",-2.99
"96","2010-04-06",1,"Sweden",-1.81
"97","2010-04-07",1,"Sweden",0.24
"98","2010-04-08",1,"Sweden",0.9
"99","2010-04-09",1,"Sweden",1.52
"100","2010-04-10",1,"Sweden",1.12
"101","2010-04-11",1,"Sweden",-1.29
"102","2010-04-12",1,"Sweden",0.15
"103","2010-04-13",1,"Sweden",1.43
"104","2010-04-14",1,"Sweden",-0.51
"105","2010-04-15",1,"Sweden",1.72
"106","2010-04-16",1,"Sweden",0.96
"107","2010-04-17",1,"Sweden",-1.97
"108","2010-04-18",1,"Sweden",-1.03
"109","2010-04-19",1,"Sweden",-2.48
"110","2010-04-20",1,"Sweden",-3.51
"111","2010-04-21",1,"Sweden",-2.8
"112","2010-04-22",1,"Sweden",-2.64
"113","2010-04-23",1,"Sweden",-2.47
"114","2010-04-24",1,"Sweden",-1.93
"115","2010-04-25",1,"Sweden",-3.19
"116","2010-04-26",1,"Sweden",-1.26
"117","2010-04-27",1,"Sweden",3.75
"118","2010-04-28",1,"Sweden",-0.57
"119","2010-04-29",1,"Sweden",1.15
"120","2010-04-30",1,"Sweden",2.51
"121","2010-05-01",1,"Sweden",3.56
"122","2010-05-02",1,"Sweden",0.78
