"","date","ID_1","NAME_1","t2m"
"1","2010-01-01",1,"Kaohsiung",17.43
"2","2010-01-01",2,"Pratas Islands",21.96
"3","2010-01-01",3,"Taipei",11.95
"4","2010-01-01",4,"Taiwan",12.43
"5","2010-01-02",1,"Kaohsiung",18.31
"6","2010-01-02",2,"Pratas Islands",23.41
"7","2010-01-02",3,"Taipei",14.57
"8","2010-01-02",4,"Taiwan",14.49
"9","2010-01-03",1,"Kaohsiung",18.26
"10","2010-01-03",2,"Pratas Islands",21.26
"11","2010-01-03",3,"Taipei",12.67
"12","2010-01-03",4,"Taiwan",13.41
"13","2010-01-04",1,"Kaohsiung",18.66
"14","2010-01-04",2,"Pratas Islands",21.55
"15","2010-01-04",3,"Taipei",13.07
"16","2010-01-04",4,"Taiwan",13.32
"17","2010-01-05",1,"Kaohsiung",18.56
"18","2010-01-05",2,"Pratas Islands",22.19
"19","2010-01-05",3,"Taipei",12.99
"20","2010-01-05",4,"Taiwan",13.38
"21","2010-01-06",1,"Kaohsiung",18.34
"22","2010-01-06",2,"Pratas Islands",22.75
"23","2010-01-06",3,"Taipei",12.28
"24","2010-01-06",4,"Taiwan",13.15
"25","2010-01-07",1,"Kaohsiung",18.06
"26","2010-01-07",2,"Pratas Islands",21.03
"27","2010-01-07",3,"Taipei",11.68
"28","2010-01-07",4,"Taiwan",12.46
"29","2010-01-08",1,"Kaohsiung",17.06
"30","2010-01-08",2,"Pratas Islands",19.75
"31","2010-01-08",3,"Taipei",11.6
"32","2010-01-08",4,"Taiwan",12.03
"33","2010-01-09",1,"Kaohsiung",15.88
"34","2010-01-09",2,"Pratas Islands",20.57
"35","2010-01-09",3,"Taipei",14.06
"36","2010-01-09",4,"Taiwan",11.84
"37","2010-01-10",1,"Kaohsiung",17.31
"38","2010-01-10",2,"Pratas Islands",22.41
"39","2010-01-10",3,"Taipei",14.16
"40","2010-01-10",4,"Taiwan",13.45
"41","2010-01-11",1,"Kaohsiung",17.64
"42","2010-01-11",2,"Pratas Islands",22.02
"43","2010-01-11",3,"Taipei",15
"44","2010-01-11",4,"Taiwan",13.74
"45","2010-01-12",1,"Kaohsiung",15.8
"46","2010-01-12",2,"Pratas Islands",18.9
"47","2010-01-12",3,"Taipei",8.62
"48","2010-01-12",4,"Taiwan",10.8
"49","2010-01-13",1,"Kaohsiung",14.39
"50","2010-01-13",2,"Pratas Islands",18.63
"51","2010-01-13",3,"Taipei",6.31
"52","2010-01-13",4,"Taiwan",7.45
"53","2010-01-14",1,"Kaohsiung",14.57
"54","2010-01-14",2,"Pratas Islands",19.21
"55","2010-01-14",3,"Taipei",7.63
"56","2010-01-14",4,"Taiwan",8.18
"57","2010-01-15",1,"Kaohsiung",15.21
"58","2010-01-15",2,"Pratas Islands",20.97
"59","2010-01-15",3,"Taipei",11.51
"60","2010-01-15",4,"Taiwan",10.88
"61","2010-01-16",1,"Kaohsiung",17.22
"62","2010-01-16",2,"Pratas Islands",20.14
"63","2010-01-16",3,"Taipei",14.53
"64","2010-01-16",4,"Taiwan",12.4
"65","2010-01-17",1,"Kaohsiung",17.34
"66","2010-01-17",2,"Pratas Islands",20.47
"67","2010-01-17",3,"Taipei",14.37
"68","2010-01-17",4,"Taiwan",12.81
"69","2010-01-18",1,"Kaohsiung",18.55
"70","2010-01-18",2,"Pratas Islands",21.17
"71","2010-01-18",3,"Taipei",14.86
"72","2010-01-18",4,"Taiwan",13.82
"73","2010-01-19",1,"Kaohsiung",19.08
"74","2010-01-19",2,"Pratas Islands",23.15
"75","2010-01-19",3,"Taipei",14.94
"76","2010-01-19",4,"Taiwan",14.65
"77","2010-01-20",1,"Kaohsiung",21.19
"78","2010-01-20",2,"Pratas Islands",23.85
"79","2010-01-20",3,"Taipei",17.26
"80","2010-01-20",4,"Taiwan",16.57
"81","2010-01-21",1,"Kaohsiung",22.65
"82","2010-01-21",2,"Pratas Islands",23.6
"83","2010-01-21",3,"Taipei",19.42
"84","2010-01-21",4,"Taiwan",17.94
"85","2010-01-22",1,"Kaohsiung",19.6
"86","2010-01-22",2,"Pratas Islands",21.91
"87","2010-01-22",3,"Taipei",13.21
"88","2010-01-22",4,"Taiwan",15.11
"89","2010-01-23",1,"Kaohsiung",18.25
"90","2010-01-23",2,"Pratas Islands",21.19
"91","2010-01-23",3,"Taipei",11.92
"92","2010-01-23",4,"Taiwan",13.59
"93","2010-01-24",1,"Kaohsiung",18.86
"94","2010-01-24",2,"Pratas Islands",22.12
"95","2010-01-24",3,"Taipei",14.5
"96","2010-01-24",4,"Taiwan",14.7
"97","2010-01-25",1,"Kaohsiung",20.38
"98","2010-01-25",2,"Pratas Islands",22.18
"99","2010-01-25",3,"Taipei",15.92
"100","2010-01-25",4,"Taiwan",16.74
"101","2010-01-26",1,"Kaohsiung",18.18
"102","2010-01-26",2,"Pratas Islands",20.84
"103","2010-01-26",3,"Taipei",12.05
"104","2010-01-26",4,"Taiwan",13
"105","2010-01-27",1,"Kaohsiung",19.52
"106","2010-01-27",2,"Pratas Islands",23.16
"107","2010-01-27",3,"Taipei",15.37
"108","2010-01-27",4,"Taiwan",15.03
"109","2010-01-28",1,"Kaohsiung",21.24
"110","2010-01-28",2,"Pratas Islands",22.83
"111","2010-01-28",3,"Taipei",17.12
"112","2010-01-28",4,"Taiwan",16.69
"113","2010-01-29",1,"Kaohsiung",20.02
"114","2010-01-29",2,"Pratas Islands",22.08
"115","2010-01-29",3,"Taipei",15.79
"116","2010-01-29",4,"Taiwan",15.75
"117","2010-01-30",1,"Kaohsiung",20.23
"118","2010-01-30",2,"Pratas Islands",22.37
"119","2010-01-30",3,"Taipei",16.43
"120","2010-01-30",4,"Taiwan",15.68
"121","2010-01-31",1,"Kaohsiung",21.84
"122","2010-01-31",2,"Pratas Islands",23.1
"123","2010-01-31",3,"Taipei",16.46
"124","2010-01-31",4,"Taiwan",16.54
"125","2010-02-01",1,"Kaohsiung",23.01
"126","2010-02-01",2,"Pratas Islands",22.27
"127","2010-02-01",3,"Taipei",17.33
"128","2010-02-01",4,"Taiwan",17.73
"129","2010-02-02",1,"Kaohsiung",21.01
"130","2010-02-02",2,"Pratas Islands",22.8
"131","2010-02-02",3,"Taipei",15.29
"132","2010-02-02",4,"Taiwan",15.68
"133","2010-02-03",1,"Kaohsiung",19.15
"134","2010-02-03",2,"Pratas Islands",22.78
"135","2010-02-03",3,"Taipei",14.32
"136","2010-02-03",4,"Taiwan",15.12
"137","2010-02-04",1,"Kaohsiung",19.4
"138","2010-02-04",2,"Pratas Islands",22.42
"139","2010-02-04",3,"Taipei",15.37
"140","2010-02-04",4,"Taiwan",15.12
"141","2010-02-05",1,"Kaohsiung",19.14
"142","2010-02-05",2,"Pratas Islands",22.15
"143","2010-02-05",3,"Taipei",15.42
"144","2010-02-05",4,"Taiwan",15.23
"145","2010-02-06",1,"Kaohsiung",20.17
"146","2010-02-06",2,"Pratas Islands",23.15
"147","2010-02-06",3,"Taipei",16.28
"148","2010-02-06",4,"Taiwan",16.18
"149","2010-02-07",1,"Kaohsiung",20.5
"150","2010-02-07",2,"Pratas Islands",22.63
"151","2010-02-07",3,"Taipei",15.68
"152","2010-02-07",4,"Taiwan",16.27
"153","2010-02-08",1,"Kaohsiung",21.1
"154","2010-02-08",2,"Pratas Islands",22.9
"155","2010-02-08",3,"Taipei",16.53
"156","2010-02-08",4,"Taiwan",16.52
"157","2010-02-09",1,"Kaohsiung",22.44
"158","2010-02-09",2,"Pratas Islands",23.13
"159","2010-02-09",3,"Taipei",17.75
"160","2010-02-09",4,"Taiwan",17.24
"161","2010-02-10",1,"Kaohsiung",24.93
"162","2010-02-10",2,"Pratas Islands",23.68
"163","2010-02-10",3,"Taipei",18.91
"164","2010-02-10",4,"Taiwan",18.64
"165","2010-02-11",1,"Kaohsiung",25.61
"166","2010-02-11",2,"Pratas Islands",24.39
"167","2010-02-11",3,"Taipei",19.85
"168","2010-02-11",4,"Taiwan",19.61
"169","2010-02-12",1,"Kaohsiung",22.01
"170","2010-02-12",2,"Pratas Islands",23.49
"171","2010-02-12",3,"Taipei",10.92
"172","2010-02-12",4,"Taiwan",15.06
"173","2010-02-13",1,"Kaohsiung",17.06
"174","2010-02-13",2,"Pratas Islands",21.63
"175","2010-02-13",3,"Taipei",10.12
"176","2010-02-13",4,"Taiwan",12.16
"177","2010-02-14",1,"Kaohsiung",19.25
"178","2010-02-14",2,"Pratas Islands",23.35
"179","2010-02-14",3,"Taipei",14.77
"180","2010-02-14",4,"Taiwan",15.18
"181","2010-02-15",1,"Kaohsiung",19.88
"182","2010-02-15",2,"Pratas Islands",22.44
