"","date","ID_1","NAME_1","t2m"
"1","2021-01-01",1,"Arusha",18.33
"2","2021-01-01",2,"Dar-Es-Salaam",26.08
"3","2021-01-01",3,"Dodoma",20.23
"4","2021-01-01",4,"Iringa",18.53
"5","2021-01-01",5,"Kagera",18.79
"6","2021-01-01",6,"Kaskazini-Pemba",26.5
"7","2021-01-01",7,"Kaskazini-Unguja",26.84
"8","2021-01-01",8,"Kigoma",19.51
"9","2021-01-01",9,"Kilimanjaro",19.74
"10","2021-01-01",10,"Kusini-Pemba",26.69
"11","2021-01-01",11,"Lindi",22.92
"12","2021-01-01",12,"Manyara",19.53
"13","2021-01-01",13,"Mara",18.89
"14","2021-01-01",14,"Mbeya",18.94
"15","2021-01-01",15,"Morogoro",22.5
"16","2021-01-01",16,"Mtwara",22.7
"17","2021-01-01",17,"Mwanza",19.9
"18","2021-01-01",18,"Pwani",24.91
"19","2021-01-01",19,"Rukwa",19.35
"20","2021-01-01",20,"Ruvuma",20.84
"21","2021-01-01",21,"Shinyanga",18.34
"22","2021-01-01",22,"Singida",18.39
"23","2021-01-01",23,"Tabora",18.84
"24","2021-01-01",24,"Tanga",22.52
"25","2021-01-01",25,"Zanzibar South and Central",27.11
"26","2021-01-01",26,"Zanzibar West",26.88
"27","2021-01-02",1,"Arusha",17.63
"28","2021-01-02",2,"Dar-Es-Salaam",26.09
"29","2021-01-02",3,"Dodoma",18.93
"30","2021-01-02",4,"Iringa",17.69
"31","2021-01-02",5,"Kagera",18.84
"32","2021-01-02",6,"Kaskazini-Pemba",26.72
"33","2021-01-02",7,"Kaskazini-Unguja",26.58
"34","2021-01-02",8,"Kigoma",19.7
"35","2021-01-02",9,"Kilimanjaro",18.92
"36","2021-01-02",10,"Kusini-Pemba",26.84
"37","2021-01-02",11,"Lindi",22.11
"38","2021-01-02",12,"Manyara",18.11
"39","2021-01-02",13,"Mara",18.31
"40","2021-01-02",14,"Mbeya",18.56
"41","2021-01-02",15,"Morogoro",21.23
"42","2021-01-02",16,"Mtwara",22.56
"43","2021-01-02",17,"Mwanza",19.96
"44","2021-01-02",18,"Pwani",24.1
"45","2021-01-02",19,"Rukwa",19.05
"46","2021-01-02",20,"Ruvuma",20.32
"47","2021-01-02",21,"Shinyanga",18.01
"48","2021-01-02",22,"Singida",18.15
"49","2021-01-02",23,"Tabora",18.88
"50","2021-01-02",24,"Tanga",21.26
"51","2021-01-02",25,"Zanzibar South and Central",26.7
"52","2021-01-02",26,"Zanzibar West",26.56
"53","2021-01-03",1,"Arusha",18.73
"54","2021-01-03",2,"Dar-Es-Salaam",25.65
"55","2021-01-03",3,"Dodoma",19.61
"56","2021-01-03",4,"Iringa",18.13
"57","2021-01-03",5,"Kagera",18.93
"58","2021-01-03",6,"Kaskazini-Pemba",27.32
"59","2021-01-03",7,"Kaskazini-Unguja",27.2
"60","2021-01-03",8,"Kigoma",18.67
"61","2021-01-03",9,"Kilimanjaro",20.33
"62","2021-01-03",10,"Kusini-Pemba",27.38
"63","2021-01-03",11,"Lindi",22.7
"64","2021-01-03",12,"Manyara",19.41
"65","2021-01-03",13,"Mara",19.09
"66","2021-01-03",14,"Mbeya",18.35
"67","2021-01-03",15,"Morogoro",22.13
"68","2021-01-03",16,"Mtwara",23.71
"69","2021-01-03",17,"Mwanza",20.03
"70","2021-01-03",18,"Pwani",24.46
"71","2021-01-03",19,"Rukwa",18.94
"72","2021-01-03",20,"Ruvuma",20.11
"73","2021-01-03",21,"Shinyanga",18.38
"74","2021-01-03",22,"Singida",18.47
"75","2021-01-03",23,"Tabora",18.77
"76","2021-01-03",24,"Tanga",22.43
"77","2021-01-03",25,"Zanzibar South and Central",27.1
"78","2021-01-03",26,"Zanzibar West",26.95
"79","2021-01-04",1,"Arusha",18.69
"80","2021-01-04",2,"Dar-Es-Salaam",24.68
"81","2021-01-04",3,"Dodoma",19.22
"82","2021-01-04",4,"Iringa",18.22
"83","2021-01-04",5,"Kagera",20
"84","2021-01-04",6,"Kaskazini-Pemba",26.4
"85","2021-01-04",7,"Kaskazini-Unguja",25.98
"86","2021-01-04",8,"Kigoma",19.99
"87","2021-01-04",9,"Kilimanjaro",19.6
"88","2021-01-04",10,"Kusini-Pemba",26.73
"89","2021-01-04",11,"Lindi",22.24
"90","2021-01-04",12,"Manyara",18.59
"91","2021-01-04",13,"Mara",19.16
"92","2021-01-04",14,"Mbeya",18.78
"93","2021-01-04",15,"Morogoro",21.58
"94","2021-01-04",16,"Mtwara",22.96
"95","2021-01-04",17,"Mwanza",21.02
"96","2021-01-04",18,"Pwani",23.27
"97","2021-01-04",19,"Rukwa",19.33
"98","2021-01-04",20,"Ruvuma",20.11
"99","2021-01-04",21,"Shinyanga",19.19
"100","2021-01-04",22,"Singida",19.07
"101","2021-01-04",23,"Tabora",19.18
"102","2021-01-04",24,"Tanga",21.44
"103","2021-01-04",25,"Zanzibar South and Central",25.82
"104","2021-01-04",26,"Zanzibar West",25.68
"105","2021-01-05",1,"Arusha",18.24
"106","2021-01-05",2,"Dar-Es-Salaam",26.68
"107","2021-01-05",3,"Dodoma",19.97
"108","2021-01-05",4,"Iringa",18.16
"109","2021-01-05",5,"Kagera",19.92
"110","2021-01-05",6,"Kaskazini-Pemba",27.49
"111","2021-01-05",7,"Kaskazini-Unguja",27.05
"112","2021-01-05",8,"Kigoma",19.97
"113","2021-01-05",9,"Kilimanjaro",19.6
"114","2021-01-05",10,"Kusini-Pemba",27.54
"115","2021-01-05",11,"Lindi",23.45
"116","2021-01-05",12,"Manyara",19.53
"117","2021-01-05",13,"Mara",19.67
"118","2021-01-05",14,"Mbeya",18.51
"119","2021-01-05",15,"Morogoro",22.65
"120","2021-01-05",16,"Mtwara",23.65
"121","2021-01-05",17,"Mwanza",22.31
"122","2021-01-05",18,"Pwani",25.07
"123","2021-01-05",19,"Rukwa",19.16
"124","2021-01-05",20,"Ruvuma",20.78
"125","2021-01-05",21,"Shinyanga",20.02
"126","2021-01-05",22,"Singida",18.88
"127","2021-01-05",23,"Tabora",19.38
"128","2021-01-05",24,"Tanga",22.48
"129","2021-01-05",25,"Zanzibar South and Central",27.15
"130","2021-01-05",26,"Zanzibar West",26.96
"131","2021-01-06",1,"Arusha",17.84
"132","2021-01-06",2,"Dar-Es-Salaam",26.65
"133","2021-01-06",3,"Dodoma",18.92
"134","2021-01-06",4,"Iringa",18.18
"135","2021-01-06",5,"Kagera",20.23
"136","2021-01-06",6,"Kaskazini-Pemba",27.56
"137","2021-01-06",7,"Kaskazini-Unguja",27.33
"138","2021-01-06",8,"Kigoma",19.82
"139","2021-01-06",9,"Kilimanjaro",18.46
"140","2021-01-06",10,"Kusini-Pemba",27.6
"141","2021-01-06",11,"Lindi",23.72
"142","2021-01-06",12,"Manyara",17.66
"143","2021-01-06",13,"Mara",19.73
"144","2021-01-06",14,"Mbeya",18.89
"145","2021-01-06",15,"Morogoro",22.63
"146","2021-01-06",16,"Mtwara",23.87
"147","2021-01-06",17,"Mwanza",21.28
"148","2021-01-06",18,"Pwani",24.92
"149","2021-01-06",19,"Rukwa",18.76
"150","2021-01-06",20,"Ruvuma",21.02
"151","2021-01-06",21,"Shinyanga",18.53
"152","2021-01-06",22,"Singida",17.88
"153","2021-01-06",23,"Tabora",18.83
"154","2021-01-06",24,"Tanga",21.61
"155","2021-01-06",25,"Zanzibar South and Central",27.49
"156","2021-01-06",26,"Zanzibar West",27.3
"157","2021-01-07",1,"Arusha",18.25
"158","2021-01-07",2,"Dar-Es-Salaam",26.74
"159","2021-01-07",3,"Dodoma",18.9
"160","2021-01-07",4,"Iringa",18.06
"161","2021-01-07",5,"Kagera",19.89
"162","2021-01-07",6,"Kaskazini-Pemba",27.54
"163","2021-01-07",7,"Kaskazini-Unguja",27.4
