"","date","ID_1","NAME_1","t2m"
"1","2011-01-01",1,"Alabama",19.11
"2","2011-01-01",2,"Alaska",0.14
"3","2011-01-01",3,"Alaska",-17.07
"4","2011-01-01",4,"Arizona",-2.19
"5","2011-01-01",5,"Arkansas",14.29
"6","2011-01-01",6,"California",2.59
"7","2011-01-01",7,"Colorado",-17.53
"8","2011-01-01",8,"Connecticut",3.6
"9","2011-01-01",9,"Delaware",3.37
"10","2011-01-01",10,"District of Columbia",4.61
"11","2011-01-01",11,"Florida",18.93
"12","2011-01-01",12,"Georgia",15.58
"13","2011-01-01",13,"Hawaii",21.92
"14","2011-01-01",14,"Idaho",-12.59
"15","2011-01-01",15,"Illinois",13.19
"16","2011-01-01",16,"Indiana",14.97
"17","2011-01-01",17,"Iowa",-5.26
"18","2011-01-01",18,"Kansas",-10.56
"19","2011-01-01",19,"Kentucky",16.03
"20","2011-01-01",20,"Louisiana",19.86
"21","2011-01-01",21,"Maine",2.32
"22","2011-01-01",22,"Maryland",4.67
"23","2011-01-01",23,"Massachusetts",4.07
"24","2011-01-01",24,"Michigan",4.33
"25","2011-01-01",25,"Minnesota",-11.46
"26","2011-01-01",26,"Mississippi",18.84
"27","2011-01-01",27,"Missouri",6.56
"28","2011-01-01",28,"Montana",-19.34
"29","2011-01-01",29,"Nebraska",-17.26
"30","2011-01-01",30,"Nevada",-13.28
"31","2011-01-01",31,"New Hampshire",2.86
"32","2011-01-01",32,"New Jersey",3.16
"33","2011-01-01",33,"New Mexico",-6.09
"34","2011-01-01",34,"New York",5.64
"35","2011-01-01",35,"North Carolina",8.07
"36","2011-01-01",36,"North Dakota",-20
"37","2011-01-01",37,"Ohio",12.68
"38","2011-01-01",38,"Oklahoma",1.66
"39","2011-01-01",39,"Oregon",-8.12
"40","2011-01-01",40,"Pennsylvania",6.31
"41","2011-01-01",41,"Rhode Island",3.77
"42","2011-01-01",42,"South Carolina",11.91
"43","2011-01-01",43,"South Dakota",-18.59
"44","2011-01-01",44,"Tennessee",16.4
