"","date","ID_1","NAME_1","t2m"
"1","2022-01-01",1,"Eastern Cape",14.16
"2","2022-01-01",2,"Free State",15.21
"3","2022-01-01",3,"Gauteng",15.93
"4","2022-01-01",4,"KwaZulu-Natal",16.13
"5","2022-01-01",5,"Limpopo",19.62
"6","2022-01-01",6,"Mpumalanga",15.92
"7","2022-01-01",7,"North West",17.71
"8","2022-01-01",8,"Northern Cape",16.34
"9","2022-01-01",9,"Western Cape (isolated islands)",5.58
"10","2022-01-01",10,"Western Cape",15.52
"11","2022-01-02",1,"Eastern Cape",14.82
"12","2022-01-02",2,"Free State",14.52
"13","2022-01-02",3,"Gauteng",17.86
"14","2022-01-02",4,"KwaZulu-Natal",19.39
"15","2022-01-02",5,"Limpopo",21.39
"16","2022-01-02",6,"Mpumalanga",18.89
"17","2022-01-02",7,"North West",17.11
"18","2022-01-02",8,"Northern Cape",15.95
"19","2022-01-02",9,"Western Cape (isolated islands)",6.61
"20","2022-01-02",10,"Western Cape",13.55
"21","2022-01-03",1,"Eastern Cape",14.4
"22","2022-01-03",2,"Free State",14.2
"23","2022-01-03",3,"Gauteng",15.76
"24","2022-01-03",4,"KwaZulu-Natal",16.99
"25","2022-01-03",5,"Limpopo",20.04
"26","2022-01-03",6,"Mpumalanga",16.35
"27","2022-01-03",7,"North West",15.67
"28","2022-01-03",8,"Northern Cape",17.35
"29","2022-01-03",9,"Western Cape (isolated islands)",7.06
"30","2022-01-03",10,"Western Cape",14.38
"31","2022-01-04",1,"Eastern Cape",17.59
"32","2022-01-04",2,"Free State",16.31
"33","2022-01-04",3,"Gauteng",16.75
"34","2022-01-04",4,"KwaZulu-Natal",19.22
"35","2022-01-04",5,"Limpopo",20.44
"36","2022-01-04",6,"Mpumalanga",17.6
"37","2022-01-04",7,"North West",18.13
"38","2022-01-04",8,"Northern Cape",19.28
"39","2022-01-04",9,"Western Cape (isolated islands)",7.97
"40","2022-01-04",10,"Western Cape",15.96
"41","2022-01-05",1,"Eastern Cape",17.79
"42","2022-01-05",2,"Free State",16.39
"43","2022-01-05",3,"Gauteng",17.76
"44","2022-01-05",4,"KwaZulu-Natal",18.9
"45","2022-01-05",5,"Limpopo",21.1
"46","2022-01-05",6,"Mpumalanga",18.13
"47","2022-01-05",7,"North West",18.49
"48","2022-01-05",8,"Northern Cape",18.34
"49","2022-01-05",9,"Western Cape (isolated islands)",7.48
"50","2022-01-05",10,"Western Cape",16.04
"51","2022-01-06",1,"Eastern Cape",15.21
