"ID_1","NAME_1","population_2010"
1,"Aargau",670245
2,"Appenzell Ausserrhoden",655971
3,"Appenzell Innerrhoden",193391
4,"Basel-Landschaft",1212094
5,"Basel-Stadt",520657
6,"Bern",870721
7,"Fribourg",365656
8,"Genève",959296
9,"Glarus",62021
10,"Graubünden",211483
11,"Jura",94430
12,"Lucerne",514881
13,"Neuchâtel",112701
14,"Nidwalden",396091
15,"Obwalden",91481
16,"Sankt Gallen",462580
17,"Schaffhausen",578358
18,"Schwyz",118594
19,"Solothurn",506471
20,"Thurgau",465908
21,"Ticino",200592
22,"Uri",51927
23,"Valais",360327
24,"Vaud",477023
25,"Zürich",1127188
26,"Zug",183459
