"ID_1","NAME_1","population_2010"
1,"Aisén del General Carlos Ibáñez del Campo",91587
2,"Antofagasta",554816
3,"Araucanía",991736
4,"Arica y Parinacota",161575
5,"Atacama",271755
6,"Bío-Bío",1924423
7,"Coquimbo",611400
8,"Libertador General Bernardo O'Higgins",871444
9,"Los Lagos",759822
10,"Los Ríos",305793
11,"Magallanes y Antártica Chilena",75443
12,"Magallanes y Antártica Chilena",58655
13,"Maule",964787
14,"Región Metropolitana de Santiago",7081897
15,"Tarapacá",302238
16,"Valparaíso",1479486
