"ID_2","NAME_2","population_2010"
1,"Albertslund",444308
2,"Allerød",231972
3,"Ballerup",676280
4,"Bornholm",24627
5,"Brøndby",444308
6,"Christiansø",101
7,"Dragør",638096
8,"Egedal",907983
9,"Fredensborg",376623
10,"Frederiksberg",1082404
11,"Frederikssund",299588
12,"Furesø",231972
13,"Gentofte",990098
14,"Gladsaxe",1434405
15,"Glostrup",444308
16,"Gribskov",373141
17,"Høje Taastrup",583254
18,"Hørsholm",352002
19,"Halsnæs",142117
20,"Helsingør",525083
21,"Herlev",676280
22,"Hillerød",92756
23,"Hvidovre",1082404
24,"Ishøj",583254
25,"København",1082404
26,"Lyngby-Taarbæk",352002
27,"Rødovre",444308
28,"Rudersdal",352002
29,"Tårnby",638096
30,"Vallensbæk",444308
31,"Århus",285137
32,"Favrskov",121522
33,"Hedensted",36338
34,"Herning",51418
35,"Holstebro",82819
36,"Horsens",77253
37,"Ikast-Brande",77261
38,"Lemvig",43790
39,"Norddjurs",20656
40,"Odder",21726
41,"Randers",23568
42,"Ringkøbing-Skjern",70775
43,"Samsø",3978
44,"Silkeborg",58721
45,"Skanderborg",52787
46,"Skive",48655
47,"Struer",88826
48,"Syddjurs",50147
49,"Viborg",121534
50,"Aalborg",190838
51,"Brønderslev",12906
52,"Frederikshavn",31615
53,"Hjørring",63085
54,"Jammerbugt",31007
55,"Læsø",1968
56,"Mariagerfjord",25623
57,"Morsø",72137
58,"Rebild",57313
59,"Thisted",34148
60,"Vesthimmerland",18979
61,"Faxe",211375
62,"Greve",583254
63,"Guldborgsund",31532
64,"Holbæk",84530
65,"Køge",62725
66,"Kalundborg",29399
67,"Lejre",43908
68,"Lolland",32506
69,"Næstved",34049
70,"Odsherred",24922
71,"Ringsted",59438
72,"Roskilde",138947
73,"Slagelse",54438
74,"Solrød",583254
75,"Sorø",173017
76,"Stevns",16580
77,"Vordingborg",69842
78,"Ærø",5703
79,"Aabenraa",179374
80,"Assens",37083
81,"Billund",32470
82,"Esbjerg",21724
83,"Faaborg-Midtfyn",24409
84,"Fanø",68460
85,"Fredericia",143216
86,"Haderslev",262468
87,"Kerteminde",43903
88,"Kolding",64703
89,"Langeland",18995
90,"Middelfart",25523
91,"Nordfyns",331983
92,"Nyborg",122260
93,"Odense",198304
94,"Sønderborg",44157
95,"Svendborg",57521
96,"Tønder",27646
97,"Varde",85631
98,"Vejen",29060
99,"Vejle",173867
