"ID_1","NAME_1","population_2010"
1,"Andalucía",7516856
2,"Aragón",1340756
3,"Cantabria",562252
4,"Castilla-La Mancha",2117181
5,"Castilla y León",2503596
6,"Cataluña",6975883
7,"Ceuta y Melilla",497333
8,"Comunidad de Madrid",6250565
9,"Comunidad Foral de Navarra",646675
10,"Comunidad Valenciana",4214564
11,"Extremadura",1084499
12,"Galicia",2142775
13,"Islas Baleares",840279
14,"Islas Canarias",997221
15,"La Rioja",354772
16,"País Vasco",1442226
17,"Principado de Asturias",907163
18,"Región de Murcia",1437015
