"ID_1","NAME_1","population_2010"
1,"Alba",338648
2,"Arad",479519
3,"Argeș",606993
4,"Bacău",646724
5,"Bihor",533073
6,"Bistrița-Năsăud",269104
7,"Botoșani",446349
8,"Brașov",523281
9,"Brăila",397406
10,"Bucharest",1787809
11,"Buzău",487542
12,"Călărași",230458
13,"Caraș-Severin",293461
14,"Cluj",670796
15,"Constanța",690200
16,"Covasna",229846
17,"Dâmbovița",536929
18,"Dolj",725541
19,"Galați",480863
20,"Giurgiu",268094
21,"Gorj",296275
22,"Harghita",304692
23,"Hunedoara",417238
24,"Iași",721997
25,"Ialomița",192280
26,"Ilfov",2249395
27,"Maramureș",417758
28,"Mehedinți",305463
29,"Mureș",568578
30,"Neamț",413781
31,"Olt",487739
32,"Prahova",818709
33,"Sălaj",271088
34,"Satu Mare",408658
35,"Sibiu",421736
36,"Suceava",724889
37,"Teleorman",375394
38,"Timiș",739722
39,"Tulcea",335616
40,"Vâlcea",358028
41,"Vaslui",361781
42,"Vrancea",319960
