"","date","ID_1","NAME_1","t2m"
"1","2019-01-01",1,"Berat",2.57
"2","2019-01-01",2,"Dibër",0.13
"3","2019-01-01",3,"Durrës",5.88
"4","2019-01-01",4,"Elbasan",2.37
"5","2019-01-01",5,"Fier",5.97
"6","2019-01-01",6,"Gjirokastër",3.02
"7","2019-01-01",7,"Korçë",0.64
"8","2019-01-01",8,"Kukës",0
"9","2019-01-01",9,"Lezhë",4.03
"10","2019-01-01",10,"Shkodër",3.43
"11","2019-01-01",11,"Tiranë",4.09
"12","2019-01-01",12,"Vlorë",5.93
"13","2019-01-02",1,"Berat",-4.26
"14","2019-01-02",2,"Dibër",-6.81
"15","2019-01-02",3,"Durrës",3.02
"16","2019-01-02",4,"Elbasan",-4.03
"17","2019-01-02",5,"Fier",1.01
"18","2019-01-02",6,"Gjirokastër",-2.95
"19","2019-01-02",7,"Korçë",-5.5
"20","2019-01-02",8,"Kukës",-6.4
"21","2019-01-02",9,"Lezhë",-2.55
"22","2019-01-02",10,"Shkodër",-3.18
"23","2019-01-02",11,"Tiranë",-0.92
"24","2019-01-02",12,"Vlorë",2.6
"25","2019-01-03",1,"Berat",1.45
"26","2019-01-03",2,"Dibër",-1.1
"27","2019-01-03",3,"Durrës",5.41
"28","2019-01-03",4,"Elbasan",1.26
"29","2019-01-03",5,"Fier",4.51
"30","2019-01-03",6,"Gjirokastër",1.44
"31","2019-01-03",7,"Korçë",-1.34
"32","2019-01-03",8,"Kukës",-2.36
"33","2019-01-03",9,"Lezhë",2.71
"34","2019-01-03",10,"Shkodër",0.81
"35","2019-01-03",11,"Tiranë",3.68
"36","2019-01-03",12,"Vlorë",4.2
"37","2019-01-04",1,"Berat",-4.89
"38","2019-01-04",2,"Dibër",-6.64
"39","2019-01-04",3,"Durrës",1.64
"40","2019-01-04",4,"Elbasan",-3.97
"41","2019-01-04",5,"Fier",0.95
"42","2019-01-04",6,"Gjirokastër",-4.91
"43","2019-01-04",7,"Korçë",-6.88
"44","2019-01-04",8,"Kukës",-7.63
"45","2019-01-04",9,"Lezhë",-1.48
"46","2019-01-04",10,"Shkodër",-3.35
"47","2019-01-04",11,"Tiranë",-0.08
"48","2019-01-04",12,"Vlorë",0.2
"49","2019-01-05",1,"Berat",-8.34
"50","2019-01-05",2,"Dibër",-7.97
"51","2019-01-05",3,"Durrës",1.13
"52","2019-01-05",4,"Elbasan",-5.95
"53","2019-01-05",5,"Fier",-1.96
"54","2019-01-05",6,"Gjirokastër",-8.71
"55","2019-01-05",7,"Korçë",-9.38
"56","2019-01-05",8,"Kukës",-10.49
"57","2019-01-05",9,"Lezhë",-2.67
"58","2019-01-05",10,"Shkodër",-5.03
"59","2019-01-05",11,"Tiranë",-1.59
"60","2019-01-05",12,"Vlorë",-3.39
"61","2019-01-06",1,"Berat",-7.08
"62","2019-01-06",2,"Dibër",-9.08
"63","2019-01-06",3,"Durrës",0.78
"64","2019-01-06",4,"Elbasan",-5.65
"65","2019-01-06",5,"Fier",-0.6
"66","2019-01-06",6,"Gjirokastër",-10.14
"67","2019-01-06",7,"Korçë",-12.65
"68","2019-01-06",8,"Kukës",-9.49
"69","2019-01-06",9,"Lezhë",-3.92
"70","2019-01-06",10,"Shkodër",-3.33
"71","2019-01-06",11,"Tiranë",-2.77
"72","2019-01-06",12,"Vlorë",-1.45
"73","2019-01-07",1,"Berat",-8.1
"74","2019-01-07",2,"Dibër",-6.96
"75","2019-01-07",3,"Durrës",2.27
"76","2019-01-07",4,"Elbasan",-5.08
"77","2019-01-07",5,"Fier",0.38
"78","2019-01-07",6,"Gjirokastër",-8.16
"79","2019-01-07",7,"Korçë",-12.74
"80","2019-01-07",8,"Kukës",-5.81
"81","2019-01-07",9,"Lezhë",-1.94
"82","2019-01-07",10,"Shkodër",-2.59
"83","2019-01-07",11,"Tiranë",-1.21
"84","2019-01-07",12,"Vlorë",0.33
"85","2019-01-08",1,"Berat",-10.85
"86","2019-01-08",2,"Dibër",-14.07
"87","2019-01-08",3,"Durrës",-0.91
"88","2019-01-08",4,"Elbasan",-7.8
"89","2019-01-08",5,"Fier",-1.86
