"date","ID_1","GID_1","NAME_1","t2m"
"2023-01-01",1,"1","Berat",2.97
"2023-01-01",2,"2","Dibër",2.02
"2023-01-01",3,"3","Durrës",9.96
"2023-01-01",4,"4","Elbasan",3.46
"2023-01-01",5,"5","Fier",8.18
"2023-01-01",6,"6","Gjirokastër",3.6
"2023-01-01",7,"7","Korçë",2.85
"2023-01-01",8,"8","Kukës",1.72
"2023-01-01",9,"9","Lezhë",4.81
"2023-01-01",10,"10","Shkodër",3.68
"2023-01-01",11,"11","Tiranë",6.41
"2023-01-01",12,"12","Vlorë",8.78
"2023-01-02",1,"1","Berat",1.41
"2023-01-02",2,"2","Dibër",2.31
"2023-01-02",3,"3","Durrës",9.12
"2023-01-02",4,"4","Elbasan",2.53
"2023-01-02",5,"5","Fier",6.55
"2023-01-02",6,"6","Gjirokastër",1.86
"2023-01-02",7,"7","Korçë",2.09
"2023-01-02",8,"8","Kukës",2.69
"2023-01-02",9,"9","Lezhë",4.92
"2023-01-02",10,"10","Shkodër",4.43
"2023-01-02",11,"11","Tiranë",5.23
"2023-01-02",12,"12","Vlorë",7.4
"2023-01-03",1,"1","Berat",2.99
"2023-01-03",2,"2","Dibër",3.11
"2023-01-03",3,"3","Durrës",9.16
"2023-01-03",4,"4","Elbasan",3.16
"2023-01-03",5,"5","Fier",7.36
"2023-01-03",6,"6","Gjirokastër",3.2
"2023-01-03",7,"7","Korçë",2.1
"2023-01-03",8,"8","Kukës",2.64
"2023-01-03",9,"9","Lezhë",5.78
"2023-01-03",10,"10","Shkodër",4.59
"2023-01-03",11,"11","Tiranë",5.6
"2023-01-03",12,"12","Vlorë",8.36
"2023-01-04",1,"1","Berat",2.76
"2023-01-04",2,"2","Dibër",1.79
"2023-01-04",3,"3","Durrës",10
"2023-01-04",4,"4","Elbasan",3.41
"2023-01-04",5,"5","Fier",8.13
"2023-01-04",6,"6","Gjirokastër",2.03
"2023-01-04",7,"7","Korçë",0.57
"2023-01-04",8,"8","Kukës",2.34
"2023-01-04",9,"9","Lezhë",5.79
"2023-01-04",10,"10","Shkodër",3.6
"2023-01-04",11,"11","Tiranë",7.08
"2023-01-04",12,"12","Vlorë",7.85
"2023-01-05",1,"1","Berat",1.89
"2023-01-05",2,"2","Dibër",0.72
"2023-01-05",3,"3","Durrës",8.66
"2023-01-05",4,"4","Elbasan",2.06
"2023-01-05",5,"5","Fier",6.79
"2023-01-05",6,"6","Gjirokastër",2.33
"2023-01-05",7,"7","Korçë",0.4
"2023-01-05",8,"8","Kukës",1.14
"2023-01-05",9,"9","Lezhë",4.19
"2023-01-05",10,"10","Shkodër",3.06
"2023-01-05",11,"11","Tiranë",5.18
"2023-01-05",12,"12","Vlorë",8.09
"2023-01-06",1,"1","Berat",3.76
"2023-01-06",2,"2","Dibër",2.39
"2023-01-06",3,"3","Durrës",10.38
"2023-01-06",4,"4","Elbasan",4.74
"2023-01-06",5,"5","Fier",8.71
"2023-01-06",6,"6","Gjirokastër",2.63
"2023-01-06",7,"7","Korçë",0.77
"2023-01-06",8,"8","Kukës",0.83
"2023-01-06",9,"9","Lezhë",6.31
"2023-01-06",10,"10","Shkodër",3.42
"2023-01-06",11,"11","Tiranë",7.96
"2023-01-06",12,"12","Vlorë",8.33
"2023-01-07",1,"1","Berat",1.26
"2023-01-07",2,"2","Dibër",-0.15
"2023-01-07",3,"3","Durrës",8.49
"2023-01-07",4,"4","Elbasan",2.05
"2023-01-07",5,"5","Fier",6.57
"2023-01-07",6,"6","Gjirokastër",1.42
"2023-01-07",7,"7","Korçë",0.48
"2023-01-07",8,"8","Kukës",0.59
"2023-01-07",9,"9","Lezhë",2.78
"2023-01-07",10,"10","Shkodër",1.22
"2023-01-07",11,"11","Tiranë",5.02
"2023-01-07",12,"12","Vlorë",7.31
"2023-01-08",1,"1","Berat",0.53
"2023-01-08",2,"2","Dibër",0.48
"2023-01-08",3,"3","Durrës",7.69
"2023-01-08",4,"4","Elbasan",1.17
"2023-01-08",5,"5","Fier",5.28
"2023-01-08",6,"6","Gjirokastër",1.01
"2023-01-08",7,"7","Korçë",0.53
"2023-01-08",8,"8","Kukës",-0.27
"2023-01-08",9,"9","Lezhë",3.22
"2023-01-08",10,"10","Shkodër",2.88
"2023-01-08",11,"11","Tiranë",3.73
"2023-01-08",12,"12","Vlorë",6.48
"2023-01-09",1,"1","Berat",2.47
"2023-01-09",2,"2","Dibër",1.82
"2023-01-09",3,"3","Durrës",10.04
"2023-01-09",4,"4","Elbasan",2.37
"2023-01-09",5,"5","Fier",7.93
"2023-01-09",6,"6","Gjirokastër",2.48
"2023-01-09",7,"7","Korçë",0.63
"2023-01-09",8,"8","Kukës",1.86
"2023-01-09",9,"9","Lezhë",6.06
"2023-01-09",10,"10","Shkodër",5.28
"2023-01-09",11,"11","Tiranë",6.64
"2023-01-09",12,"12","Vlorë",7.48
"2023-01-10",1,"1","Berat",8.16
"2023-01-10",2,"2","Dibër",5.08
"2023-01-10",3,"3","Durrës",11.89
"2023-01-10",4,"4","Elbasan",7.57
"2023-01-10",5,"5","Fier",11.96
"2023-01-10",6,"6","Gjirokastër",8.25
"2023-01-10",7,"7","Korçë",5.1
"2023-01-10",8,"8","Kukës",5.41
"2023-01-10",9,"9","Lezhë",9.28
"2023-01-10",10,"10","Shkodër",8
"2023-01-10",11,"11","Tiranë",10.16
"2023-01-10",12,"12","Vlorë",11.59
"2023-01-11",1,"1","Berat",2.45
"2023-01-11",2,"2","Dibër",1.6
"2023-01-11",3,"3","Durrës",7.93
"2023-01-11",4,"4","Elbasan",3.24
"2023-01-11",5,"5","Fier",6.73
"2023-01-11",6,"6","Gjirokastër",1.86
"2023-01-11",7,"7","Korçë",1.08
"2023-01-11",8,"8","Kukës",1.57
"2023-01-11",9,"9","Lezhë",4.41
"2023-01-11",10,"10","Shkodër",3.31
"2023-01-11",11,"11","Tiranë",5.52
"2023-01-11",12,"12","Vlorë",5.94
"2023-01-12",1,"1","Berat",-0.15
"2023-01-12",2,"2","Dibër",-1.16
"2023-01-12",3,"3","Durrës",6.19
"2023-01-12",4,"4","Elbasan",0.3
"2023-01-12",5,"5","Fier",4.9
"2023-01-12",6,"6","Gjirokastër",0.16
"2023-01-12",7,"7","Korçë",-1.86
"2023-01-12",8,"8","Kukës",-0.73
"2023-01-12",9,"9","Lezhë",2.22
"2023-01-12",10,"10","Shkodër",1.59
"2023-01-12",11,"11","Tiranë",3.16
"2023-01-12",12,"12","Vlorë",5.42
"2023-01-13",1,"1","Berat",-0.78
"2023-01-13",2,"2","Dibër",-0.86
"2023-01-13",3,"3","Durrës",6.5
"2023-01-13",4,"4","Elbasan",-0.04
"2023-01-13",5,"5","Fier",3.94
"2023-01-13",6,"6","Gjirokastër",0.34
"2023-01-13",7,"7","Korçë",-1
"2023-01-13",8,"8","Kukës",-0.41
"2023-01-13",9,"9","Lezhë",2.36
"2023-01-13",10,"10","Shkodër",1.46
"2023-01-13",11,"11","Tiranë",2.66
"2023-01-13",12,"12","Vlorë",5.31
"2023-01-14",1,"1","Berat",-0.22
"2023-01-14",2,"2","Dibër",-0.74
"2023-01-14",3,"3","Durrës",7.04
"2023-01-14",4,"4","Elbasan",0.4
"2023-01-14",5,"5","Fier",4.1
"2023-01-14",6,"6","Gjirokastër",-0.18
"2023-01-14",7,"7","Korçë",-0.53
"2023-01-14",8,"8","Kukës",-1.62
"2023-01-14",9,"9","Lezhë",2.31
"2023-01-14",10,"10","Shkodër",1.52
"2023-01-14",11,"11","Tiranë",3.11
"2023-01-14",12,"12","Vlorë",4.92
"2023-01-15",1,"1","Berat",2.17
"2023-01-15",2,"2","Dibër",-0.19
"2023-01-15",3,"3","Durrës",7.24
"2023-01-15",4,"4","Elbasan",1.8
"2023-01-15",5,"5","Fier",6.32
"2023-01-15",6,"6","Gjirokastër",2.04
"2023-01-15",7,"7","Korçë",0.28
"2023-01-15",8,"8","Kukës",1.2
"2023-01-15",9,"9","Lezhë",3.49
"2023-01-15",10,"10","Shkodër",2.9
"2023-01-15",11,"11","Tiranë",4.6
"2023-01-15",12,"12","Vlorë",6.66
"2023-01-16",1,"1","Berat",-0.07
"2023-01-16",2,"2","Dibër",-0.49
"2023-01-16",3,"3","Durrës",7.98
"2023-01-16",4,"4","Elbasan",0.2
"2023-01-16",5,"5","Fier",5.08
"2023-01-16",6,"6","Gjirokastër",1.81
"2023-01-16",7,"7","Korçë",-0.91
"2023-01-16",8,"8","Kukës",-1.77
"2023-01-16",9,"9","Lezhë",3.02
"2023-01-16",10,"10","Shkodër",2.18
"2023-01-16",11,"11","Tiranë",4.09
"2023-01-16",12,"12","Vlorë",6.32
"2023-01-17",1,"1","Berat",7.41
"2023-01-17",2,"2","Dibër",5.38
"2023-01-17",3,"3","Durrës",12.1
"2023-01-17",4,"4","Elbasan",7.4
"2023-01-17",5,"5","Fier",12.33
"2023-01-17",6,"6","Gjirokastër",6.92
"2023-01-17",7,"7","Korçë",4.5
"2023-01-17",8,"8","Kukës",5.14
"2023-01-17",9,"9","Lezhë",10.05
"2023-01-17",10,"10","Shkodër",8.39
"2023-01-17",11,"11","Tiranë",10.48
"2023-01-17",12,"12","Vlorë",11.51
"2023-01-18",1,"1","Berat",10.99
"2023-01-18",2,"2","Dibër",7.21
"2023-01-18",3,"3","Durrës",13.77
"2023-01-18",4,"4","Elbasan",10.49
"2023-01-18",5,"5","Fier",14.53
