"date","ID_2","NAME_2","t2m"
"2019-01-01",1,"Beratit",3.19
"2019-01-01",2,"Kuçovës",3.39
"2019-01-01",3,"Skraparit",1.84
"2019-01-01",4,"Bulqizës",0.12
"2019-01-01",5,"Dibrës",-0.97
"2019-01-01",6,"Matit",1.22
"2019-01-01",7,"Durrësit",7.96
"2019-01-01",8,"Krujës",3.09
"2019-01-01",9,"Elbasanit",3
"2019-01-01",10,"Gramshit",2.07
"2019-01-01",11,"Librazhdit",1.32
"2019-01-01",12,"Peqinit",4.86
"2019-01-01",13,"Fierit",6.68
"2019-01-01",14,"Lushnjës",6.32
"2019-01-01",15,"Mallakastrës",3.61
"2019-01-01",16,"Gjirokastrës",3.82
"2019-01-01",17,"Përmetit",2.13
"2019-01-01",18,"Tepelenës",2.9
"2019-01-01",19,"Devollit",0.39
"2019-01-01",20,"Kolonjës",0.93
"2019-01-01",21,"Korçës",0.58
"2019-01-01",22,"Pogradecit",0.63
"2019-01-01",23,"Has",1.42
"2019-01-01",24,"Kukësit",-0.74
"2019-01-01",25,"Tropojës",0.07
"2019-01-01",26,"Kurbinit",4.68
"2019-01-01",27,"Lezhës",6.05
"2019-01-01",28,"Mirditës",2.58
"2019-01-01",29,"Shkodrës",5.86
"2019-01-01",30,"Malësi e Madhe",3.25
"2019-01-01",31,"Pukës",2.4
"2019-01-01",32,"Shkodrës",4.41
"2019-01-01",33,"Kavajës",7.04
"2019-01-01",34,"Tiranës",3.12
"2019-01-01",35,"Delvinës",5.85
"2019-01-01",36,"Sarandës",6.9
"2019-01-01",37,"Vlorës",5.57
"2019-01-02",1,"Beratit",-3.14
"2019-01-02",2,"Kuçovës",-3.42
"2019-01-02",3,"Skraparit",-5.49
"2019-01-02",4,"Bulqizës",-6.05
"2019-01-02",5,"Dibrës",-8.78
"2019-01-02",6,"Matit",-5.37
"2019-01-02",7,"Durrësit",6.31
"2019-01-02",8,"Krujës",-1.4
"2019-01-02",9,"Elbasanit",-3.61
"2019-01-02",10,"Gramshit",-4.85
"2019-01-02",11,"Librazhdit",-4.61
"2019-01-02",12,"Peqinit",-0.71
"2019-01-02",13,"Fierit",1.64
"2019-01-02",14,"Lushnjës",1.14
"2019-01-02",15,"Mallakastrës",-0.72
"2019-01-02",16,"Gjirokastrës",-2.2
"2019-01-02",17,"Përmetit",-4.92
"2019-01-02",18,"Tepelenës",-1.77
"2019-01-02",19,"Devollit",-5.25
"2019-01-02",20,"Kolonjës",-5.94
"2019-01-02",21,"Korçës",-5.65
"2019-01-02",22,"Pogradecit",-4.8
"2019-01-02",23,"Has",-3.71
"2019-01-02",24,"Kukësit",-8.68
"2019-01-02",25,"Tropojës",-5.51
"2019-01-02",26,"Kurbinit",-0.43
"2019-01-02",27,"Lezhës",-0.06
"2019-01-02",28,"Mirditës",-4.66
"2019-01-02",29,"Shkodrës",-1.85
"2019-01-02",30,"Malësi e Madhe",-2.87
"2019-01-02",31,"Pukës",-4.33
"2019-01-02",32,"Shkodrës",-2.54
"2019-01-02",33,"Kavajës",3.32
"2019-01-02",34,"Tiranës",-2.31
"2019-01-02",35,"Delvinës",1.55
"2019-01-02",36,"Sarandës",2.99
"2019-01-02",37,"Vlorës",2.69
"2019-01-03",1,"Beratit",2.34
"2019-01-03",2,"Kuçovës",2.71
"2019-01-03",3,"Skraparit",0.4
"2019-01-03",4,"Bulqizës",-1.48
"2019-01-03",5,"Dibrës",-2.47
"2019-01-03",6,"Matit",0.5
"2019-01-03",7,"Durrësit",6.81
"2019-01-03",8,"Krujës",3.53
