"date","ID_0","NAME_0","t2m"
"2015-01-01",1,"Armenia",-1.86
"2015-01-02",1,"Armenia",-2.08
"2015-01-03",1,"Armenia",-2.59
"2015-01-04",1,"Armenia",-4.07
"2015-01-05",1,"Armenia",-5.15
"2015-01-06",1,"Armenia",-1.05
"2015-01-07",1,"Armenia",-2.9
"2015-01-08",1,"Armenia",-4.98
"2015-01-09",1,"Armenia",-10.17
"2015-01-10",1,"Armenia",-17.22
"2015-01-11",1,"Armenia",-13.76
"2015-01-12",1,"Armenia",-11.54
"2015-01-13",1,"Armenia",-7.92
"2015-01-14",1,"Armenia",-8.57
"2015-01-15",1,"Armenia",-8.06
"2015-01-16",1,"Armenia",-5.42
"2015-01-17",1,"Armenia",-5.1
"2015-01-18",1,"Armenia",-8.05
"2015-01-19",1,"Armenia",-10.14
"2015-01-20",1,"Armenia",-8.7
"2015-01-21",1,"Armenia",-8.16
"2015-01-22",1,"Armenia",-5.62
"2015-01-23",1,"Armenia",-6.53
"2015-01-24",1,"Armenia",-7.92
"2015-01-25",1,"Armenia",-6.76
"2015-01-26",1,"Armenia",-6.48
"2015-01-27",1,"Armenia",-4.61
"2015-01-28",1,"Armenia",-8.72
"2015-01-29",1,"Armenia",-3.76
"2015-01-30",1,"Armenia",-6.87
"2015-01-31",1,"Armenia",-6.37
"2015-02-01",1,"Armenia",-3.77
"2015-02-02",1,"Armenia",-1.97
"2015-02-03",1,"Armenia",-2.34
"2015-02-04",1,"Armenia",0.07
"2015-02-05",1,"Armenia",-1.99
"2015-02-06",1,"Armenia",-6.58
"2015-02-07",1,"Armenia",-5.88
"2015-02-08",1,"Armenia",-1.1
"2015-02-09",1,"Armenia",-1.76
"2015-02-10",1,"Armenia",-0.36
"2015-02-11",1,"Armenia",-2.75
"2015-02-12",1,"Armenia",-2.42
"2015-02-13",1,"Armenia",-4.53
"2015-02-14",1,"Armenia",-7
"2015-02-15",1,"Armenia",-6.81
"2015-02-16",1,"Armenia",-9.61
"2015-02-17",1,"Armenia",-7.33
"2015-02-18",1,"Armenia",-4.71
"2015-02-19",1,"Armenia",-6.47
"2015-02-20",1,"Armenia",-5.82
"2015-02-21",1,"Armenia",-6.25
"2015-02-22",1,"Armenia",-6.42
"2015-02-23",1,"Armenia",-7.57
"2015-02-24",1,"Armenia",-8.34
"2015-02-25",1,"Armenia",-7.06
"2015-02-26",1,"Armenia",-6.04
"2015-02-27",1,"Armenia",-4.9
"2015-02-28",1,"Armenia",-4.04
"2015-03-01",1,"Armenia",-0.95
"2015-03-02",1,"Armenia",-2.95
"2015-03-03",1,"Armenia",-3.59
"2015-03-04",1,"Armenia",-4.39
"2015-03-05",1,"Armenia",-3.07
"2015-03-06",1,"Armenia",-10.63
"2015-03-07",1,"Armenia",-7.45
"2015-03-08",1,"Armenia",-2.71
"2015-03-09",1,"Armenia",-2.06
"2015-03-10",1,"Armenia",-6.71
"2015-03-11",1,"Armenia",-5.23
"2015-03-12",1,"Armenia",-1.53
"2015-03-13",1,"Armenia",3.77
"2015-03-14",1,"Armenia",-0.46
"2015-03-15",1,"Armenia",2.51
"2015-03-16",1,"Armenia",0.92
"2015-03-17",1,"Armenia",-1.88
"2015-03-18",1,"Armenia",-3.66
"2015-03-19",1,"Armenia",-2.63
"2015-03-20",1,"Armenia",-1.07
"2015-03-21",1,"Armenia",-2.48
"2015-03-22",1,"Armenia",-0.51
"2015-03-23",1,"Armenia",-2.35
"2015-03-24",1,"Armenia",-1.58
"2015-03-25",1,"Armenia",-0.69
"2015-03-26",1,"Armenia",-0.74
"2015-03-27",1,"Armenia",-1.27
"2015-03-28",1,"Armenia",1.09
"2015-03-29",1,"Armenia",4.01
"2015-03-30",1,"Armenia",2.22
"2015-03-31",1,"Armenia",0.19
"2015-04-01",1,"Armenia",0.4
"2015-04-02",1,"Armenia",2.2
"2015-04-03",1,"Armenia",3.63
"2015-04-04",1,"Armenia",2.63
"2015-04-05",1,"Armenia",-0.72
"2015-04-06",1,"Armenia",-0.03
"2015-04-07",1,"Armenia",0.5
"2015-04-08",1,"Armenia",4.84
"2015-04-09",1,"Armenia",6.11
"2015-04-10",1,"Armenia",8.76
"2015-04-11",1,"Armenia",5.38
"2015-04-12",1,"Armenia",0.05
"2015-04-13",1,"Armenia",1.15
"2015-04-14",1,"Armenia",-1.64
"2015-04-15",1,"Armenia",-0.55
"2015-04-16",1,"Armenia",-0.2
"2015-04-17",1,"Armenia",1.37
"2015-04-18",1,"Armenia",3
"2015-04-19",1,"Armenia",5.97
"2015-04-20",1,"Armenia",5.5
"2015-04-21",1,"Armenia",4.38
"2015-04-22",1,"Armenia",3.74
"2015-04-23",1,"Armenia",1.36
"2015-04-24",1,"Armenia",0.24
"2015-04-25",1,"Armenia",-1.48
"2015-04-26",1,"Armenia",-0.53
"2015-04-27",1,"Armenia",2.66
"2015-04-28",1,"Armenia",4.21
"2015-04-29",1,"Armenia",4.59
"2015-04-30",1,"Armenia",9.31
"2015-05-01",1,"Armenia",6.4
"2015-05-02",1,"Armenia",6.83
"2015-05-03",1,"Armenia",6.1
"2015-05-04",1,"Armenia",6.11
"2015-05-05",1,"Armenia",5.73
"2015-05-06",1,"Armenia",4.37
"2015-05-07",1,"Armenia",1.68
"2015-05-08",1,"Armenia",3.09
"2015-05-09",1,"Armenia",7.28
"2015-05-10",1,"Armenia",6.55
"2015-05-11",1,"Armenia",6.22
"2015-05-12",1,"Armenia",5.87
"2015-05-13",1,"Armenia",6.28
"2015-05-14",1,"Armenia",6.49
"2015-05-15",1,"Armenia",5.78
"2015-05-16",1,"Armenia",4.27
"2015-05-17",1,"Armenia",8.94
"2015-05-18",1,"Armenia",6.75
"2015-05-19",1,"Armenia",7.63
"2015-05-20",1,"Armenia",9.27
"2015-05-21",1,"Armenia",9.72
"2015-05-22",1,"Armenia",9.96
"2015-05-23",1,"Armenia",9.94
"2015-05-24",1,"Armenia",7.24
"2015-05-25",1,"Armenia",8.73
"2015-05-26",1,"Armenia",8.72
"2015-05-27",1,"Armenia",9.97
"2015-05-28",1,"Armenia",10.78
"2015-05-29",1,"Armenia",9.77
"2015-05-30",1,"Armenia",11.3
"2015-05-31",1,"Armenia",12.09
"2015-06-01",1,"Armenia",10.57
"2015-06-02",1,"Armenia",10.46
"2015-06-03",1,"Armenia",12
"2015-06-04",1,"Armenia",12.59
"2015-06-05",1,"Armenia",12.58
"2015-06-06",1,"Armenia",14.05
"2015-06-07",1,"Armenia",12.26
"2015-06-08",1,"Armenia",11.42
"2015-06-09",1,"Armenia",9.62
"2015-06-10",1,"Armenia",12.55
"2015-06-11",1,"Armenia",12.07
"2015-06-12",1,"Armenia",12.29
"2015-06-13",1,"Armenia",11.9
"2015-06-14",1,"Armenia",11.73
"2015-06-15",1,"Armenia",10.48
"2015-06-16",1,"Armenia",12.08
"2015-06-17",1,"Armenia",10.38
"2015-06-18",1,"Armenia",11.33
"2015-06-19",1,"Armenia",11.37
"2015-06-20",1,"Armenia",13.08
"2015-06-21",1,"Armenia",14.04
"2015-06-22",1,"Armenia",13.77
"2015-06-23",1,"Armenia",14.88
"2015-06-24",1,"Armenia",15.58
"2015-06-25",1,"Armenia",14.65
"2015-06-26",1,"Armenia",12.95
"2015-06-27",1,"Armenia",11.85
"2015-06-28",1,"Armenia",11.28
"2015-06-29",1,"Armenia",13.07
"2015-06-30",1,"Armenia",14.35
"2015-07-01",1,"Armenia",14.92
"2015-07-02",1,"Armenia",16.08
"2015-07-03",1,"Armenia",15.88
"2015-07-04",1,"Armenia",16.83
"2015-07-05",1,"Armenia",16.13
"2015-07-06",1,"Armenia",15.9
"2015-07-07",1,"Armenia",16.32
"2015-07-08",1,"Armenia",16.2
"2015-07-09",1,"Armenia",15.72
"2015-07-10",1,"Armenia",15.98
"2015-07-11",1,"Armenia",17.05
"2015-07-12",1,"Armenia",15.87
"2015-07-13",1,"Armenia",15.29
"2015-07-14",1,"Armenia",13.72
"2015-07-15",1,"Armenia",14.08
"2015-07-16",1,"Armenia",15.09
"2015-07-17",1,"Armenia",15.48
"2015-07-18",1,"Armenia",12.66
"2015-07-19",1,"Armenia",11.57
"2015-07-20",1,"Armenia",10.81
"2015-07-21",1,"Armenia",10.59
"2015-07-22",1,"Armenia",12.24
"2015-07-23",1,"Armenia",14.17
"2015-07-24",1,"Armenia",13.53
"2015-07-25",1,"Armenia",14.53
"2015-07-26",1,"Armenia",15.39
"2015-07-27",1,"Armenia",16.39
"2015-07-28",1,"Armenia",15.57
"2015-07-29",1,"Armenia",15.91
"2015-07-30",1,"Armenia",16.17
"2015-07-31",1,"Armenia",16.47
"2015-08-01",1,"Armenia",16.46
"2015-08-02",1,"Armenia",18.8
"2015-08-03",1,"Armenia",17.47
"2015-08-04",1,"Armenia",16.79
"2015-08-05",1,"Armenia",16.34
"2015-08-06",1,"Armenia",16.97
"2015-08-07",1,"Armenia",14.97
"2015-08-08",1,"Armenia",13.65
"2015-08-09",1,"Armenia",13.32
"2015-08-10",1,"Armenia",12.82
"2015-08-11",1,"Armenia",13.7
"2015-08-12",1,"Armenia",14.97
"2015-08-13",1,"Armenia",17.19
"2015-08-14",1,"Armenia",16.42
"2015-08-15",1,"Armenia",17.14
"2015-08-16",1,"Armenia",17.05
"2015-08-17",1,"Armenia",17.08
"2015-08-18",1,"Armenia",14.05
"2015-08-19",1,"Armenia",15.37
"2015-08-20",1,"Armenia",16.35
"2015-08-21",1,"Armenia",16.93
"2015-08-22",1,"Armenia",16.41
"2015-08-23",1,"Armenia",13.17
"2015-08-24",1,"Armenia",14.84
"2015-08-25",1,"Armenia",11.39
"2015-08-26",1,"Armenia",10.35
"2015-08-27",1,"Armenia",9.37
"2015-08-28",1,"Armenia",10.81
"2015-08-29",1,"Armenia",11.65
"2015-08-30",1,"Armenia",11.42
"2015-08-31",1,"Armenia",12.3
"2015-09-01",1,"Armenia",12.56
"2015-09-02",1,"Armenia",11.33
"2015-09-03",1,"Armenia",11.56
"2015-09-04",1,"Armenia",11.84
"2015-09-05",1,"Armenia",12.8
"2015-09-06",1,"Armenia",15.08
"2015-09-07",1,"Armenia",13.69
"2015-09-08",1,"Armenia",11.89
"2015-09-09",1,"Armenia",12.1
"2015-09-10",1,"Armenia",13.32
"2015-09-11",1,"Armenia",13.22
"2015-09-12",1,"Armenia",15.5
"2015-09-13",1,"Armenia",14.25
"2015-09-14",1,"Armenia",13.62
"2015-09-15",1,"Armenia",12.56
"2015-09-16",1,"Armenia",12.63
"2015-09-17",1,"Armenia",11.89
"2015-09-18",1,"Armenia",10.89
"2015-09-19",1,"Armenia",9.94
"2015-09-20",1,"Armenia",8.51
"2015-09-21",1,"Armenia",9.3
"2015-09-22",1,"Armenia",9.95
"2015-09-23",1,"Armenia",11.23
"2015-09-24",1,"Armenia",11.23
"2015-09-25",1,"Armenia",10.97
"2015-09-26",1,"Armenia",10.81
"2015-09-27",1,"Armenia",9.98
"2015-09-28",1,"Armenia",9.16
"2015-09-29",1,"Armenia",8.37
"2015-09-30",1,"Armenia",10.14
"2015-10-01",1,"Armenia",9.96
"2015-10-02",1,"Armenia",10.61
"2015-10-03",1,"Armenia",10.09
"2015-10-04",1,"Armenia",9.16
"2015-10-05",1,"Armenia",8.94
"2015-10-06",1,"Armenia",6.73
"2015-10-07",1,"Armenia",9.82
"2015-10-08",1,"Armenia",8.79
"2015-10-09",1,"Armenia",6.15
"2015-10-10",1,"Armenia",5.18
"2015-10-11",1,"Armenia",2.84
"2015-10-12",1,"Armenia",5.05
"2015-10-13",1,"Armenia",8.29
"2015-10-14",1,"Armenia",7.4
"2015-10-15",1,"Armenia",6.28
"2015-10-16",1,"Armenia",5.96
"2015-10-17",1,"Armenia",3.88
"2015-10-18",1,"Armenia",1.3
"2015-10-19",1,"Armenia",1.62
"2015-10-20",1,"Armenia",4.65
"2015-10-21",1,"Armenia",5.84
"2015-10-22",1,"Armenia",5.48
"2015-10-23",1,"Armenia",5.88
"2015-10-24",1,"Armenia",6.72
"2015-10-25",1,"Armenia",8.6
"2015-10-26",1,"Armenia",8.73
"2015-10-27",1,"Armenia",6.91
"2015-10-28",1,"Armenia",5.42
"2015-10-29",1,"Armenia",4.24
"2015-10-30",1,"Armenia",3.31
"2015-10-31",1,"Armenia",1.78
