"date","ID_1","GID_1","NAME_1","t2m"
"2023-01-01",1,"1","Aragatsotn",-6.75
"2023-01-01",2,"2","Ararat",-6.75
"2023-01-01",3,"3","Armavir",-6.82
"2023-01-01",4,"4","Erevan",-6.49
"2023-01-01",5,"5","Gegharkunik",-5.73
"2023-01-01",6,"6","Kotayk",-6.33
"2023-01-01",7,"7","Lori",-5.58
"2023-01-01",8,"8","Shirak",-8.7
"2023-01-01",9,"9","Syunik",-9.4
"2023-01-01",10,"10","Tavush",-0.95
"2023-01-01",11,"11","Vayots Dzor",-11.35
"2023-01-02",1,"1","Aragatsotn",-7.39
"2023-01-02",2,"2","Ararat",-6.82
"2023-01-02",3,"3","Armavir",-7.85
"2023-01-02",4,"4","Erevan",-6.61
"2023-01-02",5,"5","Gegharkunik",-6.05
"2023-01-02",6,"6","Kotayk",-7.1
"2023-01-02",7,"7","Lori",-6.09
"2023-01-02",8,"8","Shirak",-8.34
"2023-01-02",9,"9","Syunik",-8.56
"2023-01-02",10,"10","Tavush",-2.09
"2023-01-02",11,"11","Vayots Dzor",-11
"2023-01-03",1,"1","Aragatsotn",-5.8
"2023-01-03",2,"2","Ararat",-5.17
"2023-01-03",3,"3","Armavir",-6.46
"2023-01-03",4,"4","Erevan",-5.24
"2023-01-03",5,"5","Gegharkunik",-3.48
"2023-01-03",6,"6","Kotayk",-4.59
"2023-01-03",7,"7","Lori",-4.33
"2023-01-03",8,"8","Shirak",-6.06
"2023-01-03",9,"9","Syunik",-6.69
"2023-01-03",10,"10","Tavush",-1.12
"2023-01-03",11,"11","Vayots Dzor",-8.73
"2023-01-04",1,"1","Aragatsotn",-6.28
"2023-01-04",2,"2","Ararat",-5.44
"2023-01-04",3,"3","Armavir",-6.93
"2023-01-04",4,"4","Erevan",-5.59
"2023-01-04",5,"5","Gegharkunik",-5.18
"2023-01-04",6,"6","Kotayk",-5.97
"2023-01-04",7,"7","Lori",-4.72
"2023-01-04",8,"8","Shirak",-5.8
"2023-01-04",9,"9","Syunik",-4.45
"2023-01-04",10,"10","Tavush",-1.92
"2023-01-04",11,"11","Vayots Dzor",-6.8
"2023-01-05",1,"1","Aragatsotn",-6.02
"2023-01-05",2,"2","Ararat",-5.94
"2023-01-05",3,"3","Armavir",-6.14
"2023-01-05",4,"4","Erevan",-5.66
"2023-01-05",5,"5","Gegharkunik",-4.84
"2023-01-05",6,"6","Kotayk",-6.29
"2023-01-05",7,"7","Lori",-3.92
"2023-01-05",8,"8","Shirak",-6.49
"2023-01-05",9,"9","Syunik",-5.92
"2023-01-05",10,"10","Tavush",0.93
"2023-01-05",11,"11","Vayots Dzor",-8.32
"2023-01-06",1,"1","Aragatsotn",-7.45
"2023-01-06",2,"2","Ararat",-7.23
"2023-01-06",3,"3","Armavir",-4.6
"2023-01-06",4,"4","Erevan",-6.73
"2023-01-06",5,"5","Gegharkunik",-8.97
"2023-01-06",6,"6","Kotayk",-8.49
"2023-01-06",7,"7","Lori",-6.68
"2023-01-06",8,"8","Shirak",-8.6
"2023-01-06",9,"9","Syunik",-6.53
"2023-01-06",10,"10","Tavush",-2.47
"2023-01-06",11,"11","Vayots Dzor",-10.03
"2023-01-07",1,"1","Aragatsotn",-1.72
"2023-01-07",2,"2","Ararat",-1.43
"2023-01-07",3,"3","Armavir",0.47
"2023-01-07",4,"4","Erevan",-1.05
"2023-01-07",5,"5","Gegharkunik",-3.64
"2023-01-07",6,"6","Kotayk",-2.86
"2023-01-07",7,"7","Lori",-1.01
"2023-01-07",8,"8","Shirak",-2.98
"2023-01-07",9,"9","Syunik",-2.64
"2023-01-07",10,"10","Tavush",1
"2023-01-07",11,"11","Vayots Dzor",-4.13
"2023-01-08",1,"1","Aragatsotn",-2.81
"2023-01-08",2,"2","Ararat",-1.76
"2023-01-08",3,"3","Armavir",-1.83
"2023-01-08",4,"4","Erevan",-1.9
"2023-01-08",5,"5","Gegharkunik",-6.12
"2023-01-08",6,"6","Kotayk",-4.48
"2023-01-08",7,"7","Lori",-1.73
"2023-01-08",8,"8","Shirak",-4.41
"2023-01-08",9,"9","Syunik",-2.33
"2023-01-08",10,"10","Tavush",0.11
"2023-01-08",11,"11","Vayots Dzor",-5.15
"2023-01-09",1,"1","Aragatsotn",-5.39
"2023-01-09",2,"2","Ararat",-4.47
"2023-01-09",3,"3","Armavir",-3.54
"2023-01-09",4,"4","Erevan",-4.18
"2023-01-09",5,"5","Gegharkunik",-9.08
"2023-01-09",6,"6","Kotayk",-6.75
"2023-01-09",7,"7","Lori",-6.02
"2023-01-09",8,"8","Shirak",-8.22
"2023-01-09",9,"9","Syunik",-8.09
"2023-01-09",10,"10","Tavush",-4.86
"2023-01-09",11,"11","Vayots Dzor",-7.11
"2023-01-10",1,"1","Aragatsotn",-9.82
"2023-01-10",2,"2","Ararat",-9.72
"2023-01-10",3,"3","Armavir",-6.87
"2023-01-10",4,"4","Erevan",-9.23
"2023-01-10",5,"5","Gegharkunik",-13.91
"2023-01-10",6,"6","Kotayk",-11.06
"2023-01-10",7,"7","Lori",-9.8
"2023-01-10",8,"8","Shirak",-12.4
"2023-01-10",9,"9","Syunik",-14.9
"2023-01-10",10,"10","Tavush",-7.58
"2023-01-10",11,"11","Vayots Dzor",-14.52
"2023-01-11",1,"1","Aragatsotn",-9.85
"2023-01-11",2,"2","Ararat",-10.33
"2023-01-11",3,"3","Armavir",-8.14
"2023-01-11",4,"4","Erevan",-9.76
"2023-01-11",5,"5","Gegharkunik",-12.6
"2023-01-11",6,"6","Kotayk",-10.66
"2023-01-11",7,"7","Lori",-10.05
"2023-01-11",8,"8","Shirak",-11.71
"2023-01-11",9,"9","Syunik",-12.68
"2023-01-11",10,"10","Tavush",-8.39
"2023-01-11",11,"11","Vayots Dzor",-14.92
"2023-01-12",1,"1","Aragatsotn",-8.19
"2023-01-12",2,"2","Ararat",-8.26
"2023-01-12",3,"3","Armavir",-6.46
"2023-01-12",4,"4","Erevan",-7.53
"2023-01-12",5,"5","Gegharkunik",-12.17
"2023-01-12",6,"6","Kotayk",-9.85
"2023-01-12",7,"7","Lori",-8.95
"2023-01-12",8,"8","Shirak",-10.58
"2023-01-12",9,"9","Syunik",-13.28
"2023-01-12",10,"10","Tavush",-6.84
"2023-01-12",11,"11","Vayots Dzor",-14.11
"2023-01-13",1,"1","Aragatsotn",-9.1
"2023-01-13",2,"2","Ararat",-9.07
"2023-01-13",3,"3","Armavir",-7.64
"2023-01-13",4,"4","Erevan",-8.42
"2023-01-13",5,"5","Gegharkunik",-11.39
"2023-01-13",6,"6","Kotayk",-9.08
"2023-01-13",7,"7","Lori",-9.25
"2023-01-13",8,"8","Shirak",-11.48
"2023-01-13",9,"9","Syunik",-13.39
"2023-01-13",10,"10","Tavush",-7.05
"2023-01-13",11,"11","Vayots Dzor",-13.83
"2023-01-14",1,"1","Aragatsotn",-9.02
"2023-01-14",2,"2","Ararat",-8.46
"2023-01-14",3,"3","Armavir",-7.63
"2023-01-14",4,"4","Erevan",-8.21
"2023-01-14",5,"5","Gegharkunik",-10.7
"2023-01-14",6,"6","Kotayk",-10.33
"2023-01-14",7,"7","Lori",-8.02
"2023-01-14",8,"8","Shirak",-10.36
"2023-01-14",9,"9","Syunik",-13.86
"2023-01-14",10,"10","Tavush",-4.99
"2023-01-14",11,"11","Vayots Dzor",-11.93
"2023-01-15",1,"1","Aragatsotn",-6.3
"2023-01-15",2,"2","Ararat",-6.35
"2023-01-15",3,"3","Armavir",-4.25
"2023-01-15",4,"4","Erevan",-5.48
"2023-01-15",5,"5","Gegharkunik",-8.97
"2023-01-15",6,"6","Kotayk",-8.33
"2023-01-15",7,"7","Lori",-6.75
"2023-01-15",8,"8","Shirak",-8.32
"2023-01-15",9,"9","Syunik",-11.82
"2023-01-15",10,"10","Tavush",-3.62
"2023-01-15",11,"11","Vayots Dzor",-10.99
"2023-01-16",1,"1","Aragatsotn",-8.18
"2023-01-16",2,"2","Ararat",-6.92
"2023-01-16",3,"3","Armavir",-6.29
"2023-01-16",4,"4","Erevan",-6.7
"2023-01-16",5,"5","Gegharkunik",-8.84
"2023-01-16",6,"6","Kotayk",-9.37
"2023-01-16",7,"7","Lori",-8.42
"2023-01-16",8,"8","Shirak",-10.33
"2023-01-16",9,"9","Syunik",-10.77
"2023-01-16",10,"10","Tavush",-3.29
"2023-01-16",11,"11","Vayots Dzor",-10.84
"2023-01-17",1,"1","Aragatsotn",-5.83
"2023-01-17",2,"2","Ararat",-5.91
"2023-01-17",3,"3","Armavir",-2.98
"2023-01-17",4,"4","Erevan",-5.52
"2023-01-17",5,"5","Gegharkunik",-7.93
"2023-01-17",6,"6","Kotayk",-8.5
"2023-01-17",7,"7","Lori",-6.02
