"date","ID_0","NAME_0","t2m"
"2019-01-01",1,"Australia",31.13
"2019-01-02",1,"Australia",31.58
"2019-01-03",1,"Australia",31.96
"2019-01-04",1,"Australia",30.32
"2019-01-05",1,"Australia",27.91
"2019-01-06",1,"Australia",27.7
"2019-01-07",1,"Australia",29.05
"2019-01-08",1,"Australia",29.55
"2019-01-09",1,"Australia",28.73
"2019-01-10",1,"Australia",29.78
"2019-01-11",1,"Australia",31.5
"2019-01-12",1,"Australia",31.38
"2019-01-13",1,"Australia",31.78
"2019-01-14",1,"Australia",32.08
"2019-01-15",1,"Australia",32.66
"2019-01-16",1,"Australia",32.73
"2019-01-17",1,"Australia",31.94
"2019-01-18",1,"Australia",30.74
"2019-01-19",1,"Australia",29.73
"2019-01-20",1,"Australia",30.65
"2019-01-21",1,"Australia",31.58
"2019-01-22",1,"Australia",32.67
"2019-01-23",1,"Australia",31.86
"2019-01-24",1,"Australia",31.44
"2019-01-25",1,"Australia",31.05
"2019-01-26",1,"Australia",29.41
"2019-01-27",1,"Australia",27.37
"2019-01-28",1,"Australia",27.26
"2019-01-29",1,"Australia",29.36
"2019-01-30",1,"Australia",29.82
"2019-01-31",1,"Australia",27.19
"2019-02-01",1,"Australia",27.66
"2019-02-02",1,"Australia",29.12
"2019-02-03",1,"Australia",29.05
"2019-02-04",1,"Australia",27.51
"2019-02-05",1,"Australia",27.71
"2019-02-06",1,"Australia",28.23
"2019-02-07",1,"Australia",27.83
"2019-02-08",1,"Australia",26.88
"2019-02-09",1,"Australia",25.82
"2019-02-10",1,"Australia",26.29
"2019-02-11",1,"Australia",28.33
"2019-02-12",1,"Australia",28.34
"2019-02-13",1,"Australia",25.86
"2019-02-14",1,"Australia",26.14
"2019-02-15",1,"Australia",28.19
"2019-02-16",1,"Australia",29.02
"2019-02-17",1,"Australia",29.25
"2019-02-18",1,"Australia",28.84
"2019-02-19",1,"Australia",27.85
"2019-02-20",1,"Australia",27.5
"2019-02-21",1,"Australia",27.81
"2019-02-22",1,"Australia",28.5
"2019-02-23",1,"Australia",29.07
"2019-02-24",1,"Australia",29.47
"2019-02-25",1,"Australia",29.06
"2019-02-26",1,"Australia",29
"2019-02-27",1,"Australia",29.84
"2019-02-28",1,"Australia",30.1
"2019-03-01",1,"Australia",29.89
"2019-03-02",1,"Australia",28.55
"2019-03-03",1,"Australia",28.51
"2019-03-04",1,"Australia",29.03
"2019-03-05",1,"Australia",28.67
"2019-03-06",1,"Australia",26.36
"2019-03-07",1,"Australia",26.31
"2019-03-08",1,"Australia",28.72
"2019-03-09",1,"Australia",29.68
"2019-03-10",1,"Australia",30.22
"2019-03-11",1,"Australia",29.62
"2019-03-12",1,"Australia",28.17
"2019-03-13",1,"Australia",27.42
"2019-03-14",1,"Australia",27.35
"2019-03-15",1,"Australia",27.11
"2019-03-16",1,"Australia",26.57
"2019-03-17",1,"Australia",26.83
"2019-03-18",1,"Australia",27.31
"2019-03-19",1,"Australia",27.79
"2019-03-20",1,"Australia",28.74
"2019-03-21",1,"Australia",28.56
"2019-03-22",1,"Australia",28.43
"2019-03-23",1,"Australia",27.81
"2019-03-24",1,"Australia",26.45
"2019-03-25",1,"Australia",23.88
"2019-03-26",1,"Australia",22.81
"2019-03-27",1,"Australia",23.54
"2019-03-28",1,"Australia",25.05
"2019-03-29",1,"Australia",24.42
"2019-03-30",1,"Australia",21.6
"2019-03-31",1,"Australia",21.16
"2019-04-01",1,"Australia",22.37
"2019-04-02",1,"Australia",23.73
"2019-04-03",1,"Australia",24.65
"2019-04-04",1,"Australia",25.48
"2019-04-05",1,"Australia",25.19
"2019-04-06",1,"Australia",24.35
"2019-04-07",1,"Australia",25.47
"2019-04-08",1,"Australia",25.48
"2019-04-09",1,"Australia",24.3
"2019-04-10",1,"Australia",23.76
"2019-04-11",1,"Australia",23.88
"2019-04-12",1,"Australia",23.37
"2019-04-13",1,"Australia",23.97
"2019-04-14",1,"Australia",24.66
"2019-04-15",1,"Australia",24.39
"2019-04-16",1,"Australia",25.12
"2019-04-17",1,"Australia",24.53
"2019-04-18",1,"Australia",23.94
"2019-04-19",1,"Australia",24.48
"2019-04-20",1,"Australia",22.84
"2019-04-21",1,"Australia",21.29
"2019-04-22",1,"Australia",20.49
"2019-04-23",1,"Australia",21.05
"2019-04-24",1,"Australia",21.65
"2019-04-25",1,"Australia",21.38
"2019-04-26",1,"Australia",20.98
"2019-04-27",1,"Australia",20
"2019-04-28",1,"Australia",20.3
"2019-04-29",1,"Australia",20.84
"2019-04-30",1,"Australia",20.67
"2019-05-01",1,"Australia",19.77
"2019-05-02",1,"Australia",19.82
"2019-05-03",1,"Australia",19.53
"2019-05-04",1,"Australia",19.27
"2019-05-05",1,"Australia",18.96
"2019-05-06",1,"Australia",18.49
"2019-05-07",1,"Australia",18.1
"2019-05-08",1,"Australia",17.74
"2019-05-09",1,"Australia",17.16
"2019-05-10",1,"Australia",15.29
"2019-05-11",1,"Australia",14.42
"2019-05-12",1,"Australia",15.16
"2019-05-13",1,"Australia",16.69
"2019-05-14",1,"Australia",18.16
"2019-05-15",1,"Australia",18.73
"2019-05-16",1,"Australia",19.16
"2019-05-17",1,"Australia",19.98
"2019-05-18",1,"Australia",18.73
"2019-05-19",1,"Australia",18.76
"2019-05-20",1,"Australia",19.91
"2019-05-21",1,"Australia",20.38
"2019-05-22",1,"Australia",20.39
"2019-05-23",1,"Australia",20.72
"2019-05-24",1,"Australia",20.03
"2019-05-25",1,"Australia",19.4
"2019-05-26",1,"Australia",18.28
"2019-05-27",1,"Australia",17.12
"2019-05-28",1,"Australia",15.78
"2019-05-29",1,"Australia",15.51
"2019-05-30",1,"Australia",14.54
"2019-05-31",1,"Australia",13.46
"2019-06-01",1,"Australia",13.08
"2019-06-02",1,"Australia",13.42
"2019-06-03",1,"Australia",13.38
"2019-06-04",1,"Australia",12.24
"2019-06-05",1,"Australia",11.81
"2019-06-06",1,"Australia",12.21
"2019-06-07",1,"Australia",13.2
"2019-06-08",1,"Australia",14.64
"2019-06-09",1,"Australia",16.32
"2019-06-10",1,"Australia",17.1
"2019-06-11",1,"Australia",18.17
"2019-06-12",1,"Australia",17.44
