"","date","ID_1","NAME_1","t2m"
"1","2011-01-01",1,"Ashmore and Cartier Islands",28.68
"2","2011-01-01",2,"Australian Capital Territory",25.87
"3","2011-01-01",3,"Coral Sea Islands",27.1
"4","2011-01-01",4,"Jervis Bay Territory",24.65
"5","2011-01-01",5,"New South Wales",30.9
"6","2011-01-01",6,"Northern Territory",29.28
"7","2011-01-01",7,"Queensland",28.45
"8","2011-01-01",8,"South Australia",31.94
"9","2011-01-01",9,"Tasmania",16.41
"10","2011-01-01",10,"Victoria",22.99
"11","2011-01-01",11,"Western Australia",30.07
"12","2011-01-02",1,"Ashmore and Cartier Islands",27.73
"13","2011-01-02",2,"Australian Capital Territory",23.86
"14","2011-01-02",3,"Coral Sea Islands",26.69
"15","2011-01-02",4,"Jervis Bay Territory",20.35
"16","2011-01-02",5,"New South Wales",28.77
"17","2011-01-02",6,"Northern Territory",28.99
"18","2011-01-02",7,"Queensland",29.07
"19","2011-01-02",8,"South Australia",30.49
"20","2011-01-02",9,"Tasmania",13.95
"21","2011-01-02",10,"Victoria",19.08
"22","2011-01-02",11,"Western Australia",28.24
"23","2011-01-03",1,"Ashmore and Cartier Islands",27.46
"24","2011-01-03",2,"Australian Capital Territory",16.3
"25","2011-01-03",3,"Coral Sea Islands",26.88
"26","2011-01-03",4,"Jervis Bay Territory",18.35
"27","2011-01-03",5,"New South Wales",25.47
"28","2011-01-03",6,"Northern Territory",30.65
"29","2011-01-03",7,"Queensland",29.01
"30","2011-01-03",8,"South Australia",28.48
"31","2011-01-03",9,"Tasmania",14.11
"32","2011-01-03",10,"Victoria",17.23
"33","2011-01-03",11,"Western Australia",27.14
"34","2011-01-04",1,"Ashmore and Cartier Islands",27.41
"35","2011-01-04",2,"Australian Capital Territory",15.86
"36","2011-01-04",3,"Coral Sea Islands",27
"37","2011-01-04",4,"Jervis Bay Territory",18.8
"38","2011-01-04",5,"New South Wales",23.77
"39","2011-01-04",6,"Northern Territory",30.61
"40","2011-01-04",7,"Queensland",29.44
"41","2011-01-04",8,"South Australia",24.72
"42","2011-01-04",9,"Tasmania",15.79
"43","2011-01-04",10,"Victoria",18.95
"44","2011-01-04",11,"Western Australia",27.27
"45","2011-01-05",1,"Ashmore and Cartier Islands",27.49
"46","2011-01-05",2,"Australian Capital Territory",18.74
"47","2011-01-05",3,"Coral Sea Islands",26.55
"48","2011-01-05",4,"Jervis Bay Territory",19.01
"49","2011-01-05",5,"New South Wales",23.99
"50","2011-01-05",6,"Northern Territory",29.57
"51","2011-01-05",7,"Queensland",26.98
"52","2011-01-05",8,"South Australia",24.36
"53","2011-01-05",9,"Tasmania",16.68
"54","2011-01-05",10,"Victoria",19.45
"55","2011-01-05",11,"Western Australia",29.48
"56","2011-01-06",1,"Ashmore and Cartier Islands",26.66
"57","2011-01-06",2,"Australian Capital Territory",17.59
"58","2011-01-06",3,"Coral Sea Islands",26.75
"59","2011-01-06",4,"Jervis Bay Territory",20.28
"60","2011-01-06",5,"New South Wales",24.01
"61","2011-01-06",6,"Northern Territory",30.13
"62","2011-01-06",7,"Queensland",27.39
"63","2011-01-06",8,"South Australia",30.28
"64","2011-01-06",9,"Tasmania",18.02
"65","2011-01-06",10,"Victoria",22.7
"66","2011-01-06",11,"Western Australia",27.64
"67","2011-01-07",1,"Ashmore and Cartier Islands",27.64
"68","2011-01-07",2,"Australian Capital Territory",20.03
"69","2011-01-07",3,"Coral Sea Islands",25.94
"70","2011-01-07",4,"Jervis Bay Territory",20.81
"71","2011-01-07",5,"New South Wales",25.67
"72","2011-01-07",6,"Northern Territory",30.39
"73","2011-01-07",7,"Queensland",28.47
"74","2011-01-07",8,"South Australia",30.12
"75","2011-01-07",9,"Tasmania",21.38
"76","2011-01-07",10,"Victoria",27.67
"77","2011-01-07",11,"Western Australia",27.59
"78","2011-01-08",1,"Ashmore and Cartier Islands",28
"79","2011-01-08",2,"Australian Capital Territory",20.21
"80","2011-01-08",3,"Coral Sea Islands",25.94
"81","2011-01-08",4,"Jervis Bay Territory",22.06
"82","2011-01-08",5,"New South Wales",27.2
"83","2011-01-08",6,"Northern Territory",28.77
"84","2011-01-08",7,"Queensland",28.56
"85","2011-01-08",8,"South Australia",29.18
"86","2011-01-08",9,"Tasmania",23.65
"87","2011-01-08",10,"Victoria",27.86
