"date","ID_1","GID_1","NAME_1","t2m"
"2023-01-01",1,"1","Ashmore and Cartier Islands",27.74
"2023-01-01",2,"2","Australian Capital Territory",20.13
"2023-01-01",3,"3","Coral Sea Islands",26.3
"2023-01-01",4,"4","Jervis Bay Territory",21.01
"2023-01-01",5,"5","New South Wales",28.77
"2023-01-01",6,"6","Northern Territory",28.79
"2023-01-01",7,"7","Queensland",29.69
"2023-01-01",8,"8","South Australia",33.72
"2023-01-01",9,"9","Tasmania",20.49
"2023-01-01",10,"10","Victoria",28.71
"2023-01-01",11,"11","Western Australia",27.21
"2023-01-02",1,"1","Ashmore and Cartier Islands",28.46
"2023-01-02",2,"2","Australian Capital Territory",23.13
"2023-01-02",3,"3","Coral Sea Islands",26.21
"2023-01-02",4,"4","Jervis Bay Territory",21.65
"2023-01-02",5,"5","New South Wales",29.24
"2023-01-02",6,"6","Northern Territory",28.19
"2023-01-02",7,"7","Queensland",29.7
"2023-01-02",8,"8","South Australia",31.26
"2023-01-02",9,"9","Tasmania",20.34
"2023-01-02",10,"10","Victoria",26.03
"2023-01-02",11,"11","Western Australia",26.38
"2023-01-03",1,"1","Ashmore and Cartier Islands",27.42
"2023-01-03",2,"2","Australian Capital Territory",23.79
"2023-01-03",3,"3","Coral Sea Islands",25.61
"2023-01-03",4,"4","Jervis Bay Territory",21.47
"2023-01-03",5,"5","New South Wales",27.37
"2023-01-03",6,"6","Northern Territory",28.61
"2023-01-03",7,"7","Queensland",30.02
"2023-01-03",8,"8","South Australia",24.43
"2023-01-03",9,"9","Tasmania",14.42
"2023-01-03",10,"10","Victoria",19.11
"2023-01-03",11,"11","Western Australia",25.83
"2023-01-04",1,"1","Ashmore and Cartier Islands",28.56
"2023-01-04",2,"2","Australian Capital Territory",16.88
"2023-01-04",3,"3","Coral Sea Islands",26.73
"2023-01-04",4,"4","Jervis Bay Territory",19.2
"2023-01-04",5,"5","New South Wales",24.79
"2023-01-04",6,"6","Northern Territory",27.62
"2023-01-04",7,"7","Queensland",30.6
"2023-01-04",8,"8","South Australia",21.66
"2023-01-04",9,"9","Tasmania",13.93
"2023-01-04",10,"10","Victoria",16.24
"2023-01-04",11,"11","Western Australia",25.1
"2023-01-05",1,"1","Ashmore and Cartier Islands",28.37
"2023-01-05",2,"2","Australian Capital Territory",14.29
"2023-01-05",3,"3","Coral Sea Islands",26.84
"2023-01-05",4,"4","Jervis Bay Territory",17.5
"2023-01-05",5,"5","New South Wales",21.67
"2023-01-05",6,"6","Northern Territory",25.98
"2023-01-05",7,"7","Queensland",26.4
"2023-01-05",8,"8","South Australia",22.49
"2023-01-05",9,"9","Tasmania",15.52
"2023-01-05",10,"10","Victoria",18.74
"2023-01-05",11,"11","Western Australia",25.35
"2023-01-06",1,"1","Ashmore and Cartier Islands",27.81
"2023-01-06",2,"2","Australian Capital Territory",14.63
"2023-01-06",3,"3","Coral Sea Islands",27.03
"2023-01-06",4,"4","Jervis Bay Territory",17.9
"2023-01-06",5,"5","New South Wales",22.42
"2023-01-06",6,"6","Northern Territory",26.64
"2023-01-06",7,"7","Queensland",28.38
"2023-01-06",8,"8","South Australia",25.73
"2023-01-06",9,"9","Tasmania",15.75
"2023-01-06",10,"10","Victoria",19.57
"2023-01-06",11,"11","Western Australia",26.21
"2023-01-07",1,"1","Ashmore and Cartier Islands",27.89
"2023-01-07",2,"2","Australian Capital Territory",15.56
"2023-01-07",3,"3","Coral Sea Islands",26.01
"2023-01-07",4,"4","Jervis Bay Territory",18.52
"2023-01-07",5,"5","New South Wales",23.91
"2023-01-07",6,"6","Northern Territory",26.76
"2023-01-07",7,"7","Queensland",29.55
"2023-01-07",8,"8","South Australia",30.61
"2023-01-07",9,"9","Tasmania",16.55
"2023-01-07",10,"10","Victoria",22.9
"2023-01-07",11,"11","Western Australia",26.13
"2023-01-08",1,"1","Ashmore and Cartier Islands",27.85
"2023-01-08",2,"2","Australian Capital Territory",18.24
"2023-01-08",3,"3","Coral Sea Islands",26.56
"2023-01-08",4,"4","Jervis Bay Territory",18.7
"2023-01-08",5,"5","New South Wales",26.36
"2023-01-08",6,"6","Northern Territory",26.3
"2023-01-08",7,"7","Queensland",30.47
"2023-01-08",8,"8","South Australia",29.6
"2023-01-08",9,"9","Tasmania",18.97
"2023-01-08",10,"10","Victoria",26.07
"2023-01-08",11,"11","Western Australia",25.95
"2023-01-09",1,"1","Ashmore and Cartier Islands",27.97
"2023-01-09",2,"2","Australian Capital Territory",22.77
"2023-01-09",3,"3","Coral Sea Islands",26.64
"2023-01-09",4,"4","Jervis Bay Territory",19.35
"2023-01-09",5,"5","New South Wales",29.14
"2023-01-09",6,"6","Northern Territory",26.25
"2023-01-09",7,"7","Queensland",30.02
"2023-01-09",8,"8","South Australia",26.41
"2023-01-09",9,"9","Tasmania",19.12
"2023-01-09",10,"10","Victoria",25.76
"2023-01-09",11,"11","Western Australia",26.77
"2023-01-10",1,"1","Ashmore and Cartier Islands",27.04
"2023-01-10",2,"2","Australian Capital Territory",22.64
"2023-01-10",3,"3","Coral Sea Islands",26.91
"2023-01-10",4,"4","Jervis Bay Territory",20.22
"2023-01-10",5,"5","New South Wales",29.41
"2023-01-10",6,"6","Northern Territory",27.87
"2023-01-10",7,"7","Queensland",29.73
"2023-01-10",8,"8","South Australia",25.77
"2023-01-10",9,"9","Tasmania",17.29
"2023-01-10",10,"10","Victoria",21.18
"2023-01-10",11,"11","Western Australia",27.62
"2023-01-11",1,"1","Ashmore and Cartier Islands",27.84
"2023-01-11",2,"2","Australian Capital Territory",19.53
"2023-01-11",3,"3","Coral Sea Islands",26.91
"2023-01-11",4,"4","Jervis Bay Territory",20.33
"2023-01-11",5,"5","New South Wales",28.29
"2023-01-11",6,"6","Northern Territory",29.78
"2023-01-11",7,"7","Queensland",27.91
"2023-01-11",8,"8","South Australia",29.85
"2023-01-11",9,"9","Tasmania",18.67
"2023-01-11",10,"10","Victoria",24.55
"2023-01-11",11,"11","Western Australia",28.55
"2023-01-12",1,"1","Ashmore and Cartier Islands",27.58
"2023-01-12",2,"2","Australian Capital Territory",22.53
"2023-01-12",3,"3","Coral Sea Islands",27.14
"2023-01-12",4,"4","Jervis Bay Territory",22.34
"2023-01-12",5,"5","New South Wales",29.37
"2023-01-12",6,"6","Northern Territory",30.68
"2023-01-12",7,"7","Queensland",27.66
"2023-01-12",8,"8","South Australia",31.34
"2023-01-12",9,"9","Tasmania",19.32
"2023-01-12",10,"10","Victoria",24.97
"2023-01-12",11,"11","Western Australia",29.69
"2023-01-13",1,"1","Ashmore and Cartier Islands",28.2
"2023-01-13",2,"2","Australian Capital Territory",22.85
"2023-01-13",3,"3","Coral Sea Islands",26.33
"2023-01-13",4,"4","Jervis Bay Territory",22.75
"2023-01-13",5,"5","New South Wales",28.43
"2023-01-13",6,"6","Northern Territory",29.21
"2023-01-13",7,"7","Queensland",25.99
"2023-01-13",8,"8","South Australia",32.94
"2023-01-13",9,"9","Tasmania",21.17
"2023-01-13",10,"10","Victoria",24.74
"2023-01-13",11,"11","Western Australia",30.3
"2023-01-14",1,"1","Ashmore and Cartier Islands",27.79
"2023-01-14",2,"2","Australian Capital Territory",21.52
"2023-01-14",3,"3","Coral Sea Islands",26.99
"2023-01-14",4,"4","Jervis Bay Territory",22
"2023-01-14",5,"5","New South Wales",28.62
"2023-01-14",6,"6","Northern Territory",29.79
"2023-01-14",7,"7","Queensland",26.05
"2023-01-14",8,"8","South Australia",33.55
"2023-01-14",9,"9","Tasmania",22.27
"2023-01-14",10,"10","Victoria",28.13
"2023-01-14",11,"11","Western Australia",27.39
"2023-01-15",1,"1","Ashmore and Cartier Islands",28.31
"2023-01-15",2,"2","Australian Capital Territory",23.41
"2023-01-15",3,"3","Coral Sea Islands",26.72
"2023-01-15",4,"4","Jervis Bay Territory",23.22
"2023-01-15",5,"5","New South Wales",27.96
"2023-01-15",6,"6","Northern Territory",29.25
"2023-01-15",7,"7","Queensland",26.89
"2023-01-15",8,"8","South Australia",24.65
"2023-01-15",9,"9","Tasmania",16.96
"2023-01-15",10,"10","Victoria",21.25
"2023-01-15",11,"11","Western Australia",26.23
"2023-01-16",1,"1","Ashmore and Cartier Islands",26.39
"2023-01-16",2,"2","Australian Capital Territory",19.21
"2023-01-16",3,"3","Coral Sea Islands",26.38
"2023-01-16",4,"4","Jervis Bay Territory",21.39
"2023-01-16",5,"5","New South Wales",28.57
"2023-01-16",6,"6","Northern Territory",29.54
"2023-01-16",7,"7","Queensland",27.73
"2023-01-16",8,"8","South Australia",29.76
"2023-01-16",9,"9","Tasmania",16.39
"2023-01-16",10,"10","Victoria",21.81
"2023-01-16",11,"11","Western Australia",28.11
"2023-01-17",1,"1","Ashmore and Cartier Islands",27.35
"2023-01-17",2,"2","Australian Capital Territory",20.85
"2023-01-17",3,"3","Coral Sea Islands",26.44
"2023-01-17",4,"4","Jervis Bay Territory",22.96
"2023-01-17",5,"5","New South Wales",28.52
"2023-01-17",6,"6","Northern Territory",30.05
"2023-01-17",7,"7","Queensland",27.69
"2023-01-17",8,"8","South Australia",33.22
"2023-01-17",9,"9","Tasmania",19.26
"2023-01-17",10,"10","Victoria",28.62
"2023-01-17",11,"11","Western Australia",26.18
"2023-01-18",1,"1","Ashmore and Cartier Islands",27.4
"2023-01-18",2,"2","Australian Capital Territory",21.68
"2023-01-18",3,"3","Coral Sea Islands",26.51
"2023-01-18",4,"4","Jervis Bay Territory",23.56
"2023-01-18",5,"5","New South Wales",28.33
"2023-01-18",6,"6","Northern Territory",30.3
"2023-01-18",7,"7","Queensland",28.33
"2023-01-18",8,"8","South Australia",25.05
"2023-01-18",9,"9","Tasmania",16.83
"2023-01-18",10,"10","Victoria",19.16
"2023-01-18",11,"11","Western Australia",25.46
"2023-01-19",1,"1","Ashmore and Cartier Islands",26.59
"2023-01-19",2,"2","Australian Capital Territory",15.04
"2023-01-19",3,"3","Coral Sea Islands",26.63
"2023-01-19",4,"4","Jervis Bay Territory",17.28
"2023-01-19",5,"5","New South Wales",20.47
"2023-01-19",6,"6","Northern Territory",29.53
"2023-01-19",7,"7","Queensland",29.11
"2023-01-19",8,"8","South Australia",21.05
"2023-01-19",9,"9","Tasmania",12.97
"2023-01-19",10,"10","Victoria",15.91
"2023-01-19",11,"11","Western Australia",25.28
"2023-01-20",1,"1","Ashmore and Cartier Islands",28.01
"2023-01-20",2,"2","Australian Capital Territory",14.86
"2023-01-20",3,"3","Coral Sea Islands",26.61
"2023-01-20",4,"4","Jervis Bay Territory",18.98
"2023-01-20",5,"5","New South Wales",22.24
"2023-01-20",6,"6","Northern Territory",29.25
"2023-01-20",7,"7","Queensland",29.29
"2023-01-20",8,"8","South Australia",22.81
"2023-01-20",9,"9","Tasmania",16.51
"2023-01-20",10,"10","Victoria",17.95
"2023-01-20",11,"11","Western Australia",25.09
"2023-01-21",1,"1","Ashmore and Cartier Islands",28.25
"2023-01-21",2,"2","Australian Capital Territory",17
"2023-01-21",3,"3","Coral Sea Islands",26.34
"2023-01-21",4,"4","Jervis Bay Territory",19.32
"2023-01-21",5,"5","New South Wales",23.65
"2023-01-21",6,"6","Northern Territory",28.72
"2023-01-21",7,"7","Queensland",29.24
"2023-01-21",8,"8","South Australia",24.34
"2023-01-21",9,"9","Tasmania",17.07
"2023-01-21",10,"10","Victoria",21.1
"2023-01-21",11,"11","Western Australia",25.89
"2023-01-22",1,"1","Ashmore and Cartier Islands",28.25
"2023-01-22",2,"2","Australian Capital Territory",16.03
"2023-01-22",3,"3","Coral Sea Islands",26.53
"2023-01-22",4,"4","Jervis Bay Territory",19.95
"2023-01-22",5,"5","New South Wales",21.15
"2023-01-22",6,"6","Northern Territory",29.97
"2023-01-22",7,"7","Queensland",28.95
"2023-01-22",8,"8","South Australia",24.82
"2023-01-22",9,"9","Tasmania",17.45
"2023-01-22",10,"10","Victoria",21.48
"2023-01-22",11,"11","Western Australia",26.54
"2023-01-23",1,"1","Ashmore and Cartier Islands",28.3
"2023-01-23",2,"2","Australian Capital Territory",17.73
"2023-01-23",3,"3","Coral Sea Islands",26.53
"2023-01-23",4,"4","Jervis Bay Territory",19.2
"2023-01-23",5,"5","New South Wales",23.62
"2023-01-23",6,"6","Northern Territory",30.51
"2023-01-23",7,"7","Queensland",29.83
"2023-01-23",8,"8","South Australia",27.58
"2023-01-23",9,"9","Tasmania",18.65
"2023-01-23",10,"10","Victoria",21.81
"2023-01-23",11,"11","Western Australia",27.8
"2023-01-24",1,"1","Ashmore and Cartier Islands",27.7
"2023-01-24",2,"2","Australian Capital Territory",19.49
"2023-01-24",3,"3","Coral Sea Islands",26.66
"2023-01-24",4,"4","Jervis Bay Territory",21.54
"2023-01-24",5,"5","New South Wales",26.09
"2023-01-24",6,"6","Northern Territory",30.49
"2023-01-24",7,"7","Queensland",30.56
"2023-01-24",8,"8","South Australia",25.32
"2023-01-24",9,"9","Tasmania",18.99
"2023-01-24",10,"10","Victoria",20.72
"2023-01-24",11,"11","Western Australia",27.86
"2023-01-25",1,"1","Ashmore and Cartier Islands",28.36
"2023-01-25",2,"2","Australian Capital Territory",19.27
"2023-01-25",3,"3","Coral Sea Islands",26.91
"2023-01-25",4,"4","Jervis Bay Territory",22.05
"2023-01-25",5,"5","New South Wales",27.5
"2023-01-25",6,"6","Northern Territory",29.14
"2023-01-25",7,"7","Queensland",30.59
"2023-01-25",8,"8","South Australia",27.48
"2023-01-25",9,"9","Tasmania",19.05
"2023-01-25",10,"10","Victoria",23.17
"2023-01-25",11,"11","Western Australia",28.63
"2023-01-26",1,"1","Ashmore and Cartier Islands",27.57
"2023-01-26",2,"2","Australian Capital Territory",23.4
"2023-01-26",3,"3","Coral Sea Islands",27.51
"2023-01-26",4,"4","Jervis Bay Territory",24.44
"2023-01-26",5,"5","New South Wales",29.53
"2023-01-26",6,"6","Northern Territory",29.48
"2023-01-26",7,"7","Queensland",31.44
"2023-01-26",8,"8","South Australia",28.24
"2023-01-26",9,"9","Tasmania",15.42
"2023-01-26",10,"10","Victoria",19.68
"2023-01-26",11,"11","Western Australia",28.01
"2023-01-27",1,"1","Ashmore and Cartier Islands",27.83
"2023-01-27",2,"2","Australian Capital Territory",17.24
"2023-01-27",3,"3","Coral Sea Islands",26.95
"2023-01-27",4,"4","Jervis Bay Territory",21.59
"2023-01-27",5,"5","New South Wales",27.04
"2023-01-27",6,"6","Northern Territory",30.33
"2023-01-27",7,"7","Queensland",30.52
"2023-01-27",8,"8","South Australia",31.79
"2023-01-27",9,"9","Tasmania",17.41
"2023-01-27",10,"10","Victoria",21.45
"2023-01-27",11,"11","Western Australia",27.05
"2023-01-28",1,"1","Ashmore and Cartier Islands",27.35
"2023-01-28",2,"2","Australian Capital Territory",23.08
"2023-01-28",3,"3","Coral Sea Islands",26.97
"2023-01-28",4,"4","Jervis Bay Territory",23.87
"2023-01-28",5,"5","New South Wales",30.84
"2023-01-28",6,"6","Northern Territory",28.91
"2023-01-28",7,"7","Queensland",30.67
"2023-01-28",8,"8","South Australia",27.91
"2023-01-28",9,"9","Tasmania",21
"2023-01-28",10,"10","Victoria",27.88
"2023-01-28",11,"11","Western Australia",23.96
"2023-01-29",1,"1","Ashmore and Cartier Islands",26.66
"2023-01-29",2,"2","Australian Capital Territory",19.32
"2023-01-29",3,"3","Coral Sea Islands",26.99
"2023-01-29",4,"4","Jervis Bay Territory",24.02
"2023-01-29",5,"5","New South Wales",28.19
"2023-01-29",6,"6","Northern Territory",27.81
"2023-01-29",7,"7","Queensland",29.75
"2023-01-29",8,"8","South Australia",22.27
"2023-01-29",9,"9","Tasmania",16.12
"2023-01-29",10,"10","Victoria",20.39
"2023-01-29",11,"11","Western Australia",24.89
"2023-01-30",1,"1","Ashmore and Cartier Islands",27.29
"2023-01-30",2,"2","Australian Capital Territory",17.44
"2023-01-30",3,"3","Coral Sea Islands",26.84
"2023-01-30",4,"4","Jervis Bay Territory",22.7
"2023-01-30",5,"5","New South Wales",23.2
"2023-01-30",6,"6","Northern Territory",26.87
"2023-01-30",7,"7","Queensland",29.35
"2023-01-30",8,"8","South Australia",21.77
"2023-01-30",9,"9","Tasmania",18.11
