"date","ID_1","NAME_1","t2m"
"2004-01-01",1,"Burgenland",1.05
"2004-01-01",2,"Kärnten",-1.75
"2004-01-01",3,"Niederösterreich",-0.4
"2004-01-01",4,"Oberösterreich",-0.99
"2004-01-01",5,"Salzburg",-4.24
"2004-01-01",6,"Steiermark",-1.79
"2004-01-01",7,"Tirol",-7.12
"2004-01-01",8,"Vorarlberg",-5.65
"2004-01-01",9,"Wien",0.79
"2004-01-02",1,"Burgenland",-1.32
"2004-01-02",2,"Kärnten",-2.98
"2004-01-02",3,"Niederösterreich",-4.18
"2004-01-02",4,"Oberösterreich",-3.7
"2004-01-02",5,"Salzburg",-7.57
"2004-01-02",6,"Steiermark",-3.92
"2004-01-02",7,"Tirol",-8.8
"2004-01-02",8,"Vorarlberg",-5.46
"2004-01-02",9,"Wien",-2.29
"2004-01-03",1,"Burgenland",-2.44
"2004-01-03",2,"Kärnten",-9.76
"2004-01-03",3,"Niederösterreich",-5.97
"2004-01-03",4,"Oberösterreich",-5.3
"2004-01-03",5,"Salzburg",-9.72
"2004-01-03",6,"Steiermark",-8.29
"2004-01-03",7,"Tirol",-10.78
"2004-01-03",8,"Vorarlberg",-7.28
"2004-01-03",9,"Wien",-3.61
"2004-01-04",1,"Burgenland",-5.51
"2004-01-04",2,"Kärnten",-13.18
"2004-01-04",3,"Niederösterreich",-8.69
"2004-01-04",4,"Oberösterreich",-6.61
"2004-01-04",5,"Salzburg",-12.89
"2004-01-04",6,"Steiermark",-10.04
"2004-01-04",7,"Tirol",-16.65
"2004-01-04",8,"Vorarlberg",-12.19
"2004-01-04",9,"Wien",-5.53
"2004-01-05",1,"Burgenland",-5.08
"2004-01-05",2,"Kärnten",-13.4
"2004-01-05",3,"Niederösterreich",-5.8
"2004-01-05",4,"Oberösterreich",-3.45
"2004-01-05",5,"Salzburg",-8.33
"2004-01-05",6,"Steiermark",-9.17
"2004-01-05",7,"Tirol",-9.61
"2004-01-05",8,"Vorarlberg",-7.01
"2004-01-05",9,"Wien",-5.35
"2004-01-06",1,"Burgenland",-9.88
"2004-01-06",2,"Kärnten",-6.59
"2004-01-06",3,"Niederösterreich",-11.23
"2004-01-06",4,"Oberösterreich",-6.76
"2004-01-06",5,"Salzburg",-4.98
"2004-01-06",6,"Steiermark",-7.31
"2004-01-06",7,"Tirol",-7.29
"2004-01-06",8,"Vorarlberg",-5.08
"2004-01-06",9,"Wien",-12.25
"2004-01-07",1,"Burgenland",-7.9
"2004-01-07",2,"Kärnten",-7.57
"2004-01-07",3,"Niederösterreich",-9.06
"2004-01-07",4,"Oberösterreich",-4.76
"2004-01-07",5,"Salzburg",-4.47
"2004-01-07",6,"Steiermark",-6.79
"2004-01-07",7,"Tirol",-4.33
"2004-01-07",8,"Vorarlberg",-1.59
"2004-01-07",9,"Wien",-10.77
"2004-01-08",1,"Burgenland",-4.72
"2004-01-08",2,"Kärnten",-8.92
"2004-01-08",3,"Niederösterreich",-2.97
"2004-01-08",4,"Oberösterreich",-0.83
"2004-01-08",5,"Salzburg",-3.76
"2004-01-08",6,"Steiermark",-5.44
"2004-01-08",7,"Tirol",-5.72
"2004-01-08",8,"Vorarlberg",-3.72
"2004-01-08",9,"Wien",-4.32
"2004-01-09",1,"Burgenland",-2.47
"2004-01-09",2,"Kärnten",-4.75
"2004-01-09",3,"Niederösterreich",-3.44
"2004-01-09",4,"Oberösterreich",-4.54
"2004-01-09",5,"Salzburg",-5.66
"2004-01-09",6,"Steiermark",-4.41
"2004-01-09",7,"Tirol",-4.47
"2004-01-09",8,"Vorarlberg",-0.97
"2004-01-09",9,"Wien",-3.13
"2004-01-10",1,"Burgenland",-5.55
"2004-01-10",2,"Kärnten",-6.47
"2004-01-10",3,"Niederösterreich",-2.21
"2004-01-10",4,"Oberösterreich",1.45
"2004-01-10",5,"Salzburg",-3.72
"2004-01-10",6,"Steiermark",-4.1
"2004-01-10",7,"Tirol",-5.07
"2004-01-10",8,"Vorarlberg",-1.13
"2004-01-10",9,"Wien",-6.08
"2004-01-11",1,"Burgenland",0.85
"2004-01-11",2,"Kärnten",-5.64
"2004-01-11",3,"Niederösterreich",1.41
"2004-01-11",4,"Oberösterreich",0.5
"2004-01-11",5,"Salzburg",-4.3
"2004-01-11",6,"Steiermark",-2.74
"2004-01-11",7,"Tirol",-6.53
"2004-01-11",8,"Vorarlberg",-2.89
"2004-01-11",9,"Wien",2.55
"2004-01-12",1,"Burgenland",1.02
"2004-01-12",2,"Kärnten",-4.48
"2004-01-12",3,"Niederösterreich",2.19
"2004-01-12",4,"Oberösterreich",2.82
"2004-01-12",5,"Salzburg",-2.37
"2004-01-12",6,"Steiermark",-1.53
"2004-01-12",7,"Tirol",-2.84
"2004-01-12",8,"Vorarlberg",0.66
"2004-01-12",9,"Wien",1.65
"2004-01-13",1,"Burgenland",3.68
"2004-01-13",2,"Kärnten",-1.22
"2004-01-13",3,"Niederösterreich",3.11
"2004-01-13",4,"Oberösterreich",5.97
"2004-01-13",5,"Salzburg",-0.24
"2004-01-13",6,"Steiermark",-0.18
"2004-01-13",7,"Tirol",-1.15
"2004-01-13",8,"Vorarlberg",1.13
"2004-01-13",9,"Wien",2.74
"2004-01-14",1,"Burgenland",2.9
"2004-01-14",2,"Kärnten",-0.99
"2004-01-14",3,"Niederösterreich",4.09
"2004-01-14",4,"Oberösterreich",4.65
"2004-01-14",5,"Salzburg",0.73
"2004-01-14",6,"Steiermark",0.86
"2004-01-14",7,"Tirol",-0.06
"2004-01-14",8,"Vorarlberg",3.55
"2004-01-14",9,"Wien",3.23
"2004-01-15",1,"Burgenland",1.44
"2004-01-15",2,"Kärnten",-1.5
"2004-01-15",3,"Niederösterreich",-0.33
"2004-01-15",4,"Oberösterreich",0.28
"2004-01-15",5,"Salzburg",-4.79
"2004-01-15",6,"Steiermark",-1.65
"2004-01-15",7,"Tirol",-5.23
"2004-01-15",8,"Vorarlberg",-1.67
"2004-01-15",9,"Wien",-0.28
"2004-01-16",1,"Burgenland",1.98
"2004-01-16",2,"Kärnten",-5.31
"2004-01-16",3,"Niederösterreich",0.89
"2004-01-16",4,"Oberösterreich",0.05
"2004-01-16",5,"Salzburg",-8.03
"2004-01-16",6,"Steiermark",-3.41
"2004-01-16",7,"Tirol",-11.59
"2004-01-16",8,"Vorarlberg",-9.26
"2004-01-16",9,"Wien",2.56
"2004-01-17",1,"Burgenland",3.36
"2004-01-17",2,"Kärnten",-4.58
"2004-01-17",3,"Niederösterreich",0.94
"2004-01-17",4,"Oberösterreich",0.37
"2004-01-17",5,"Salzburg",-6.51
"2004-01-17",6,"Steiermark",-4.24
"2004-01-17",7,"Tirol",-6.49
"2004-01-17",8,"Vorarlberg",-2.03
"2004-01-17",9,"Wien",1.11
"2004-01-18",1,"Burgenland",1.16
"2004-01-18",2,"Kärnten",-4.54
"2004-01-18",3,"Niederösterreich",0.35
"2004-01-18",4,"Oberösterreich",-1.09
"2004-01-18",5,"Salzburg",-7.68
"2004-01-18",6,"Steiermark",-3.83
"2004-01-18",7,"Tirol",-9.71
"2004-01-18",8,"Vorarlberg",-5.34
"2004-01-18",9,"Wien",2.47
"2004-01-19",1,"Burgenland",0.37
"2004-01-19",2,"Kärnten",-3.1
"2004-01-19",3,"Niederösterreich",-1.3
"2004-01-19",4,"Oberösterreich",-1.11
"2004-01-19",5,"Salzburg",-5.49
"2004-01-19",6,"Steiermark",-2.4
"2004-01-19",7,"Tirol",-7.24
"2004-01-19",8,"Vorarlberg",-4.82
"2004-01-19",9,"Wien",-0.04
"2004-01-20",1,"Burgenland",0.4
"2004-01-20",2,"Kärnten",-6.12
"2004-01-20",3,"Niederösterreich",1.08
"2004-01-20",4,"Oberösterreich",0.43
"2004-01-20",5,"Salzburg",-7.05
"2004-01-20",6,"Steiermark",-4.94
"2004-01-20",7,"Tirol",-7.6
"2004-01-20",8,"Vorarlberg",-4.45
"2004-01-20",9,"Wien",3.28
"2004-01-21",1,"Burgenland",-0.8
"2004-01-21",2,"Kärnten",-5.23
"2004-01-21",3,"Niederösterreich",-2.34
"2004-01-21",4,"Oberösterreich",-3.79
"2004-01-21",5,"Salzburg",-7.13
"2004-01-21",6,"Steiermark",-4.9
"2004-01-21",7,"Tirol",-7.75
"2004-01-21",8,"Vorarlberg",-3.92
"2004-01-21",9,"Wien",-0.34
"2004-01-22",1,"Burgenland",-3.57
"2004-01-22",2,"Kärnten",-10.47
"2004-01-22",3,"Niederösterreich",-5.3
"2004-01-22",4,"Oberösterreich",-5.33
"2004-01-22",5,"Salzburg",-11.46
"2004-01-22",6,"Steiermark",-8.01
"2004-01-22",7,"Tirol",-11.92
"2004-01-22",8,"Vorarlberg",-7.5
"2004-01-22",9,"Wien",-3.39
"2004-01-23",1,"Burgenland",-7.61
"2004-01-23",2,"Kärnten",-13.12
"2004-01-23",3,"Niederösterreich",-10.37
"2004-01-23",4,"Oberösterreich",-11.36
"2004-01-23",5,"Salzburg",-14.56
"2004-01-23",6,"Steiermark",-12.79
"2004-01-23",7,"Tirol",-15.73
"2004-01-23",8,"Vorarlberg",-11.41
"2004-01-23",9,"Wien",-6.38
"2004-01-24",1,"Burgenland",-8.14
"2004-01-24",2,"Kärnten",-17.39
"2004-01-24",3,"Niederösterreich",-11.64
"2004-01-24",4,"Oberösterreich",-14.21
"2004-01-24",5,"Salzburg",-19.45
"2004-01-24",6,"Steiermark",-16.77
"2004-01-24",7,"Tirol",-17.42
"2004-01-24",8,"Vorarlberg",-13.88
"2004-01-24",9,"Wien",-7
"2004-01-25",1,"Burgenland",-10.04
"2004-01-25",2,"Kärnten",-12.09
"2004-01-25",3,"Niederösterreich",-11.71
"2004-01-25",4,"Oberösterreich",-9.86
"2004-01-25",5,"Salzburg",-11.34
"2004-01-25",6,"Steiermark",-15.31
"2004-01-25",7,"Tirol",-8.88
"2004-01-25",8,"Vorarlberg",-4.46
"2004-01-25",9,"Wien",-8.6
"2004-01-26",1,"Burgenland",-3.57
"2004-01-26",2,"Kärnten",-8.22
"2004-01-26",3,"Niederösterreich",-3.16
"2004-01-26",4,"Oberösterreich",-4.63
"2004-01-26",5,"Salzburg",-8.12
"2004-01-26",6,"Steiermark",-6.64
"2004-01-26",7,"Tirol",-12.89
"2004-01-26",8,"Vorarlberg",-11.8
"2004-01-26",9,"Wien",-3.39
"2004-01-27",1,"Burgenland",-2.64
"2004-01-27",2,"Kärnten",-5.72
"2004-01-27",3,"Niederösterreich",-4.27
"2004-01-27",4,"Oberösterreich",-5.11
"2004-01-27",5,"Salzburg",-8.43
"2004-01-27",6,"Steiermark",-5.37
"2004-01-27",7,"Tirol",-9.59
"2004-01-27",8,"Vorarlberg",-7.49
"2004-01-27",9,"Wien",-3.2
"2004-01-28",1,"Burgenland",-3.64
"2004-01-28",2,"Kärnten",-4.55
"2004-01-28",3,"Niederösterreich",-3.75
"2004-01-28",4,"Oberösterreich",-1.88
"2004-01-28",5,"Salzburg",-6.5
"2004-01-28",6,"Steiermark",-4.15
"2004-01-28",7,"Tirol",-8.92
"2004-01-28",8,"Vorarlberg",-6.68
"2004-01-28",9,"Wien",-4.32
"2004-01-29",1,"Burgenland",-10.38
"2004-01-29",2,"Kärnten",-7.71
"2004-01-29",3,"Niederösterreich",-5.64
"2004-01-29",4,"Oberösterreich",-5.12
"2004-01-29",5,"Salzburg",-10.08
"2004-01-29",6,"Steiermark",-8.88
"2004-01-29",7,"Tirol",-12.49
"2004-01-29",8,"Vorarlberg",-8.38
"2004-01-29",9,"Wien",-7.21
"2004-01-30",1,"Burgenland",-3.87
"2004-01-30",2,"Kärnten",-9.34
"2004-01-30",3,"Niederösterreich",-2.67
"2004-01-30",4,"Oberösterreich",-3.56
"2004-01-30",5,"Salzburg",-10.88
"2004-01-30",6,"Steiermark",-8.18
"2004-01-30",7,"Tirol",-14.67
"2004-01-30",8,"Vorarlberg",-11.7
"2004-01-30",9,"Wien",-1.31
"2004-01-31",1,"Burgenland",-8.03
"2004-01-31",2,"Kärnten",-11.03
"2004-01-31",3,"Niederösterreich",-5.47
"2004-01-31",4,"Oberösterreich",-8.39
"2004-01-31",5,"Salzburg",-13.44
"2004-01-31",6,"Steiermark",-10.69
"2004-01-31",7,"Tirol",-14.19
"2004-01-31",8,"Vorarlberg",-9.64
"2004-01-31",9,"Wien",-5.02
"2004-02-01",1,"Burgenland",-5.12
"2004-02-01",2,"Kärnten",-7.13
"2004-02-01",3,"Niederösterreich",-2.93
"2004-02-01",4,"Oberösterreich",-1.62
"2004-02-01",5,"Salzburg",-6.9
"2004-02-01",6,"Steiermark",-6.96
"2004-02-01",7,"Tirol",-7.1
"2004-02-01",8,"Vorarlberg",-3.26
"2004-02-01",9,"Wien",-4.14
"2004-02-02",1,"Burgenland",2.16
"2004-02-02",2,"Kärnten",-5.31
"2004-02-02",3,"Niederösterreich",5.97
"2004-02-02",4,"Oberösterreich",3.21
"2004-02-02",5,"Salzburg",-4.59
"2004-02-02",6,"Steiermark",-1.98
"2004-02-02",7,"Tirol",-6.42
"2004-02-02",8,"Vorarlberg",-3.9
"2004-02-02",9,"Wien",7.25
"2004-02-03",1,"Burgenland",5.38
"2004-02-03",2,"Kärnten",-0.75
"2004-02-03",3,"Niederösterreich",5.96
"2004-02-03",4,"Oberösterreich",6.19
"2004-02-03",5,"Salzburg",1.38
"2004-02-03",6,"Steiermark",1.75
"2004-02-03",7,"Tirol",-0.34
"2004-02-03",8,"Vorarlberg",-0.44
"2004-02-03",9,"Wien",7.08
"2004-02-04",1,"Burgenland",6.51
"2004-02-04",2,"Kärnten",0.06
"2004-02-04",3,"Niederösterreich",7.89
"2004-02-04",4,"Oberösterreich",4.25
"2004-02-04",5,"Salzburg",-1.39
"2004-02-04",6,"Steiermark",2.04
"2004-02-04",7,"Tirol",-3.12
"2004-02-04",8,"Vorarlberg",-3.67
"2004-02-04",9,"Wien",10.2
"2004-02-05",1,"Burgenland",6.9
"2004-02-05",2,"Kärnten",-1.34
"2004-02-05",3,"Niederösterreich",9.5
"2004-02-05",4,"Oberösterreich",3.88
"2004-02-05",5,"Salzburg",-1.44
"2004-02-05",6,"Steiermark",1.75
"2004-02-05",7,"Tirol",-4.03
"2004-02-05",8,"Vorarlberg",-4.4
"2004-02-05",9,"Wien",12.91
"2004-02-06",1,"Burgenland",9.37
"2004-02-06",2,"Kärnten",-1.17
"2004-02-06",3,"Niederösterreich",10.15
"2004-02-06",4,"Oberösterreich",6.3
"2004-02-06",5,"Salzburg",-0.37
"2004-02-06",6,"Steiermark",2.86
"2004-02-06",7,"Tirol",-2.45
"2004-02-06",8,"Vorarlberg",-2.07
"2004-02-06",9,"Wien",12.01
"2004-02-07",1,"Burgenland",4.84
"2004-02-07",2,"Kärnten",-1.09
"2004-02-07",3,"Niederösterreich",8.01
"2004-02-07",4,"Oberösterreich",5.92
"2004-02-07",5,"Salzburg",-2.15
"2004-02-07",6,"Steiermark",0.93
"2004-02-07",7,"Tirol",-2.6
"2004-02-07",8,"Vorarlberg",0.45
"2004-02-07",9,"Wien",8.41
"2004-02-08",1,"Burgenland",6.06
"2004-02-08",2,"Kärnten",-1.42
"2004-02-08",3,"Niederösterreich",4.85
"2004-02-08",4,"Oberösterreich",3.12
"2004-02-08",5,"Salzburg",-2.84
"2004-02-08",6,"Steiermark",0.92
"2004-02-08",7,"Tirol",-5.46
"2004-02-08",8,"Vorarlberg",-2.06
"2004-02-08",9,"Wien",7
"2004-02-09",1,"Burgenland",3.26
"2004-02-09",2,"Kärnten",-4.57
"2004-02-09",3,"Niederösterreich",1.56
"2004-02-09",4,"Oberösterreich",0.54
"2004-02-09",5,"Salzburg",-4.22
"2004-02-09",6,"Steiermark",-1.73
"2004-02-09",7,"Tirol",-6.83
"2004-02-09",8,"Vorarlberg",-4.22
"2004-02-09",9,"Wien",3.43
"2004-02-10",1,"Burgenland",-0.25
"2004-02-10",2,"Kärnten",-5.15
"2004-02-10",3,"Niederösterreich",-1.38
"2004-02-10",4,"Oberösterreich",-1.36
"2004-02-10",5,"Salzburg",-5.98
"2004-02-10",6,"Steiermark",-3.68
"2004-02-10",7,"Tirol",-10.42
"2004-02-10",8,"Vorarlberg",-8.84
"2004-02-10",9,"Wien",0.11
"2004-02-11",1,"Burgenland",-0.87
"2004-02-11",2,"Kärnten",-5.81
"2004-02-11",3,"Niederösterreich",-0.11
"2004-02-11",4,"Oberösterreich",-0.61
"2004-02-11",5,"Salzburg",-6.85
"2004-02-11",6,"Steiermark",-5.63
"2004-02-11",7,"Tirol",-7.38
"2004-02-11",8,"Vorarlberg",-4.17
"2004-02-11",9,"Wien",1.55
"2004-02-12",1,"Burgenland",-2.9
"2004-02-12",2,"Kärnten",-4.05
"2004-02-12",3,"Niederösterreich",-4.76
"2004-02-12",4,"Oberösterreich",-3.66
"2004-02-12",5,"Salzburg",-5.91
"2004-02-12",6,"Steiermark",-5.08
"2004-02-12",7,"Tirol",-6.04
"2004-02-12",8,"Vorarlberg",-2.36
"2004-02-12",9,"Wien",-2.96
"2004-02-13",1,"Burgenland",-5.41
"2004-02-13",2,"Kärnten",-6.32
"2004-02-13",3,"Niederösterreich",-7
