"date","ID_1","GID_1","NAME_1","t2m"
"2023-01-01",1,"1","Burgenland",5.58
"2023-01-01",2,"2","Kärnten",1.01
"2023-01-01",3,"3","Niederösterreich",5.68
"2023-01-01",4,"4","Oberösterreich",4.89
"2023-01-01",5,"5","Salzburg",0.47
"2023-01-01",6,"6","Steiermark",1.26
"2023-01-01",7,"7","Tirol",0.75
"2023-01-01",8,"8","Vorarlberg",5.49
"2023-01-01",9,"9","Wien",4.87
"2023-01-02",1,"1","Burgenland",3.11
"2023-01-02",2,"2","Kärnten",0.78
"2023-01-02",3,"3","Niederösterreich",4.5
"2023-01-02",4,"4","Oberösterreich",3.51
"2023-01-02",5,"5","Salzburg",-0.64
"2023-01-02",6,"6","Steiermark",1.13
"2023-01-02",7,"7","Tirol",-0.36
"2023-01-02",8,"8","Vorarlberg",4.58
"2023-01-02",9,"9","Wien",4.36
"2023-01-03",1,"1","Burgenland",3.2
"2023-01-03",2,"2","Kärnten",0.31
"2023-01-03",3,"3","Niederösterreich",4.82
"2023-01-03",4,"4","Oberösterreich",4.89
"2023-01-03",5,"5","Salzburg",0.82
"2023-01-03",6,"6","Steiermark",1.55
"2023-01-03",7,"7","Tirol",0.14
"2023-01-03",8,"8","Vorarlberg",3.75
"2023-01-03",9,"9","Wien",4.68
"2023-01-04",1,"1","Burgenland",4.59
"2023-01-04",2,"2","Kärnten",0.6
"2023-01-04",3,"3","Niederösterreich",3.25
"2023-01-04",4,"4","Oberösterreich",2.75
"2023-01-04",5,"5","Salzburg",-0.2
"2023-01-04",6,"6","Steiermark",2.38
"2023-01-04",7,"7","Tirol",-1.63
"2023-01-04",8,"8","Vorarlberg",1.82
"2023-01-04",9,"9","Wien",4.34
"2023-01-05",1,"1","Burgenland",6.58
"2023-01-05",2,"2","Kärnten",-0.09
"2023-01-05",3,"3","Niederösterreich",9.34
"2023-01-05",4,"4","Oberösterreich",8
"2023-01-05",5,"5","Salzburg",1.12
"2023-01-05",6,"6","Steiermark",2.8
"2023-01-05",7,"7","Tirol",0.64
"2023-01-05",8,"8","Vorarlberg",3.47
"2023-01-05",9,"9","Wien",10.75
"2023-01-06",1,"1","Burgenland",7.2
"2023-01-06",2,"2","Kärnten",1.59
"2023-01-06",3,"3","Niederösterreich",7.03
"2023-01-06",4,"4","Oberösterreich",6.35
"2023-01-06",5,"5","Salzburg",2.31
"2023-01-06",6,"6","Steiermark",3.68
"2023-01-06",7,"7","Tirol",-0.08
"2023-01-06",8,"8","Vorarlberg",0.58
"2023-01-06",9,"9","Wien",8.85
"2023-01-07",1,"1","Burgenland",3.75
"2023-01-07",2,"2","Kärnten",-1.89
"2023-01-07",3,"3","Niederösterreich",6.76
"2023-01-07",4,"4","Oberösterreich",5.42
"2023-01-07",5,"5","Salzburg",-0.52
"2023-01-07",6,"6","Steiermark",0.6
"2023-01-07",7,"7","Tirol",-3.83
"2023-01-07",8,"8","Vorarlberg",-2.43
"2023-01-07",9,"9","Wien",8.03
"2023-01-08",1,"1","Burgenland",1.77
"2023-01-08",2,"2","Kärnten",-1.78
"2023-01-08",3,"3","Niederösterreich",2.87
"2023-01-08",4,"4","Oberösterreich",0.58
"2023-01-08",5,"5","Salzburg",-3.51
"2023-01-08",6,"6","Steiermark",-1.71
"2023-01-08",7,"7","Tirol",-5.09
"2023-01-08",8,"8","Vorarlberg",-1.34
"2023-01-08",9,"9","Wien",4.16
"2023-01-09",1,"1","Burgenland",4.4
"2023-01-09",2,"2","Kärnten",2.05
"2023-01-09",3,"3","Niederösterreich",1.54
"2023-01-09",4,"4","Oberösterreich",2.7
"2023-01-09",5,"5","Salzburg",0.56
"2023-01-09",6,"6","Steiermark",1.81
"2023-01-09",7,"7","Tirol",-0.31
"2023-01-09",8,"8","Vorarlberg",1.75
"2023-01-09",9,"9","Wien",1.62
"2023-01-10",1,"1","Burgenland",5.6
"2023-01-10",2,"2","Kärnten",-0.09
"2023-01-10",3,"3","Niederösterreich",4.23
"2023-01-10",4,"4","Oberösterreich",3
"2023-01-10",5,"5","Salzburg",-1.46
"2023-01-10",6,"6","Steiermark",1.52
"2023-01-10",7,"7","Tirol",-3.81
"2023-01-10",8,"8","Vorarlberg",-2.06
"2023-01-10",9,"9","Wien",5.83
"2023-01-11",1,"1","Burgenland",3.49
"2023-01-11",2,"2","Kärnten",-4.84
"2023-01-11",3,"3","Niederösterreich",1.54
"2023-01-11",4,"4","Oberösterreich",-1.47
"2023-01-11",5,"5","Salzburg",-9
"2023-01-11",6,"6","Steiermark",-2.52
"2023-01-11",7,"7","Tirol",-7.51
"2023-01-11",8,"8","Vorarlberg",-1.79
"2023-01-11",9,"9","Wien",3.86
"2023-01-12",1,"1","Burgenland",4.16
"2023-01-12",2,"2","Kärnten",-0.25
"2023-01-12",3,"3","Niederösterreich",5.58
"2023-01-12",4,"4","Oberösterreich",4.98
"2023-01-12",5,"5","Salzburg",0.1
"2023-01-12",6,"6","Steiermark",1.01
"2023-01-12",7,"7","Tirol",-2.08
"2023-01-12",8,"8","Vorarlberg",0.03
"2023-01-12",9,"9","Wien",7.29
"2023-01-13",1,"1","Burgenland",3.51
"2023-01-13",2,"2","Kärnten",-1.41
"2023-01-13",3,"3","Niederösterreich",4.6
"2023-01-13",4,"4","Oberösterreich",2.54
"2023-01-13",5,"5","Salzburg",-3.2
"2023-01-13",6,"6","Steiermark",-0.52
"2023-01-13",7,"7","Tirol",-2.87
"2023-01-13",8,"8","Vorarlberg",-0.2
"2023-01-13",9,"9","Wien",3.91
"2023-01-14",1,"1","Burgenland",3.83
"2023-01-14",2,"2","Kärnten",-0.84
"2023-01-14",3,"3","Niederösterreich",4.31
"2023-01-14",4,"4","Oberösterreich",3.29
"2023-01-14",5,"5","Salzburg",-3.27
"2023-01-14",6,"6","Steiermark",0.01
"2023-01-14",7,"7","Tirol",-5.03
"2023-01-14",8,"8","Vorarlberg",-0.91
"2023-01-14",9,"9","Wien",5.89
"2023-01-15",1,"1","Burgenland",5.06
"2023-01-15",2,"2","Kärnten",-1.11
"2023-01-15",3,"3","Niederösterreich",4.74
"2023-01-15",4,"4","Oberösterreich",4.04
"2023-01-15",5,"5","Salzburg",-1.04
"2023-01-15",6,"6","Steiermark",0.43
"2023-01-15",7,"7","Tirol",-1.81
"2023-01-15",8,"8","Vorarlberg",2.99
"2023-01-15",9,"9","Wien",6.12
"2023-01-16",1,"1","Burgenland",4.65
"2023-01-16",2,"2","Kärnten",-0.3
"2023-01-16",3,"3","Niederösterreich",2.88
"2023-01-16",4,"4","Oberösterreich",0.83
"2023-01-16",5,"5","Salzburg",-3.57
"2023-01-16",6,"6","Steiermark",0.67
"2023-01-16",7,"7","Tirol",-6.39
"2023-01-16",8,"8","Vorarlberg",-5.31
"2023-01-16",9,"9","Wien",4.7
"2023-01-17",1,"1","Burgenland",1.42
"2023-01-17",2,"2","Kärnten",-3.22
"2023-01-17",3,"3","Niederösterreich",0.38
"2023-01-17",4,"4","Oberösterreich",0.61
"2023-01-17",5,"5","Salzburg",-4.8
"2023-01-17",6,"6","Steiermark",-2.48
"2023-01-17",7,"7","Tirol",-7.62
"2023-01-17",8,"8","Vorarlberg",-6.55
"2023-01-17",9,"9","Wien",0.78
"2023-01-18",1,"1","Burgenland",2.59
"2023-01-18",2,"2","Kärnten",-3.13
"2023-01-18",3,"3","Niederösterreich",1.57
"2023-01-18",4,"4","Oberösterreich",0.59
"2023-01-18",5,"5","Salzburg",-4.97
"2023-01-18",6,"6","Steiermark",-1.29
"2023-01-18",7,"7","Tirol",-7.72
"2023-01-18",8,"8","Vorarlberg",-9.3
"2023-01-18",9,"9","Wien",2.72
"2023-01-19",1,"1","Burgenland",3.59
"2023-01-19",2,"2","Kärnten",-3.32
"2023-01-19",3,"3","Niederösterreich",0.69
"2023-01-19",4,"4","Oberösterreich",-0.54
"2023-01-19",5,"5","Salzburg",-5.67
"2023-01-19",6,"6","Steiermark",-1.3
"2023-01-19",7,"7","Tirol",-7.96
"2023-01-19",8,"8","Vorarlberg",-6.99
"2023-01-19",9,"9","Wien",2.63
"2023-01-20",1,"1","Burgenland",-1.46
"2023-01-20",2,"2","Kärnten",-6.43
"2023-01-20",3,"3","Niederösterreich",-3.08
"2023-01-20",4,"4","Oberösterreich",-3.72
"2023-01-20",5,"5","Salzburg",-10.37
"2023-01-20",6,"6","Steiermark",-6.44
"2023-01-20",7,"7","Tirol",-13.14
"2023-01-20",8,"8","Vorarlberg",-13.84
"2023-01-20",9,"9","Wien",-2.22
"2023-01-21",1,"1","Burgenland",-0.23
"2023-01-21",2,"2","Kärnten",-8.46
"2023-01-21",3,"3","Niederösterreich",-1.5
"2023-01-21",4,"4","Oberösterreich",-1.86
"2023-01-21",5,"5","Salzburg",-7.26
"2023-01-21",6,"6","Steiermark",-4.16
"2023-01-21",7,"7","Tirol",-10.39
"2023-01-21",8,"8","Vorarlberg",-9.86
"2023-01-21",9,"9","Wien",-0.17
"2023-01-22",1,"1","Burgenland",-0.18
"2023-01-22",2,"2","Kärnten",-6.75
"2023-01-22",3,"3","Niederösterreich",-2.16
"2023-01-22",4,"4","Oberösterreich",-3.21
"2023-01-22",5,"5","Salzburg",-7.38
"2023-01-22",6,"6","Steiermark",-4.39
"2023-01-22",7,"7","Tirol",-10.02
"2023-01-22",8,"8","Vorarlberg",-8.05
"2023-01-22",9,"9","Wien",-0.66
"2023-01-23",1,"1","Burgenland",0.76
"2023-01-23",2,"2","Kärnten",-5.77
"2023-01-23",3,"3","Niederösterreich",-1.28
"2023-01-23",4,"4","Oberösterreich",-3.13
"2023-01-23",5,"5","Salzburg",-8.66
"2023-01-23",6,"6","Steiermark",-4.02
"2023-01-23",7,"7","Tirol",-11.15
"2023-01-23",8,"8","Vorarlberg",-9.27
"2023-01-23",9,"9","Wien",0.61
"2023-01-24",1,"1","Burgenland",2.33
"2023-01-24",2,"2","Kärnten",-1.54
"2023-01-24",3,"3","Niederösterreich",0.88
"2023-01-24",4,"4","Oberösterreich",0.24
"2023-01-24",5,"5","Salzburg",-4.47
"2023-01-24",6,"6","Steiermark",-0.45
"2023-01-24",7,"7","Tirol",-8.98
"2023-01-24",8,"8","Vorarlberg",-7.43
"2023-01-24",9,"9","Wien",1.39
"2023-01-25",1,"1","Burgenland",1.35
"2023-01-25",2,"2","Kärnten",-1.31
"2023-01-25",3,"3","Niederösterreich",0.71
