"date","ID_1","NAME_1","t2m"
"2016-01-01",1,"Bruxelles",7.11
"2016-01-01",2,"Vlaanderen",7.4
"2016-01-01",3,"Wallonie",5.02
"2016-01-02",1,"Bruxelles",6.37
"2016-01-02",2,"Vlaanderen",6.49
"2016-01-02",3,"Wallonie",4.96
"2016-01-03",1,"Bruxelles",8.2
"2016-01-03",2,"Vlaanderen",8.29
"2016-01-03",3,"Wallonie",6.58
"2016-01-04",1,"Bruxelles",4.5
"2016-01-04",2,"Vlaanderen",5.47
"2016-01-04",3,"Wallonie",3.15
"2016-01-05",1,"Bruxelles",6.92
"2016-01-05",2,"Vlaanderen",7.04
"2016-01-05",3,"Wallonie",5.26
"2016-01-06",1,"Bruxelles",6.75
"2016-01-06",2,"Vlaanderen",6.63
"2016-01-06",3,"Wallonie",5.42
"2016-01-07",1,"Bruxelles",6.28
"2016-01-07",2,"Vlaanderen",6.05
"2016-01-07",3,"Wallonie",5.13
"2016-01-08",1,"Bruxelles",5.05
"2016-01-08",2,"Vlaanderen",5.55
"2016-01-08",3,"Wallonie",3.99
"2016-01-09",1,"Bruxelles",5.31
"2016-01-09",2,"Vlaanderen",4.52
"2016-01-09",3,"Wallonie",3.43
"2016-01-10",1,"Bruxelles",8.45
"2016-01-10",2,"Vlaanderen",8.51
"2016-01-10",3,"Wallonie",6.96
"2016-01-11",1,"Bruxelles",4.2
"2016-01-11",2,"Vlaanderen",4.47
"2016-01-11",3,"Wallonie",3.71
"2016-01-12",1,"Bruxelles",5.79
"2016-01-12",2,"Vlaanderen",5.91
"2016-01-12",3,"Wallonie",4.46
"2016-01-13",1,"Bruxelles",5.4
"2016-01-13",2,"Vlaanderen",5.78
"2016-01-13",3,"Wallonie",3.8
"2016-01-14",1,"Bruxelles",2.56
"2016-01-14",2,"Vlaanderen",2.91
"2016-01-14",3,"Wallonie",1.4
"2016-01-15",1,"Bruxelles",1.49
"2016-01-15",2,"Vlaanderen",2.33
"2016-01-15",3,"Wallonie",0.24
"2016-01-16",1,"Bruxelles",2.05
"2016-01-16",2,"Vlaanderen",2.06
"2016-01-16",3,"Wallonie",0.59
"2016-01-17",1,"Bruxelles",0.87
"2016-01-17",2,"Vlaanderen",1.66
"2016-01-17",3,"Wallonie",-0.81
"2016-01-18",1,"Bruxelles",-3.59
"2016-01-18",2,"Vlaanderen",-2.96
"2016-01-18",3,"Wallonie",-7.4
"2016-01-19",1,"Bruxelles",-5.03
"2016-01-19",2,"Vlaanderen",-4.58
"2016-01-19",3,"Wallonie",-7.82
"2016-01-20",1,"Bruxelles",-2.14
"2016-01-20",2,"Vlaanderen",-1.58
"2016-01-20",3,"Wallonie",-7.43
"2016-01-21",1,"Bruxelles",0.23
"2016-01-21",2,"Vlaanderen",-0.36
"2016-01-21",3,"Wallonie",-1.11
"2016-01-22",1,"Bruxelles",-1.15
"2016-01-22",2,"Vlaanderen",-0.78
"2016-01-22",3,"Wallonie",-2.77
"2016-01-23",1,"Bruxelles",5.71
"2016-01-23",2,"Vlaanderen",5.68
"2016-01-23",3,"Wallonie",2.68
"2016-01-24",1,"Bruxelles",5.11
"2016-01-24",2,"Vlaanderen",5.3
"2016-01-24",3,"Wallonie",3.38
"2016-01-25",1,"Bruxelles",8.36
"2016-01-25",2,"Vlaanderen",8.82
"2016-01-25",3,"Wallonie",6.73
"2016-01-26",1,"Bruxelles",10.14
"2016-01-26",2,"Vlaanderen",10.4
"2016-01-26",3,"Wallonie",8.42
