"","date","ID_2","NAME_2","t2m"
"1","2010-01-01",1,"Bruxelles",-0.35
"2","2010-01-01",2,"Antwerpen",-0.26
"3","2010-01-01",3,"Limburg",-0.5
"4","2010-01-01",4,"Oost-Vlaanderen",-0.18
"5","2010-01-01",5,"Vlaams Brabant",-0.3
"6","2010-01-01",6,"West-Vlaanderen",0.64
"7","2010-01-01",7,"Brabant Wallon",-0.5
"8","2010-01-01",8,"Hainaut",-0.39
"9","2010-01-01",9,"Liège",-1.57
"10","2010-01-01",10,"Limburg",-0.63
"11","2010-01-01",11,"Luxembourg",-1.17
"12","2010-01-01",12,"Namur",-0.92
"13","2010-01-02",1,"Bruxelles",-4.59
"14","2010-01-02",2,"Antwerpen",-4.92
"15","2010-01-02",3,"Limburg",-4.87
"16","2010-01-02",4,"Oost-Vlaanderen",-3.47
"17","2010-01-02",5,"Vlaams Brabant",-4.75
"18","2010-01-02",6,"West-Vlaanderen",-1.71
"19","2010-01-02",7,"Brabant Wallon",-4.84
"20","2010-01-02",8,"Hainaut",-4.09
"21","2010-01-02",9,"Liège",-5.13
"22","2010-01-02",10,"Limburg",-4.95
"23","2010-01-02",11,"Luxembourg",-4.78
"24","2010-01-02",12,"Namur",-5.18
"25","2010-01-03",1,"Bruxelles",0.37
"26","2010-01-03",2,"Antwerpen",0.47
"27","2010-01-03",3,"Limburg",0.19
"28","2010-01-03",4,"Oost-Vlaanderen",0.9
"29","2010-01-03",5,"Vlaams Brabant",0.45
"30","2010-01-03",6,"West-Vlaanderen",2.01
"31","2010-01-03",7,"Brabant Wallon",0.18
"32","2010-01-03",8,"Hainaut",0.02
"33","2010-01-03",9,"Liège",-1.24
"34","2010-01-03",10,"Limburg",0.17
"35","2010-01-03",11,"Luxembourg",-1.78
"36","2010-01-03",12,"Namur",-0.78
"37","2010-01-04",1,"Bruxelles",-6.59
"38","2010-01-04",2,"Antwerpen",-5.28
"39","2010-01-04",3,"Limburg",-5.97
"40","2010-01-04",4,"Oost-Vlaanderen",-5.22
"41","2010-01-04",5,"Vlaams Brabant",-6.07
"42","2010-01-04",6,"West-Vlaanderen",-5.05
"43","2010-01-04",7,"Brabant Wallon",-6.55
"44","2010-01-04",8,"Hainaut",-6.65
"45","2010-01-04",9,"Liège",-7.53
"46","2010-01-04",10,"Limburg",-6.04
"47","2010-01-04",11,"Luxembourg",-7.39
"48","2010-01-04",12,"Namur",-6.95
"49","2010-01-05",1,"Bruxelles",-0.96
"50","2010-01-05",2,"Antwerpen",-0.83
