"date","ID_2","GID_2","NAME_2","t2m"
"2023-01-01",1,"1","Bruxelles",14.82
"2023-01-01",2,"2","Antwerpen",15.25
"2023-01-01",3,"3","Limburg",15.02
"2023-01-01",4,"4","Oost-Vlaanderen",15.14
"2023-01-01",5,"5","Vlaams Brabant",14.91
"2023-01-01",6,"6","West-Vlaanderen",14.67
"2023-01-01",7,"7","Brabant Wallon",14.43
"2023-01-01",8,"8","Hainaut",14.26
"2023-01-01",9,"9","Liège",13.11
"2023-01-01",10,"10","Limburg",14.49
"2023-01-01",11,"11","Luxembourg",11.99
"2023-01-01",12,"12","Namur",13.08
"2023-01-02",1,"1","Bruxelles",12.73
"2023-01-02",2,"2","Antwerpen",12.52
"2023-01-02",3,"3","Limburg",13.3
"2023-01-02",4,"4","Oost-Vlaanderen",12.44
"2023-01-02",5,"5","Vlaams Brabant",12.84
"2023-01-02",6,"6","West-Vlaanderen",12.32
"2023-01-02",7,"7","Brabant Wallon",12.83
"2023-01-02",8,"8","Hainaut",12.63
"2023-01-02",9,"9","Liège",13.04
"2023-01-02",10,"10","Limburg",13.53
"2023-01-02",11,"11","Luxembourg",12.28
"2023-01-02",12,"12","Namur",13.03
"2023-01-03",1,"1","Bruxelles",4.69
"2023-01-03",2,"2","Antwerpen",5.06
"2023-01-03",3,"3","Limburg",5.63
"2023-01-03",4,"4","Oost-Vlaanderen",4.54
"2023-01-03",5,"5","Vlaams Brabant",4.93
"2023-01-03",6,"6","West-Vlaanderen",4.33
"2023-01-03",7,"7","Brabant Wallon",4.67
"2023-01-03",8,"8","Hainaut",4.02
"2023-01-03",9,"9","Liège",4.81
"2023-01-03",10,"10","Limburg",5.28
"2023-01-03",11,"11","Luxembourg",4.14
"2023-01-03",12,"12","Namur",3.96
"2023-01-04",1,"1","Bruxelles",8.92
"2023-01-04",2,"2","Antwerpen",9.19
"2023-01-04",3,"3","Limburg",8.83
"2023-01-04",4,"4","Oost-Vlaanderen",9.27
"2023-01-04",5,"5","Vlaams Brabant",9.01
"2023-01-04",6,"6","West-Vlaanderen",9.9
"2023-01-04",7,"7","Brabant Wallon",8.61
"2023-01-04",8,"8","Hainaut",8.62
"2023-01-04",9,"9","Liège",6.94
"2023-01-04",10,"10","Limburg",8.59
"2023-01-04",11,"11","Luxembourg",5.89
"2023-01-04",12,"12","Namur",7.44
"2023-01-05",1,"1","Bruxelles",10.73
"2023-01-05",2,"2","Antwerpen",10.98
"2023-01-05",3,"3","Limburg",10.88
"2023-01-05",4,"4","Oost-Vlaanderen",10.99
"2023-01-05",5,"5","Vlaams Brabant",10.88
"2023-01-05",6,"6","West-Vlaanderen",10.93
"2023-01-05",7,"7","Brabant Wallon",10.48
"2023-01-05",8,"8","Hainaut",10.26
"2023-01-05",9,"9","Liège",9.56
"2023-01-05",10,"10","Limburg",10.71
"2023-01-05",11,"11","Luxembourg",9.56
"2023-01-05",12,"12","Namur",9.88
"2023-01-06",1,"1","Bruxelles",10.39
"2023-01-06",2,"2","Antwerpen",10.75
"2023-01-06",3,"3","Limburg",10.38
"2023-01-06",4,"4","Oost-Vlaanderen",10.87
"2023-01-06",5,"5","Vlaams Brabant",10.5
"2023-01-06",6,"6","West-Vlaanderen",11
"2023-01-06",7,"7","Brabant Wallon",10.13
"2023-01-06",8,"8","Hainaut",10.03
"2023-01-06",9,"9","Liège",9.14
"2023-01-06",10,"10","Limburg",10.2
"2023-01-06",11,"11","Luxembourg",8.45
"2023-01-06",12,"12","Namur",9.27
"2023-01-07",1,"1","Bruxelles",10.39
"2023-01-07",2,"2","Antwerpen",10.6
"2023-01-07",3,"3","Limburg",10.58
"2023-01-07",4,"4","Oost-Vlaanderen",10.68
"2023-01-07",5,"5","Vlaams Brabant",10.51
"2023-01-07",6,"6","West-Vlaanderen",11.1
"2023-01-07",7,"7","Brabant Wallon",10.29
"2023-01-07",8,"8","Hainaut",10.27
"2023-01-07",9,"9","Liège",9
"2023-01-07",10,"10","Limburg",10.44
"2023-01-07",11,"11","Luxembourg",8.37
"2023-01-07",12,"12","Namur",9.51
"2023-01-08",1,"1","Bruxelles",9.51
"2023-01-08",2,"2","Antwerpen",9.7
"2023-01-08",3,"3","Limburg",10.15
"2023-01-08",4,"4","Oost-Vlaanderen",9.14
"2023-01-08",5,"5","Vlaams Brabant",9.74
"2023-01-08",6,"6","West-Vlaanderen",8.86
"2023-01-08",7,"7","Brabant Wallon",9.56
"2023-01-08",8,"8","Hainaut",9.04
"2023-01-08",9,"9","Liège",8.51
"2023-01-08",10,"10","Limburg",9.89
"2023-01-08",11,"11","Luxembourg",7.61
"2023-01-08",12,"12","Namur",8.69
"2023-01-09",1,"1","Bruxelles",5.91
"2023-01-09",2,"2","Antwerpen",6.55
"2023-01-09",3,"3","Limburg",6.96
"2023-01-09",4,"4","Oost-Vlaanderen",5.88
"2023-01-09",5,"5","Vlaams Brabant",6.29
"2023-01-09",6,"6","West-Vlaanderen",6.44
"2023-01-09",7,"7","Brabant Wallon",6.07
"2023-01-09",8,"8","Hainaut",5.72
"2023-01-09",9,"9","Liège",5.36
"2023-01-09",10,"10","Limburg",6.68
"2023-01-09",11,"11","Luxembourg",5.12
"2023-01-09",12,"12","Namur",5.76
"2023-01-10",1,"1","Bruxelles",4.89
"2023-01-10",2,"2","Antwerpen",5.73
"2023-01-10",3,"3","Limburg",5.11
"2023-01-10",4,"4","Oost-Vlaanderen",5.85
"2023-01-10",5,"5","Vlaams Brabant",5.09
"2023-01-10",6,"6","West-Vlaanderen",6.24
"2023-01-10",7,"7","Brabant Wallon",4.49
"2023-01-10",8,"8","Hainaut",4.51
"2023-01-10",9,"9","Liège",3.41
"2023-01-10",10,"10","Limburg",4.59
"2023-01-10",11,"11","Luxembourg",2.61
"2023-01-10",12,"12","Namur",3.16
"2023-01-11",1,"1","Bruxelles",10.91
"2023-01-11",2,"2","Antwerpen",10.87
"2023-01-11",3,"3","Limburg",9.95
"2023-01-11",4,"4","Oost-Vlaanderen",11.67
"2023-01-11",5,"5","Vlaams Brabant",10.78
"2023-01-11",6,"6","West-Vlaanderen",12.16
"2023-01-11",7,"7","Brabant Wallon",10.38
"2023-01-11",8,"8","Hainaut",10.78
"2023-01-11",9,"9","Liège",8.01
"2023-01-11",10,"10","Limburg",9.81
"2023-01-11",11,"11","Luxembourg",7.3
"2023-01-11",12,"12","Namur",8.96
"2023-01-12",1,"1","Bruxelles",8.51
"2023-01-12",2,"2","Antwerpen",8.7
"2023-01-12",3,"3","Limburg",8.74
"2023-01-12",4,"4","Oost-Vlaanderen",9.21
"2023-01-12",5,"5","Vlaams Brabant",8.7
"2023-01-12",6,"6","West-Vlaanderen",9.87
"2023-01-12",7,"7","Brabant Wallon",8.42
"2023-01-12",8,"8","Hainaut",8.36
"2023-01-12",9,"9","Liège",7.14
"2023-01-12",10,"10","Limburg",8.69
"2023-01-12",11,"11","Luxembourg",6.57
"2023-01-12",12,"12","Namur",7.67
"2023-01-13",1,"1","Bruxelles",9.32
"2023-01-13",2,"2","Antwerpen",9.47
"2023-01-13",3,"3","Limburg",9.9
"2023-01-13",4,"4","Oost-Vlaanderen",8.96
"2023-01-13",5,"5","Vlaams Brabant",9.54
"2023-01-13",6,"6","West-Vlaanderen",8.86
"2023-01-13",7,"7","Brabant Wallon",9.37
"2023-01-13",8,"8","Hainaut",9.15
"2023-01-13",9,"9","Liège",8.52
"2023-01-13",10,"10","Limburg",9.81
"2023-01-13",11,"11","Luxembourg",7.98
"2023-01-13",12,"12","Namur",8.95
"2023-01-14",1,"1","Bruxelles",6.1
"2023-01-14",2,"2","Antwerpen",6.68
"2023-01-14",3,"3","Limburg",6.61
"2023-01-14",4,"4","Oost-Vlaanderen",6.21
"2023-01-14",5,"5","Vlaams Brabant",6.29
"2023-01-14",6,"6","West-Vlaanderen",6.37
"2023-01-14",7,"7","Brabant Wallon",6.08
"2023-01-14",8,"8","Hainaut",5.98
"2023-01-14",9,"9","Liège",5.09
"2023-01-14",10,"10","Limburg",6.26
"2023-01-14",11,"11","Luxembourg",4.48
"2023-01-14",12,"12","Namur",5.44
"2023-01-15",1,"1","Bruxelles",6.88
"2023-01-15",2,"2","Antwerpen",7.17
"2023-01-15",3,"3","Limburg",6.83
"2023-01-15",4,"4","Oost-Vlaanderen",7.34
"2023-01-15",5,"5","Vlaams Brabant",6.97
"2023-01-15",6,"6","West-Vlaanderen",7.71
"2023-01-15",7,"7","Brabant Wallon",6.65
"2023-01-15",8,"8","Hainaut",6.71
"2023-01-15",9,"9","Liège",5.63
"2023-01-15",10,"10","Limburg",6.66
"2023-01-15",11,"11","Luxembourg",5.62
"2023-01-15",12,"12","Namur",6.16
"2023-01-16",1,"1","Bruxelles",4.4
"2023-01-16",2,"2","Antwerpen",4.49
"2023-01-16",3,"3","Limburg",4.81
"2023-01-16",4,"4","Oost-Vlaanderen",4.24
"2023-01-16",5,"5","Vlaams Brabant",4.55
"2023-01-16",6,"6","West-Vlaanderen",4.35
"2023-01-16",7,"7","Brabant Wallon",4.45
"2023-01-16",8,"8","Hainaut",4.18
"2023-01-16",9,"9","Liège",3.79
"2023-01-16",10,"10","Limburg",4.78
"2023-01-16",11,"11","Luxembourg",3.33
"2023-01-16",12,"12","Namur",4.09
"2023-01-17",1,"1","Bruxelles",1.76
"2023-01-17",2,"2","Antwerpen",2.25
"2023-01-17",3,"3","Limburg",2.41
"2023-01-17",4,"4","Oost-Vlaanderen",2.23
"2023-01-17",5,"5","Vlaams Brabant",2.05
"2023-01-17",6,"6","West-Vlaanderen",2.12
"2023-01-17",7,"7","Brabant Wallon",1.61
"2023-01-17",8,"8","Hainaut",0.92
"2023-01-17",9,"9","Liège",0.72
"2023-01-17",10,"10","Limburg",1.98
"2023-01-17",11,"11","Luxembourg",0.05
"2023-01-17",12,"12","Namur",0.78
"2023-01-18",1,"1","Bruxelles",-2.38
"2023-01-18",2,"2","Antwerpen",-2.26
"2023-01-18",3,"3","Limburg",-2.26
