"date","ID_1","NAME_1","t2m"
"2009-01-01",1,"Blagoevgrad",-8.5
"2009-01-01",2,"Burgas",-3.6
"2009-01-01",3,"Dobrich",-3.99
"2009-01-01",4,"Gabrovo",-6.78
"2009-01-01",5,"Grad Sofiya",-10.27
"2009-01-01",6,"Haskovo",-4.04
"2009-01-01",7,"Kardzhali",-4.97
"2009-01-01",8,"Kyustendil",-9.19
"2009-01-01",9,"Lovech",-8.89
"2009-01-01",10,"Montana",-11.41
"2009-01-01",11,"Pazardzhik",-8.48
"2009-01-01",12,"Pernik",-10.18
"2009-01-01",13,"Pleven",-8
"2009-01-01",14,"Plovdiv",-7.08
"2009-01-01",15,"Razgrad",-5.34
"2009-01-01",16,"Ruse",-5.89
"2009-01-01",17,"Shumen",-5.11
"2009-01-01",18,"Silistra",-4.79
"2009-01-01",19,"Sliven",-5.18
"2009-01-01",20,"Smolyan",-7.51
"2009-01-01",21,"Sofia",-10.88
"2009-01-01",22,"Stara Zagora",-5.17
"2009-01-01",23,"Targovishte",-5.56
"2009-01-01",24,"Varna",-4.21
"2009-01-01",25,"Veliko Tarnovo",-6.34
"2009-01-01",26,"Vidin",-11.77
"2009-01-01",27,"Vratsa",-10.73
"2009-01-01",28,"Yambol",-4.31
"2009-01-02",1,"Blagoevgrad",-2.47
"2009-01-02",2,"Burgas",-0.21
"2009-01-02",3,"Dobrich",1.13
"2009-01-02",4,"Gabrovo",-1.04
"2009-01-02",5,"Grad Sofiya",-1.88
"2009-01-02",6,"Haskovo",-2.59
"2009-01-02",7,"Kardzhali",-1.7
"2009-01-02",8,"Kyustendil",-2.08
"2009-01-02",9,"Lovech",-1.49
"2009-01-02",10,"Montana",-1.62
"2009-01-02",11,"Pazardzhik",-1.44
"2009-01-02",12,"Pernik",-1.83
"2009-01-02",13,"Pleven",-1.11
"2009-01-02",14,"Plovdiv",-1.67
"2009-01-02",15,"Razgrad",0.28
"2009-01-02",16,"Ruse",-0.63
"2009-01-02",17,"Shumen",0.06
"2009-01-02",18,"Silistra",-0.2
"2009-01-02",19,"Sliven",-1.24
"2009-01-02",20,"Smolyan",-2.34
"2009-01-02",21,"Sofia",-2.14
"2009-01-02",22,"Stara Zagora",-1.94
"2009-01-02",23,"Targovishte",-0.01
"2009-01-02",24,"Varna",0.09
"2009-01-02",25,"Veliko Tarnovo",-1.22
"2009-01-02",26,"Vidin",-1.09
"2009-01-02",27,"Vratsa",-1.7
"2009-01-02",28,"Yambol",-2.27
"2009-01-03",1,"Blagoevgrad",-3.75
"2009-01-03",2,"Burgas",-1.13
"2009-01-03",3,"Dobrich",-2.41
"2009-01-03",4,"Gabrovo",-2.99
"2009-01-03",5,"Grad Sofiya",-4.57
"2009-01-03",6,"Haskovo",-1.79
"2009-01-03",7,"Kardzhali",-2.03
"2009-01-03",8,"Kyustendil",-6.6
"2009-01-03",9,"Lovech",-3.3
"2009-01-03",10,"Montana",-5.79
"2009-01-03",11,"Pazardzhik",-2.37
"2009-01-03",12,"Pernik",-6.6
"2009-01-03",13,"Pleven",-3.36
"2009-01-03",14,"Plovdiv",-1.51
"2009-01-03",15,"Razgrad",-2.69
"2009-01-03",16,"Ruse",-2.41
"2009-01-03",17,"Shumen",-2.89
"2009-01-03",18,"Silistra",-2.15
"2009-01-03",19,"Sliven",-2.12
"2009-01-03",20,"Smolyan",-2.16
"2009-01-03",21,"Sofia",-4.88
"2009-01-03",22,"Stara Zagora",-1.87
"2009-01-03",23,"Targovishte",-3.22
"2009-01-03",24,"Varna",-2.48
"2009-01-03",25,"Veliko Tarnovo",-2.92
"2009-01-03",26,"Vidin",-7.73
"2009-01-03",27,"Vratsa",-3.83
"2009-01-03",28,"Yambol",-1.2
"2009-01-04",1,"Blagoevgrad",-4.48
"2009-01-04",2,"Burgas",-2.03
"2009-01-04",3,"Dobrich",-4.31
