"","date","ID_1","NAME_1","t2m"
"1","2012-01-01",1,"Blagoevgrad",-5.49
"2","2012-01-01",2,"Burgas",1.97
"3","2012-01-01",3,"Dobrich",1.44
"4","2012-01-01",4,"Gabrovo",0.46
"5","2012-01-01",5,"Grad Sofiya",-4.31
"6","2012-01-01",6,"Haskovo",2.31
"7","2012-01-01",7,"Kardzhali",1.87
"8","2012-01-01",8,"Kyustendil",-4.78
"9","2012-01-01",9,"Lovech",0.19
"10","2012-01-01",10,"Montana",0.1
"11","2012-01-01",11,"Pazardzhik",-1.94
"12","2012-01-01",12,"Pernik",-3.13
"13","2012-01-01",13,"Pleven",0.75
"14","2012-01-01",14,"Plovdiv",0.75
"15","2012-01-01",15,"Razgrad",0.35
"16","2012-01-01",16,"Ruse",-0.06
"17","2012-01-01",17,"Shumen",1
"18","2012-01-01",18,"Silistra",0.79
"19","2012-01-01",19,"Sliven",1.26
"20","2012-01-01",20,"Smolyan",-2.3
"21","2012-01-01",21,"Sofia",-2.8
"22","2012-01-01",22,"Stara Zagora",1.72
"23","2012-01-01",23,"Targovishte",0.23
"24","2012-01-01",24,"Varna",1.7
"25","2012-01-01",25,"Veliko Tarnovo",0.61
"26","2012-01-01",26,"Vidin",1.04
"27","2012-01-01",27,"Vratsa",0.31
"28","2012-01-01",28,"Yambol",2.09
"29","2012-01-02",1,"Blagoevgrad",-15.21
"30","2012-01-02",2,"Burgas",-2.16
"31","2012-01-02",3,"Dobrich",-2.26
"32","2012-01-02",4,"Gabrovo",-6.46
"33","2012-01-02",5,"Grad Sofiya",-11
"34","2012-01-02",6,"Haskovo",-1.74
"35","2012-01-02",7,"Kardzhali",-4.53
"36","2012-01-02",8,"Kyustendil",-10.67
"37","2012-01-02",9,"Lovech",-5.06
"38","2012-01-02",10,"Montana",-3.41
"39","2012-01-02",11,"Pazardzhik",-13.07
"40","2012-01-02",12,"Pernik",-8.18
"41","2012-01-02",13,"Pleven",-2.43
"42","2012-01-02",14,"Plovdiv",-8.45
"43","2012-01-02",15,"Razgrad",-3.59
"44","2012-01-02",16,"Ruse",-2.41
"45","2012-01-02",17,"Shumen",-4.56
"46","2012-01-02",18,"Silistra",-1.82
"47","2012-01-02",19,"Sliven",-4.66
"48","2012-01-02",20,"Smolyan",-10.24
"49","2012-01-02",21,"Sofia",-9
"50","2012-01-02",22,"Stara Zagora",-4.75
"51","2012-01-02",23,"Targovishte",-5.08
"52","2012-01-02",24,"Varna",-2.47
"53","2012-01-02",25,"Veliko Tarnovo",-5.51
"54","2012-01-02",26,"Vidin",-2.53
"55","2012-01-02",27,"Vratsa",-3.36
"56","2012-01-02",28,"Yambol",-1.69
"57","2012-01-03",1,"Blagoevgrad",-7.25
"58","2012-01-03",2,"Burgas",-0.22
"59","2012-01-03",3,"Dobrich",1.25
"60","2012-01-03",4,"Gabrovo",-2.89
"61","2012-01-03",5,"Grad Sofiya",-6.35
"62","2012-01-03",6,"Haskovo",-2.56
"63","2012-01-03",7,"Kardzhali",-4.04
"64","2012-01-03",8,"Kyustendil",-5.3
"65","2012-01-03",9,"Lovech",-2.24
"66","2012-01-03",10,"Montana",-0.88
"67","2012-01-03",11,"Pazardzhik",-7.7
"68","2012-01-03",12,"Pernik",-4.98
"69","2012-01-03",13,"Pleven",-1.58
"70","2012-01-03",14,"Plovdiv",-5.73
"71","2012-01-03",15,"Razgrad",-0.13
"72","2012-01-03",16,"Ruse",-0.2
"73","2012-01-03",17,"Shumen",-1.66
"74","2012-01-03",18,"Silistra",1.15
"75","2012-01-03",19,"Sliven",-2.29
"76","2012-01-03",20,"Smolyan",-6.74
"77","2012-01-03",21,"Sofia",-5.5
"78","2012-01-03",22,"Stara Zagora",-2.42
"79","2012-01-03",23,"Targovishte",-2.14
"80","2012-01-03",24,"Varna",-0.94
"81","2012-01-03",25,"Veliko Tarnovo",-2.35
"82","2012-01-03",26,"Vidin",-0.51
"83","2012-01-03",27,"Vratsa",-1.86
"84","2012-01-03",28,"Yambol",-1.29
"85","2012-01-04",1,"Blagoevgrad",-5.97
"86","2012-01-04",2,"Burgas",1.49
"87","2012-01-04",3,"Dobrich",3.64
"88","2012-01-04",4,"Gabrovo",1.65
"89","2012-01-04",5,"Grad Sofiya",-4.4
"90","2012-01-04",6,"Haskovo",-0.77
"91","2012-01-04",7,"Kardzhali",-2.4
"92","2012-01-04",8,"Kyustendil",-4.2
"93","2012-01-04",9,"Lovech",0.24
"94","2012-01-04",10,"Montana",0.46
