"date","ID_1","GID_1","NAME_1","t2m"
"2023-01-01",1,"1","Blagoevgrad",-0.64
"2023-01-01",2,"2","Burgas",4.06
"2023-01-01",3,"3","Dobrich",6.24
"2023-01-01",4,"4","Gabrovo",2.96
"2023-01-01",5,"5","Grad Sofiya",0.48
"2023-01-01",6,"6","Haskovo",3.03
"2023-01-01",7,"7","Kardzhali",2.39
"2023-01-01",8,"8","Kyustendil",0.18
"2023-01-01",9,"9","Lovech",3.62
"2023-01-01",10,"10","Montana",3.19
"2023-01-01",11,"11","Pazardzhik",-1.01
"2023-01-01",12,"12","Pernik",0.82
"2023-01-01",13,"13","Pleven",4.03
"2023-01-01",14,"14","Plovdiv",0.6
"2023-01-01",15,"15","Razgrad",4.95
"2023-01-01",16,"16","Ruse",4.69
"2023-01-01",17,"17","Shumen",3.55
"2023-01-01",18,"18","Silistra",5.98
"2023-01-01",19,"19","Sliven",3.86
"2023-01-01",20,"20","Smolyan",0.29
"2023-01-01",21,"21","Sofia",0.83
"2023-01-01",22,"22","Stara Zagora",2.17
"2023-01-01",23,"23","Targovishte",3.55
"2023-01-01",24,"24","Varna",3.38
"2023-01-01",25,"25","Veliko Tarnovo",3.37
"2023-01-01",26,"26","Vidin",4.74
"2023-01-01",27,"27","Vratsa",2.74
"2023-01-01",28,"28","Yambol",3.38
"2023-01-02",1,"1","Blagoevgrad",-0.63
"2023-01-02",2,"2","Burgas",3.26
"2023-01-02",3,"3","Dobrich",7.05
"2023-01-02",4,"4","Gabrovo",1.65
"2023-01-02",5,"5","Grad Sofiya",0.11
"2023-01-02",6,"6","Haskovo",1.95
"2023-01-02",7,"7","Kardzhali",0.86
"2023-01-02",8,"8","Kyustendil",-0.2
"2023-01-02",9,"9","Lovech",2.69
"2023-01-02",10,"10","Montana",2
"2023-01-02",11,"11","Pazardzhik",-1.51
"2023-01-02",12,"12","Pernik",0.19
"2023-01-02",13,"13","Pleven",2.96
"2023-01-02",14,"14","Plovdiv",-0.49
"2023-01-02",15,"15","Razgrad",5.88
"2023-01-02",16,"16","Ruse",5.18
"2023-01-02",17,"17","Shumen",4.14
"2023-01-02",18,"18","Silistra",7.25
"2023-01-02",19,"19","Sliven",3.31
"2023-01-02",20,"20","Smolyan",-0.33
"2023-01-02",21,"21","Sofia",0.31
"2023-01-02",22,"22","Stara Zagora",1.22
"2023-01-02",23,"23","Targovishte",3.99
"2023-01-02",24,"24","Varna",3.65
"2023-01-02",25,"25","Veliko Tarnovo",2.96
"2023-01-02",26,"26","Vidin",2.91
"2023-01-02",27,"27","Vratsa",1.97
"2023-01-02",28,"28","Yambol",2.95
"2023-01-03",1,"1","Blagoevgrad",0.1
"2023-01-03",2,"2","Burgas",3.23
"2023-01-03",3,"3","Dobrich",6.61
"2023-01-03",4,"4","Gabrovo",2.05
"2023-01-03",5,"5","Grad Sofiya",-0.06
"2023-01-03",6,"6","Haskovo",0.15
"2023-01-03",7,"7","Kardzhali",0.31
"2023-01-03",8,"8","Kyustendil",0.95
"2023-01-03",9,"9","Lovech",2.69
"2023-01-03",10,"10","Montana",2.56
"2023-01-03",11,"11","Pazardzhik",-0.97
"2023-01-03",12,"12","Pernik",0.4
"2023-01-03",13,"13","Pleven",2.9
"2023-01-03",14,"14","Plovdiv",0.3
"2023-01-03",15,"15","Razgrad",5.46
"2023-01-03",16,"16","Ruse",4.69
"2023-01-03",17,"17","Shumen",4.05
"2023-01-03",18,"18","Silistra",5.99
"2023-01-03",19,"19","Sliven",4.08
"2023-01-03",20,"20","Smolyan",1.19
"2023-01-03",21,"21","Sofia",0.62
"2023-01-03",22,"22","Stara Zagora",1.78
"2023-01-03",23,"23","Targovishte",4.91
"2023-01-03",24,"24","Varna",3.89
"2023-01-03",25,"25","Veliko Tarnovo",3.65
"2023-01-03",26,"26","Vidin",2.88
"2023-01-03",27,"27","Vratsa",2.14
"2023-01-03",28,"28","Yambol",2.02
"2023-01-04",1,"1","Blagoevgrad",0.41
"2023-01-04",2,"2","Burgas",6.12
"2023-01-04",3,"3","Dobrich",5.65
"2023-01-04",4,"4","Gabrovo",4.06
"2023-01-04",5,"5","Grad Sofiya",0.18
"2023-01-04",6,"6","Haskovo",2.47
"2023-01-04",7,"7","Kardzhali",2.94
"2023-01-04",8,"8","Kyustendil",0.72
"2023-01-04",9,"9","Lovech",4.42
"2023-01-04",10,"10","Montana",5.1
"2023-01-04",11,"11","Pazardzhik",0.82
"2023-01-04",12,"12","Pernik",1.03
"2023-01-04",13,"13","Pleven",4.31
"2023-01-04",14,"14","Plovdiv",2
"2023-01-04",15,"15","Razgrad",3.6
"2023-01-04",16,"16","Ruse",3.91
"2023-01-04",17,"17","Shumen",4.77
"2023-01-04",18,"18","Silistra",3.92
"2023-01-04",19,"19","Sliven",3.19
"2023-01-04",20,"20","Smolyan",3.12
"2023-01-04",21,"21","Sofia",1.35
"2023-01-04",22,"22","Stara Zagora",1.31
"2023-01-04",23,"23","Targovishte",4.75
"2023-01-04",24,"24","Varna",5.56
"2023-01-04",25,"25","Veliko Tarnovo",4.2
"2023-01-04",26,"26","Vidin",6.48
"2023-01-04",27,"27","Vratsa",3.5
"2023-01-04",28,"28","Yambol",3.37
"2023-01-05",1,"1","Blagoevgrad",1.76
"2023-01-05",2,"2","Burgas",7.14
"2023-01-05",3,"3","Dobrich",4.65
"2023-01-05",4,"4","Gabrovo",5.81
"2023-01-05",5,"5","Grad Sofiya",2.06
