"date","ID_0","NAME_0","t2m"
"2012-01-01",1,"Botswana",21.02
"2012-01-02",1,"Botswana",20.34
"2012-01-03",1,"Botswana",21.63
"2012-01-04",1,"Botswana",22.38
"2012-01-05",1,"Botswana",23.22
"2012-01-06",1,"Botswana",22.62
"2012-01-07",1,"Botswana",22.97
"2012-01-08",1,"Botswana",23.23
"2012-01-09",1,"Botswana",22.9
"2012-01-10",1,"Botswana",23.37
"2012-01-11",1,"Botswana",23.29
"2012-01-12",1,"Botswana",22.91
"2012-01-13",1,"Botswana",22.15
"2012-01-14",1,"Botswana",21.28
"2012-01-15",1,"Botswana",21.34
"2012-01-16",1,"Botswana",19.83
"2012-01-17",1,"Botswana",20.29
"2012-01-18",1,"Botswana",21.48
"2012-01-19",1,"Botswana",22.21
"2012-01-20",1,"Botswana",20.68
"2012-01-21",1,"Botswana",20.7
"2012-01-22",1,"Botswana",21.06
"2012-01-23",1,"Botswana",21.5
"2012-01-24",1,"Botswana",21.05
"2012-01-25",1,"Botswana",20.23
"2012-01-26",1,"Botswana",20.83
"2012-01-27",1,"Botswana",21.4
"2012-01-28",1,"Botswana",21.14
"2012-01-29",1,"Botswana",20.19
"2012-01-30",1,"Botswana",21.14
"2012-01-31",1,"Botswana",22.12
"2012-02-01",1,"Botswana",22.59
"2012-02-02",1,"Botswana",22.03
"2012-02-03",1,"Botswana",21.59
"2012-02-04",1,"Botswana",22.19
"2012-02-05",1,"Botswana",22.06
"2012-02-06",1,"Botswana",21.2
"2012-02-07",1,"Botswana",20.98
"2012-02-08",1,"Botswana",21.27
"2012-02-09",1,"Botswana",21.16
"2012-02-10",1,"Botswana",21.43
"2012-02-11",1,"Botswana",21.11
"2012-02-12",1,"Botswana",18.06
"2012-02-13",1,"Botswana",17.44
"2012-02-14",1,"Botswana",19.96
"2012-02-15",1,"Botswana",20.94
"2012-02-16",1,"Botswana",21.68
"2012-02-17",1,"Botswana",21.26
"2012-02-18",1,"Botswana",21.06
"2012-02-19",1,"Botswana",21.61
"2012-02-20",1,"Botswana",21.22
"2012-02-21",1,"Botswana",21.35
"2012-02-22",1,"Botswana",21.94
"2012-02-23",1,"Botswana",23.38
"2012-02-24",1,"Botswana",21.86
"2012-02-25",1,"Botswana",20.58
"2012-02-26",1,"Botswana",20.11
"2012-02-27",1,"Botswana",21.82
"2012-02-28",1,"Botswana",21.25
"2012-02-29",1,"Botswana",20.56
"2012-03-01",1,"Botswana",21.62
"2012-03-02",1,"Botswana",21.97
"2012-03-03",1,"Botswana",22.33
"2012-03-04",1,"Botswana",22.3
"2012-03-05",1,"Botswana",22.63
"2012-03-06",1,"Botswana",23.69
"2012-03-07",1,"Botswana",21.42
"2012-03-08",1,"Botswana",20.39
"2012-03-09",1,"Botswana",21.02
"2012-03-10",1,"Botswana",20.86
"2012-03-11",1,"Botswana",20.67
"2012-03-12",1,"Botswana",20.87
"2012-03-13",1,"Botswana",20.67
"2012-03-14",1,"Botswana",21.77
"2012-03-15",1,"Botswana",21.2
"2012-03-16",1,"Botswana",19.36
"2012-03-17",1,"Botswana",18.14
"2012-03-18",1,"Botswana",17.09
"2012-03-19",1,"Botswana",17.63
"2012-03-20",1,"Botswana",18.38
"2012-03-21",1,"Botswana",20.13
"2012-03-22",1,"Botswana",19.2
"2012-03-23",1,"Botswana",18.53
"2012-03-24",1,"Botswana",19.68
"2012-03-25",1,"Botswana",20.1
"2012-03-26",1,"Botswana",19.07
"2012-03-27",1,"Botswana",20.47
"2012-03-28",1,"Botswana",19.99
"2012-03-29",1,"Botswana",19.09
"2012-03-30",1,"Botswana",19.71
"2012-03-31",1,"Botswana",17.62
"2012-04-01",1,"Botswana",13.88
"2012-04-02",1,"Botswana",15.18
"2012-04-03",1,"Botswana",16.57
"2012-04-04",1,"Botswana",14.42
"2012-04-05",1,"Botswana",14.5
"2012-04-06",1,"Botswana",16.57
"2012-04-07",1,"Botswana",15.69
"2012-04-08",1,"Botswana",17.78
"2012-04-09",1,"Botswana",16
"2012-04-10",1,"Botswana",14.67
"2012-04-11",1,"Botswana",13.95
"2012-04-12",1,"Botswana",15.18
"2012-04-13",1,"Botswana",17.37
"2012-04-14",1,"Botswana",16.17
"2012-04-15",1,"Botswana",14.1
"2012-04-16",1,"Botswana",13.86
"2012-04-17",1,"Botswana",16.16
"2012-04-18",1,"Botswana",16
"2012-04-19",1,"Botswana",16.71
"2012-04-20",1,"Botswana",16.11
"2012-04-21",1,"Botswana",16.19
"2012-04-22",1,"Botswana",14.95
"2012-04-23",1,"Botswana",15.48
"2012-04-24",1,"Botswana",16.92
"2012-04-25",1,"Botswana",17.67
"2012-04-26",1,"Botswana",15.29
"2012-04-27",1,"Botswana",16.71
"2012-04-28",1,"Botswana",15.9
"2012-04-29",1,"Botswana",15.93
"2012-04-30",1,"Botswana",16.24
"2012-05-01",1,"Botswana",17.45
"2012-05-02",1,"Botswana",16.47
"2012-05-03",1,"Botswana",16.84
"2012-05-04",1,"Botswana",15.12
"2012-05-05",1,"Botswana",14.81
"2012-05-06",1,"Botswana",15.55
"2012-05-07",1,"Botswana",16.57
"2012-05-08",1,"Botswana",15.63
"2012-05-09",1,"Botswana",13.43
"2012-05-10",1,"Botswana",13.04
"2012-05-11",1,"Botswana",13.08
"2012-05-12",1,"Botswana",16.2
"2012-05-13",1,"Botswana",14.87
"2012-05-14",1,"Botswana",12.93
"2012-05-15",1,"Botswana",11.64
"2012-05-16",1,"Botswana",11.23
"2012-05-17",1,"Botswana",9.65
"2012-05-18",1,"Botswana",10.24
"2012-05-19",1,"Botswana",10.27
"2012-05-20",1,"Botswana",10.33
"2012-05-21",1,"Botswana",10.72
"2012-05-22",1,"Botswana",9.29
"2012-05-23",1,"Botswana",11.59
"2012-05-24",1,"Botswana",11.49
"2012-05-25",1,"Botswana",11.75
"2012-05-26",1,"Botswana",11.6
"2012-05-27",1,"Botswana",9.55
"2012-05-28",1,"Botswana",11.52
"2012-05-29",1,"Botswana",11.2
"2012-05-30",1,"Botswana",10.71
"2012-05-31",1,"Botswana",10.51
"2012-06-01",1,"Botswana",11.81
"2012-06-02",1,"Botswana",10.12
"2012-06-03",1,"Botswana",8.47
"2012-06-04",1,"Botswana",11.43
"2012-06-05",1,"Botswana",10.59
"2012-06-06",1,"Botswana",10.36
"2012-06-07",1,"Botswana",7.56
"2012-06-08",1,"Botswana",9.64
"2012-06-09",1,"Botswana",8.6
"2012-06-10",1,"Botswana",4.1
"2012-06-11",1,"Botswana",2.25
"2012-06-12",1,"Botswana",4.4
"2012-06-13",1,"Botswana",4.2
"2012-06-14",1,"Botswana",6.22
"2012-06-15",1,"Botswana",9.06
"2012-06-16",1,"Botswana",9.15
"2012-06-17",1,"Botswana",11.88
"2012-06-18",1,"Botswana",11.13
"2012-06-19",1,"Botswana",12.33
"2012-06-20",1,"Botswana",13.83
"2012-06-21",1,"Botswana",14.39
"2012-06-22",1,"Botswana",15.44
"2012-06-23",1,"Botswana",13.65
"2012-06-24",1,"Botswana",10.73
"2012-06-25",1,"Botswana",6.34
"2012-06-26",1,"Botswana",5.77
"2012-06-27",1,"Botswana",6.4
"2012-06-28",1,"Botswana",8.47
"2012-06-29",1,"Botswana",9.55
"2012-06-30",1,"Botswana",8.62
"2012-07-01",1,"Botswana",8.57
"2012-07-02",1,"Botswana",9.91
"2012-07-03",1,"Botswana",8.55
"2012-07-04",1,"Botswana",10.32
"2012-07-05",1,"Botswana",9.8
"2012-07-06",1,"Botswana",12.62
"2012-07-07",1,"Botswana",14.25
"2012-07-08",1,"Botswana",10.03
"2012-07-09",1,"Botswana",6.01
"2012-07-10",1,"Botswana",8.17
"2012-07-11",1,"Botswana",9.47
"2012-07-12",1,"Botswana",9.45
"2012-07-13",1,"Botswana",10.42
"2012-07-14",1,"Botswana",9.01
"2012-07-15",1,"Botswana",5.05
"2012-07-16",1,"Botswana",3.67
"2012-07-17",1,"Botswana",4.55
"2012-07-18",1,"Botswana",6.11
"2012-07-19",1,"Botswana",5.84
"2012-07-20",1,"Botswana",6.5
"2012-07-21",1,"Botswana",6.88
"2012-07-22",1,"Botswana",7.32
"2012-07-23",1,"Botswana",7.24
"2012-07-24",1,"Botswana",8.84
"2012-07-25",1,"Botswana",10.11
"2012-07-26",1,"Botswana",10.81
"2012-07-27",1,"Botswana",8.2
"2012-07-28",1,"Botswana",7.25
"2012-07-29",1,"Botswana",8.34
"2012-07-30",1,"Botswana",8.7
"2012-07-31",1,"Botswana",10.05
"2012-08-01",1,"Botswana",9.95
"2012-08-02",1,"Botswana",10.5
"2012-08-03",1,"Botswana",12.49
"2012-08-04",1,"Botswana",10.22
"2012-08-05",1,"Botswana",12.35
"2012-08-06",1,"Botswana",11.44
"2012-08-07",1,"Botswana",6.91
