"","date","ID_0","NAME_0","t2m"
"1","2017-01-01",1,"Canada",-18.22
"2","2017-01-02",1,"Canada",-18.59
"3","2017-01-03",1,"Canada",-19.45
"4","2017-01-04",1,"Canada",-18.21
"5","2017-01-05",1,"Canada",-17.47
"6","2017-01-06",1,"Canada",-19.15
"7","2017-01-07",1,"Canada",-22.18
"8","2017-01-08",1,"Canada",-24.95
"9","2017-01-09",1,"Canada",-25.47
"10","2017-01-10",1,"Canada",-25.98
"11","2017-01-11",1,"Canada",-24.73
"12","2017-01-12",1,"Canada",-24.36
"13","2017-01-13",1,"Canada",-24.98
"14","2017-01-14",1,"Canada",-24.9
"15","2017-01-15",1,"Canada",-22.13
"16","2017-01-16",1,"Canada",-20.12
"17","2017-01-17",1,"Canada",-17.01
"18","2017-01-18",1,"Canada",-16.28
"19","2017-01-19",1,"Canada",-15.88
"20","2017-01-20",1,"Canada",-14.85
"21","2017-01-21",1,"Canada",-14.48
"22","2017-01-22",1,"Canada",-15.38
"23","2017-01-23",1,"Canada",-17.67
"24","2017-01-24",1,"Canada",-18.18
"25","2017-01-25",1,"Canada",-16.46
"26","2017-01-26",1,"Canada",-14.72
"27","2017-01-27",1,"Canada",-13.07
"28","2017-01-28",1,"Canada",-13.79
"29","2017-01-29",1,"Canada",-15.54
"30","2017-01-30",1,"Canada",-16.52
"31","2017-01-31",1,"Canada",-19.03
"32","2017-02-01",1,"Canada",-20.96
"33","2017-02-02",1,"Canada",-20.31
"34","2017-02-03",1,"Canada",-20.29
"35","2017-02-04",1,"Canada",-21.52
"36","2017-02-05",1,"Canada",-22.3
"37","2017-02-06",1,"Canada",-23.18
"38","2017-02-07",1,"Canada",-24.1
"39","2017-02-08",1,"Canada",-24.11
"40","2017-02-09",1,"Canada",-22.65
"41","2017-02-10",1,"Canada",-23.9
"42","2017-02-11",1,"Canada",-24.48
"43","2017-02-12",1,"Canada",-22.61
"44","2017-02-13",1,"Canada",-19.27
"45","2017-02-14",1,"Canada",-17.81
"46","2017-02-15",1,"Canada",-16.44
"47","2017-02-16",1,"Canada",-14.07
"48","2017-02-17",1,"Canada",-12.25
"49","2017-02-18",1,"Canada",-12.33
"50","2017-02-19",1,"Canada",-13.69
"51","2017-02-20",1,"Canada",-15.48
"52","2017-02-21",1,"Canada",-15.77
"53","2017-02-22",1,"Canada",-15.65
"54","2017-02-23",1,"Canada",-16.45
"55","2017-02-24",1,"Canada",-18.36
"56","2017-02-25",1,"Canada",-19.56
"57","2017-02-26",1,"Canada",-19.65
"58","2017-02-27",1,"Canada",-21.29
"59","2017-02-28",1,"Canada",-22.26
"60","2017-03-01",1,"Canada",-22.85
"61","2017-03-02",1,"Canada",-23.25
"62","2017-03-03",1,"Canada",-22.78
"63","2017-03-04",1,"Canada",-22.16
"64","2017-03-05",1,"Canada",-21.23
"65","2017-03-06",1,"Canada",-21.69
"66","2017-03-07",1,"Canada",-20.99
"67","2017-03-08",1,"Canada",-21.17
"68","2017-03-09",1,"Canada",-22.05
"69","2017-03-10",1,"Canada",-23.13
"70","2017-03-11",1,"Canada",-22.5
"71","2017-03-12",1,"Canada",-19.79
"72","2017-03-13",1,"Canada",-17.39
"73","2017-03-14",1,"Canada",-15.67
"74","2017-03-15",1,"Canada",-14.14
"75","2017-03-16",1,"Canada",-13.58
"76","2017-03-17",1,"Canada",-14.63
"77","2017-03-18",1,"Canada",-15.15
"78","2017-03-19",1,"Canada",-14.79
"79","2017-03-20",1,"Canada",-15.19
"80","2017-03-21",1,"Canada",-14.86
"81","2017-03-22",1,"Canada",-15.4
