"date","ID_1","NAME_1","t2m"
"2014-01-01",1,"Alberta",-21.38
"2014-01-01",2,"British Columbia",-6.64
"2014-01-01",3,"Manitoba",-34.5
"2014-01-01",4,"New Brunswick",-19.69
"2014-01-01",5,"Newfoundland and Labrador",-26.02
"2014-01-01",6,"Northwest Territories",-35.45
"2014-01-01",7,"Nova Scotia",-13.15
"2014-01-01",8,"Nunavut",-35.7
"2014-01-01",9,"Nunavut",-32.94
"2014-01-01",10,"Nunavut",-37.74
"2014-01-01",11,"Ontario",-27.48
"2014-01-01",12,"Prince Edward Island",-12.06
"2014-01-01",13,"Québec",-31.06
"2014-01-01",14,"Saskatchewan",-30.93
"2014-01-01",15,"Yukon",-26.36
"2014-01-02",1,"Alberta",-18.38
"2014-01-02",2,"British Columbia",-4.84
"2014-01-02",3,"Manitoba",-32.66
"2014-01-02",4,"New Brunswick",-20.54
"2014-01-02",5,"Newfoundland and Labrador",-29.05
"2014-01-02",6,"Northwest Territories",-31.85
"2014-01-02",7,"Nova Scotia",-12.46
"2014-01-02",8,"Nunavut",-34.18
"2014-01-02",9,"Nunavut",-33.37
"2014-01-02",10,"Nunavut",-35.55
"2014-01-02",11,"Ontario",-29.35
"2014-01-02",12,"Prince Edward Island",-12.99
"2014-01-02",13,"Québec",-32.77
"2014-01-02",14,"Saskatchewan",-30.48
"2014-01-02",15,"Yukon",-17.46
"2014-01-03",1,"Alberta",-5.8
"2014-01-03",2,"British Columbia",-3.79
"2014-01-03",3,"Manitoba",-27.95
"2014-01-03",4,"New Brunswick",-26.87
"2014-01-03",5,"Newfoundland and Labrador",-29.73
"2014-01-03",6,"Northwest Territories",-28.11
"2014-01-03",7,"Nova Scotia",-18.4
"2014-01-03",8,"Nunavut",-33.44
"2014-01-03",9,"Nunavut",-31.74
"2014-01-03",10,"Nunavut",-34.6
"2014-01-03",11,"Ontario",-27.54
"2014-01-03",12,"Prince Edward Island",-16.9
"2014-01-03",13,"Québec",-32.59
"2014-01-03",14,"Saskatchewan",-14.75
"2014-01-03",15,"Yukon",-17.92
"2014-01-04",1,"Alberta",-18.15
"2014-01-04",2,"British Columbia",-8.24
"2014-01-04",3,"Manitoba",-19.74
"2014-01-04",4,"New Brunswick",-23.28
"2014-01-04",5,"Newfoundland and Labrador",-25.38
"2014-01-04",6,"Northwest Territories",-33.91
"2014-01-04",7,"Nova Scotia",-13.25
"2014-01-04",8,"Nunavut",-29.94
"2014-01-04",9,"Nunavut",-29.41
"2014-01-04",10,"Nunavut",-34.08
"2014-01-04",11,"Ontario",-17.56
"2014-01-04",12,"Prince Edward Island",-11.61
"2014-01-04",13,"Québec",-29.83
"2014-01-04",14,"Saskatchewan",-20.56
"2014-01-04",15,"Yukon",-24.13
"2014-01-05",1,"Alberta",-25.34
"2014-01-05",2,"British Columbia",-11.41
"2014-01-05",3,"Manitoba",-27.84
"2014-01-05",4,"New Brunswick",-16.07
"2014-01-05",5,"Newfoundland and Labrador",-18.35
"2014-01-05",6,"Northwest Territories",-34.3
"2014-01-05",7,"Nova Scotia",-9.29
"2014-01-05",8,"Nunavut",-30.6
"2014-01-05",9,"Nunavut",-29.31
"2014-01-05",10,"Nunavut",-36.08
"2014-01-05",11,"Ontario",-15.2
"2014-01-05",12,"Prince Edward Island",-11.69
"2014-01-05",13,"Québec",-21.74
"2014-01-05",14,"Saskatchewan",-29.44
"2014-01-05",15,"Yukon",-24.97
"2014-01-06",1,"Alberta",-25.27
"2014-01-06",2,"British Columbia",-10.16
"2014-01-06",3,"Manitoba",-27.6
"2014-01-06",4,"New Brunswick",-8.18
"2014-01-06",5,"Newfoundland and Labrador",-17.04
"2014-01-06",6,"Northwest Territories",-29.97
"2014-01-06",7,"Nova Scotia",-3.82
"2014-01-06",8,"Nunavut",-32.99
"2014-01-06",9,"Nunavut",-32.04
"2014-01-06",10,"Nunavut",-35.91
"2014-01-06",11,"Ontario",-21.68
"2014-01-06",12,"Prince Edward Island",-6.04
"2014-01-06",13,"Québec",-19.31
"2014-01-06",14,"Saskatchewan",-30.71
"2014-01-06",15,"Yukon",-16.11
"2014-01-07",1,"Alberta",-12.92
"2014-01-07",2,"British Columbia",-6.89
"2014-01-07",3,"Manitoba",-26.84
"2014-01-07",4,"New Brunswick",6.81
"2014-01-07",5,"Newfoundland and Labrador",-9.55
"2014-01-07",6,"Northwest Territories",-28.71
"2014-01-07",7,"Nova Scotia",7.82
"2014-01-07",8,"Nunavut",-33.22
"2014-01-07",9,"Nunavut",-33.98
"2014-01-07",10,"Nunavut",-34.2
"2014-01-07",11,"Ontario",-24.6
"2014-01-07",12,"Prince Edward Island",5.89
"2014-01-07",13,"Québec",-13.47
"2014-01-07",14,"Saskatchewan",-25.13
"2014-01-07",15,"Yukon",-14.78
"2014-01-08",1,"Alberta",-17.36
"2014-01-08",2,"British Columbia",-6.39
"2014-01-08",3,"Manitoba",-27.73
"2014-01-08",4,"New Brunswick",-15.81
"2014-01-08",5,"Newfoundland and Labrador",-17.61
"2014-01-08",6,"Northwest Territories",-25.12
"2014-01-08",7,"Nova Scotia",-10.08
"2014-01-08",8,"Nunavut",-32.97
"2014-01-08",9,"Nunavut",-29.48
"2014-01-08",10,"Nunavut",-35.95
"2014-01-08",11,"Ontario",-21.61
"2014-01-08",12,"Prince Edward Island",-11.25
"2014-01-08",13,"Québec",-21.23
"2014-01-08",14,"Saskatchewan",-26.66
"2014-01-08",15,"Yukon",-12.27
"2014-01-09",1,"Alberta",-9.89
"2014-01-09",2,"British Columbia",-5.44
"2014-01-09",3,"Manitoba",-24.25
"2014-01-09",4,"New Brunswick",-12.56
"2014-01-09",5,"Newfoundland and Labrador",-19.45
"2014-01-09",6,"Northwest Territories",-22.29
"2014-01-09",7,"Nova Scotia",-7.51
"2014-01-09",8,"Nunavut",-27.62
"2014-01-09",9,"Nunavut",-28.51
"2014-01-09",10,"Nunavut",-36.64
"2014-01-09",11,"Ontario",-21.4
"2014-01-09",12,"Prince Edward Island",-8.69
"2014-01-09",13,"Québec",-21.24
"2014-01-09",14,"Saskatchewan",-15.52
"2014-01-09",15,"Yukon",-14.28
"2014-01-10",1,"Alberta",-7.5
"2014-01-10",2,"British Columbia",-4.51
"2014-01-10",3,"Manitoba",-14.1
"2014-01-10",4,"New Brunswick",-15.49
"2014-01-10",5,"Newfoundland and Labrador",-21.26
"2014-01-10",6,"Northwest Territories",-27.21
"2014-01-10",7,"Nova Scotia",-9.9
"2014-01-10",8,"Nunavut",-29.42
"2014-01-10",9,"Nunavut",-26.76
"2014-01-10",10,"Nunavut",-27.92
"2014-01-10",11,"Ontario",-9.84
"2014-01-10",12,"Prince Edward Island",-9.74
"2014-01-10",13,"Québec",-20.4
"2014-01-10",14,"Saskatchewan",-10.19
"2014-01-10",15,"Yukon",-17.54
"2014-01-11",1,"Alberta",-9.89
"2014-01-11",2,"British Columbia",-4.98
"2014-01-11",3,"Manitoba",-15.61
"2014-01-11",4,"New Brunswick",-7.54
"2014-01-11",5,"Newfoundland and Labrador",-12.82
"2014-01-11",6,"Northwest Territories",-28.11
"2014-01-11",7,"Nova Scotia",-1.76
"2014-01-11",8,"Nunavut",-32.67
"2014-01-11",9,"Nunavut",-28.13
"2014-01-11",10,"Nunavut",-22.64
"2014-01-11",11,"Ontario",-4.36
"2014-01-11",12,"Prince Edward Island",-3.37
"2014-01-11",13,"Québec",-13.05
"2014-01-11",14,"Saskatchewan",-11.79
"2014-01-11",15,"Yukon",-21.32
"2014-01-12",1,"Alberta",-9.68
"2014-01-12",2,"British Columbia",-7.61
"2014-01-12",3,"Manitoba",-16.78
"2014-01-12",4,"New Brunswick",6.34
"2014-01-12",5,"Newfoundland and Labrador",-11.36
"2014-01-12",6,"Northwest Territories",-30.65
"2014-01-12",7,"Nova Scotia",7.88
"2014-01-12",8,"Nunavut",-31.79
"2014-01-12",9,"Nunavut",-32.15
"2014-01-12",10,"Nunavut",-25.54
"2014-01-12",11,"Ontario",-4.72
"2014-01-12",12,"Prince Edward Island",5.99
"2014-01-12",13,"Québec",-10.63
"2014-01-12",14,"Saskatchewan",-9.96
"2014-01-12",15,"Yukon",-27.01
"2014-01-13",1,"Alberta",-14.95
"2014-01-13",2,"British Columbia",-6.51
"2014-01-13",3,"Manitoba",-16.77
"2014-01-13",4,"New Brunswick",1.76
"2014-01-13",5,"Newfoundland and Labrador",-5.39
"2014-01-13",6,"Northwest Territories",-31.03
"2014-01-13",7,"Nova Scotia",3.44
"2014-01-13",8,"Nunavut",-34.38
"2014-01-13",9,"Nunavut",-28.41
