"date","ID_1","GID_1","NAME_1","t2m"
"2023-01-01",1,"1","Alberta",-10.88
"2023-01-01",2,"2","British Columbia",-6.69
"2023-01-01",3,"3","Manitoba",-13.42
"2023-01-01",4,"4","New Brunswick",4.16
"2023-01-01",5,"5","Newfoundland and Labrador",-3.13
"2023-01-01",6,"6","Northwest Territories",-21.66
"2023-01-01",7,"7","Nova Scotia",8.9
"2023-01-01",8,"8","Nunavut",-22.03
"2023-01-01",9,"8","Nunavut",-32.99
"2023-01-01",10,"8","Nunavut",-31.25
"2023-01-01",11,"9","Ontario",-8.16
"2023-01-01",12,"10","Prince Edward Island",4.74
"2023-01-01",13,"11","Québec",-6.86
"2023-01-01",14,"12","Saskatchewan",-14.45
"2023-01-01",15,"13","Yukon",-19.18
"2023-01-02",1,"1","Alberta",-9.59
"2023-01-02",2,"2","British Columbia",-3.73
"2023-01-02",3,"3","Manitoba",-16.14
"2023-01-02",4,"4","New Brunswick",0.24
"2023-01-02",5,"5","Newfoundland and Labrador",-8.43
"2023-01-02",6,"6","Northwest Territories",-22.2
"2023-01-02",7,"7","Nova Scotia",2.29
"2023-01-02",8,"8","Nunavut",-26.93
"2023-01-02",9,"8","Nunavut",-32.58
"2023-01-02",10,"8","Nunavut",-27.91
"2023-01-02",11,"9","Ontario",-6.89
"2023-01-02",12,"10","Prince Edward Island",0.66
"2023-01-02",13,"11","Québec",-10.6
"2023-01-02",14,"12","Saskatchewan",-11.64
"2023-01-02",15,"13","Yukon",-12.26
"2023-01-03",1,"1","Alberta",-7.95
"2023-01-03",2,"2","British Columbia",-5.56
"2023-01-03",3,"3","Manitoba",-12.08
"2023-01-03",4,"4","New Brunswick",-3.77
"2023-01-03",5,"5","Newfoundland and Labrador",-10.06
"2023-01-03",6,"6","Northwest Territories",-21.75
"2023-01-03",7,"7","Nova Scotia",-0.36
"2023-01-03",8,"8","Nunavut",-31.92
"2023-01-03",9,"8","Nunavut",-30.51
"2023-01-03",10,"8","Nunavut",-22.3
"2023-01-03",11,"9","Ontario",-6.13
"2023-01-03",12,"10","Prince Edward Island",-1.5
"2023-01-03",13,"11","Québec",-10.28
