"date","ID_1","GID_1","NAME_1","t2m"
"2023-01-01",1,"1","Aargau",7.03
"2023-01-01",2,"2","Appenzell Ausserrhoden",7.6
"2023-01-01",3,"3","Appenzell Innerrhoden",7.61
"2023-01-01",4,"4","Basel-Landschaft",9.19
"2023-01-01",5,"5","Basel-Stadt",9.92
"2023-01-01",6,"6","Bern",5.46
"2023-01-01",7,"7","Fribourg",7.08
"2023-01-01",8,"8","Genève",9.33
"2023-01-01",9,"9","Glarus",5.27
"2023-01-01",10,"10","Graubünden",1.06
"2023-01-01",11,"11","Jura",11.77
"2023-01-01",12,"12","Lucerne",6.43
"2023-01-01",13,"13","Neuchâtel",11.19
"2023-01-01",14,"14","Nidwalden",6.52
"2023-01-01",15,"15","Obwalden",4.69
"2023-01-01",16,"16","Sankt Gallen",7
"2023-01-01",17,"17","Schaffhausen",7.33
"2023-01-01",18,"18","Schwyz",7.05
"2023-01-01",19,"19","Solothurn",8.93
"2023-01-01",20,"20","Thurgau",7.14
"2023-01-01",21,"21","Ticino",2.33
"2023-01-01",22,"22","Uri",3.16
"2023-01-01",23,"23","Valais",-3.04
"2023-01-01",24,"24","Vaud",8.31
"2023-01-01",25,"25","Zürich",7.77
"2023-01-01",26,"26","Zug",8
"2023-01-02",1,"1","Aargau",5.03
"2023-01-02",2,"2","Appenzell Ausserrhoden",7.34
"2023-01-02",3,"3","Appenzell Innerrhoden",7.02
"2023-01-02",4,"4","Basel-Landschaft",6.41
"2023-01-02",5,"5","Basel-Stadt",6.95
"2023-01-02",6,"6","Bern",3.28
"2023-01-02",7,"7","Fribourg",5.79
"2023-01-02",8,"8","Genève",6.73
"2023-01-02",9,"9","Glarus",4.7
"2023-01-02",10,"10","Graubünden",1.44
"2023-01-02",11,"11","Jura",8.05
"2023-01-02",12,"12","Lucerne",4.91
"2023-01-02",13,"13","Neuchâtel",9.1
"2023-01-02",14,"14","Nidwalden",5.57
"2023-01-02",15,"15","Obwalden",3.45
"2023-01-02",16,"16","Sankt Gallen",6.67
"2023-01-02",17,"17","Schaffhausen",6.82
"2023-01-02",18,"18","Schwyz",6.71
"2023-01-02",19,"19","Solothurn",5.55
"2023-01-02",20,"20","Thurgau",7.6
"2023-01-02",21,"21","Ticino",2.81
"2023-01-02",22,"22","Uri",2.79
"2023-01-02",23,"23","Valais",-3.89
"2023-01-02",24,"24","Vaud",7.2
"2023-01-02",25,"25","Zürich",7.46
"2023-01-02",26,"26","Zug",6.98
"2023-01-03",1,"1","Aargau",7.6
"2023-01-03",2,"2","Appenzell Ausserrhoden",7.6
"2023-01-03",3,"3","Appenzell Innerrhoden",7.33
"2023-01-03",4,"4","Basel-Landschaft",7.61
"2023-01-03",5,"5","Basel-Stadt",7.55
"2023-01-03",6,"6","Bern",4.25
"2023-01-03",7,"7","Fribourg",6.19
"2023-01-03",8,"8","Genève",8.12
"2023-01-03",9,"9","Glarus",3.47
"2023-01-03",10,"10","Graubünden",-1.03
"2023-01-03",11,"11","Jura",6.64
"2023-01-03",12,"12","Lucerne",6.56
"2023-01-03",13,"13","Neuchâtel",5.94
"2023-01-03",14,"14","Nidwalden",5.41
"2023-01-03",15,"15","Obwalden",3.24
"2023-01-03",16,"16","Sankt Gallen",6.42
"2023-01-03",17,"17","Schaffhausen",7.53
"2023-01-03",18,"18","Schwyz",5.21
"2023-01-03",19,"19","Solothurn",7.44
"2023-01-03",20,"20","Thurgau",8.1
"2023-01-03",21,"21","Ticino",2
"2023-01-03",22,"22","Uri",1.31
"2023-01-03",23,"23","Valais",-1.61
"2023-01-03",24,"24","Vaud",6.61
"2023-01-03",25,"25","Zürich",7.91
"2023-01-03",26,"26","Zug",7.7
"2023-01-04",1,"1","Aargau",4.25
"2023-01-04",2,"2","Appenzell Ausserrhoden",4.58
"2023-01-04",3,"3","Appenzell Innerrhoden",4.32
"2023-01-04",4,"4","Basel-Landschaft",4.28
"2023-01-04",5,"5","Basel-Stadt",4.16
"2023-01-04",6,"6","Bern",1.51
"2023-01-04",7,"7","Fribourg",4.16
"2023-01-04",8,"8","Genève",3.64
"2023-01-04",9,"9","Glarus",0.74
"2023-01-04",10,"10","Graubünden",-2.68
"2023-01-04",11,"11","Jura",3.38
"2023-01-04",12,"12","Lucerne",3.01
"2023-01-04",13,"13","Neuchâtel",3.42
"2023-01-04",14,"14","Nidwalden",2.22
"2023-01-04",15,"15","Obwalden",0.28
"2023-01-04",16,"16","Sankt Gallen",3.35
"2023-01-04",17,"17","Schaffhausen",3.16
"2023-01-04",18,"18","Schwyz",2.3
"2023-01-04",19,"19","Solothurn",4.34
"2023-01-04",20,"20","Thurgau",4.59
"2023-01-04",21,"21","Ticino",-0.8
"2023-01-04",22,"22","Uri",-0.9
"2023-01-04",23,"23","Valais",-3.74
"2023-01-04",24,"24","Vaud",4.25
"2023-01-04",25,"25","Zürich",4.58
"2023-01-04",26,"26","Zug",4.52
"2023-01-05",1,"1","Aargau",9.01
"2023-01-05",2,"2","Appenzell Ausserrhoden",7.33
"2023-01-05",3,"3","Appenzell Innerrhoden",6.34
"2023-01-05",4,"4","Basel-Landschaft",9.65
"2023-01-05",5,"5","Basel-Stadt",9.73
"2023-01-05",6,"6","Bern",4.2
"2023-01-05",7,"7","Fribourg",6.75
"2023-01-05",8,"8","Genève",7.81
"2023-01-05",9,"9","Glarus",3.2
"2023-01-05",10,"10","Graubünden",-1.69
"2023-01-05",11,"11","Jura",8.68
"2023-01-05",12,"12","Lucerne",6.9
"2023-01-05",13,"13","Neuchâtel",7.53
"2023-01-05",14,"14","Nidwalden",4.99
"2023-01-05",15,"15","Obwalden",2.85
"2023-01-05",16,"16","Sankt Gallen",5.99
"2023-01-05",17,"17","Schaffhausen",8.68
"2023-01-05",18,"18","Schwyz",5.34
"2023-01-05",19,"19","Solothurn",8.79
"2023-01-05",20,"20","Thurgau",8.86
"2023-01-05",21,"21","Ticino",0.58
"2023-01-05",22,"22","Uri",1.67
"2023-01-05",23,"23","Valais",-1.81
"2023-01-05",24,"24","Vaud",6.8
"2023-01-05",25,"25","Zürich",8.9
"2023-01-05",26,"26","Zug",8.23
"2023-01-06",1,"1","Aargau",4.82
"2023-01-06",2,"2","Appenzell Ausserrhoden",3.86
"2023-01-06",3,"3","Appenzell Innerrhoden",2.62
"2023-01-06",4,"4","Basel-Landschaft",5.32
"2023-01-06",5,"5","Basel-Stadt",5.41
"2023-01-06",6,"6","Bern",0.36
"2023-01-06",7,"7","Fribourg",2.18
"2023-01-06",8,"8","Genève",3.11
"2023-01-06",9,"9","Glarus",-0.41
"2023-01-06",10,"10","Graubünden",-3.62
"2023-01-06",11,"11","Jura",4.64
"2023-01-06",12,"12","Lucerne",2.81
"2023-01-06",13,"13","Neuchâtel",3.8
"2023-01-06",14,"14","Nidwalden",1.13
"2023-01-06",15,"15","Obwalden",-0.78
"2023-01-06",16,"16","Sankt Gallen",2.53
"2023-01-06",17,"17","Schaffhausen",5.65
"2023-01-06",18,"18","Schwyz",1.63
"2023-01-06",19,"19","Solothurn",4.41
"2023-01-06",20,"20","Thurgau",6.13
"2023-01-06",21,"21","Ticino",-1.33
"2023-01-06",22,"22","Uri",-1.82
"2023-01-06",23,"23","Valais",-7.3
"2023-01-06",24,"24","Vaud",2.88
"2023-01-06",25,"25","Zürich",5.55
"2023-01-06",26,"26","Zug",4.52
"2023-01-07",1,"1","Aargau",6.29
"2023-01-07",2,"2","Appenzell Ausserrhoden",2.95
"2023-01-07",3,"3","Appenzell Innerrhoden",1.71
"2023-01-07",4,"4","Basel-Landschaft",6.33
"2023-01-07",5,"5","Basel-Stadt",6.37
"2023-01-07",6,"6","Bern",0.7
"2023-01-07",7,"7","Fribourg",3.07
"2023-01-07",8,"8","Genève",5.2
"2023-01-07",9,"9","Glarus",-1.01
"2023-01-07",10,"10","Graubünden",-4.72
"2023-01-07",11,"11","Jura",5.68
"2023-01-07",12,"12","Lucerne",5.39
"2023-01-07",13,"13","Neuchâtel",4.56
"2023-01-07",14,"14","Nidwalden",3.93
"2023-01-07",15,"15","Obwalden",1.05
"2023-01-07",16,"16","Sankt Gallen",1.45
"2023-01-07",17,"17","Schaffhausen",5.34
"2023-01-07",18,"18","Schwyz",2.25
"2023-01-07",19,"19","Solothurn",5.41
"2023-01-07",20,"20","Thurgau",4.69
"2023-01-07",21,"21","Ticino",-2.92
"2023-01-07",22,"22","Uri",-1.07
"2023-01-07",23,"23","Valais",-5.28
"2023-01-07",24,"24","Vaud",4.69
"2023-01-07",25,"25","Zürich",5.06
"2023-01-07",26,"26","Zug",6.08
"2023-01-08",1,"1","Aargau",1.67
"2023-01-08",2,"2","Appenzell Ausserrhoden",1.7
"2023-01-08",3,"3","Appenzell Innerrhoden",1.21
"2023-01-08",4,"4","Basel-Landschaft",2
"2023-01-08",5,"5","Basel-Stadt",2.26
"2023-01-08",6,"6","Bern",-2
"2023-01-08",7,"7","Fribourg",1.11
"2023-01-08",8,"8","Genève",2.9
"2023-01-08",9,"9","Glarus",-1
"2023-01-08",10,"10","Graubünden",-4.84
"2023-01-08",11,"11","Jura",3.21
"2023-01-08",12,"12","Lucerne",2.95
"2023-01-08",13,"13","Neuchâtel",5.03
"2023-01-08",14,"14","Nidwalden",2.62
"2023-01-08",15,"15","Obwalden",-0.84
"2023-01-08",16,"16","Sankt Gallen",0.99
"2023-01-08",17,"17","Schaffhausen",0.47
"2023-01-08",18,"18","Schwyz",1.46
"2023-01-08",19,"19","Solothurn",1.17
"2023-01-08",20,"20","Thurgau",2.25
"2023-01-08",21,"21","Ticino",-2.3
"2023-01-08",22,"22","Uri",-3.07
"2023-01-08",23,"23","Valais",-8.56
"2023-01-08",24,"24","Vaud",3.63
"2023-01-08",25,"25","Zürich",1.72
"2023-01-08",26,"26","Zug",3.97
"2023-01-09",1,"1","Aargau",6.12
"2023-01-09",2,"2","Appenzell Ausserrhoden",4.54
"2023-01-09",3,"3","Appenzell Innerrhoden",4.27
"2023-01-09",4,"4","Basel-Landschaft",7.17
"2023-01-09",5,"5","Basel-Stadt",7.37
"2023-01-09",6,"6","Bern",2.29
"2023-01-09",7,"7","Fribourg",4.73
"2023-01-09",8,"8","Genève",7.89
"2023-01-09",9,"9","Glarus",1.89
"2023-01-09",10,"10","Graubünden",-1.54
"2023-01-09",11,"11","Jura",6.87
"2023-01-09",12,"12","Lucerne",4.98
"2023-01-09",13,"13","Neuchâtel",6.39
"2023-01-09",14,"14","Nidwalden",3.6
"2023-01-09",15,"15","Obwalden",1.65
"2023-01-09",16,"16","Sankt Gallen",4.01
"2023-01-09",17,"17","Schaffhausen",5.31
"2023-01-09",18,"18","Schwyz",3.5
"2023-01-09",19,"19","Solothurn",6.25
"2023-01-09",20,"20","Thurgau",5.01
"2023-01-09",21,"21","Ticino",-0.03
"2023-01-09",22,"22","Uri",-0.53
"2023-01-09",23,"23","Valais",-3.82
"2023-01-09",24,"24","Vaud",6.06
"2023-01-09",25,"25","Zürich",5.57
"2023-01-09",26,"26","Zug",5.72
"2023-01-10",1,"1","Aargau",2.97
"2023-01-10",2,"2","Appenzell Ausserrhoden",1.74
"2023-01-10",3,"3","Appenzell Innerrhoden",1.08
"2023-01-10",4,"4","Basel-Landschaft",3.66
"2023-01-10",5,"5","Basel-Stadt",3.79
"2023-01-10",6,"6","Bern",-0.87
"2023-01-10",7,"7","Fribourg",1.48
"2023-01-10",8,"8","Genève",2.42
"2023-01-10",9,"9","Glarus",-2.68
"2023-01-10",10,"10","Graubünden",-5.77
"2023-01-10",11,"11","Jura",2.92
"2023-01-10",12,"12","Lucerne",1.96
"2023-01-10",13,"13","Neuchâtel",1.36
"2023-01-10",14,"14","Nidwalden",0.47
"2023-01-10",15,"15","Obwalden",-1.67
"2023-01-10",16,"16","Sankt Gallen",0.56
"2023-01-10",17,"17","Schaffhausen",2.39
"2023-01-10",18,"18","Schwyz",-0.43
"2023-01-10",19,"19","Solothurn",2.95
"2023-01-10",20,"20","Thurgau",2.9
"2023-01-10",21,"21","Ticino",-2.12
"2023-01-10",22,"22","Uri",-4
"2023-01-10",23,"23","Valais",-8.19
"2023-01-10",24,"24","Vaud",1.53
"2023-01-10",25,"25","Zürich",2.69
"2023-01-10",26,"26","Zug",2.85
"2023-01-11",1,"1","Aargau",4.54
"2023-01-11",2,"2","Appenzell Ausserrhoden",2.46
