"","date","ID_1","NAME_1","t2m"
"1","2016-01-01",1,"Aisén del General Carlos Ibáñez del Campo",11.95
"2","2016-01-01",2,"Antofagasta",16.99
"3","2016-01-01",3,"Araucanía",19.21
"4","2016-01-01",4,"Arica y Parinacota",12.52
"5","2016-01-01",5,"Atacama",13.41
"6","2016-01-01",6,"Bío-Bío",20.61
"7","2016-01-01",7,"Coquimbo",15.18
"8","2016-01-01",8,"Libertador General Bernardo O'Higgins",18.55
"9","2016-01-01",9,"Los Lagos",15.67
"10","2016-01-01",10,"Los Ríos",18.91
"11","2016-01-01",11,"Magallanes y Antártica Chilena",11.77
"12","2016-01-01",12,"Magallanes y Antártica Chilena",11.8
"13","2016-01-01",13,"Maule",19.55
"14","2016-01-01",14,"Región Metropolitana de Santiago",15.7
"15","2016-01-01",15,"Tarapacá",16.72
"16","2016-01-01",16,"Valparaíso",16.95
"17","2016-01-02",1,"Aisén del General Carlos Ibáñez del Campo",14.22
"18","2016-01-02",2,"Antofagasta",17.34
"19","2016-01-02",3,"Araucanía",17.68
"20","2016-01-02",4,"Arica y Parinacota",12.4
"21","2016-01-02",5,"Atacama",14.25
"22","2016-01-02",6,"Bío-Bío",18.79
"23","2016-01-02",7,"Coquimbo",15.1
"24","2016-01-02",8,"Libertador General Bernardo O'Higgins",17.66
"25","2016-01-02",9,"Los Lagos",16.86
"26","2016-01-02",10,"Los Ríos",18.64
"27","2016-01-02",11,"Magallanes y Antártica Chilena",13.44
"28","2016-01-02",12,"Magallanes y Antártica Chilena",13.33
"29","2016-01-02",13,"Maule",17.78
"30","2016-01-02",14,"Región Metropolitana de Santiago",15.28
"31","2016-01-02",15,"Tarapacá",16.61
"32","2016-01-02",16,"Valparaíso",16.47
"33","2016-01-03",1,"Aisén del General Carlos Ibáñez del Campo",8.61
"34","2016-01-03",2,"Antofagasta",16.09
"35","2016-01-03",3,"Araucanía",18.39
"36","2016-01-03",4,"Arica y Parinacota",11.86
"37","2016-01-03",5,"Atacama",13.93
"38","2016-01-03",6,"Bío-Bío",19.89
"39","2016-01-03",7,"Coquimbo",15.6
"40","2016-01-03",8,"Libertador General Bernardo O'Higgins",18.18
"41","2016-01-03",9,"Los Lagos",14.79
"42","2016-01-03",10,"Los Ríos",18.53
"43","2016-01-03",11,"Magallanes y Antártica Chilena",8.04
"44","2016-01-03",12,"Magallanes y Antártica Chilena",6.67
"45","2016-01-03",13,"Maule",18.88
"46","2016-01-03",14,"Región Metropolitana de Santiago",15.72
"47","2016-01-03",15,"Tarapacá",15.86
"48","2016-01-03",16,"Valparaíso",16.92
"49","2016-01-04",1,"Aisén del General Carlos Ibáñez del Campo",7.47
"50","2016-01-04",2,"Antofagasta",16.13
"51","2016-01-04",3,"Araucanía",15.62
"52","2016-01-04",4,"Arica y Parinacota",11.37
"53","2016-01-04",5,"Atacama",13.81
"54","2016-01-04",6,"Bío-Bío",18.23
"55","2016-01-04",7,"Coquimbo",15.21
"56","2016-01-04",8,"Libertador General Bernardo O'Higgins",18.17
"57","2016-01-04",9,"Los Lagos",12.6
"58","2016-01-04",10,"Los Ríos",15.96
"59","2016-01-04",11,"Magallanes y Antártica Chilena",8.72
"60","2016-01-04",12,"Magallanes y Antártica Chilena",8.5
"61","2016-01-04",13,"Maule",18.91
"62","2016-01-04",14,"Región Metropolitana de Santiago",15.8
"63","2016-01-04",15,"Tarapacá",15.87
"64","2016-01-04",16,"Valparaíso",16.92
"65","2016-01-05",1,"Aisén del General Carlos Ibáñez del Campo",9.58
"66","2016-01-05",2,"Antofagasta",15.6
"67","2016-01-05",3,"Araucanía",16.68
"68","2016-01-05",4,"Arica y Parinacota",11.09
"69","2016-01-05",5,"Atacama",13.52
"70","2016-01-05",6,"Bío-Bío",19.01
"71","2016-01-05",7,"Coquimbo",14.81
"72","2016-01-05",8,"Libertador General Bernardo O'Higgins",19.25
"73","2016-01-05",9,"Los Lagos",13.4
"74","2016-01-05",10,"Los Ríos",16.29
"75","2016-01-05",11,"Magallanes y Antártica Chilena",8.67
"76","2016-01-05",12,"Magallanes y Antártica Chilena",8.44
"77","2016-01-05",13,"Maule",18.83
"78","2016-01-05",14,"Región Metropolitana de Santiago",15.81
"79","2016-01-05",15,"Tarapacá",15.09
"80","2016-01-05",16,"Valparaíso",17.22
"81","2016-01-06",1,"Aisén del General Carlos Ibáñez del Campo",10.67
"82","2016-01-06",2,"Antofagasta",15.92
"83","2016-01-06",3,"Araucanía",22.15
