"date","ID_2","GID_2","NAME_2","t2m"
"2023-01-01",1,"1","Aisén",10.13
"2023-01-01",2,"2","Capitán Prat",5.65
"2023-01-01",3,"3","Coihaique",9.52
"2023-01-01",4,"4","General Carrera",6.83
"2023-01-01",5,"5","Antofagasta",16.15
"2023-01-01",6,"6","El Loa",11.67
"2023-01-01",7,"7","Tocopilla",18.89
"2023-01-01",8,"8","Cautín",15.28
"2023-01-01",9,"9","Malleco",16.11
"2023-01-01",10,"10","Arica",13.95
"2023-01-01",11,"11","Parinacota",4.01
"2023-01-01",12,"12","Chañaral",12.66
"2023-01-01",13,"13","Copiapó",12.12
"2023-01-01",14,"14","Huasco",11.89
"2023-01-01",15,"15","Ñuble",16.23
"2023-01-01",16,"16","Arauco",14.58
"2023-01-01",17,"17","Biobío",16.41
"2023-01-01",18,"18","Concepción",16.24
"2023-01-01",19,"19","Choapa",12.7
"2023-01-01",20,"20","Elqui",10.83
"2023-01-01",21,"21","Limarí",12.79
"2023-01-01",22,"22","Cachapoal",12.86
"2023-01-01",23,"23","Cardenal Caro",17.91
"2023-01-01",24,"24","Colchagua",14.43
"2023-01-01",25,"25","Chiloé",14.51
"2023-01-01",26,"26","Llanquihue",15.1
"2023-01-01",27,"27","Osorno",14.92
"2023-01-01",28,"28","Palena",12.13
"2023-01-01",29,"29","Ranco",16.05
"2023-01-01",30,"30","Valdivia",15.06
"2023-01-01",31,"31","Antártica Chilena",8.76
"2023-01-01",32,"32","Última Esperanza",7.07
"2023-01-01",33,"33","Capitán Prat",6.58
"2023-01-01",34,"34","Chacabuco",8.55
"2023-01-01",35,"35","Magallanes",6.75
"2023-01-01",36,"36","Tierra del Fuego",9.48
"2023-01-01",37,"37","Cauquenes",17.2
"2023-01-01",38,"38","Curicó",13.37
"2023-01-01",39,"39","Linares",15.28
"2023-01-01",40,"40","Talca",13.38
"2023-01-01",41,"41","Chacabuco",16.39
"2023-01-01",42,"42","Cordillera",5.9
"2023-01-01",43,"43","Maipo",16.33
"2023-01-01",44,"44","Melipilla",17.4
"2023-01-01",45,"45","Santiago",13.25
"2023-01-01",46,"46","Talagante",17.37
"2023-01-01",47,"47","Iquique",13.35
"2023-01-01",48,"48","ísla de Pascua",20.67
"2023-01-01",49,"49","Los Andes",6.72
"2023-01-01",50,"50","Petorca",15.47
"2023-01-01",51,"51","Quillota",17.49
"2023-01-01",52,"52","San Antonio",17.15
"2023-01-01",53,"53","San Felipe de Aconcagua",13.43
"2023-01-01",54,"54","Valparaíso",16.59
"2023-01-02",1,"1","Aisén",9.07
"2023-01-02",2,"2","Capitán Prat",6.18
"2023-01-02",3,"3","Coihaique",6.21
"2023-01-02",4,"4","General Carrera",5.17
"2023-01-02",5,"5","Antofagasta",15.45
"2023-01-02",6,"6","El Loa",11.16
"2023-01-02",7,"7","Tocopilla",18.49
"2023-01-02",8,"8","Cautín",14.25
"2023-01-02",9,"9","Malleco",14.21
"2023-01-02",10,"10","Arica",13.65
"2023-01-02",11,"11","Parinacota",4.23
"2023-01-02",12,"12","Chañaral",12.75
