"date","ID_2","GID_2","NAME_2","t2m"
"2023-01-01",1,"1","Djerem",19.54
"2023-01-01",2,"2","Faro et Déo",17.25
"2023-01-01",3,"3","Mayo Banyo",17.25
"2023-01-01",4,"4","Mbéré",18.82
"2023-01-01",5,"5","Vina",17.22
"2023-01-01",6,"6","Haute Sanaga",20.49
"2023-01-01",7,"7","Lekié",21.29
"2023-01-01",8,"8","Mbam et Inoubou",21.26
"2023-01-01",9,"9","Mbam et Kim",20.47
"2023-01-01",10,"10","Mefou et Afamba",20.42
"2023-01-01",11,"11","Mefou et Akono",20.2
"2023-01-01",12,"12","Mfoundi",20.42
"2023-01-01",13,"13","Nyong et Kéllé",21.31
"2023-01-01",14,"14","Nyong et Mfoumou",19.84
"2023-01-01",15,"15","Nyong et So'o",20.31
"2023-01-01",16,"16","Boumba et Ngoko",20.77
"2023-01-01",17,"17","Haut Nyong",20.01
"2023-01-01",18,"18","Kadey",20.78
"2023-01-01",19,"19","Lom et Djerem",20.7
"2023-01-01",20,"20","Diamaré",18.78
"2023-01-01",21,"21","Logone et Chari",18.49
"2023-01-01",22,"22","Mayo Danay",19.49
"2023-01-01",23,"23","Mayo Kani",19.45
"2023-01-01",24,"24","Mayo Sava",17.48
"2023-01-01",25,"25","Mayo Tsanaga",17.32
"2023-01-01",26,"26","Moungo",20.92
"2023-01-01",27,"27","Nkam",21.83
"2023-01-01",28,"28","Sanaga Maritime",22.87
"2023-01-01",29,"29","Wouri",24.63
"2023-01-01",30,"30","Boyo",13.67
"2023-01-01",31,"31","Bui",14.8
"2023-01-01",32,"32","Donga Mantung",16.21
"2023-01-01",33,"33","Menchum",17.6
"2023-01-01",34,"34","Mezam",15.15
"2023-01-01",35,"35","Momo",16.32
"2023-01-01",36,"36","Ngo Ketunjia",14.55
"2023-01-01",37,"37","Bénoué",21.01
"2023-01-01",38,"38","Faro",19.78
"2023-01-01",39,"39","Mayo Louti",20.24
"2023-01-01",40,"40","Mayo Rey",19.11
"2023-01-01",41,"41","Bamboutos",15.78
"2023-01-01",42,"42","Haut Nkam",16.49
"2023-01-01",43,"43","Hauts Plateaux",15.49
"2023-01-01",44,"44","Koung Khi",16.21
"2023-01-01",45,"45","Menoua",16.06
"2023-01-01",46,"46","Mifi",16.28
"2023-01-01",47,"47","Ndé",18.37
"2023-01-01",48,"48","Noun",18.94
"2023-01-01",49,"49","Fako",23.52
"2023-01-01",50,"50","Koupé Manengouba",19.17
"2023-01-01",51,"51","Lebialem",16.09
"2023-01-01",52,"52","Manyu",19.25
"2023-01-01",53,"53","Meme",21.45
"2023-01-01",54,"54","Ndian",21.42
"2023-01-01",55,"55","Dja et Lobo",21.19
"2023-01-01",56,"56","Mvila",20.58
"2023-01-01",57,"57","Océan",22.15
"2023-01-01",58,"58","Vallée du Ntem",20.97
"2023-01-02",1,"1","Djerem",20.25
"2023-01-02",2,"2","Faro et Déo",17.7
"2023-01-02",3,"3","Mayo Banyo",17.8
"2023-01-02",4,"4","Mbéré",19.63
"2023-01-02",5,"5","Vina",18.11
"2023-01-02",6,"6","Haute Sanaga",22
"2023-01-02",7,"7","Lekié",22.1
"2023-01-02",8,"8","Mbam et Inoubou",21.88
"2023-01-02",9,"9","Mbam et Kim",21.47
"2023-01-02",10,"10","Mefou et Afamba",21.01
"2023-01-02",11,"11","Mefou et Akono",21.37
"2023-01-02",12,"12","Mfoundi",21.31
"2023-01-02",13,"13","Nyong et Kéllé",22.54
"2023-01-02",14,"14","Nyong et Mfoumou",20.29
"2023-01-02",15,"15","Nyong et So'o",21.32
"2023-01-02",16,"16","Boumba et Ngoko",21.34
"2023-01-02",17,"17","Haut Nyong",20.46
"2023-01-02",18,"18","Kadey",20.98
"2023-01-02",19,"19","Lom et Djerem",21.85
"2023-01-02",20,"20","Diamaré",19.74
"2023-01-02",21,"21","Logone et Chari",19.38
"2023-01-02",22,"22","Mayo Danay",20.81
"2023-01-02",23,"23","Mayo Kani",20.65
"2023-01-02",24,"24","Mayo Sava",18.22
"2023-01-02",25,"25","Mayo Tsanaga",18.07
"2023-01-02",26,"26","Moungo",21.43
"2023-01-02",27,"27","Nkam",21.95
"2023-01-02",28,"28","Sanaga Maritime",23.84
"2023-01-02",29,"29","Wouri",25.2
"2023-01-02",30,"30","Boyo",15.02
"2023-01-02",31,"31","Bui",15.84
"2023-01-02",32,"32","Donga Mantung",16.87
"2023-01-02",33,"33","Menchum",19.29
"2023-01-02",34,"34","Mezam",16.6
"2023-01-02",35,"35","Momo",18.97
"2023-01-02",36,"36","Ngo Ketunjia",15.74
"2023-01-02",37,"37","Bénoué",21.21
"2023-01-02",38,"38","Faro",20.25
"2023-01-02",39,"39","Mayo Louti",21.1
"2023-01-02",40,"40","Mayo Rey",20.25
"2023-01-02",41,"41","Bamboutos",16.69
